word,tfidf_score,talk_frequency,global_frequency
medhanandi,0.046256,9,9
poetry,0.043808,17,93
sacrament,0.035977,7,7
ayya,0.035397,9,14
fragrance,0.033467,8,10
poem,0.029603,20,393
religion,0.029351,14,92
defeat,0.021481,6,14
cup,0.019919,8,50
harm,0.019419,16,418
integrity,0.019109,9,54
die,0.017816,13,202
despair,0.017146,7,52
trial,0.015732,4,12
canada,0.014955,4,8
abide,0.014459,8,153
okay-ness,0.014321,4,10
ordination,0.014321,4,13
taste,0.014056,9,148
dominant,0.012211,4,19
endure,0.012211,4,23
pray,0.011908,4,24
compassion,0.011856,15,634
storm,0.010496,4,29
goodness,0.010123,13,466
express,0.009838,7,144
sati,0.009645,5,89
regret,0.009643,4,34
otherwise,0.009457,6,93
principle,0.009231,5,122
courage,0.009216,4,89
amaravati,0.009073,2,3
brehm,0.009073,2,5
redefine,0.008367,2,4
tonight,0.008339,5,103
inherent,0.007988,4,62
presence,0.007624,7,207
anyone,0.007533,5,114
awake,0.006870,4,78
kindness,0.006802,9,530
joy,0.006801,10,924
commitment,0.006370,3,56
smile,0.006363,4,139
holy,0.005814,2,24
somebody,0.005790,5,341
practitioner,0.005658,5,199
simplicity,0.005622,4,255
woman,0.005598,3,167
ordain,0.005565,2,28
divine,0.005565,2,25
explicitly,0.005348,2,21
nun,0.005154,2,65
jot,0.005140,1,1
dreamscape,0.005140,1,1
medha,0.005140,1,1
nandi,0.005140,1,1
10-precept,0.005140,1,1
taiwan,0.005140,1,1
hermitage,0.005140,1,1
ontario,0.005140,1,1
proto-hinduism,0.005140,1,1
fresh-baked,0.005140,1,1
suttas,0.004729,3,171
poet,0.004542,2,45
canadian,0.004536,1,2
saraniya,0.004536,1,2
judeo-christian,0.004536,1,4
bakery,0.004536,1,3
badness,0.004536,1,2
unspoken,0.004536,1,2
18th,0.004536,1,2
trust,0.004423,4,252
name,0.004288,5,300
deny,0.004193,2,44
heavy-handed,0.004183,1,3
stanza,0.004183,1,3
late,0.004132,5,268
cause,0.004101,5,371
inspire,0.004101,4,229
dharma,0.003954,8,827
pandita,0.003933,1,5
brahmanism,0.003933,1,5
bodily,0.003815,2,100
dare,0.003739,1,5
eastern,0.003739,1,5
bake,0.003739,1,6
negativity,0.003739,1,8
mr,0.003739,1,6
treat,0.003692,2,62
sayadaw,0.003580,1,11
cooky,0.003580,1,27
bread,0.003580,1,17
in-person,0.003580,1,7
actual,0.003577,2,82
general,0.003529,3,165
live,0.003520,12,1100
book,0.003448,3,247
consolation,0.003446,1,8
border,0.003446,1,10
england,0.003446,1,10
tangible,0.003446,1,7
well-being,0.003430,4,536
scent,0.003330,1,17
beautiful,0.003298,5,538
distinction,0.003272,2,96
publish,0.003227,1,12
preciousness,0.003227,1,9
bend,0.003227,1,9
sprinkle,0.003227,1,17
saturday,0.003227,1,9
daylong,0.003227,1,12
specific,0.003152,2,91
artificial,0.003136,1,12
whichever,0.003136,1,11
bridge,0.003136,1,11
backwards,0.003136,1,12
john,0.003136,1,25
discussion,0.003095,2,90
tune,0.003067,2,124
founder,0.003053,1,14
wisdom,0.002978,4,536
send,0.002960,2,120
write,0.002941,3,237
beauty,0.002934,2,165
simple,0.002915,6,685
sister,0.002907,1,24
summarize,0.002907,1,16
spend,0.002847,4,290
precede,0.002843,1,20
indirectly,0.002843,1,15
chah,0.002843,1,28
conversation,0.002741,2,173
subtle,0.002730,3,372
straightforward,0.002727,1,21
openness,0.002718,2,135
burma,0.002674,1,21
grace,0.002674,1,22
moment,0.002644,25,1810
lineage,0.002624,1,25
precisely,0.002624,1,22
short,0.002588,2,130
uncommon,0.002532,1,24
bring,0.002455,11,1154
inhabit,0.002449,1,31
intelligence,0.002449,1,111
sorry,0.002411,1,29
others,0.002375,9,1015
bhikkhu,0.002374,1,66
promise,0.002374,1,41
audience,0.002338,1,137
page,0.002338,1,31
unite,0.002338,1,32
afterwards,0.002304,1,29
dedication,0.002304,1,35
brightness,0.002304,1,62
overcome,0.002304,1,58
oneself,0.002263,2,175
