word,tfidf_score,talk_frequency,global_frequency
samadhi,0.030919,28,1428
global,0.028232,10,71
deliberateness,0.019114,4,20
temple,0.018783,6,55
contentious,0.015080,3,6
discover,0.014882,9,191
storming,0.013138,2,2
kindly,0.012761,5,54
anapanasati,0.010694,2,6
swing,0.010694,2,5
bypass,0.009557,2,6
discovery,0.008834,3,54
calm,0.008187,9,614
tranquility,0.007501,4,114
fullness,0.007481,3,59
elements,0.007396,3,123
calming,0.007155,3,126
overview,0.007113,2,23
gap,0.006835,2,26
review,0.006587,2,30
grounding,0.006586,3,96
tingle,0.006569,1,1
stressing,0.006569,1,1
youtube,0.006521,3,77
minutes,0.006480,6,262
expands,0.006162,2,36
aware,0.006096,8,593
equilibrium,0.005798,1,3
globally,0.005798,1,2
fortress,0.005798,1,3
dangerously,0.005798,1,2
protectors,0.005798,1,2
basic,0.005776,3,110
unification,0.005529,3,143
series,0.005521,5,255
settling,0.005499,6,507
inwardly,0.005347,1,3
aggressively,0.005347,1,3
coasting,0.005347,1,10
interrupt,0.005347,1,3
reactively,0.005347,1,3
unifies,0.005347,1,3
overcomes,0.005347,1,3
harmonizing,0.005347,1,3
informative,0.005347,1,3
wherever,0.005344,3,99
connection,0.005321,4,195
weeks,0.005083,3,114
notice,0.005010,8,731
harmony,0.004987,2,115
stillness,0.004842,3,201
warmhearted,0.004779,1,7
enter,0.004728,3,190
patterns,0.004669,2,78
override,0.004576,1,6
assertive,0.004576,1,6
diligent,0.004576,1,7
loops,0.004576,1,6
unify,0.004576,1,8
whole,0.004492,13,1128
included,0.004480,2,82
recommendation,0.004404,1,7
casual,0.004404,1,10
surfing,0.004404,1,10
divisiveness,0.004404,1,9
warmed,0.004404,1,7
break,0.004263,2,77
natural,0.004256,4,325
fixating,0.004256,1,12
platform,0.004256,1,10
wheels,0.004256,1,10
steady,0.004223,2,152
pause,0.004143,2,154
broadcast,0.004125,1,9
sacred,0.004104,2,107
benefit,0.004082,3,188
oneself,0.004082,3,187
effect,0.004066,2,125
returns,0.004008,1,10
unifying,0.004008,1,15
speech,0.003956,2,187
overlooked,0.003902,1,11
overlook,0.003902,1,13
scared,0.003902,1,17
parallel,0.003902,1,11
continue,0.003893,4,256
gaze,0.003851,2,116
torso,0.003851,2,109
breathe,0.003806,4,408
settings,0.003805,1,15
measuring,0.003805,1,16
partially,0.003805,1,14
centered,0.003686,2,154
sockets,0.003633,1,16
cruz,0.003633,1,17
beginning,0.003603,5,456
openly,0.003557,1,15
stabilize,0.003557,1,24
unity,0.003557,1,51
gathering,0.003533,2,185
instructions,0.003533,2,150
mindfully,0.003485,1,21
argue,0.003485,1,19
awaken,0.003417,1,27
karmic,0.003417,1,33
vantage,0.003417,1,23
opportunity,0.003417,2,127
awareness,0.003355,6,1270
deliberate,0.003354,1,34
focuses,0.003354,1,24
either,0.003313,3,229
tap,0.003294,1,20
momentary,0.003237,1,26
greatest,0.003237,1,23
pushing,0.003228,2,139
respect,0.003177,2,191
gazing,0.003130,1,33
santa,0.003130,1,31
humility,0.003130,1,31
rib,0.003081,1,29
expecting,0.003081,1,28
continuity,0.003081,1,66
collectedness,0.003081,1,27
enters,0.003081,1,30
participating,0.003034,1,51
doors,0.003034,1,41
cage,0.002988,1,31
calmly,0.002988,1,58
separated,0.002945,1,32
twice,0.002945,1,34
ready,0.002915,2,176
literal,0.002903,1,37
approaching,0.002903,1,59
breathing,0.002863,6,1992
calmness,0.002862,1,47
riding,0.002862,1,48
effective,0.002862,1,40
full,0.002855,3,270
starting,0.002848,2,143
territory,0.002823,1,31
escape,0.002823,1,48
emphasized,0.002785,1,42
expanding,0.002749,1,48
circles,0.002749,1,47
attain,0.002749,1,40
access,0.002749,1,44
ongoing,0.002714,1,41
remind,0.002714,1,45
body,0.002696,21,3140
judge,0.002679,1,47
react,0.002679,1,37
wander,0.002679,1,50
lightness,0.002646,1,75
discovering,0.002614,1,45
upon,0.002601,2,200
harder,0.002583,1,56
conflict,0.002583,1,329
whereas,0.002583,1,46
tensions,0.002552,1,57
define,0.002552,1,50
distress,0.002552,1,59
checking,0.002523,1,52
led,0.002523,1,58
slight,0.002523,1,49
rise,0.002465,1,72
leaves,0.002465,1,49
healing,0.002438,1,65
lower,0.002438,1,59
reacting,0.002438,1,53
gently,0.002433,3,393
allowing,0.002415,3,465
trying,0.002404,6,724
begin,0.002400,4,555
friendly,0.002385,1,118
length,0.002385,1,72
normal,0.002361,2,176
judging,0.002359,1,61
invaluable,0.002359,1,68
appears,0.002334,1,54
concentration,0.002322,3,437
silent,0.002310,1,110
carefully,0.002286,1,56
inspiration,0.002286,1,105
opposed,0.002263,1,77
foundational,0.002240,1,65
agitated,0.002240,1,84
place,0.002219,8,1275
location,0.002195,1,81
stage,0.002195,1,103
settled,0.002192,2,416
fully,0.002192,2,293
settle,0.002179,3,505
bring,0.002177,4,643
connecting,0.002174,1,156
deeper,0.002162,3,576
relaxing,0.002160,2,364
places,0.002144,2,241
preoccupations,0.002132,1,109
begins,0.002128,2,280
spot,0.002111,1,112
challenging,0.002111,1,81
connected,0.002097,2,310
wider,0.002091,1,108
tense,0.002091,1,110
middle,0.002081,2,242
kindness,0.002076,3,816
chance,0.002072,1,86
eye,0.002052,1,118
inspired,0.002014,1,101
reactivity,0.002014,1,165
component,0.002014,1,67
created,0.001996,1,85
pulled,0.001978,1,94
entering,0.001978,1,123
beings,0.001960,5,1092
focusing,0.001943,1,106
live,0.001927,3,641
growing,0.001925,1,106
spread,0.001925,1,130
expand,0.001908,1,86
grounded,0.001908,1,116
mostly,0.001892,1,95
angry,0.001892,1,174
easily,0.001892,1,97
relax,0.001879,3,552
quickly,0.001875,1,91
busy,0.001875,1,91
training,0.001875,1,189
important,0.001832,5,806
half,0.001827,1,132
unified,0.001827,1,102
theme,0.001827,1,107
eyes,0.001816,3,497
touched,0.001812,1,110
developing,0.001796,1,100
careful,0.001781,1,121
simplicity,0.001781,1,256
tremendous,0.001766,1,106
add,0.001766,1,156
core,0.001766,1,147
actions,0.001752,1,170
slowly,0.001737,1,106
closing,0.001737,1,95
willing,0.001737,1,148
sensation,0.001737,1,160
practicing,0.001712,2,336
foundation,0.001708,1,147
silence,0.001708,1,188
possibility,0.001708,1,132
approach,0.001694,1,186
great,0.001677,3,680
beyond,0.001654,1,183
guided,0.001646,5,783
play,0.001627,1,169
daily,0.001627,1,156
world,0.001622,15,2312
resting,0.001588,1,165
mindfulness,0.001574,3,1006
aspects,0.001539,1,164
system,0.001527,1,235
leading,0.001492,1,215
problem,0.001480,1,212
general,0.001480,1,167
early,0.001480,1,178
anger,0.001457,1,355
familiar,0.001446,1,177
figure,0.001435,1,195
make,0.001435,6,1254
including,0.001413,1,149
sitting,0.001387,5,755
day,0.001382,4,794
works,0.001371,1,156
every,0.001350,2,478
mindful,0.001350,1,257
parts,0.001320,1,211
someone,0.001317,2,580
sit,0.001308,3,598
try,0.001306,2,443
couple,0.001301,1,172
finding,0.001291,1,169
within,0.001285,2,529
ability,0.001281,1,230
meditating,0.001272,1,213
easier,0.001262,1,195
assume,0.001262,1,151
coming,0.001241,3,698
softening,0.001234,1,223
involved,0.001234,1,244
talked,0.001234,1,234
least,0.001234,1,202
breaths,0.001225,1,191
happen,0.001221,2,527
realize,0.001216,1,221
step,0.001216,1,263
working,0.001216,1,287
certainly,0.001207,1,202
tomorrow,0.001207,1,179
thinking,0.001196,5,1628
belly,0.001189,1,255
subtle,0.001189,1,363
difference,0.001189,1,216
key,0.001189,1,176
view,0.001180,1,402
left,0.001172,1,209
start,0.001163,3,870
retreat,0.001146,1,317
bringing,0.001146,1,236
almost,0.001128,2,552
term,0.001121,1,258
return,0.001112,1,181
soften,0.001104,1,280
fear,0.001104,1,448
takes,0.001096,1,242
able,0.001088,2,610
days,0.001088,1,222
buddha,0.001087,3,2034
especially,0.001080,1,216
forward,0.001080,1,225
part,0.001067,7,1403
still,0.001062,3,772
wanting,0.001056,1,393
hope,0.001056,1,238
comes,0.001049,3,776
meditate,0.001048,1,261
needs,0.001041,1,267
certain,0.001040,2,605
caught,0.001033,1,363
helps,0.001018,1,265
fronsdal,0.001003,1,271
difficult,0.000988,1,332
week,0.000982,2,597
allows,0.000981,1,326
holding,0.000966,1,373
happening,0.000963,2,918
happy,0.000963,3,791
may,0.000956,6,2142
state,0.000936,2,760
recognize,0.000930,1,404
longer,0.000923,1,293
inner,0.000917,1,452
together,0.000915,3,1022
room,0.000896,1,390
living,0.000889,1,355
point,0.000854,2,751
want,0.000832,6,2082
end,0.000823,4,889
link,0.000810,2,475
ease,0.000805,1,526
inside,0.000805,1,424
bit,0.000794,4,1439
open,0.000784,2,818
away,0.000774,3,1010
peaceful,0.000774,1,399
meditative,0.000756,1,295
whatever,0.000751,4,1178
knowing,0.000726,1,630
gil,0.000715,1,414
rest,0.000715,1,374
back,0.000710,5,1460
everyone,0.000709,1,442
anything,0.000708,2,806
hold,0.000703,1,469
peace,0.000692,1,636
morning,0.000686,1,376
pali,0.000683,2,843
looking,0.000670,1,501
goes,0.000670,1,460
experience,0.000652,4,2422
attention,0.000650,2,1262
possible,0.000642,1,509
actually,0.000642,2,1066
dharmette,0.000632,1,318
deep,0.000626,2,1146
support,0.000616,1,559
help,0.000605,1,460
taking,0.000605,1,465
dharma,0.000600,1,877
life,0.000595,7,2399
around,0.000585,3,1126
last,0.000584,1,468
rather,0.000579,1,524
become,0.000578,2,823
posture,0.000569,1,575
getting,0.000544,1,538
safe,0.000534,1,408
d,0.000525,1,637
called,0.000515,1,558
oh,0.000505,1,1324
sense,0.000504,7,2569
path,0.000501,1,958
letting,0.000486,1,764
okay,0.000472,1,1136
work,0.000463,1,850
might,0.000451,6,2085
always,0.000427,1,716
buddhism,0.000427,1,865
care,0.000409,1,1250
look,0.000409,1,750
feel,0.000407,11,3044
different,0.000406,3,1871
enough,0.000401,1,728
free,0.000401,1,626
good,0.000395,3,1820
moment,0.000368,2,1633
let,0.000327,4,1844
people,0.000327,4,3171
feeling,0.000319,2,1865
present,0.000313,1,1187
lot,0.000305,2,1358
could,0.000293,1,1420
heart,0.000285,1,1499
buddhist,0.000247,1,1146
thing,0.000243,1,1367
welcome,0.000235,1,617
mind,0.000221,8,4527
information,0.000217,1,398
much,0.000216,3,1615
ways,0.000209,1,1057
practice,0.000198,4,3241
would,0.000181,1,1944
find,0.000173,1,1177
little,0.000170,2,2286
right,0.000163,1,2097
thank,0.000163,1,1084
time,0.000135,4,2413
take,0.000118,1,1258
word,0.000105,1,1397
even,0.000080,2,1711
ai,0.000000,1,397
generated,0.000000,2,777
transcript,0.000000,1,556
auto,0.000000,1,383
subtitles,0.000000,1,383
video,0.000000,1,395
meditation,0.000000,8,3492
likely,0.000000,1,488
contains,0.000000,1,394
inaccuracies,0.000000,1,383
following,0.000000,1,509
talk,0.000000,2,1504
given,0.000000,1,606
insight,0.000000,2,1629
center,0.000000,3,885
redwood,0.000000,1,414
city,0.000000,1,477
california,0.000000,1,436
please,0.000000,1,528
visit,0.000000,1,422
website,0.000000,1,433
www,0.000000,1,384
audiodharma,0.000000,1,384
org,0.000000,1,398
