word,tfidf_score,talk_frequency,global_frequency
bark,0.032646,15,21
kodo,0.029003,9,9
conlin,0.029003,9,9
serenity,0.021055,8,10
faithless,0.016113,5,5
passion,0.015587,9,37
telescope,0.012386,5,8
faith,0.011749,11,188
kitchen,0.009514,6,55
dog,0.007684,5,42
story,0.007483,22,1137
peg,0.007432,3,8
unknowingly,0.007432,3,7
implication,0.007066,4,25
irc,0.006928,4,24
resolve,0.006796,5,54
tassajara,0.006778,3,11
sort,0.006531,10,289
deliberately,0.006448,4,43
viewfinder,0.006445,2,2
grinder,0.006445,2,2
grr,0.006445,2,2
relate,0.006292,13,344
verse,0.006147,4,78
regard,0.006065,5,80
sight,0.006002,5,66
coffee,0.005968,4,42
ouch,0.005954,3,25
questioner,0.005880,5,258
meditative,0.005821,5,77
imc,0.005763,8,179
drop,0.005758,9,280
knowingly,0.005700,2,3
overtake,0.005700,2,3
moderator,0.005700,2,5
response,0.005081,6,208
replace,0.005006,3,22
inferior,0.004954,2,8
retreat,0.004823,9,433
delusion,0.004820,6,226
smell,0.004752,4,82
director,0.004715,2,9
tripod,0.004715,2,7
shortly,0.004715,2,6
malicious,0.004715,2,11
selfing,0.004542,3,100
sutra,0.004518,2,14
upwelling,0.004518,2,8
stun,0.004518,2,7
sakka,0.004518,2,73
superior,0.004518,2,9
yogi,0.004353,2,10
respond,0.004267,5,164
clock,0.004209,2,12
september,0.004209,2,12
creek,0.004209,2,12
trajectory,0.004209,2,12
sage,0.004209,2,14
toward,0.004085,4,154
agitation,0.004015,4,115
cultivate,0.003987,7,471
goldstein,0.003969,2,12
grasp,0.003946,4,142
mindfulness,0.003941,15,1055
taste,0.003913,4,152
confidence,0.003880,4,168
illustrate,0.003867,2,17
object,0.003839,6,321
joseph,0.003687,2,15
sound,0.003666,8,508
liberate,0.003639,3,72
base,0.003628,5,223
neighbor,0.003601,3,71
lovely,0.003494,4,123
equal,0.003464,2,24
reaction,0.003458,3,95
seed,0.003458,3,92
wholesome,0.003429,5,435
anytime,0.003399,2,21
count,0.003391,3,312
neither,0.003391,3,80
door,0.003387,4,157
beautiful,0.003304,8,592
fear,0.003297,7,539
rock,0.003295,3,83
co-managing,0.003223,1,1
bruni,0.003223,1,1
spiel,0.003223,1,1
giggle,0.003223,1,1
30-something,0.003223,1,1
time-honored,0.003223,1,1
preface,0.003223,1,1
astronomy,0.003223,1,1
enthusiast,0.003223,1,1
astral,0.003223,1,1
haze,0.003223,1,1
hazy,0.003223,1,1
dairy-free,0.003223,1,1
creamer,0.003223,1,1
three-week,0.003223,1,1
pup,0.003223,1,1
cabin,0.003223,1,1
light-hearted,0.003223,1,1
anticlimactic,0.003223,1,1
gil-ism,0.003223,1,1
clause,0.003223,1,1
impudent,0.003223,1,1
passionless,0.003223,1,1
me-ing,0.003223,1,1
semi-adequate,0.003223,1,1
cool,0.003175,3,109
amaze,0.003166,4,155
task,0.003147,3,86
ask,0.003130,9,723
occasionally,0.003121,2,28
question,0.003107,9,888
deliberate,0.003074,2,41
contact,0.003052,4,237
sometime,0.003028,2,26
complicate,0.002985,3,92
sweep,0.002942,2,49
boy,0.002942,2,44
ethical,0.002935,3,205
greed,0.002923,4,263
specific,0.002910,3,97
glass,0.002862,2,57
porch,0.002850,1,2
drinker,0.002850,1,2
ventana,0.002850,1,2
whisk,0.002850,1,2
distortion,0.002850,1,31
tangibles,0.002850,1,2
atthakavagga,0.002850,1,2
deceitful,0.002850,1,2
raga,0.002850,1,3
innocent,0.002824,2,45
equanimous,0.002788,2,75
star,0.002753,2,51
depend,0.002748,3,113
absorption,0.002685,2,46
crave,0.002683,3,285
night,0.002641,3,180
daylight,0.002632,1,3
tandem,0.002632,1,3
unveil,0.002632,1,3
stubborn,0.002632,1,6
lever,0.002632,1,3
unbidden,0.002632,1,3
succinct,0.002632,1,4
enchant,0.002632,1,3
offensive,0.002632,1,3
pleasant,0.002613,4,354
attitude,0.002577,4,304
hadn't,0.002562,2,50
tiny,0.002562,2,53
mindful,0.002507,4,286
hatred,0.002502,3,214
relationship,0.002478,6,522
nudge,0.002477,1,4
imprint,0.002477,1,5
analayo,0.002477,1,5
privacy,0.002477,1,5
stingy,0.002477,1,4
relish,0.002477,1,10
beyond,0.002465,3,188
orient,0.002428,3,223
forever,0.002426,2,73
road,0.002401,2,120
condition,0.002393,6,702
nikaya,0.002376,2,69
mysterious,0.002357,1,5
multifaceted,0.002357,1,6
pithy,0.002357,1,5
rocky,0.002357,1,6
scheme,0.002357,1,5
changeable,0.002357,1,5
confirm,0.002357,1,11
canyon,0.002357,1,15
simplification,0.002357,1,10
principle,0.002352,2,123
case,0.002340,3,178
online,0.002328,2,61
mention,0.002306,3,160
ear,0.002305,2,77
tail,0.002259,1,6
swell,0.002259,1,7
fever,0.002259,1,8
self-story,0.002259,1,10
cultivation,0.002217,2,110
instruction,0.002192,3,221
dozen,0.002176,1,12
annoyance,0.002176,1,12
ruler,0.002176,1,10
arrogance,0.002176,1,8
inspiration,0.002176,2,128
last,0.002154,8,553
describe,0.002115,4,289
constitute,0.002105,1,8
seclusion,0.002105,1,14
line,0.002101,3,230
