word,tfidf_score,talk_frequency,global_frequency
poem,0.061771,49,404
pure,0.021745,12,59
non-separation,0.021262,6,9
tao,0.021262,6,12
non-duality,0.017718,5,7
refuge,0.013778,9,171
separation,0.012721,6,39
brehm,0.011521,3,5
river,0.010626,8,351
awareness,0.009766,26,1263
poet,0.009549,5,49
separate,0.008989,8,144
poetry,0.008774,4,93
interpretive,0.008695,2,2
changeless,0.008695,2,2
wright,0.008695,2,2
john,0.007989,3,25
duality,0.007681,2,7
seamless,0.007681,2,3
formless,0.007681,2,5
mode,0.007639,4,53
lao,0.007087,2,6
tzu,0.007087,2,6
dualistic,0.007087,2,4
true,0.007032,11,416
sea,0.006580,3,27
name,0.006545,9,307
reality,0.006525,5,120
inadequate,0.006161,3,32
incredibly,0.006067,3,33
unchanging,0.005848,2,13
remind,0.005801,5,112
inevitably,0.005652,2,9
beyond,0.005487,5,186
glimpse,0.005326,2,17
jam,0.005326,2,14
bow,0.005303,3,51
reminder,0.005239,3,54
universe,0.005239,3,68
arbitrary,0.005186,2,13
statement,0.005178,3,60
subject,0.004946,3,109
richness,0.004834,2,18
savor,0.004834,2,20
line,0.004749,5,222
girl,0.004733,2,66
language,0.004645,5,186
sacred,0.004640,3,92
scar,0.004550,2,25
caution,0.004347,1,1
subject-verb-object,0.004347,1,1
demarcation,0.004347,1,1
falsify,0.004347,1,1
rupert,0.004347,1,1
spira,0.004347,1,1
diversity,0.004347,1,1
indivisible,0.004347,1,1
coextensive,0.004347,1,1
comedian,0.004347,1,1
pete,0.004347,1,1
holmes,0.004347,1,1
undying,0.004347,1,1
approximation,0.004347,1,1
stridently,0.004347,1,1
anam,0.004347,1,1
thubten,0.004347,1,1
intangible,0.004347,1,1
non-directed,0.004347,1,1
imaginatively,0.004347,1,1
bishop,0.004347,1,1
immodest,0.004347,1,1
baffle,0.004347,1,1
wallace,0.004347,1,1
stevens,0.004347,1,1
inescapable,0.004347,1,1
stafford,0.004347,1,1
rochester,0.004347,1,1
minnesota,0.004347,1,1
twilight,0.004347,1,1
pony,0.004347,1,1
willow,0.004347,1,1
barb,0.004347,1,1
graze,0.004347,1,1
tensely,0.004347,1,1
tuft,0.004347,1,1
slender,0.004347,1,1
nuzzle,0.004347,1,1
mane,0.004347,1,1
sonnet,0.004347,1,1
orpheus,0.004347,1,1
enter,0.004332,6,381
particularly,0.004329,3,87
toward,0.004093,3,153
resonate,0.004045,2,30
appreciative,0.003985,2,83
suspect,0.003985,2,39
grasp,0.003950,3,141
bulk,0.003840,1,2
incomplete,0.003840,1,2
convenience,0.003840,1,2
haiku,0.003840,1,2
defer,0.003840,1,2
advaita,0.003840,1,4
infant,0.003840,1,4
enchantment,0.003840,1,2
ruth,0.003840,1,2
anthology,0.003840,1,2
elizabeth,0.003840,1,2
historic,0.003840,1,2
gladly,0.003840,1,2
shyly,0.003840,1,2
swan,0.003840,1,2
munch,0.003840,1,3
caress,0.003840,1,2
devour,0.003840,1,4
fail,0.003768,2,50
impermanent,0.003671,2,58
dream,0.003671,2,55
strongly,0.003624,2,41
escape,0.003624,2,57
stability,0.003596,3,169
disruptive,0.003544,1,3
slippery,0.003544,1,3
te,0.003544,1,7
ching,0.003544,1,7
multiplicity,0.003544,1,4
astray,0.003544,1,3
unborn,0.003544,1,4
accelerate,0.003544,1,3
disruption,0.003544,1,3
odor,0.003544,1,14
conduit,0.003544,1,3
stanza,0.003544,1,3
naked,0.003544,1,4
pasture,0.003544,1,4
wilt,0.003544,1,3
enlighten,0.003535,2,49
intimacy,0.003535,2,44
demand,0.003493,2,45
boundary,0.003493,2,64
grammar,0.003333,1,4
nisargadatta,0.003333,1,8
maharaj,0.003333,1,4
upheaval,0.003333,1,4
william,0.003333,1,4
wrist,0.003333,1,4
meadow,0.003333,1,5
search,0.003226,2,70
eager,0.003170,1,5
turbulent,0.003170,1,7
non-dual,0.003170,1,6
ever-present,0.003170,1,6
delicate,0.003170,1,5
blossom,0.003170,1,5
rilke,0.003170,1,5
fate,0.003170,1,6
absolutely,0.003158,2,67
nature,0.003151,5,397
already,0.003146,4,259
bless,0.003093,2,119
knower,0.003037,1,9
categorize,0.003037,1,6
purely,0.003037,1,6
accurately,0.003037,1,8
vanish,0.003037,1,8
lucid,0.003037,1,23
rich,0.003031,2,67
inspiration,0.002942,2,126
coat,0.002924,1,8
interview,0.002924,1,9
highway,0.002924,1,7
wire,0.002924,1,8
distraction,0.002914,2,73
empty,0.002886,2,97
toss,0.002826,1,11
house,0.002805,2,119
distinction,0.002779,2,99
comprehend,0.002740,1,13
proceed,0.002740,1,10
unlike,0.002740,1,9
drug,0.002740,1,14
interestingly,0.002740,1,11
pointer,0.002740,1,9
darken,0.002740,1,10
hardly,0.002740,1,9
inadequacy,0.002663,1,13
entertainment,0.002663,1,14
faithful,0.002663,1,11
discussion,0.002656,2,90
ah,0.002610,2,125
temporary,0.002593,1,12
route,0.002593,1,13
enormously,0.002593,1,17
ice,0.002593,1,26
loneliness,0.002593,1,28
darkness,0.002593,1,14
didn't,0.002545,5,516
purity,0.002530,1,21
elaborate,0.002530,1,15
egoic,0.002530,1,17
breeze,0.002530,1,26
speak,0.002502,4,438
earth,0.002500,2,235
throughout,0.002500,2,99
read,0.002484,4,427
write,0.002481,3,241
easily,0.002479,2,100
distort,0.002471,1,27
guarantee,0.002471,1,18
precise,0.002471,1,19
instrument,0.002471,1,19
invisible,0.002471,1,17
immediacy,0.002471,1,15
comprehension,0.002471,1,34
trauma,0.002471,1,22
obsess,0.002471,1,16
step,0.002449,4,419
wind,0.002417,2,191
reify,0.002417,1,22
shoe,0.002417,1,31
mile,0.002417,1,16
black,0.002417,1,20
forehead,0.002417,1,22
bloom,0.002417,1,16
sister,0.002417,1,26
course,0.002388,7,696
barrier,0.002366,1,24
divine,0.002366,1,25
indian,0.002366,1,24
nourish,0.002359,2,127
ask,0.002357,5,679
pleasure,0.002343,3,719
response,0.002339,2,198
arm,0.002339,2,122
illusion,0.002319,1,31
evocative,0.002319,1,17
daughter,0.002319,1,33
stone,0.002319,1,25
method,0.002319,1,20
linger,0.002319,1,21
wet,0.002319,1,30
press,0.002319,1,27
tree,0.002284,2,203
capture,0.002275,1,21
infinite,0.002275,1,28
american,0.002275,1,21
whatsoever,0.002275,1,19
request,0.002275,1,26
grass,0.002275,1,42
frustrate,0.002233,1,20
job,0.002212,2,196
silence,0.002212,2,201
appearance,0.002193,1,49
bother,0.002193,1,33
brother,0.002193,1,38
exactly,0.002166,3,239
reliable,0.002156,1,33
fluid,0.002156,1,28
excitement,0.002156,1,33
shock,0.002156,1,26
young,0.002144,2,165
incredible,0.002120,1,27
won't,0.002095,2,136
contact,0.002095,2,225
structure,0.002086,1,29
typically,0.002086,1,38
possibly,0.002086,1,26
creative,0.002086,1,39
ripple,0.002086,1,32
verse,0.002054,1,78
inherently,0.002054,1,34
claim,0.002054,1,35
inhabit,0.002054,1,32
sometime,0.002054,1,25
grieve,0.002054,1,47
rather,0.002025,5,543
exhaust,0.002022,1,32
sake,0.001993,1,47
tibetan,0.001993,1,48
samsara,0.001993,1,42
mirror,0.001993,1,37
accessible,0.001993,1,34
bind,0.001993,1,39
old,0.001987,2,200
run,0.001987,2,153
source,0.001987,2,355
twice,0.001964,1,33
emphasize,0.001957,2,169
happily,0.001936,1,36
group,0.001928,2,249
image,0.001914,2,210
hear,0.001910,5,864
wild,0.001910,1,50
break,0.001886,2,195
spring,0.001884,1,39
share,0.001863,3,462
underlie,0.001859,1,66
length,0.001859,1,53
hundred,0.001859,1,37
gosh,0.001859,1,43
hide,0.001859,1,54
bear,0.001844,2,236
tell,0.001842,4,580
immediate,0.001835,1,47
presence,0.001831,2,216
white,0.001812,1,60
yet,0.001804,2,240
sentence,0.001790,1,44
meditator,0.001790,1,48
catch,0.001771,3,440
foundational,0.001768,1,49
ego,0.001768,1,81
lightness,0.001768,1,80
burden,0.001768,1,46
softly,0.001746,1,45
sort,0.001740,2,279
alive,0.001727,2,205
sustain,0.001726,1,141
truly,0.001726,1,43
skin,0.001726,1,62
refresh,0.001706,1,56
impulse,0.001706,1,66
object,0.001703,2,302
together,0.001699,8,1029
shift,0.001695,3,465
collapse,0.001686,1,54
forever,0.001686,1,68
happiness,0.001658,3,860
whose,0.001649,1,45
rush,0.001649,1,58
favorite,0.001649,1,58
tone,0.001649,1,101
stop,0.001646,3,474
quality,0.001633,3,625
opinion,0.001631,1,120
strike,0.001631,1,57
suddenly,0.001631,1,52
depth,0.001631,1,58
delight,0.001631,2,297
receive,0.001619,2,368
move,0.001615,5,640
consciousness,0.001613,1,139
medium,0.001613,1,82
mistake,0.001613,1,59
preference,0.001596,1,65
direct,0.001596,2,272
intimate,0.001579,1,58
engagement,0.001579,1,54
ear,0.001579,1,68
meditative,0.001563,1,76
change,0.001541,5,1441
lens,0.001531,1,70
dissolve,0.001531,1,83
apart,0.001515,1,77
age,0.001515,1,78
silent,0.001515,1,112
journey,0.001500,1,123
flower,0.001500,1,86
space,0.001493,3,712
ago,0.001486,2,268
god,0.001486,1,190
draw,0.001486,1,95
towards,0.001481,3,494
confuse,0.001457,1,69
rock,0.001457,1,83
painful,0.001457,1,102
perception,0.001443,1,208
grief,0.001443,1,137
awake,0.001429,1,82
curious,0.001429,1,94
form,0.001425,3,450
hate,0.001416,1,95
describe,0.001413,2,280
doe,0.001412,5,877
wonderful,0.001403,3,504
single,0.001403,1,87
realm,0.001403,1,185
current,0.001403,1,120
social,0.001390,1,124
spirit,0.001390,1,107
strange,0.001364,1,72
various,0.001352,1,91
acknowledge,0.001352,1,99
peace,0.001350,3,645
heal,0.001340,1,107
affect,0.001340,1,101
taste,0.001328,1,149
pas,0.001317,1,94
huge,0.001305,1,103
surprise,0.001305,1,90
voice,0.001305,1,113
safety,0.001294,1,118
similar,0.001282,1,83
forget,0.001282,1,94
rhythm,0.001282,1,111
pause,0.001282,1,197
quickly,0.001261,1,91
light,0.001260,2,468
hang,0.001239,1,101
hold,0.001233,5,1026
identify,0.001229,1,141
pass,0.001229,1,149
weight,0.001229,1,152
stillness,0.001219,1,181
metaphor,0.001209,1,151
join,0.001199,1,113
embody,0.001189,1,146
effect,0.001189,1,165
respond,0.001179,1,156
encourage,0.001179,1,122
appreciation,0.001179,1,209
somewhere,0.001179,1,104
content,0.001179,1,171
period,0.001170,1,113
air,0.001160,1,170
minute,0.001155,2,353
realize,0.001155,2,412
always,0.001152,4,742
cannot,0.001142,1,130
wonder,0.001142,1,144
wouldn't,0.001142,1,131
complete,0.001142,1,138
hurt,0.001142,1,138
another,0.001141,4,767
would,0.001140,10,2002
lose,0.001138,2,423
apply,0.001133,1,166
die,0.001133,1,217
probably,0.001130,2,351
recognition,0.001115,1,217
relationship,0.001113,2,498
year,0.001108,3,830
