word,tfidf_score,talk_frequency,global_frequency
sustain,0.057128,25,141
lightness,0.040294,17,74
nest,0.022972,7,58
beginner,0.016875,6,38
butterfly,0.016867,4,8
weight,0.016344,10,150
taut,0.013305,3,6
strain,0.013188,8,131
connect,0.012144,21,658
nectar,0.011270,3,11
muscle,0.010333,6,108
updraft,0.010227,2,3
breathe,0.010067,30,2454
flower,0.009917,5,86
metaphor,0.009641,6,146
tautness,0.008870,2,7
pause,0.008460,5,197
soar,0.007775,2,11
knead,0.007283,2,31
effortless,0.007077,2,35
awareness,0.007071,14,1247
ride,0.006775,3,67
cloth,0.006720,2,41
light,0.006703,8,462
massage,0.006403,3,98
stay,0.006176,14,814
samadhi,0.005952,7,1514
almost-metaphor,0.005791,1,1
32nd,0.005791,1,1
powder,0.005791,1,1
10-20,0.005791,1,1
land,0.005778,4,166
bird,0.005776,3,112
calmness,0.005720,2,39
bowl,0.005534,2,53
expectation,0.005506,3,106
sweetness,0.005133,2,90
sensation,0.005120,9,867
eyeball,0.005113,1,2
gingerly,0.005113,1,2
wave,0.004988,3,162
attention,0.004965,17,1261
relax,0.004904,13,1230
commitment,0.004801,2,56
willpower,0.004717,1,3
eyelid,0.004717,1,4
orient,0.004548,3,178
utilize,0.004435,1,4
bee,0.004435,1,4
moist,0.004435,1,4
gift,0.004333,3,147
preference,0.004269,2,63
self-referencing,0.004217,1,5
deliberateness,0.004217,1,20
ambitious,0.004217,1,5
locally,0.004217,1,5
pleasure,0.004206,4,697
imagination,0.004178,2,96
classic,0.004091,2,62
cycle,0.004007,2,77
however,0.003946,3,152
vicara,0.003887,1,15
enter,0.003797,4,375
capacity,0.003769,4,384
vitakka,0.003757,1,19
gracious,0.003757,1,8
fast,0.003706,2,96
spot,0.003671,2,116
curtain,0.003642,1,31
rub,0.003642,1,14
backwards,0.003538,1,12
polish,0.003538,1,12
curve,0.003445,1,12
float,0.003444,2,113
pleasant,0.003421,3,351
play,0.003395,3,271
torso,0.003384,2,116
stare,0.003282,1,15
propose,0.003282,1,15
secret,0.003209,1,18
b,0.003209,1,21
doer,0.003209,1,24
tension,0.003158,4,604
devotion,0.003142,1,37
room,0.003088,4,414
attentional,0.003079,1,47
socket,0.003079,1,18
flap,0.003079,1,25
eye,0.003030,7,617
apologize,0.003019,1,19
apply,0.003008,2,165
engage,0.002975,3,319
continuously,0.002963,1,26
almost,0.002952,6,558
rest,0.002952,6,550
neighborhood,0.002910,1,20
classically,0.002910,1,24
persist,0.002910,1,22
rid,0.002889,2,172
pleasantness,0.002860,1,42
without,0.002803,12,957
primary,0.002799,2,158
orientation,0.002777,2,192
settle,0.002774,8,1501
cozy,0.002767,1,35
aware,0.002734,4,590
automatic,0.002723,1,41
gentleness,0.002723,1,34
wing,0.002682,1,40
space,0.002650,4,704
tower,0.002642,1,43
review,0.002642,1,36
base,0.002630,2,212
approach,0.002610,2,275
cognitive,0.002604,1,52
plenty,0.002604,1,33
continuous,0.002604,1,53
interest,0.002548,4,504
ground,0.002513,2,218
lock,0.002497,1,71
effort,0.002475,2,330
softness,0.002463,1,37
outwards,0.002431,1,48
meditate,0.002371,4,497
lightly,0.002370,1,45
softly,0.002313,1,45
quick,0.002313,1,42
ability,0.002264,2,232
finger,0.002258,1,45
idea,0.002236,10,1586
begin,0.002217,12,1414
work,0.002196,8,1346
calm,0.002180,3,801
soft,0.002166,2,246
transform,0.002158,1,81
gently,0.002115,3,398
invaluable,0.002089,1,68
reaction,0.002067,1,92
distress,0.002067,1,86
hear,0.002056,4,844
organize,0.002045,1,153
anywhere,0.002045,1,62
carefully,0.002024,1,56
slight,0.002004,1,62
observe,0.001964,1,121
inspiration,0.001964,1,125
slightly,0.001944,1,65
soften,0.001926,3,544
confuse,0.001925,1,69
half,0.001888,1,97
reactivity,0.001888,1,146
home,0.001885,2,253
immediately,0.001853,1,76
hopefully,0.001835,1,81
habit,0.001802,1,114
root,0.001785,1,143
repeat,0.001785,1,81
art,0.001753,1,139
tense,0.001753,1,125
alternative,0.001722,1,108
measure,0.001722,1,89
throughout,0.001707,1,93
valuable,0.001707,1,93
rhythm,0.001707,1,110
background,0.001677,1,112
loving-kindness,0.001677,1,185
assume,0.001676,2,230
kindness,0.001676,2,538
nature,0.001663,2,395
share,0.001651,2,458
suggest,0.001649,1,87
sound,0.001615,2,489
whether,0.001615,2,305
night,0.001607,1,173
accept,0.001607,1,136
express,0.001593,1,144
next,0.001587,4,610
response,0.001580,1,194
air,0.001554,1,168
somewhere,0.001554,1,104
wherever,0.001554,1,101
wake,0.001541,1,121
help,0.001532,5,853
encounter,0.001529,1,112
wouldn't,0.001529,1,128
return,0.001521,2,270
arise,0.001509,4,1066
separate,0.001480,1,144
large,0.001433,1,139
enough,0.001417,4,733
start,0.001402,8,1491
allow,0.001383,7,1508
place,0.001377,8,1576
peaceful,0.001367,2,402
occur,0.001356,1,137
yesterday,0.001356,1,158
control,0.001336,1,267
happen,0.001322,11,2047
quiet,0.001315,2,622
operate,0.001305,1,256
ready,0.001285,1,177
whole,0.001240,4,1133
intention,0.001238,1,260
call,0.001235,5,1020
goodwill,0.001219,1,496
body,0.001219,13,3238
gather,0.001210,1,319
attitude,0.001201,1,290
mindful,0.001192,1,257
add,0.001192,1,288
force,0.001183,1,219
action,0.001183,1,320
outside,0.001166,1,195
pressure,0.001166,1,263
gentle,0.001157,1,257
slow,0.001149,1,162
appreciate,0.001138,2,568
object,0.001115,1,302
release,0.001099,1,296
simple,0.001091,2,704
you'll,0.001091,1,216
build,0.001091,1,234
open,0.001085,5,1195
look,0.001070,6,1416
present,0.001070,4,1195
deep,0.001069,5,1651
tomorrow,0.001067,1,180
receive,0.001059,1,368
love,0.001056,4,1737
difference,0.001044,1,226
especially,0.001029,1,203
belly,0.001014,1,266
water,0.001014,1,487
end,0.001009,8,1089
series,0.000999,1,248
important,0.000996,3,806
able,0.000993,2,610
fully,0.000992,1,288
may,0.000989,7,2171
hold,0.000985,3,1003
exactly,0.000977,1,230
either,0.000977,1,228
try,0.000972,5,1260
forward,0.000942,1,223
turn,0.000932,2,674
pull,0.000922,1,320
difficult,0.000908,1,325
guide,0.000908,4,876
push,0.000902,1,317
self,0.000902,1,1128
matter,0.000902,1,286
safe,0.000899,2,420
