word,tfidf_score,talk_frequency,global_frequency
solve,0.016730,14,77
helpful,0.014602,32,578
scan,0.012020,8,36
boredom,0.011323,6,20
problem,0.010036,17,294
clark,0.008422,8,298
diana,0.007666,8,353
harass,0.007534,3,6
paper,0.007512,5,32
harry,0.007086,3,6
entertain,0.006851,4,19
systematically,0.006739,3,7
figure,0.006632,10,219
keyboard,0.006162,2,2
bandwidth,0.006162,2,2
groove,0.006008,3,11
tax,0.005825,3,13
questioner,0.005716,5,242
entertainment,0.005661,3,14
song,0.005567,4,49
pen,0.005513,3,22
metta,0.005406,6,453
aspiration,0.005270,4,75
instead,0.004804,12,462
death,0.004584,5,167
relationship,0.004340,11,498
spin,0.004236,3,43
bore,0.004236,3,38
draw,0.004211,4,95
notice,0.004190,19,1217
type,0.004145,5,182
lead,0.004107,9,540
ponder,0.004006,2,14
research,0.004005,3,53
agitation,0.003868,4,107
discomfort,0.003799,4,133
dang,0.003774,2,17
commitment,0.003758,3,59
switch,0.003758,3,45
question,0.003647,11,845
drop,0.003646,6,275
lose,0.003630,9,423
briefly,0.003627,3,52
fuel,0.003429,3,91
medium,0.003429,3,82
zoom,0.003429,3,81
jump,0.003322,3,62
fascinate,0.003222,3,65
ever,0.003173,5,183
plan,0.003160,4,163
strategy,0.003109,2,31
pop,0.003109,2,26
meditate,0.003088,10,514
earworm,0.003081,1,1
old-fashioned,0.003081,1,1
bulleted,0.003081,1,1
margin,0.003081,1,1
confrontational,0.003081,1,1
infield,0.003081,1,1
pomegranate,0.003081,1,1
racket,0.003081,1,1
wide-open,0.003081,1,1
trojan,0.003081,1,1
fluffy,0.003081,1,1
slipper,0.003081,1,1
whilst,0.003081,1,1
demise,0.003081,1,1
calmness,0.003056,2,39
behind,0.002931,5,193
stuff,0.002924,4,185
unhelpful,0.002867,2,49
page,0.002824,2,31
irritation,0.002784,2,40
north,0.002784,2,35
somebody,0.002774,4,352
train,0.002733,4,306
housework,0.002721,1,2
thrash,0.002721,1,2
tennis,0.002721,1,2
lily,0.002721,1,3
biochemistry,0.002721,1,7
companion,0.002707,2,59
turn,0.002683,11,691
star,0.002670,2,47
phone,0.002635,2,62
gosh,0.002635,2,43
sound,0.002622,6,490
experiment,0.002568,2,49
hot,0.002568,2,62
escape,0.002568,2,57
cold,0.002536,2,53
didn't,0.002525,7,516
pressure,0.002520,4,263
decorate,0.002511,1,3
baseball,0.002511,1,4
quadrillion,0.002511,1,3
bazillion,0.002511,1,3
observer,0.002511,1,6
insubstantiality,0.002511,1,6
ecology,0.002511,1,3
throb,0.002511,1,5
often,0.002496,16,1090
wait,0.002466,4,225
door,0.002427,3,154
intentionally,0.002418,2,42
energy,0.002416,5,443
aren't,0.002408,3,135
label,0.002390,2,84
agree,0.002363,2,55
stuckness,0.002362,1,11
facility,0.002362,1,5
dollar,0.002362,1,4
knife,0.002362,1,7
cancer,0.002362,1,5
laboratory,0.002362,1,4
rhyme,0.002362,1,11
stab,0.002362,1,7
pinpoint,0.002362,1,4
rightly,0.002362,1,4
axle,0.002362,1,17
write,0.002344,4,241
ask,0.002339,7,679
tire,0.002337,2,82
interact,0.002311,2,55
ease,0.002298,6,551
rid,0.002297,3,176
dear,0.002286,2,126
thousand,0.002262,2,68
bodily,0.002262,2,102
incessant,0.002246,1,5
suit,0.002246,1,7
boil,0.002246,1,7
logically,0.002246,1,5
furniture,0.002246,1,5
imminent,0.002246,1,5
entire,0.002238,2,65
easeful,0.002238,2,69
subtle,0.002198,4,377
curiosity,0.002192,2,104
organize,0.002170,2,154
unsafe,0.002152,1,6
educational,0.002152,1,6
researcher,0.002152,1,11
mainstream,0.002152,1,10
co-worker,0.002152,1,7
confront,0.002152,1,7
weep,0.002152,1,6
confess,0.002152,1,10
bleed,0.002152,1,6
lab,0.002152,1,6
yard,0.002152,1,12
suck,0.002152,1,7
self-compassion,0.002152,1,15
stomach,0.002152,1,7
loosely,0.002152,1,6
head,0.002151,4,270
momentum,0.002148,2,87
struggle,0.002148,2,67
stick,0.002128,3,193
personally,0.002126,2,61
relaxation,0.002126,2,63
control,0.002112,3,279
next,0.002102,10,621
okay,0.002079,9,1161
hmm,0.002072,1,11
leak,0.002072,1,13
wrestle,0.002072,1,7
microphone,0.002072,1,20
coat,0.002072,1,8
distraction,0.002065,2,73
fun,0.002045,2,104
oppose,0.002026,2,87
obsessive,0.002003,1,13
phd,0.002003,1,14
cascade,0.002003,1,11
emotion,0.001989,4,388
fast,0.001988,2,96
spaciousness,0.001952,2,215
profession,0.001942,1,12
