word,tfidf_score,talk_frequency,global_frequency
upali,0.039319,16,20
dhamma,0.035826,27,129
discourse,0.025798,23,89
graduated,0.023274,12,24
laypeople,0.016986,10,24
preliminary,0.011331,5,7
layperson,0.010823,6,14
follower,0.010490,6,26
brief,0.010220,10,99
stream-entry,0.010127,5,14
jains,0.009830,4,5
virtue,0.009322,8,106
renunciation,0.009086,8,68
refuge,0.008812,9,170
suttas,0.008539,10,171
nigantha,0.008353,3,3
nataputta,0.008353,3,3
explained,0.007875,5,18
audience,0.007600,6,137
buddha,0.007541,43,1614
case,0.007465,11,167
degradation,0.007372,3,5
allegiance,0.007372,3,4
mark,0.007242,5,25
monastic,0.007076,7,107
person,0.006742,34,1004
householder,0.006615,4,18
dana,0.006615,4,28
subject,0.006342,6,108
gradual,0.006241,5,60
bodily,0.006200,6,100
implication,0.006160,4,24
debate,0.006160,4,40
confidence,0.006032,7,156
cessation,0.005908,4,46
heaven,0.005794,4,109
topic,0.005777,13,256
foundational,0.005679,5,47
aggregate,0.005600,3,21
enslaved,0.005568,2,2
jain,0.005568,2,2
noble,0.005330,7,263
text,0.005268,6,123
toward,0.005219,6,152
sensual,0.005167,5,104
action,0.005113,9,318
progressive,0.005096,3,20
pleasure,0.005040,10,693
literal,0.004921,4,33
spotless,0.004915,2,4
immaculate,0.004915,2,4
faith,0.004845,5,172
blessing,0.004787,4,68
potential,0.004747,5,81
class,0.004652,5,113
member,0.004607,5,170
special,0.004607,5,81
giving,0.004544,10,296
fairly,0.004543,4,44
higher,0.004487,4,92
defilement,0.004431,3,29
somebody,0.004426,7,318
understanding,0.004255,12,491
gave,0.004239,6,129
danger,0.004180,4,72
awakening,0.003945,6,283
teaching,0.003927,20,984
step-by-step,0.003879,2,9
poised,0.003879,2,8
saw,0.003735,6,182
elated,0.003734,2,12
hindrance,0.003685,4,197
truth,0.003662,7,487
meal,0.003640,3,41
recipient,0.003608,2,11
considered,0.003546,4,72
realm,0.003546,4,185
technical,0.003497,2,10
stock,0.003497,2,14
deva,0.003497,2,28
glimpse,0.003497,2,16
quality,0.003438,10,620
food,0.003421,5,189
various,0.003415,4,91
sudden,0.003407,3,62
sphere,0.003397,2,35
brahmin,0.003397,2,48
devoted,0.003397,2,13
several,0.003365,3,53
explaining,0.003307,2,13
prominent,0.003307,2,17
logical,0.003225,2,16
path,0.003216,9,795
simile,0.003171,3,123
retreat,0.003157,7,386
overly,0.003150,2,19
ready,0.003089,5,175
leader,0.003080,2,62
knew,0.003072,4,105
tradition,0.003070,6,325
receptive,0.003066,3,81
vision,0.003066,3,178
mental,0.002958,6,342
awaken,0.002954,2,26
confident,0.002954,2,23
condition,0.002909,7,519
sila,0.002843,2,42
realization,0.002792,2,37
chose,0.002792,2,21
impermanence,0.002791,3,144
anupubba,0.002784,1,1
delivered,0.002784,1,1
four-hour-long,0.002784,1,1
declares,0.002784,1,1
leper,0.002784,1,1
upali's,0.002784,1,1
indicative,0.002784,1,1
encapsulate,0.002784,1,1
expounds,0.002784,1,1
labeled,0.002784,1,1
non-intoxication,0.002784,1,1
hawaii,0.002784,1,1
frenetic,0.002784,1,1
intrepidity,0.002784,1,1
dustless,0.002784,1,1
stainless,0.002784,1,1
deduction,0.002784,1,1
reverential,0.002784,1,1
irrevocably,0.002784,1,1
upalis,0.002784,1,1
mahavira,0.002784,1,1
hilariously,0.002784,1,1
eulogy,0.002784,1,1
buoyed,0.002784,1,1
acquires,0.002784,1,1
clearer,0.002744,2,25
result,0.002737,3,96
drive,0.002711,3,85
essentially,0.002698,2,26
origin,0.002654,2,31
list,0.002651,4,262
he's,0.002651,4,305
example,0.002618,7,367
limited,0.002612,2,41
bunch,0.002572,2,27
frame,0.002572,2,30
excited,0.002496,2,38
cease,0.002496,2,43
change,0.002471,9,932
sangha,0.002470,3,231
sankhara,0.002457,1,2
mitigates,0.002457,1,2
wayne,0.002457,1,2
beneficiary,0.002457,1,2
successive,0.002457,1,2
varies,0.002457,1,2
marginal,0.002457,1,2
intrigued,0.002457,1,2
expounded,0.002457,1,2
sanghas,0.002457,1,2
elite,0.002457,1,2
accidental,0.002457,1,2
well-directed,0.002457,1,2
churning,0.002457,1,3
downer,0.002457,1,2
revive,0.002457,1,2
ordaining,0.002457,1,2
afterward,0.002457,1,2
fathomed,0.002457,1,2
dispensation,0.002457,1,2
compacted,0.002457,1,2
compact,0.002457,1,2
unentangled,0.002457,1,4
moggallana,0.002457,1,2
asserts,0.002457,1,2
defiled,0.002457,1,2
precede,0.002457,1,2
supernormal,0.002457,1,4
alliance,0.002457,1,2
declared,0.002457,1,2
ramification,0.002457,1,2
convenience,0.002457,1,2
conversion,0.002457,1,7
guess,0.002448,3,114
everyday,0.002426,2,38
unique,0.002426,2,42
based,0.002385,3,136
store,0.002361,2,49
although,0.002330,2,43
enlightened,0.002330,2,45
ongoing,0.002330,2,40
mentioned,0.002304,3,107
uncontrollability,0.002266,1,3
excessively,0.002266,1,3
diagram,0.002266,1,4
chart,0.002266,1,3
indication,0.002266,1,3
strung,0.002266,1,3
reproduce,0.002266,1,3
householder's,0.002266,1,3
evenly,0.002266,1,3
perplexity,0.002266,1,6
disadvantage,0.002266,1,3
summarized,0.002266,1,3
referenced,0.002266,1,3
setup,0.002266,1,3
penetrates,0.002266,1,3
penetration,0.002266,1,5
fourth,0.002265,3,153
careful,0.002265,3,120
read,0.002238,5,311
interpretation,0.002189,2,55
pointed,0.002189,2,52
built,0.002164,2,48
expression,0.002155,3,123
though,0.002141,5,233
main,0.002138,2,59
eat,0.002138,2,68
aimed,0.002131,1,6
encapsulated,0.002131,1,5
embark,0.002131,1,5
precedes,0.002131,1,4
formula,0.002131,1,4
formulaic,0.002131,1,4
occupied,0.002131,1,4
ordain,0.002131,1,5
dye,0.002131,1,4
listens,0.002131,1,4
assembly,0.002131,1,6
convert,0.002131,1,5
condensed,0.002131,1,5
train,0.002090,2,64
unless,0.002067,2,54
terminology,0.002025,1,5
encapsulates,0.002025,1,6
guaranteed,0.002025,1,7
painting,0.002025,1,6
logically,0.002025,1,5
eternal,0.002025,1,6
speculation,0.002025,1,6
well-known,0.002025,1,5
consequential,0.002025,1,5
eager,0.002025,1,5
wisdom,0.002017,5,536
went,0.002001,4,295
highlight,0.002000,2,70
dependent,0.001979,2,84
supposed,0.001972,3,137
form,0.001953,6,405
interesting,0.001943,4,278
sounding,0.001939,1,6
winding,0.001939,1,6
lecture,0.001939,1,7
exceptional,0.001939,1,6
brand,0.001939,1,8
assertion,0.001939,1,7
specialized,0.001939,1,6
carefully,0.001938,2,56
underneath,0.001938,2,86
line,0.001927,3,206
general,0.001912,3,165
yeah,0.001900,4,767
powerful,0.001897,3,146
looked,0.001880,2,86
die,0.001880,2,107
acquired,0.001867,1,10
acted,0.001867,1,7
appealing,0.001867,1,9
cosmos,0.001867,1,18
unpacked,0.001867,1,9
nod,0.001867,1,7
laughter,0.001861,2,73
version,0.001843,2,96
versus,0.001843,2,87
give,0.001842,12,811
far,0.001825,3,220
single,0.001825,2,84
supporting,0.001825,2,88
shift,0.001817,4,298
recap,0.001804,1,9
bearing,0.001804,1,9
misconduct,0.001804,1,18
cosmology,0.001804,1,23
teacher's,0.001804,1,10
expanded,0.001804,1,8
trajectory,0.001804,1,12
common,0.001797,3,164
immediately,0.001773,2,76
actually,0.001769,13,1065
stage,0.001756,2,125
say,0.001754,35,2787
progression,0.001748,1,11
pursuit,0.001748,1,17
