word,tfidf_score,talk_frequency,global_frequency
onward,0.082846,26,57
lead,0.020477,24,538
faith,0.017795,9,180
momentum,0.015977,8,87
samadhi,0.015358,18,1516
confidence,0.010690,6,159
fade,0.010630,5,64
desire,0.010313,12,743
willfully,0.010129,2,3
yes,0.009590,11,396
wane,0.009347,2,9
slide,0.009320,4,81
muscle,0.008522,5,109
concentration,0.008407,6,227
willful,0.008360,2,6
approach,0.007790,6,276
nature,0.007460,9,397
entirety,0.007453,2,9
healthy,0.007405,7,291
brace,0.007226,2,11
static,0.007226,2,11
subtle,0.007144,7,377
system,0.007075,6,299
override,0.006838,2,20
peak,0.006670,2,20
control,0.006541,5,279
heighten,0.006516,2,21
gravity,0.006448,3,52
movement,0.006206,9,455
belly,0.006124,6,266
sensitivity,0.006052,3,95
gather,0.005983,5,330
breathe,0.005873,18,2491
harmonious,0.005783,2,23
35th,0.005734,1,1
stage,0.005394,3,127
rightness,0.005332,2,32
concentrate,0.005069,3,122
mind-body,0.005065,1,2
usual,0.005026,3,109
trust,0.004893,4,277
fully,0.004819,5,297
pull,0.004518,5,326
collapse,0.004445,2,54
soften,0.004439,7,549
lifetime,0.004252,2,72
unification,0.004162,2,99
attention,0.004079,14,1271
semblance,0.004004,1,7
complaint,0.004004,1,7
count,0.003994,2,311
align,0.003954,2,83
quiet,0.003894,6,633
brush,0.003855,1,13
forward,0.003773,4,224
relax,0.003738,10,1244
scream,0.003727,1,9
tug,0.003727,1,9
groove,0.003727,1,11
gracious,0.003727,1,8
emotion,0.003693,4,388
vary,0.003613,1,11
saddha,0.003613,1,25
daylong,0.003613,1,12
absorb,0.003596,2,131
activity,0.003538,4,448
society,0.003531,2,135
self,0.003512,4,1140
willfulness,0.003511,1,15
thigh,0.003511,1,10
shoulder,0.003486,3,211
tense,0.003469,2,127
simplistic,0.003419,1,11
stroke,0.003419,1,19
button,0.003419,1,11
quietly,0.003294,2,96
straighten,0.003258,1,16
join,0.003159,2,113
biological,0.003120,1,35
kick,0.003058,1,19
socket,0.002999,1,19
request,0.002999,1,26
move,0.002966,7,640
disappoint,0.002944,1,25
appear,0.002891,2,133
trip,0.002842,1,31
register,0.002842,1,35
natural,0.002830,3,343
place,0.002820,17,1591
someplace,0.002795,1,27
profound,0.002759,2,212
friday,0.002750,1,29
support,0.002749,7,955
chest,0.002738,2,144
push,0.002711,3,318
incline,0.002666,1,32
regret,0.002627,1,37
subtleness,0.002627,1,33
standard,0.002627,1,30
skilled,0.002627,1,33
necessarily,0.002616,2,149
relate,0.002615,3,331
operate,0.002597,2,257
irritation,0.002589,1,40
tower,0.002589,1,44
present,0.002576,10,1235
vacation,0.002517,1,53
territory,0.002483,1,31
almost,0.002444,5,562
rest,0.002423,5,558
stressful,0.002419,1,50
mindfulness,0.002402,5,983
absorption,0.002388,1,45
switch,0.002330,1,45
softly,0.002302,1,45
demand,0.002302,1,45
mindful,0.002291,2,273
deep,0.002265,11,1699
greet,0.002248,1,71
degree,0.002241,2,230
sensation,0.002235,4,884
forever,0.002223,1,68
ride,0.002223,1,75
release,0.002209,2,296
stay,0.002178,5,821
soft,0.002178,2,246
build,0.002178,2,236
strong,0.002148,3,451
intentional,0.002126,1,58
zoom,0.002126,1,81
attentive,0.002103,1,52
online,0.002103,1,58
anywhere,0.002038,1,62
final,0.002038,1,70
fight,0.002038,1,103
certainly,0.002027,2,211
series,0.002012,2,248
normal,0.002012,2,183
face,0.001942,2,251
growth,0.001939,1,76
participate,0.001939,1,118
enter,0.001914,2,375
awake,0.001901,1,81
stream,0.001901,1,109
particularly,0.001901,1,87
retreat,0.001887,2,393
develop,0.001807,2,364
partly,0.001798,1,86
detail,0.001782,1,106
deepen,0.001766,1,88
highlight,0.001766,1,103
strength,0.001750,1,99
belong,0.001750,1,105
role,0.001735,1,122
everywhere,0.001719,1,99
art,0.001719,1,144
similar,0.001704,1,82
continue,0.001690,3,422
alternative,0.001675,1,118
wave,0.001661,1,162
appreciate,0.001649,3,588
mostly,0.001647,1,100
memory,0.001647,1,149
beauty,0.001633,1,167
circle,0.001633,1,152
expect,0.001619,1,102
soon,0.001619,1,140
pass,0.001619,1,149
strain,0.001606,1,134
crave,0.001579,1,276
express,0.001579,1,145
catch,0.001564,2,435
encounter,0.001516,1,115
supportive,0.001516,1,133
tight,0.001504,1,138
body,0.001492,16,3278
plan,0.001468,1,163
start,0.001424,8,1521
unfold,0.001423,1,170
worry,0.001423,1,155
ease,0.001421,2,551
amaze,0.001412,1,146
posture,0.001404,3,608
appropriate,0.001390,1,172
gently,0.001390,2,406
top,0.001380,1,180
primary,0.001359,1,163
grow,0.001359,2,503
peaceful,0.001328,2,410
part,0.001322,12,1616
equanimity,0.001318,1,460
ordinary,0.001298,1,191
respect,0.001279,1,232
high,0.001269,1,243
eye,0.001259,3,634
hand,0.001239,2,491
interest,0.001229,2,521
bear,0.001223,1,235
effort,0.001223,1,333
purpose,0.001214,1,278
presence,0.001205,1,216
suppose,0.001197,1,175
within,0.001191,2,532
next,0.001178,3,620
term,0.001171,1,265
pressure,0.001171,1,263
wide,0.001154,1,258
wait,0.001154,1,223
emotional,0.001154,1,226
slow,0.001145,1,164
pleasant,0.001145,1,351
pali,0.001145,1,228
always,0.001144,3,741
number,0.001137,1,218
recognize,0.001136,2,667
gentle,0.001129,1,267
side,0.001121,1,276
learn,0.001099,3,777
ability,0.001097,1,240
middle,0.001050,1,214
translate,0.001043,1,256
mental,0.001021,1,347
completely,0.001006,1,251
awareness,0.000986,2,1263
want,0.000985,15,3032
important,0.000979,3,822
wrong,0.000971,1,333
stand,0.000964,1,280
wise,0.000957,1,454
aspect,0.000950,1,271
describe,0.000937,1,277
well-being,0.000930,1,572
happen,0.000927,8,2092
usually,0.000923,1,240
experience,0.000915,9,3116
point,0.000913,4,1143
care,0.000905,3,1612
topic,0.000897,1,264
useful,0.000878,1,281
though,0.000878,1,241
far,0.000866,1,361
goodness,0.000859,1,479
helpful,0.000853,1,577
fronsdal,0.000847,1,287
you've,0.000841,1,355
together,0.000833,3,1029
