word,tfidf_score,talk_frequency,global_frequency
scatter,0.031489,11,38
unification,0.022805,13,95
gather,0.018099,18,319
gravitational,0.014014,4,8
trampoline,0.014014,4,24
subtle,0.013777,16,372
expansive,0.013616,7,63
movement,0.013265,23,450
motion,0.012091,5,33
organize,0.011896,7,153
towards,0.009987,18,480
pull,0.009958,13,320
chaotic,0.009365,3,14
everything,0.008486,26,881
wholeness,0.008158,5,147
elbow,0.008000,3,32
together,0.007983,35,1021
nicely,0.007674,3,24
harmony,0.007334,4,115
samadhi,0.007065,10,1514
fisted,0.007007,2,11
ball,0.006897,3,39
circle,0.006790,5,152
unify,0.006728,4,90
settleness,0.006711,2,11
desire,0.006501,9,739
anxious,0.006490,3,35
preoccupation,0.006147,5,205
relax,0.005955,19,1230
heighten,0.005454,2,21
middle,0.005281,6,212
settle,0.005186,18,1501
inconstant,0.005116,2,34
orient,0.005039,4,178
restless,0.005017,2,28
hum,0.004924,2,27
decentered,0.004812,1,1
disjoint,0.004812,1,1
well-tuned,0.004812,1,1
well-centered,0.004812,1,1
outermost,0.004812,1,1
pinch,0.004812,1,1
emanate,0.004812,1,1
neediness,0.004812,1,1
mahita,0.004812,1,1
desire-driven,0.004812,1,1
7-day,0.004812,1,1
sesshin,0.004812,1,1
connect,0.004805,10,658
toward,0.004533,3,152
change,0.004501,13,1414
fragment,0.004390,2,40
review,0.004390,2,36
whole,0.004378,17,1133
inconstancy,0.004326,2,74
mill,0.004249,1,2
scrunch,0.004249,1,2
nothing,0.004201,8,464
impermanent,0.004040,2,58
shoulder,0.003933,4,207
wide,0.003904,4,254
sensation,0.003781,8,867
collect,0.003709,2,69
erect,0.003685,1,4
odds,0.003685,1,5
insistent,0.003685,1,4
gravity,0.003626,2,51
calm,0.003623,6,801
receptive,0.003547,2,81
disconnect,0.003547,2,86
willful,0.003504,1,6
needy,0.003504,1,5
hallmark,0.003504,1,6
psychological,0.003471,2,70
jhana,0.003471,2,275
constant,0.003399,2,70
belly,0.003369,4,266
momentum,0.003364,2,85
acute,0.003355,1,7
oppose,0.003330,2,78
weigh,0.003230,1,8
predominant,0.003230,1,11
excessive,0.003230,1,8
simple,0.003173,7,704
fit,0.003168,2,83
engine,0.003122,1,8
smoothly,0.003122,1,10
backward,0.003122,1,8
zen,0.003108,2,136
emotion,0.003086,4,385
breathe,0.003067,11,2454
widen,0.003026,1,17
forceful,0.003026,1,9
skull,0.002940,1,19
tendency,0.002913,2,105
random,0.002863,1,12
downward,0.002863,1,12
muscle,0.002862,2,108
decide,0.002837,2,123
aversion,0.002821,3,482
weight,0.002716,2,150
cheek,0.002667,1,22
psychophysical,0.002667,1,16
hand,0.002646,5,474
direction,0.002546,3,241
emphasis,0.002540,2,114
tight,0.002540,2,134
awareness,0.002518,6,1247
organization,0.002509,1,23
fist,0.002509,1,54
instead,0.002509,4,440
meditate,0.002462,5,497
condition,0.002397,4,676
worry,0.002381,2,154
crowd,0.002377,1,30
zero,0.002377,1,28
distinct,0.002377,1,24
enter,0.002366,3,375
open,0.002344,13,1195
chance,0.002326,2,150
orientation,0.002307,2,192
essence,0.002263,1,46
subtleness,0.002195,1,33
approach,0.002169,2,275
shake,0.002163,1,33
existence,0.002163,1,46
grip,0.002163,1,50
activation,0.002133,1,44
outward,0.002133,1,36
oneself,0.002104,2,177
wheel,0.002103,1,62
spine,0.002103,1,46
vacation,0.002103,1,53
move,0.002097,6,632
aspiration,0.002074,1,73
roll,0.002047,1,40
hop,0.002047,1,37
almost,0.002044,5,558
divide,0.002020,1,55
inward,0.002020,1,44
physical,0.002011,2,208
physically,0.001994,1,44
absorption,0.001994,1,45
system,0.001981,2,295
emotional,0.001923,2,225
ring,0.001922,1,65
skin,0.001922,1,61
jaw,0.001876,1,48
inherent,0.001876,1,62
seem,0.001875,4,478
continue,0.001875,4,417
search,0.001834,1,66
activate,0.001834,1,86
fullness,0.001834,1,59
healthy,0.001813,2,267
soft,0.001800,2,246
lifetime,0.001793,1,71
intimate,0.001754,1,57
difference,0.001735,2,226
cut,0.001717,1,58
meditative,0.001717,1,76
fight,0.001699,1,103
sensitivity,0.001682,1,95
finish,0.001682,1,64
beneficial,0.001665,1,92
lean,0.001648,1,80
stand,0.001636,2,273
rest,0.001635,4,550
participate,0.001632,1,117
anyway,0.001616,1,71
work,0.001597,7,1346
bell,0.001584,1,110
influence,0.001569,1,86
anxiety,0.001569,1,92
retreat,0.001566,2,389
kid,0.001539,1,104
distinction,0.001539,1,96
buddhism,0.001532,2,515
partly,0.001525,1,83
certain,0.001521,4,610
agitation,0.001511,1,106
pattern,0.001511,1,130
push,0.001499,2,317
disappear,0.001497,1,125
energy,0.001488,2,441
belong,0.001483,1,103
contribute,0.001470,1,99
heal,0.001470,1,107
discussion,0.001457,1,90
set,0.001455,2,310
leave,0.001453,3,469
far,0.001445,2,355
phenomenon,0.001444,1,104
preoccupy,0.001444,1,119
week,0.001441,5,710
eye,0.001439,4,617
onto,0.001418,1,95
forget,0.001406,1,94
