word,tfidf_score,talk_frequency,global_frequency
chaplaincy,0.028601,20,176
serve,0.023128,25,110
alignment,0.016816,11,32
susan,0.016115,8,15
triangle,0.016115,8,14
spiritual,0.015658,30,573
diamond,0.012846,7,14
chaplain,0.012537,8,131
prison,0.011212,8,62
aspiration,0.010112,9,75
matrix,0.010072,5,8
courage,0.009495,8,89
bodhisattva,0.009403,6,21
prayer,0.009279,7,52
boundary,0.008444,8,64
pour,0.008409,6,25
pastoral,0.008057,4,9
client,0.008057,4,9
guilt,0.008057,4,8
fishbowl,0.007882,3,3
fluff,0.007882,3,3
magnify,0.007663,4,14
pillow,0.007663,4,13
restorative,0.006962,3,4
hospital,0.006874,5,44
mother,0.006824,7,96
energetic,0.006628,5,29
ripen,0.006623,4,15
visualization,0.006425,3,9
seminary,0.006425,3,7
forge,0.006425,3,5
quit,0.006425,3,5
awaken,0.006359,13,432
protection,0.006205,5,34
deer,0.006115,4,135
boy,0.005934,5,44
spirit,0.005879,7,107
professional,0.005842,4,26
cpe,0.005747,3,32
continuum,0.005747,3,7
role,0.005521,7,123
light,0.005331,14,468
literacy,0.005254,2,2
supervisor,0.005254,2,2
intersect,0.005254,2,2
bookend,0.005254,2,2
hamster,0.005254,2,2
inmate,0.005254,2,2
realization,0.005211,4,40
clinical,0.005124,3,29
merge,0.005124,3,10
noble,0.004989,7,268
row,0.004968,3,13
profession,0.004968,3,12
grieve,0.004964,4,47
bowl,0.004964,4,56
mom,0.004828,3,16
rare,0.004701,3,14
death,0.004691,6,167
shannon,0.004642,2,4
incarcerate,0.004642,2,7
tapestry,0.004642,2,3
mindstream,0.004642,2,3
ditch,0.004642,2,4
quality,0.004607,14,625
disconnection,0.004586,3,20
guidance,0.004554,4,40
dedication,0.004554,4,42
earth,0.004532,6,235
trauma,0.004480,3,22
program,0.004380,4,103
path,0.004341,13,849
resonance,0.004290,3,22
quentin,0.004283,2,5
funnel,0.004283,2,4
interconnectedness,0.004283,2,5
shouldn'ts,0.004283,2,4
vicarious,0.004283,2,4
vow,0.004205,3,30
shoulds,0.004029,2,6
vessel,0.004029,2,9
provider,0.004029,2,15
beat,0.003909,3,42
sati,0.003899,4,94
sangha,0.003842,5,237
