word,tfidf_score,talk_frequency,global_frequency
patience,0.052047,49,331
khanti,0.029916,12,13
tire,0.018256,17,82
wholesome,0.013469,22,390
healthy,0.013310,26,298
unpleasing,0.012465,5,6
flat,0.012214,9,36
endure,0.011509,7,26
earth,0.010603,13,235
unhealthy,0.009352,7,35
beautiful,0.008969,25,564
questioner,0.008406,8,242
stain,0.008236,4,12
insult,0.007598,4,12
stressful,0.006990,6,53
hostility,0.006515,6,81
who've,0.006483,5,33
anxiety,0.006401,7,99
encyclopedia,0.005643,2,2
aaa,0.005643,2,2
toughing,0.005643,2,2
protest,0.005516,4,31
association,0.005254,5,64
unwholesome,0.005198,6,182
persistence,0.005192,3,22
vitality,0.004971,4,54
clean,0.004773,6,148
constantly,0.004748,5,94
truth,0.004706,9,532
succumb,0.004602,2,8
perfection,0.004524,3,30
india,0.004495,4,81
fronsdal,0.004492,11,298
hour,0.004446,7,200
tribe,0.004329,2,6
demonstrate,0.004207,3,30
you'll,0.004154,8,231
gil,0.004101,14,442
engagement,0.004072,4,55
difficult,0.003973,9,331
buddhist,0.003957,16,856
exhaust,0.003948,3,32
buddhism,0.003945,9,543
reactivity,0.003692,4,147
divisiveness,0.003673,2,10
resistance,0.003658,4,123
energy,0.003582,8,443
sanskrit,0.003561,2,10
empathic,0.003561,2,15
pursuit,0.003461,2,18
diminish,0.003411,3,62
catch,0.003397,9,464
question,0.003323,11,863
besides,0.003288,2,15
cloth,0.003288,2,41
disorient,0.003288,2,19
context,0.003199,5,194
angry,0.003156,4,181
consequence,0.003119,3,63
indian,0.003077,2,24
disappointment,0.003077,2,20
application,0.003077,2,18
sign,0.003054,3,89
already,0.003050,6,261
ourself,0.003016,2,21
english,0.003006,4,125
whole,0.002974,20,1210
apply,0.002959,4,166
vantage,0.002958,2,23
data,0.002958,2,48
blind,0.002853,2,28
increase,0.002822,3,92
ksanti,0.002821,1,1
etymological,0.002821,1,1
ksam,0.002821,1,1
feces,0.002821,1,1
pu,0.002821,1,1
largess,0.002821,1,1
earthlike,0.002821,1,1
de-nourishes,0.002821,1,1
bleach,0.002821,1,1
worked-up,0.002821,1,1
stiffen,0.002821,1,1
barrel,0.002821,1,1
recreational,0.002821,1,1
wholesomeness,0.002804,2,31
frighten,0.002804,2,30
answer,0.002787,5,254
house,0.002743,3,119
sooner,0.002714,2,25
ability,0.002709,5,243
meditate,0.002555,9,518
root,0.002554,3,148
address,0.002532,3,125
stable,0.002510,3,109
ready,0.002503,4,183
pati,0.002493,1,3
acrobat,0.002493,1,12
unclean,0.002493,1,3
four-letter,0.002493,1,2
exhaustion,0.002493,1,2
what'll,0.002493,1,2
behaviorally,0.002493,1,2
grimace,0.002493,1,2
garage,0.002493,1,2
loving-kindness,0.002468,3,186
wisdom,0.002450,6,548
guess,0.002447,3,122
react,0.002447,3,100
impact,0.002426,3,132
integrate,0.002420,2,63
stress,0.002413,4,303
soon,0.002367,3,144
white,0.002359,2,60
effect,0.002328,3,165
suppose,0.002328,4,179
non-harming,0.002302,2,72
urine,0.002301,1,3
repel,0.002301,1,3
flurry,0.002301,1,3
spare,0.002301,1,3
persevere,0.002301,1,5
offensive,0.002301,1,3
repertoire,0.002301,1,3
redefine,0.002301,1,4
steel,0.002301,1,5
respond,0.002291,3,158
trigger,0.002274,2,45
person,0.002268,12,1121
home,0.002255,5,262
block,0.002222,2,70
instead,0.002216,6,463
park,0.002172,2,57
indic,0.002165,1,4
spit,0.002165,1,8
selective,0.002165,1,5
perseverance,0.002165,1,6
steadily,0.002165,1,8
formula,0.002165,1,4
activity,0.002161,5,455
honest,0.002148,2,70
opposite,0.002134,3,129
generous,0.002124,2,93
medium,0.002102,2,82
monastery,0.002102,2,113
full,0.002090,6,346
upset,0.002079,2,53
hold,0.002066,13,1031
everything,0.002059,11,910
assertiveness,0.002059,1,6
lawyer,0.002059,1,5
friendly,0.002057,2,122
work,0.002032,15,1379
read,0.002013,5,430
list,0.002007,3,270
sacred,0.001995,2,93
chance,0.001992,3,160
greed,0.001977,3,251
sensitivity,0.001975,2,96
etymology,0.001973,1,6
unwholesomeness,0.001973,1,8
selectivity,0.001973,1,10
um,0.001973,1,8
neurotic,0.001973,1,6
yard,0.001973,1,12
reflect,0.001963,3,202
slight,0.001955,2,63
space,0.001941,6,715
track,0.001936,2,94
news,0.001918,2,77
behavior,0.001918,2,82
wonderfully,0.001900,1,7
acute,0.001900,1,8
tiredness,0.001900,1,9
condone,0.001900,1,8
unsatisfactory,0.001900,1,31
observe,0.001899,2,123
imc,0.001891,3,176
minute,0.001860,5,359
book,0.001850,3,260
cool,0.001846,2,108
stream,0.001846,2,111
ask,0.001841,6,699
oil,0.001836,1,8
desperately,0.001836,1,8
remain,0.001829,2,86
change,0.001818,9,1444
fast,0.001812,2,97
spaciousness,0.001796,2,215
partial,0.001780,1,14
wealthy,0.001780,1,12
card,0.001780,1,19
netflix,0.001780,1,12
offend,0.001780,1,10
constancy,0.001780,1,14
animosity,0.001780,1,13
develop,0.001778,4,367
family,0.001758,3,272
early,0.001741,4,292
car,0.001733,2,143
latin,0.001731,1,11
fish,0.001731,1,26
oftentimes,0.001731,1,14
adventure,0.001731,1,11
river,0.001717,2,368
phenomenon,0.001702,2,105
ah,0.001688,2,126
division,0.001685,1,17
temporary,0.001685,1,12
gentle,0.001684,3,267
helpful,0.001681,4,579
true,0.001669,4,418
choice,0.001659,2,150
inspire,0.001649,3,242
decide,0.001645,2,128
metta,0.001645,2,456
ugly,0.001644,1,16
joke,0.001644,1,15
learn,0.001636,9,795
beauty,0.001618,2,167
month,0.001618,2,116
fill,0.001614,3,239
scatter,0.001606,1,42
disgust,0.001606,1,29
challenge,0.001591,3,309
precede,0.001571,1,20
admit,0.001571,1,19
yell,0.001571,1,18
presentation,0.001571,1,17
office,0.001571,1,21
night,0.001552,2,176
nourish,0.001540,2,127
attend,0.001540,2,132
boom,0.001539,1,15
excuse,0.001539,1,20
angle,0.001539,1,15
especially,0.001536,3,206
rise,0.001527,2,134
live,0.001521,10,1210
translate,0.001514,3,263
difference,0.001514,3,235
wonderful,0.001510,5,512
paramis,0.001508,1,23
garden,0.001508,1,22
