word,tfidf_score,talk_frequency,global_frequency
subjective,0.075615,23,74
objectify,0.041206,10,16
sensual,0.026952,13,108
approach,0.020477,16,276
well-being,0.018334,20,572
reorientation,0.012999,3,11
nest,0.012846,4,58
stage,0.012406,7,127
shift,0.010253,14,465
pleasure,0.010206,10,717
aside,0.008781,5,112
finger,0.008665,4,47
samadhi,0.008410,10,1516
sensation,0.007711,14,884
tower,0.007656,3,44
wholesome,0.007343,6,389
hot,0.007063,3,62
drink,0.006807,3,63
desire,0.006777,8,743
lake,0.006498,3,132
occur,0.006496,5,142
subject,0.006426,3,109
depth,0.006426,3,54
subtle,0.006036,6,377
press,0.006028,2,27
delightful,0.006027,3,62
goodness,0.005930,7,479
pressure,0.005770,5,263
five-year,0.005652,1,1
love-making,0.005652,1,1
hindrance,0.005623,3,198
aversion,0.005524,5,484
relief,0.005517,3,105
breathe,0.005468,17,2491
contentment,0.005317,3,294
orientation,0.005276,4,200
exhaust,0.005256,2,32
however,0.005197,4,152
sweetness,0.005032,2,90
firmness,0.004992,1,2
wordplay,0.004992,1,2
usual,0.004954,3,109
cold,0.004650,2,53
anniversary,0.004607,1,3
penultimate,0.004607,1,4
avert,0.004607,1,3
linguistically,0.004607,1,3
switch,0.004593,2,45
pleasant,0.004516,4,351
dough,0.004333,1,6
spread,0.004241,3,238
at-homeness,0.004121,1,5
enamor,0.004121,1,7
daydream,0.004121,1,5
entire,0.004103,2,65
resistant,0.003947,1,10
control,0.003868,3,279
stay,0.003864,9,821
destructive,0.003800,1,7
version,0.003785,2,96
somatic,0.003673,1,18
thumb,0.003673,1,11
trust,0.003618,3,277
faint,0.003561,1,10
knead,0.003561,1,31
difficult,0.003538,4,329
confidence,0.003513,2,159
homecoming,0.003461,1,13
subtlety,0.003461,1,11
forceful,0.003461,1,10
piti,0.003461,1,21
ah,0.003390,2,125
quantum,0.003370,1,15
torpor,0.003370,1,26
scatter,0.003288,1,41
sloth,0.003288,1,29
sex,0.003288,1,12
heighten,0.003211,1,21
rigid,0.003211,1,19
broad,0.003192,2,120
delight,0.003174,3,297
network,0.003141,1,37
concern,0.003128,3,278
catch,0.003084,4,435
satisfy,0.003063,2,141
encourage,0.003063,2,122
edge,0.003038,2,173
joy,0.003017,4,929
linger,0.003014,1,21
tightly,0.003014,1,29
reference,0.003013,2,148
restless,0.002902,1,29
pool,0.002902,1,41
preoccupation,0.002895,2,206
deep,0.002842,14,1699
agenda,0.002802,1,23
pleasantness,0.002802,1,42
vibration,0.002802,1,27
concentration,0.002762,2,227
mark,0.002755,1,32
favor,0.002711,1,25
thread,0.002711,1,53
jhanas,0.002711,1,57
focus,0.002699,4,606
tingle,0.002669,1,30
uncertainty,0.002628,1,36
