word,tfidf_score,talk_frequency,global_frequency
viveka,0.046483,15,15
separate,0.024543,31,144
discernment,0.020728,14,70
critic,0.019767,12,52
separation,0.018059,12,39
unhelpful,0.016030,11,48
helpful,0.015464,33,562
hindrance,0.015453,15,197
root,0.010508,11,143
bogged,0.010095,4,7
sleepy,0.008643,4,9
judgment,0.008112,10,178
independent,0.007909,6,49
solitude,0.007571,3,6
clark,0.007505,7,281
difficulty,0.007361,9,212
diana,0.006811,7,333
nobody,0.006771,5,57
vacillation,0.006769,3,11
refuge,0.006499,6,171
renunciation,0.006263,5,69
brush,0.006240,3,13
utah,0.006198,2,2
hike,0.005829,4,49
torpor,0.005530,3,26
premier,0.005472,2,3
nancy,0.005472,2,3
wildlife,0.005472,2,3
sloth,0.005394,3,29
energy,0.005269,11,441
inner,0.005223,12,456
doom-scrolling,0.005047,2,4
soap,0.005047,2,7
hatred,0.004907,6,197
rain,0.004833,4,83
whereas,0.004833,4,47
obvious,0.004789,6,145
meditate,0.004757,15,497
analayo,0.004746,2,5
trail,0.004672,3,26
awful,0.004672,3,36
clunky,0.004513,2,8
obstruction,0.004513,2,9
greed,0.004423,6,240
academic,0.004322,2,9
due,0.004305,3,33
show,0.004278,11,525
uncomfortable,0.004263,5,195
type,0.004227,5,178
song,0.004179,3,49
independence,0.004160,2,11
restlessness,0.004120,3,75
notice,0.004052,18,1190
seclusion,0.004020,2,14
absent,0.004020,2,14
expression,0.003991,5,124
amount,0.003974,6,165
delusion,0.003959,5,215
hesitation,0.003897,2,19
sprout,0.003897,2,12
ill,0.003821,4,139
distinguish,0.003805,3,50
radio,0.003787,2,19
knee,0.003758,3,72
pile,0.003687,2,19
aversion,0.003634,6,482
isolate,0.003596,2,15
questioner,0.003542,3,228
settledness,0.003503,3,75
clean,0.003469,4,147
doorway,0.003434,2,16
okay,0.003409,15,1128
tree,0.003299,4,196
momentum,0.003249,3,85
lunch,0.003171,2,36
dish,0.003171,2,25
outside,0.003119,5,195
they'd,0.003115,2,26
unscattered,0.003099,1,1
ew,0.003099,1,1
grease,0.003099,1,1
dishwater,0.003099,1,1
value-laden,0.003099,1,1
forward-thinking,0.003099,1,1
toxic,0.003099,1,1
flit,0.003099,1,1
sleep-deprived,0.003099,1,1
furtherance,0.003099,1,1
poacher,0.003099,1,1
enclosure,0.003099,1,1
nekkhamma,0.003099,1,1
version,0.003091,3,96
distinction,0.002974,3,96
asleep,0.002961,2,32
doubt,0.002840,3,164
desire,0.002791,6,739
tune,0.002789,3,124
hall,0.002747,2,46
discern,0.002747,2,36
extrovert,0.002736,1,3
hail,0.002736,1,2
potency,0.002736,1,2
denote,0.002736,1,2
not-so-obvious,0.002736,1,2
disdain,0.002736,1,2
whimsical,0.002736,1,2
recharge,0.002736,1,2
gosh,0.002709,2,38
ease,0.002701,7,533
big,0.002694,9,645
funny,0.002636,2,46
broad,0.002624,3,118
dwell,0.002602,2,43
simplicity,0.002536,3,257
naturalness,0.002524,1,4
unbeknownst,0.002524,1,3
workplace,0.002524,1,3
unicorn,0.002524,1,3
sock,0.002524,1,4
visualization,0.002524,1,9
binary,0.002524,1,3
