word,tfidf_score,talk_frequency,global_frequency
dhamma,0.047501,40,130
scrutinize,0.025077,10,10
sequence,0.018999,13,26
memorize,0.018459,12,24
brief,0.013716,15,102
faith,0.012661,15,185
zeal,0.012539,5,5
allen,0.010940,8,35
kim,0.010518,8,52
encapsulation,0.010031,4,4
saddha,0.009495,6,25
dimension,0.009206,9,57
class,0.009196,11,130
wisdom,0.008712,24,548
strive,0.007991,8,89
reflective,0.007913,5,23
brahman,0.007913,5,54
suttas,0.007700,10,173
decide,0.007311,10,128
sudden,0.007075,7,64
encapsulate,0.006754,4,14
gradual,0.006628,6,62
confidence,0.006160,8,164
glimpse,0.006153,4,17
truth,0.006042,13,532
discourse,0.005993,6,93
teacher,0.005971,19,568
structure,0.005938,5,31
devotional,0.005772,3,6
motivational,0.005772,3,6
sermon,0.005772,3,7
penetration,0.005772,3,7
participant,0.005711,4,39
cognitive,0.005600,5,53
examine,0.005361,4,28
gain,0.005266,6,103
sutta,0.005218,8,324
supreme,0.005065,3,13
panna,0.005065,3,10
zip,0.005015,2,2
neuroscientific,0.005015,2,2
realize,0.004924,15,420
graduate,0.004903,4,56
realization,0.004903,4,41
investigate,0.004721,5,102
reflect,0.004652,8,202
phrase,0.004639,7,184
bodily,0.004620,5,102
penetrate,0.004610,4,37
retreat,0.004567,11,401
step,0.004489,13,432
base,0.004450,8,220
monastic,0.004433,5,111
spring,0.004360,4,39
interest,0.004329,16,529
check,0.004291,7,168
trust,0.004229,8,287
debate,0.004190,3,41
rational,0.004190,3,20
listen,0.004152,10,397
convince,0.004142,4,41
reflection,0.004132,7,214
somebody,0.003952,7,354
hear,0.003924,18,871
unattainable,0.003848,2,5
memorization,0.003848,2,5
map,0.003677,3,41
greed,0.003515,6,251
carefully,0.003511,4,57
linear,0.003507,2,8
grandiose,0.003507,2,7
teach,0.003412,28,1490
behavior,0.003409,4,82
eventually,0.003394,5,104
mere,0.003377,2,11
lead,0.003337,9,543
acceptance,0.003314,3,66
saw,0.003313,6,192
curious,0.003313,4,94
recap,0.003264,2,10
read,0.003221,9,430
investigation,0.003185,3,65
layer,0.003145,3,62
text,0.003080,4,133
laypeople,0.003076,2,24
stock,0.003076,2,15
learn,0.003069,19,795
manifest,0.003069,3,48
religious,0.003032,3,74
person,0.003024,18,1121
dukkha,0.002974,5,410
besides,0.002923,2,15
month,0.002876,4,116
regard,0.002864,3,78
path,0.002828,9,912
venerable,0.002793,2,41
entire,0.002687,3,68
equal,0.002681,2,24
linger,0.002681,2,21
substitute,0.002681,2,20
preparation,0.002681,2,29
modern,0.002633,3,80
unsatisfactoriness,0.002581,2,36
sublime,0.002581,2,26
inspiration,0.002557,3,126
section,0.002536,2,26
sort,0.002513,5,280
adjunct,0.002508,1,1
microsecond,0.002508,1,1
abstractly,0.002508,1,1
scrutiny,0.002508,1,1
cut-and-paste,0.002508,1,1
perceptive,0.002508,1,1
sutamaya,0.002508,1,1
cintamaya,0.002508,1,1
bhavanamaya,0.002508,1,1
hark,0.002508,1,1
haphazard,0.002508,1,1
not-very-useful,0.002508,1,1
blurt,0.002508,1,1
last,0.002507,12,541
case,0.002471,4,172
notion,0.002461,3,103
round,0.002452,2,34
inspire,0.002442,5,242
discernment,0.002412,2,70
reasonable,0.002412,2,29
reinforce,0.002412,2,31
majjhima,0.002375,2,30
toward,0.002373,3,153
intelligence,0.002339,2,120
include,0.002317,8,417
stage,0.002310,3,131
detail,0.002310,3,108
state,0.002307,9,850
verbal,0.002305,2,39
general,0.002292,4,170
session,0.002290,3,94
understand,0.002273,18,1242
discovery,0.002272,2,56
hour,0.002258,4,200
respect,0.002241,4,234
urge,0.002240,2,44
role,0.002231,3,135
onto,0.002231,3,96
group,0.002225,4,255
prep,0.002216,1,2
sketch,0.002216,1,2
neurotransmitter,0.002216,1,2
credence,0.002216,1,2
peek,0.002216,1,2
unexpectedly,0.002216,1,2
over-striving,0.002216,1,2
prescriptive,0.002216,1,2
descriptive,0.002216,1,2
one-to-one,0.002216,1,2
quality,0.002200,7,627
ask,0.002181,8,699
research,0.002180,2,53
question,0.002148,8,863
generally,0.002086,3,102
aspect,0.002076,5,275
uncontrollability,0.002045,1,3
alright,0.002045,1,4
three-quarters,0.002045,1,3
partway,0.002045,1,3
paste,0.002045,1,3
de-emphasize,0.002045,1,4
noble,0.002036,3,274
whether,0.002027,6,318
emotional,0.002010,4,229
number,0.001996,4,220
apply,0.001972,3,166
early,0.001934,5,292
undergo,0.001924,1,4
anticipation,0.001924,1,4
formula,0.001924,1,4
formulaic,0.001924,1,4
spit,0.001924,1,8
gear,0.001924,1,4
follow-up,0.001924,1,4
apps,0.001924,1,4
delusion,0.001897,3,222
