word,tfidf_score,talk_frequency,global_frequency
samadhi,0.021043,27,1520
kite,0.018498,4,5
onward-leading,0.017908,7,56
slide,0.014944,7,81
pull,0.014120,17,329
poetry,0.013231,5,93
thread,0.012587,5,53
onward,0.011658,4,57
usual,0.010591,7,112
mic,0.010467,2,2
yes,0.009419,12,405
subtle,0.009363,10,378
approach,0.009356,8,281
cord,0.008536,2,6
lake,0.008057,4,132
stage,0.008035,5,131
splash,0.008031,2,5
suit,0.007639,2,7
tautness,0.007639,2,8
akin,0.007318,2,8
swim,0.007215,3,42
mode,0.006824,3,55
immersive,0.006813,2,12
daylong,0.006606,2,12
absorb,0.006602,4,131
bath,0.006253,2,14
quiet,0.005911,10,636
nonverbal,0.005829,2,33
intimate,0.005725,3,58
conscious,0.005551,3,69
pond,0.005488,2,32
shift,0.005481,8,466
immerse,0.005387,2,45
reassure,0.005292,2,30
subservient,0.005234,1,1
non-assertive,0.005234,1,1
sled,0.005234,1,1
poetically,0.005234,1,1
gentle,0.005207,5,267
business,0.005202,2,23
note,0.005137,3,108
breathe,0.005120,17,2506
appropriate,0.005079,4,175
release,0.005025,5,299
stay,0.004751,12,831
instructional,0.004625,1,2
juncture,0.004625,1,2
exploratory,0.004625,1,2
nature,0.004513,6,401
global,0.004432,2,78
describe,0.004272,5,283
commit,0.004270,2,59
aesthetic,0.004268,1,4
edge,0.004182,3,176
desirous,0.004015,1,6
adhere,0.004015,1,6
one-pointed,0.004015,1,4
wobbly,0.004015,1,6
taut,0.004015,1,6
menu,0.004015,1,6
enamor,0.003819,1,7
meditaiton,0.003819,1,6
gravitational,0.003819,1,8
cooperate,0.003819,1,7
online,0.003817,2,59
middle,0.003798,4,231
healthy,0.003798,4,298
widely,0.003659,1,7
productive,0.003659,1,7
slack,0.003524,1,7
constantly,0.003523,2,94
hindrance,0.003490,2,198
well-being,0.003417,4,574
steer,0.003406,1,9
friend,0.003376,5,564
rope,0.003303,1,17
gather,0.003262,3,333
calm,0.003255,5,820
freeway,0.003210,1,16
almost,0.003132,7,566
float,0.003131,2,116
override,0.003126,1,20
lead,0.003095,4,543
subtly,0.003050,1,12
profoundly,0.003050,1,13
sensibility,0.003050,1,18
settle,0.003044,10,1526
peaceful,0.003000,5,418
immersion,0.002980,1,25
nearby,0.002980,1,13
simple,0.002940,6,725
appropriately,0.002915,1,14
horse,0.002915,1,48
rejection,0.002915,1,16
broad,0.002856,2,125
alarm,0.002854,1,21
content,0.002833,2,172
nicely,0.002797,1,24
situation,0.002789,3,331
supportive,0.002788,2,133
door,0.002744,2,155
tight,0.002744,2,140
string,0.002744,1,24
adjustment,0.002694,1,19
instruct,0.002694,1,18
pool,0.002694,1,41
relax,0.002671,8,1265
hum,0.002646,1,30
momentary,0.002646,1,25
persist,0.002646,1,22
section,0.002646,1,26
preoccupation,0.002639,2,215
deep,0.002618,14,1732
fully,0.002599,3,304
retreat,0.002599,3,401
loose,0.002558,1,27
friday,0.002517,1,29
cling,0.002492,3,578
dip,0.002441,1,34
weak,0.002441,1,37
mirror,0.002405,1,37
recede,0.002405,1,31
general,0.002391,2,170
nice,0.002371,5,565
simplify,0.002371,1,48
necessarily,0.002356,2,153
authority,0.002337,1,38
urge,0.002337,1,44
transition,0.002337,1,38
sweetness,0.002337,1,90
anxious,0.002305,1,40
wheel,0.002305,1,62
respectful,0.002305,1,34
regular,0.002275,1,33
criticize,0.002275,1,39
wholesome,0.002271,2,390
light,0.002257,3,490
calmly,0.002245,1,69
resentment,0.002245,1,43
field,0.002222,2,257
experiment,0.002188,1,49
capable,0.002188,1,40
force,0.002175,2,220
access,0.002161,1,48
freely,0.002161,1,56
clothe,0.002161,1,50
shoulder,0.002143,2,211
state,0.002140,4,850
ego,0.002135,1,81
reminder,0.002109,1,54
fairly,0.002109,1,46
sudden,0.002109,1,64
reactive,0.002085,1,64
demand,0.002085,1,46
store,0.002085,1,55
recognize,0.002073,4,670
object,0.002068,2,302
straight,0.002061,1,51
expansive,0.002061,1,69
grab,0.002037,1,77
play,0.002024,2,283
aversion,0.002024,2,488
park,0.002014,1,57
bottom,0.002014,1,55
behind,0.001996,2,194
soft,0.001982,2,248
war,0.001949,1,75
opinion,0.001949,1,121
settledness,0.001949,1,77
neighbor,0.001949,1,64
road,0.001949,1,119
smell,0.001929,1,81
excite,0.001929,1,63
message,0.001908,1,68
principle,0.001908,1,122
fly,0.001908,1,68
invaluable,0.001889,1,71
engagement,0.001889,1,55
sign,0.001889,1,89
meditative,0.001889,1,76
unification,0.001889,1,101
belly,0.001873,2,268
tomorrow,0.001873,2,191
accompany,0.001869,1,131
street,0.001869,1,92
sky,0.001850,1,86
cycle,0.001814,1,78
momentum,0.001814,1,91
new,0.001814,3,553
track,0.001796,1,94
lean,0.001796,1,81
radical,0.001762,1,88
participate,0.001762,1,119
enter,0.001745,2,382
establish,0.001728,1,74
fun,0.001728,1,105
spot,0.001681,1,116
single,0.001681,1,88
kid,0.001681,1,106
fast,0.001681,1,97
expectation,0.001666,1,112
push,0.001661,2,319
agitation,0.001651,1,107
shape,0.001651,1,81
strange,0.001636,1,73
naturally,0.001621,1,87
hopefully,0.001621,1,85
project,0.001607,1,106
unwholesome,0.001607,1,182
doubt,0.001607,1,165
session,0.001593,1,94
range,0.001593,1,97
otherwise,0.001593,1,98
connect,0.001592,3,675
simply,0.001581,2,312
trouble,0.001565,1,93
desire,0.001559,2,769
helpful,0.001559,2,579
okay,0.001555,4,1165
rhythm,0.001552,1,111
sensation,0.001543,3,887
adjust,0.001539,1,97
pause,0.001539,1,198
concentrate,0.001539,1,123
judge,0.001526,1,114
react,0.001513,1,100
memory,0.001513,1,149
beauty,0.001500,1,167
change,0.001499,4,1444
still,0.001490,5,813
issue,0.001463,1,125
front,0.001451,1,116
generally,0.001451,1,102
wander,0.001451,1,138
metaphor,0.001451,1,153
refer,0.001451,1,108
stability,0.001440,1,171
support,0.001430,4,974
arm,0.001405,1,123
generosity,0.001405,1,261
careful,0.001394,1,128
air,0.001394,1,171
encounter,0.001372,1,119
recognition,0.001351,1,217
small,0.001341,2,401
involve,0.001331,2,429
job,0.001330,1,198
explore,0.001299,1,199
full,0.001293,2,346
gently,0.001264,2,412
inside,0.001264,2,450
contact,0.001260,1,229
concentration,0.001260,1,232
movement,0.001255,2,458
study,0.001251,1,187
grind,0.001241,1,165
primary,0.001223,1,166
greed,0.001223,1,251
distract,0.001214,1,156
place,0.001209,8,1613
instruction,0.001205,1,216
source,0.001196,1,357
keep,0.001179,4,824
ordinary,0.001178,1,194
imc,0.001169,1,176
hand,0.001147,2,492
record,0.001136,1,120
familiar,0.001136,1,183
begin,0.001134,7,1452
break,0.001127,1,199
drive,0.001119,1,200
everyone,0.001112,2,465
peace,0.001095,2,647
family,0.001087,1,272
morning,0.001078,2,409
goodwill,0.001072,1,527
carry,0.001056,1,213
pressure,0.001056,1,266
always,0.001052,3,744
without,0.001049,5,995
wide,0.001041,1,262
answer,0.001034,1,254
sometimes,0.001032,12,1916
experience,0.001030,11,3143
degree,0.001019,1,235
appreciate,0.001012,2,591
together,0.001005,4,1037
little,0.000995,14,2399
level,0.000991,1,288
least,0.000984,1,207
wish,0.000980,2,585
tend,0.000970,1,229
you'll,0.000963,1,231
people,0.000961,14,3365
available,0.000956,1,226
pleasure,0.000943,1,720
difference,0.000936,1,235
put,0.000932,3,820
certainly,0.000930,1,213
water,0.000923,1,494
normal,0.000910,1,186
series,0.000910,1,256
hear,0.000910,2,871
area,0.000898,1,273
direction,0.000898,1,258
either,0.000898,1,231
may,0.000890,7,2232
awareness,0.000887,2,1290
engage,0.000879,1,332
exactly,0.000873,1,240
fall,0.000866,1,287
free,0.000865,3,764
link,0.000856,3,532
long,0.000851,5,956
different,0.000851,8,1948
emotion,0.000848,1,390
capacity,0.000836,1,405
fact,0.000831,1,247
would,0.000826,6,2015
usually,0.000825,1,249
topic,0.000813,1,270
care,0.000809,3,1655
self,0.000802,1,1143
relate,0.000796,1,334
hope,0.000785,1,268
safe,0.000785,2,439
true,0.000774,1,418
fronsdal,0.000758,1,298
work,0.000754,3,1379
share,0.000752,1,469
sound,0.000742,1,494
speak,0.000742,1,446
assume,0.000736,1,244
right,0.000731,6,2207
tension,0.000715,1,610
bite,0.000715,5,1548
offer,0.000715,2,708
person,0.000701,2,1121
present,0.000700,3,1253
probably,0.000690,1,351
walk,0.000690,1,561
think,0.000687,60,6043
another,0.000681,2,772
remember,0.000675,1,395
return,0.000670,1,282
start,0.000648,4,1533
focus,0.000627,1,608
guide,0.000621,3,917
grow,0.000618,1,511
space,0.000600,1,715
aware,0.000600,1,634
towards,0.000596,1,507
hold,0.000590,2,1031
help,0.000564,2,874
anything,0.000564,2,842
question,0.000560,1,863
let,0.000558,15,2758
story,0.000548,1,1019
moment,0.000545,5,1860
gil,0.000543,1,442
others,0.000539,2,1078
every,0.000539,1,507
within,0.000539,1,541
try,0.000527,3,1303
attention,0.000527,2,1283
understand,0.000527,2,1242
meditate,0.000527,1,518
introduction,0.000522,1,284
possible,0.000522,1,526
happen,0.000519,5,2108
human,0.000518,1,557
continue,0.000510,1,428
might,0.000510,8,2176
love,0.000490,2,1767
else,0.000486,1,564
dharmette,0.000486,1,329
happy,0.000473,2,879
back,0.000456,4,1512
close,0.000455,2,686
able,0.000440,1,633
call,0.000437,2,1079
lot,0.000436,4,1561
mindfulness,0.000432,1,1000
posture,0.000425,1,615
suffer,0.000407,1,1724
idea,0.000397,2,1650
sense,0.000395,7,2996
move,0.000389,1,644
well,0.000380,2,1359
notice,0.000378,1,1221
eye,0.000378,1,647
allow,0.000368,2,1537
welcome,0.000357,2,714
next,0.000354,1,637
learn,0.000337,1,795
many,0.000335,2,1111
end,0.000335,3,1122
quite,0.000334,1,708
thank,0.000327,3,1205
become,0.000324,4,1805
much,0.000324,6,1701
enough,0.000308,1,764
part,0.000304,3,1640
important,0.000295,1,839
want,0.000294,5,3076
need,0.000292,2,1595
whole,0.000276,1,1210
actually,0.000260,1,1100
take,0.000241,8,2295
today,0.000233,1,852
point,0.000207,1,1157
use,0.000204,1,1209
day,0.000204,1,1015
good,0.000197,4,2521
open,0.000193,1,1244
world,0.000187,2,2443
thing,0.000181,6,4930
make,0.000168,4,2463
body,0.000167,2,3309
find,0.000167,2,1716
information,0.000162,1,421
sit,0.000152,2,1521
around,0.000151,1,1175
mind,0.000151,5,4619
u,0.000113,7,3429
feel,0.000105,23,6307
life,0.000056,1,2847
even,0.000051,2,1909
time,0.000023,2,2921
ai-generated,0.000000,1,388
transcript,0.000000,1,391
auto-generated,0.000000,1,388
subtitle,0.000000,1,389
video,0.000000,1,410
meditation,0.000000,13,3556
likely,0.000000,1,480
contain,0.000000,1,419
inaccuracy,0.000000,1,388
follow,0.000000,3,733
talk,0.000000,1,2477
give,0.000000,2,1940
insight,0.000000,2,1694
center,0.000000,4,1142
redwood,0.000000,1,436
city,0.000000,1,495
california,0.000000,2,449
please,0.000000,1,578
visit,0.000000,1,479
website,0.000000,2,456
www,0.000000,1,403
audiodharma,0.000000,1,403
org,0.000000,1,419
