word,tfidf_score,talk_frequency,global_frequency
sail,0.060059,18,30
harmony,0.026276,13,121
jhana,0.017622,9,276
fill,0.016701,16,233
piti,0.016683,5,21
sailboat,0.015888,4,14
well-being,0.015825,18,574
wind,0.015145,10,191
immersive,0.014164,4,12
immerse,0.013989,5,45
tranquility,0.011498,5,65
samadhi,0.009681,12,1519
spread,0.009550,7,238
joy,0.008684,12,931
absorptive,0.007944,2,6
wave,0.007898,5,162
abide,0.007672,4,155
water,0.007662,8,493
radio,0.006673,2,19
lotus,0.006498,2,25
fully,0.006378,7,299
underwater,0.006339,2,13
leap,0.006192,2,22
sign,0.005874,3,89
boat,0.005812,2,34
prison,0.005812,2,62
awareness,0.005648,12,1263
thrill,0.005596,2,27
joyful,0.005596,2,29
harmonious,0.005497,2,23
porousness,0.005447,1,1
multicolored,0.005447,1,1
self-congratulations,0.005447,1,1
enter,0.005428,6,381
pervade,0.005228,2,44
push,0.005163,6,318
tingle,0.005146,2,30
state,0.005073,9,843
pleasure,0.004893,5,719
transition,0.004852,2,38
happily,0.004852,2,36
pause,0.004821,3,197
sama,0.004812,1,3
outwards,0.004599,2,48
signify,0.004440,1,3
troublesome,0.004440,1,3
loan,0.004440,1,8
acquisitive,0.004440,1,3
appropriation,0.004440,1,3
reciprocity,0.004440,1,3
lightness,0.004430,2,80
switch,0.004430,2,45
edge,0.004361,3,175
prioritization,0.004176,1,10
momentarily,0.004176,1,4
unmoving,0.004176,1,17
delightfully,0.004176,1,4
settledness,0.004087,2,76
suddenly,0.004087,2,52
challenge,0.004086,4,307
delight,0.004086,4,297
calm,0.004063,6,810
finally,0.004061,3,153
fade,0.004042,2,64
analogy,0.003999,2,59
bellow,0.003972,1,6
appropriate,0.003938,3,175
negative,0.003836,2,79
overemphasize,0.003805,1,8
slight,0.003760,2,63
flower,0.003760,2,86
breathe,0.003747,12,2491
ordinary,0.003678,3,192
balloon,0.003664,1,13
backward,0.003541,1,8
teeny,0.003541,1,10
