word,tfidf_score,talk_frequency,global_frequency
nest,0.049385,25,58
doll,0.018494,6,7
harm,0.015669,19,418
tanya,0.014049,6,20
dismantle,0.013362,5,11
kalamas,0.011370,4,6
unwell,0.010477,3,3
peg,0.008017,3,8
wise,0.007519,13,432
reflect,0.007137,9,199
weave,0.007004,4,35
misperception,0.006984,2,2
inputted,0.006984,2,2
collect,0.006705,5,69
cause,0.006688,12,371
respectful,0.006262,4,32
darkly,0.006165,2,3
exile,0.006165,2,3
organ,0.005926,3,18
investigation,0.005924,4,64
suffer,0.005348,19,1574
intellectually,0.005345,2,5
uniquely,0.005345,2,7
susan,0.005345,2,15
construct,0.005303,4,117
therapist,0.005253,3,31
investigate,0.005185,4,102
curiosity,0.004964,4,99
norm,0.004865,2,7
incredibly,0.004839,3,33
buddha,0.004788,22,1769
afterwards,0.004697,3,29
sutta,0.004695,5,307
kalama,0.004683,2,11
bundle,0.004683,2,24
build,0.004593,7,233
curious,0.004577,4,93
contract,0.004324,4,96
uncertain,0.004261,2,14
belief,0.004256,5,280
abandon,0.004169,3,82
undertake,0.004148,2,18
thursday,0.003951,2,18
rosemary,0.003863,2,35
rely,0.003863,2,21
receptive,0.003846,3,81
conclusion,0.003804,3,53
evaluate,0.003782,2,18
hatred,0.003694,4,195
story,0.003649,10,987
theory,0.003634,2,59
predict,0.003634,2,24
delusion,0.003574,4,214
4-year,0.003492,1,1
heads-up,0.003492,1,1
re-engage,0.003492,1,1
offensiveness,0.003492,1,1
investigatory,0.003492,1,1
throughway,0.003492,1,1
inbox,0.003492,1,1
associative,0.003492,1,1
patron,0.003492,1,1
ingest,0.003492,1,1
feldman,0.003492,1,1
barrett,0.003492,1,1
choicefully,0.003492,1,1
unwillingly,0.003492,1,1
blameable,0.003492,1,1
la-la,0.003492,1,1
stack,0.003492,1,1
tangled-up,0.003492,1,1
replacement,0.003492,1,1
analyze,0.003384,2,33
thread,0.003384,2,52
realm,0.003335,3,185
greed,0.003325,4,238
accessible,0.003276,2,31
wing,0.003226,2,40
bind,0.003177,2,39
lead,0.003151,6,526
beautiful,0.003137,7,538
teacher,0.003113,7,532
sangha,0.003098,3,232
applause,0.003082,1,2
conceptually,0.003082,1,2
decease,0.003082,1,2
dipa,0.003082,1,2
ma,0.003082,1,2
saint,0.003082,1,3
lisa,0.003082,1,3
thesis,0.003082,1,3
probability,0.003082,1,2
censor,0.003082,1,2
irritability,0.003082,1,2
sensible,0.003082,1,2
blindly,0.003082,1,2
windstorm,0.003082,1,6
rotten,0.003082,1,3
fear,0.003058,6,497
son,0.002962,2,83
mindful,0.002894,4,255
reference,0.002889,3,141
queer,0.002843,1,4
cusp,0.002843,1,5
investigative,0.002843,1,3
uniqueness,0.002843,1,5
willingly,0.002843,1,3
legend,0.002843,1,3
conjecture,0.002843,1,4
mama,0.002843,1,3
gauge,0.002843,1,3
self-knowledge,0.002843,1,4
predictive,0.002843,1,5
compass,0.002843,1,6
guardian,0.002843,1,3
rod,0.002843,1,3
view,0.002829,5,650
sort,0.002807,4,274
hurt,0.002770,3,125
aren't,0.002747,3,129
teach,0.002731,16,1389
watch,0.002704,4,243
shell,0.002672,1,4
neuroscientist,0.002672,1,4
inference,0.002672,1,4
blameless,0.002672,1,9
solely,0.002672,1,4
dissipate,0.002672,1,7
directly,0.002616,3,113
child,0.002616,3,202
tell,0.002597,7,560
tend,0.002548,4,224
iron,0.002540,1,6
scripture,0.002540,1,8
keen,0.002540,1,5
feather,0.002540,1,6
piece,0.002533,3,217
study,0.002513,3,174
