word,tfidf_score,talk_frequency,global_frequency
hindrance,0.028489,27,197
restlessness,0.022544,16,75
widen,0.017081,7,10
maze,0.015573,6,10
torpor,0.015151,8,26
sloth,0.014775,8,29
aversion,0.014197,23,480
boulder,0.012928,7,54
hinder,0.011598,5,10
boiling,0.008443,3,4
investigate,0.007522,6,71
underlying,0.007147,5,57
awfulness,0.006959,3,8
click,0.006766,4,32
desire,0.006422,13,723
tiredness,0.006414,3,9
fueling,0.006395,4,45
meandering,0.006377,2,2
inconsiderate,0.006377,2,2
calmness,0.006284,4,39
experiencing,0.006175,9,172
nope,0.006007,3,14
discomfort,0.005977,6,127
ill,0.005922,6,130
internet,0.005836,3,16
hook,0.005836,3,22
straight,0.005718,4,37
broaden,0.005629,2,3
comfort,0.005492,5,83
oh,0.005448,22,1322
serving,0.005411,3,22
addiction,0.005179,3,24
anger,0.005029,7,345
restless,0.004976,3,28
obstacle,0.004884,3,29
calmed,0.004880,2,6
sensual,0.004734,4,104
passively,0.004639,2,6
frustration,0.004634,3,35
analogy,0.004631,4,59
interrupt,0.004442,2,7
ring,0.004418,3,51
energy,0.004413,9,439
type,0.004360,5,176
primarily,0.004352,3,29
stream,0.004349,4,102
show,0.004284,9,371
group,0.004245,6,244
bell,0.004221,4,109
embarrassment,0.004004,2,10
played,0.004004,2,15
solve,0.003952,3,59
doubt,0.003911,4,161
bank,0.003891,2,11
diminishes,0.003891,2,16
wait,0.003886,5,132
belief,0.003886,5,280
showing,0.003876,4,95
worry,0.003876,4,107
hostility,0.003854,3,69
projecting,0.003788,2,13
harmony,0.003717,3,111
underestimate,0.003694,2,16
placed,0.003694,2,14
failing,0.003607,2,20
mild,0.003527,2,17
uncomfortable,0.003518,4,194
overview,0.003453,2,23
giant,0.003453,2,26
covering,0.003453,2,18
stance,0.003383,2,20
momentum,0.003364,3,84
driving,0.003329,3,75
lunch,0.003318,2,35
towards,0.003303,9,469
clark,0.003295,3,281
yeah,0.003264,6,767
speed,0.003198,2,23
repeatedly,0.003198,2,25
non-calm,0.003189,1,1
non-mindfulness,0.003189,1,1
non-settledness,0.003189,1,1
rivulet,0.003189,1,1
hydrodynamics,0.003189,1,1
nivarana,0.003189,1,1
in-depth,0.003189,1,1
moralistically,0.003189,1,1
frantically,0.003189,1,1
aptitude,0.003189,1,1
flare-up,0.003189,1,1
exaggeration,0.003189,1,1
disrespectfully,0.003189,1,1
work,0.003045,15,977
early,0.003012,4,162
collapse,0.002991,2,27
diana,0.002989,3,331
big,0.002982,8,461
working,0.002973,5,283
name,0.002951,5,231
uncertainty,0.002945,2,36
irritation,0.002945,2,38
subtle,0.002908,5,350
integral,0.002901,2,31
helpful,0.002877,6,561
include,0.002855,3,99
chasing,0.002818,2,45
non-well-being,0.002814,1,2
hedge,0.002814,1,2
blip,0.002814,1,2
short-lived,0.002814,1,2
phew,0.002814,1,2
supple,0.002814,1,2
gosh,0.002779,2,38
mindfulness,0.002714,10,928
recognize,0.002710,6,404
stuck,0.002707,3,120
meditator,0.002704,2,45
buy,0.002704,2,47
investigation,0.002704,2,64
saying,0.002666,8,651
sudden,0.002601,2,62
water's,0.002595,1,3
assure,0.002595,1,5
fogginess,0.002595,1,5
effectiveness,0.002595,1,3
drained,0.002595,1,3
likelihood,0.002595,1,3
buffet,0.002595,1,3
redirecting,0.002595,1,4
recess,0.002595,1,3
example,0.002570,6,367
using,0.002545,5,270
amazing,0.002488,3,122
meditating,0.002469,4,213
comfortable,0.002451,4,210
eat,0.002449,2,68
facility,0.002440,1,5
self-evaluation,0.002440,1,5
dare,0.002440,1,4
life-changing,0.002440,1,4
ocean,0.002421,2,84
problem,0.002414,4,292
wanted,0.002361,4,248
tweak,0.002320,1,5
obstruction,0.002320,1,9
efficient,0.002320,1,10
distracts,0.002320,1,5
modern-day,0.002320,1,5
refrigerator,0.002320,1,11
bouncing,0.002320,1,5
hardest,0.002320,1,5
indignation,0.002320,1,10
coworker,0.002320,1,5
noisy,0.002320,1,6
clenching,0.002320,1,6
bye-bye,0.002320,1,5
okay,0.002316,10,1126
seed,0.002316,2,88
conclusion,0.002316,2,53
identity,0.002316,2,150
recently,0.002291,2,55
stuff,0.002277,3,178
cultivate,0.002259,3,201
requires,0.002243,2,62
human,0.002238,7,532
often,0.002237,14,1059
draining,0.002221,1,6
buried,0.002221,1,8
germinate,0.002221,1,9
co-worker,0.002221,1,7
upbringing,0.002221,1,11
underneath,0.002219,2,86
weren't,0.002219,2,77
tried,0.002197,2,67
limit,0.002174,2,105
mountain,0.002153,2,107
creek,0.002138,1,11
objective,0.002138,1,8
rang,0.002138,1,8
surfing,0.002138,1,10
swirl,0.002138,1,8
constellation,0.002138,1,9
annoyance,0.002138,1,12
member,0.002110,2,170
familiar,0.002106,3,177
unease,0.002066,1,19
rapid,0.002066,1,12
lends,0.002066,1,8
attach,0.002066,1,8
instead,0.002062,5,439
effort,0.002058,3,326
purpose,0.002043,3,265
pattern,0.002011,2,127
car,0.002011,2,134
shutting,0.002002,1,10
hesitation,0.002002,1,19
plate,0.002002,1,12
glimpse,0.002002,1,16
z,0.002002,1,17
teeth,0.002002,1,16
planted,0.002002,1,11
story,0.001999,6,985
clarity,0.001997,3,252
yes,0.001961,4,380
shouldn't,0.001956,2,92
forgot,0.001945,1,19
curve,0.001945,1,11
vague,0.001945,1,12
surround,0.001945,1,11
dial,0.001945,1,12
story-making,0.001945,1,14
fruitful,0.001945,1,12
institution,0.001945,1,17
y,0.001945,1,21
diagnosis,0.001945,1,13
boredom,0.001945,1,20
session,0.001938,2,92
desert,0.001894,1,16
blanket,0.001894,1,12
vocabulary,0.001894,1,16
dullness,0.001894,1,23
gaining,0.001894,1,13
enormously,0.001894,1,17
compare,0.001894,1,19
persist,0.001894,1,11
buying,0.001894,1,14
righteous,0.001894,1,17
run,0.001886,2,94
anybody,0.001886,2,112
experience,0.001884,28,2694
describe,0.001869,2,76
onto,0.001869,2,95
could,0.001849,13,1418
compulsion,0.001847,1,26
tall,0.001847,1,12
x,0.001847,1,25
leg,0.001837,2,99
notice,0.001824,6,736
i'll,0.001820,10,831
bored,0.001804,1,20
cook,0.001804,1,21
attack,0.001804,1,18
stealing,0.001804,1,21
talked,0.001797,3,233
made,0.001766,4,315
boom,0.001764,1,14
commonly,0.001764,1,16
shopping,0.001764,1,22
mix,0.001764,1,14
complaining,0.001764,1,25
creativity,0.001764,1,22
frustrated,0.001764,1,16
arm,0.001759,2,116
forgetting,0.001726,1,15
abandoning,0.001726,1,26
faster,0.001726,1,23
mentally,0.001726,1,18
eventually,0.001700,2,103
pointing,0.001700,2,154
individual,0.001700,2,105
straightforward,0.001692,1,21
anytime,0.001692,1,18
critic,0.001692,1,52
familiarity,0.001692,1,19
driver,0.001692,1,26
compelling,0.001692,1,20
tree,0.001686,2,196
openness,0.001686,2,135
aren't,0.001672,2,129
distract,0.001659,1,29
cared,0.001659,1,27
passive,0.001659,1,19
bigger,0.001659,2,149
recognition,0.001659,2,212
they're,0.001657,10,1054
everybody,0.001645,2,181
expression,0.001645,2,123
noticed,0.001645,2,123
happening,0.001637,7,915
precisely,0.001628,1,22
traditional,0.001628,1,25
transform,0.001628,1,39
ago,0.001608,3,264
daily,0.001605,2,152
rumination,0.001599,1,45
problematic,0.001599,1,27
awful,0.001599,1,36
younger,0.001599,1,23
well-being,0.001596,3,536
here's,0.001592,2,160
witness,0.001571,1,39
comparing,0.001571,1,28
intensity,0.001571,1,27
food,0.001567,2,189
trying,0.001556,8,722
retreat,0.001550,3,386
turn,0.001527,4,457
asleep,0.001520,1,32
abandon,0.001520,1,47
occasion,0.001496,1,28
studying,0.001496,1,31
unhelpful,0.001496,1,48
inadequate,0.001496,1,32
dukkha,0.001494,2,401
slow,0.001482,2,120
framework,0.001473,1,47
uplift,0.001473,1,54
searching,0.001473,1,34
feed,0.001473,1,37
bunch,0.001473,1,27
line,0.001471,2,206
general,0.001459,2,165
there'll,0.001451,1,30
pushed,0.001451,1,38
grab,0.001451,1,40
spectrum,0.001451,1,43
reason,0.001449,3,251
brightness,0.001429,1,62
treat,0.001429,1,35
afterwards,0.001429,1,29
allows,0.001428,3,325
pretty,0.001426,2,175
talking,0.001422,4,445
hip,0.001409,1,31
oneself,0.001404,2,175
speaks,0.001389,1,40
unfolds,0.001389,1,32
avoiding,0.001389,1,40
jump,0.001389,1,39
common,0.001372,2,164
territory,0.001370,1,31
resentment,0.001370,1,42
intention,0.001362,2,259
isn't,0.001345,3,390
want,0.001338,24,2298
whether,0.001335,3,303
access,0.001334,1,43
quick,0.001334,1,36
physical,0.001331,2,207
mindful,0.001321,2,255
getting,0.001321,5,537
rain,0.001317,1,69
tuning,0.001317,1,48
fade,0.001317,1,43
physically,0.001317,1,44
changing,0.001311,2,378
alive,0.001301,2,182
observe,0.001301,1,60
identified,0.001285,1,41
sleep,0.001285,1,55
higher,0.001285,1,92
got,0.001275,3,534
outside,0.001272,2,195
pleasant,0.001253,2,350
probably,0.001247,3,339
inherent,0.001239,1,62
discovered,0.001239,1,52
object,0.001235,2,293
behind,0.001225,2,184
oriented,0.001225,1,71
write,0.001225,1,52
forget,0.001225,1,46
slight,0.001225,1,49
simile,0.001210,1,123
loud,0.001210,1,54
specifically,0.001210,1,53
available,0.001198,2,213
settledness,0.001197,1,75
intimate,0.001197,1,53
you'll,0.001189,2,216
right,0.001186,15,2053
whatever,0.001185,13,1171
lifetime,0.001183,1,71
fascinating,0.001183,1,52
bodily,0.001183,1,100
unless,0.001183,1,54
tune,0.001183,1,65
attuned,0.001183,1,65
easeful,0.001183,1,63
travel,0.001183,1,51
wise,0.001181,2,383
away,0.001178,9,1000
thousand,0.001170,1,67
say,0.001148,20,2787
situation,0.001146,2,315
fast,0.001145,1,62
highlight,0.001145,1,70
would,0.001140,13,1943
direction,0.001138,2,238
later,0.001138,2,215
person,0.001135,5,1004
affect,0.001133,1,61
curiosity,0.001133,1,99
idea,0.001128,9,1572
part,0.001122,18,1585
awakened,0.001121,1,92
guy,0.001121,1,92
gotten,0.001121,1,73
personally,0.001121,1,58
water,0.001121,2,467
interesting,0.001112,2,278
apply,0.001098,1,70
history,0.001098,1,65
sure,0.001096,2,247
lack,0.001087,1,84
news,0.001087,1,74
setting,0.001087,1,74
falling,0.001076,1,72
usually,0.001064,2,227
translation,0.001055,1,103
version,0.001055,1,96
versus,0.001055,1,87
supporting,0.001045,1,88
worked,0.001045,1,81
curious,0.001045,1,93
kid,0.001045,1,97
home,0.001041,2,251
course,0.001038,4,662
flavor,0.001035,1,80
hate,0.001035,1,94
created,0.001025,1,78
detail,0.001025,1,93
happens,0.001024,3,406
meditate,0.001018,2,261
considered,0.001015,1,72
terrible,0.001015,1,120
agitation,0.001006,1,104
imagining,0.001006,1,76
you'd,0.001006,1,77
buddha,0.001004,5,1614
building,0.000996,1,96
looking,0.000991,3,491
river,0.000987,1,347
art,0.000978,1,133
huge,0.000978,1,99
encounter,0.000978,1,80
otherwise,0.000978,1,93
allow,0.000972,4,602
pick,0.000969,1,83
avoid,0.000960,1,122
ah,0.000960,1,109
phenomenon,0.000952,1,104
calm,0.000931,2,594
else,0.000928,3,516
high,0.000926,1,110
they've,0.000926,1,95
wisdom,0.000924,2,536
gone,0.000918,1,97
perfect,0.000918,1,122
angry,0.000918,1,174
small,0.000910,2,341
craving,0.000902,1,250
asking,0.000902,1,124
hurt,0.000902,1,99
loved,0.000902,1,110
wishing,0.000902,1,113
happen,0.000897,3,526
living,0.000897,2,345
focused,0.000895,1,134
metaphor,0.000879,1,146
bit,0.000877,10,1460
front,0.000872,1,114
loving,0.000865,1,126
fix,0.000865,1,149
doe,0.000864,4,829
somewhere,0.000850,1,104
awareness,0.000844,3,1240
haven't,0.000843,1,98
slowly,0.000843,1,106
difficulty,0.000843,1,211
hatred,0.000843,1,195
mean,0.000839,5,1037
wouldn't,0.000836,1,128
told,0.000836,1,136
evening,0.000829,1,124
always,0.000829,4,716
well,0.000825,7,1310
opposite,0.000823,1,117
comment,0.000803,1,182
bring,0.000800,3,641
translated,0.000796,1,136
learned,0.000790,1,128
start,0.000789,5,1057
lot,0.000787,12,1487
contact,0.000783,1,219
pull,0.000783,1,160
pushing,0.000783,1,139
allowing,0.000781,2,465
orientation,0.000771,1,188
related,0.000765,1,134
list,0.000759,1,262
figure,0.000759,1,177
play,0.000753,1,185
recognizing,0.000753,1,172
delight,0.000753,1,207
necessarily,0.000747,1,142
particular,0.000728,2,431
powerful,0.000724,1,146
call,0.000722,2,419
saw,0.000713,1,182
look,0.000711,4,827
new,0.000711,2,543
ready,0.000707,1,175
hand,0.000705,2,466
consider,0.000697,1,158
language,0.000691,1,165
value,0.000691,1,183
field,0.000686,1,246
settle,0.000683,2,570
amount,0.000681,1,164
state,0.000677,2,807
yet,0.000666,1,235
long,0.000661,3,589
ever,0.000660,1,177
soft,0.000656,1,214
wow,0.000656,1,210
fall,0.000646,1,195
people,0.000645,14,3081
everything,0.000641,3,836
foot,0.000641,1,221
number,0.000636,1,213
sit,0.000635,3,596
body,0.000630,12,3168
possible,0.000624,2,509
little,0.000619,15,2286
noticing,0.000617,1,329
try,0.000613,2,457
least,0.000599,1,202
truth,0.000599,1,487
ask,0.000599,1,285
make,0.000595,11,1651
sometimes,0.000595,11,1836
find,0.000590,7,1200
use,0.000588,2,568
certainly,0.000586,1,202
heard,0.000586,1,297
around,0.000578,6,1116
buddhist,0.000577,2,807
arising,0.000577,1,284
difference,0.000573,1,225
went,0.000573,1,295
wrong,0.000560,1,317
completely,0.000556,1,248
thank,0.000554,7,1084
life,0.000548,15,2685
able,0.000538,2,604
word,0.000536,6,1293
order,0.000536,1,232
create,0.000536,1,238
believe,0.000536,1,278
soften,0.000536,1,280
called,0.000533,2,540
better,0.000533,2,611
settled,0.000532,1,413
exactly,0.000532,1,230
aspect,0.000524,1,268
forward,0.000524,1,219
emotion,0.000513,1,379
wanting,0.000513,1,391
might,0.000511,14,2085
started,0.000509,1,283
thing,0.000506,26,4739
difficult,0.000501,1,323
place,0.000500,5,1508
came,0.000494,1,323
meet,0.000494,1,336
though,0.000490,1,233
don't,0.000485,27,3298
practice,0.000483,23,3284
arises,0.000476,1,349
kindness,0.000469,1,530
actually,0.000467,3,1065
remember,0.000465,1,306
holding,0.000462,1,377
different,0.000459,7,1866
put,0.000459,2,620
clearly,0.000458,1,386
hear,0.000458,1,379
inner,0.000455,1,447
let's,0.000455,1,389
nature,0.000455,1,389
longer,0.000452,1,290
arise,0.000452,1,350
settling,0.000445,1,507
quiet,0.000445,1,463
room,0.000422,1,410
minute,0.000422,1,342
end,0.000421,5,951
another,0.000415,2,739
imagine,0.000412,1,340
quite,0.000410,2,682
teacher,0.000409,1,522
ease,0.000409,1,509
beautiful,0.000409,1,538
understanding,0.000406,1,491
sitting,0.000404,3,758
coming,0.000402,2,707
feeling,0.000394,6,2135
quality,0.000394,1,620
somehow,0.000391,1,307
help,0.000389,2,720
freedom,0.000382,1,597
mind,0.000370,19,4396
didn't,0.000370,1,505
i'd,0.000370,1,426
space,0.000364,1,698
nothing,0.000361,1,452
open,0.000356,2,864
think,0.000353,5,2174
give,0.000352,2,811
question,0.000350,1,825
wonderful,0.000347,1,475
whole,0.000339,2,1124
rest,0.000339,1,382
move,0.000336,1,363
done,0.000333,1,416
every,0.000328,1,478
attention,0.000327,2,1243
introduction,0.000314,1,275
change,0.000314,1,932
clear,0.000312,1,507
live,0.000312,1,640
relax,0.000304,1,552
rather,0.000301,1,505
close,0.000296,1,375
becomes,0.000291,1,475
understand,0.000286,1,567
last,0.000284,1,470
great,0.000279,1,666
ha,0.000278,7,1913
suffering,0.000276,1,1427
year,0.000274,1,801
almost,0.000274,1,551
support,0.000262,1,720
safe,0.000259,1,407
certain,0.000252,1,604
sense,0.000245,7,2543
eye,0.000243,1,609
thinking,0.000232,2,1621
teaching,0.000225,1,984
next,0.000218,1,607
thought,0.000212,3,2033
many,0.000200,2,1063
deep,0.000199,1,1007
link,0.000194,1,483
still,0.000184,1,745
world,0.000177,3,2302
anything,0.000174,1,803
point,0.000156,1,900
happy,0.000156,1,786
together,0.000150,1,1016
become,0.000142,1,820
much,0.000140,4,1611
moment,0.000135,2,1806
without,0.000129,1,944
good,0.000125,2,1807
feel,0.000114,11,3959
welcome,0.000114,1,630
information,0.000105,1,398
even,0.000097,5,1704
let,0.000074,1,1487
back,0.000067,1,1460
u,0.000062,6,3250
take,0.000044,1,1495
time,0.000037,5,2801
ai-generated,0.000000,1,369
transcript,0.000000,1,372
auto-generated,0.000000,1,369
subtitle,0.000000,1,369
video,0.000000,1,388
likely,0.000000,1,461
contains,0.000000,1,379
inaccuracy,0.000000,1,369
following,0.000000,1,508
talk,0.000000,6,1694
wa,0.000000,17,5473
given,0.000000,2,601
insight,0.000000,1,1660
meditation,0.000000,20,3370
center,0.000000,1,871
redwood,0.000000,1,414
city,0.000000,1,472
california,0.000000,1,425
please,0.000000,1,528
visit,0.000000,1,427
website,0.000000,1,435
www,0.000000,1,384
audiodharma,0.000000,1,384
org,0.000000,1,398
