word,tfidf_score,talk_frequency,global_frequency
flame,0.029249,8,12
subjective,0.026199,9,74
needle,0.021937,6,10
abiding,0.021899,10,57
urge,0.018569,8,39
jhāna,0.018053,10,290
entering,0.016647,11,123
threading,0.015078,3,3
dynamism,0.015078,3,3
applied,0.014144,6,42
sustained,0.013718,6,43
discursive,0.012174,5,62
blowing,0.011644,4,21
abide,0.011119,4,55
dynamic,0.010458,4,27
vicāra,0.010109,3,29
vitakka,0.009768,3,34
samādhi,0.009432,5,254
field,0.008852,8,231
enter,0.008440,7,190
lake,0.008305,4,118
eyelids,0.008182,2,4
landmarks,0.008182,2,6
pleasure,0.008068,9,644
sustaining,0.007560,3,87
spread,0.007366,5,130
slows,0.007312,2,9
length,0.007299,4,72
calmly,0.006859,3,58
fully,0.006709,8,293
spreads,0.006663,3,46
breathing,0.006570,18,1992
quiet,0.006359,9,438
pause,0.006340,4,154
flapping,0.006132,2,12
breathe,0.005825,8,408
precise,0.005686,2,19
blades,0.005442,2,19
pāli,0.005360,4,296
placing,0.005132,2,33
thread,0.005040,2,45
nexus,0.005026,1,1
j,0.005026,1,1
luxuriating,0.005026,1,1
vaka,0.005026,1,1
vichara,0.005026,1,1
connecting,0.004989,3,156
sensations,0.004962,9,713
shoulder,0.004870,2,30
accompany,0.004870,2,38
opinion,0.004870,2,58
bowl,0.004870,2,48
entered,0.004790,2,33
flower,0.004715,2,37
quieter,0.004710,3,95
eye,0.004710,3,118
transition,0.004642,2,34
ah,0.004540,3,109
jhānas,0.004506,2,84
spine,0.004442,2,45
tailbone,0.004436,1,2
crossroads,0.004436,1,3
embraces,0.004436,1,2
flour,0.004436,1,3
brass,0.004436,1,2
bee,0.004436,1,2
bellow,0.004436,1,2
entirely,0.004380,2,36
initial,0.004320,2,38
midpoint,0.004091,1,6
niceness,0.004091,1,3
abided,0.004091,1,3
thoughtful,0.004091,1,3
flames,0.004091,1,3
narrowness,0.004091,1,3
tight,0.004054,3,128
closing,0.003987,3,95
centering,0.003905,2,62
wide,0.003858,3,155
adjusts,0.003846,1,4
relaxedly,0.003846,1,5
subjectively,0.003846,1,4
abstraction,0.003846,1,15
powerfully,0.003846,1,4
gets,0.003737,7,445
calmer,0.003731,2,59
influence,0.003690,2,60
bird,0.003690,2,81
analogy,0.003690,2,57
heartbeat,0.003656,1,7
delicate,0.003656,1,5
candle,0.003656,1,8
luminosity,0.003656,1,5
rubbing,0.003656,1,7
circling,0.003656,1,24
unimaginable,0.003656,1,7
adjust,0.003650,2,51
gotten,0.003535,2,73
completely,0.003507,4,248
sideways,0.003501,1,6
hormones,0.003501,1,6
etymology,0.003501,1,6
polish,0.003501,1,7
anxieties,0.003501,1,6
carefully,0.003498,2,56
awareness,0.003423,8,1270
luminous,0.003370,1,7
objective,0.003370,1,8
arrival,0.003370,1,7
evaluating,0.003370,1,9
blocked,0.003370,1,8
edges,0.003359,2,111
stronger,0.003359,2,82
original,0.003294,3,205
straighter,0.003256,1,9
immersive,0.003256,1,12
h,0.003256,1,15
nectar,0.003256,1,11
satisfying,0.003231,2,111
object,0.003220,3,243
eyesight,0.003156,1,9
generalized,0.003156,1,10
spatial,0.003156,1,17
upside,0.003156,1,10
kneading,0.003156,1,30
bronze,0.003156,1,13
doubts,0.003156,1,16
art,0.003111,2,128
gently,0.003103,5,393
gentle,0.003100,3,244
n,0.003066,1,15
direct,0.003053,3,218
goodness,0.003046,4,466
reduce,0.002985,1,12
hole,0.002985,1,29
lift,0.002985,1,16
embodied,0.002973,2,121
usual,0.002920,2,107
adjustments,0.002911,1,13
sway,0.002911,1,14
cloth,0.002911,1,41
pop,0.002911,1,19
warm,0.002870,2,145
massaging,0.002843,1,16
sliding,0.002843,1,19
enjoyment,0.002843,1,15
concentrating,0.002843,1,16
telling,0.002820,2,107
level,0.002812,3,258
unified,0.002796,2,102
softens,0.002780,1,17
unseen,0.002780,1,14
dip,0.002780,1,15
boom,0.002780,1,14
thrill,0.002780,1,22
forehead,0.002780,1,22
eyes,0.002778,6,497
careful,0.002726,2,121
pleasurable,0.002721,1,29
conclusions,0.002721,1,18
pointedness,0.002721,1,26
stay,0.002691,5,561
immersed,0.002666,1,35
absorption,0.002630,3,195
joy,0.002620,4,965
continuously,0.002615,1,25
preparing,0.002615,1,21
channel,0.002615,1,19
lifting,0.002615,1,23
foundation,0.002614,2,147
projections,0.002566,1,24
walks,0.002566,1,25
application,0.002566,1,25
samadhi,0.002535,3,1428
changes,0.002530,2,134
beyond,0.002530,2,183
precisely,0.002520,1,23
flying,0.002520,1,26
warmth,0.002510,2,158
heads,0.002476,1,26
reached,0.002476,1,22
pleasantness,0.002476,1,42
stillness,0.002470,2,201
stop,0.002461,3,308
body,0.002455,25,3140
still,0.002437,9,772
lands,0.002435,1,27
someplace,0.002435,1,27
resting,0.002431,2,165
connected,0.002406,3,310
energy,0.002406,3,428
attempt,0.002395,1,23
interpretation,0.002395,1,28
wings,0.002395,1,37
tingling,0.002395,1,29
representing,0.002395,1,25
top,0.002392,2,162
whole,0.002379,9,1128
thinking,0.002379,13,1628
focus,0.002371,3,348
sincerity,0.002357,1,43
relaxes,0.002321,1,29
applying,0.002321,1,36
slide,0.002321,1,56
limited,0.002321,1,42
act,0.002318,2,211
becoming,0.002301,3,323
responding,0.002286,1,37
nourish,0.002286,1,33
vitality,0.002286,1,43
sensing,0.002265,2,325
sweetness,0.002253,1,89
dedication,0.002253,1,36
excited,0.002253,1,38
travels,0.002221,1,32
heat,0.002221,1,39
staying,0.002196,2,190
outward,0.002190,1,37
stops,0.002190,1,35
opinions,0.002190,1,57
rest,0.002188,4,374
consciously,0.002160,1,34
almost,0.002158,5,552
movement,0.002152,3,365
carried,0.002131,1,44
wave,0.002131,1,61
depending,0.002103,1,39
massage,0.002103,1,68
aversions,0.002103,1,42
attain,0.002103,1,40
contracted,0.002076,1,50
hot,0.002050,1,60
conclusion,0.002050,1,35
wander,0.002050,1,50
cold,0.002025,1,53
attention,0.001990,8,1262
upright,0.001976,1,63
deepest,0.001976,1,59
quieting,0.001976,1,49
edge,0.001976,1,63
attending,0.001930,1,55
larger,0.001930,1,57
rock,0.001908,1,62
arriving,0.001908,1,60
waves,0.001908,1,94
nice,0.001900,4,527
involved,0.001889,2,244
suddenly,0.001886,1,51
settles,0.001886,1,65
dropping,0.001886,1,57
traditionally,0.001886,1,43
bones,0.001865,1,57
brief,0.001845,1,102
imagination,0.001845,1,89
releasing,0.001805,1,78
beings,0.001800,6,1092
concentration,0.001777,3,437
qualities,0.001767,2,353
bringing,0.001753,2,236
apart,0.001749,1,77
thoughts,0.001737,5,1192
wind,0.001731,1,103
project,0.001731,1,81
aliveness,0.001731,1,84
feeling,0.001708,14,1865
shifts,0.001696,1,81
fuller,0.001696,1,66
hindrances,0.001696,1,165
session,0.001680,1,71
ahead,0.001680,1,76
takes,0.001677,2,242
bit,0.001671,11,1439
becomes,0.001666,4,515
cool,0.001663,1,100
beginning,0.001654,3,456
deeper,0.001654,3,576
partly,0.001631,1,78
preoccupations,0.001631,1,109
thought,0.001617,5,875
hopefully,0.001600,1,80
factors,0.001600,1,123
needs,0.001592,2,267
agitation,0.001585,1,105
alternative,0.001570,1,101
effect,0.001556,1,125
conversation,0.001556,1,126
meaningful,0.001556,1,88
oh,0.001547,4,1324
making,0.001537,3,434
doubt,0.001527,1,154
touching,0.001527,1,88
showing,0.001527,1,96
pass,0.001513,1,90
speech,0.001513,1,187
shouldn,0.001500,1,96
letting,0.001489,4,764
focusing,0.001486,1,106
reasons,0.001473,1,86
lying,0.001460,1,89
keeping,0.001447,1,90
relax,0.001438,3,552
metaphor,0.001435,1,119
watch,0.001435,1,115
quickly,0.001435,1,91
onto,0.001435,1,98
soon,0.001422,1,138
stuck,0.001422,1,122
small,0.001413,2,343
weight,0.001410,1,148
tightness,0.001410,1,113
story,0.001402,2,664
close,0.001401,3,378
force,0.001398,1,118
calm,0.001392,2,614
closed,0.001386,1,87
across,0.001386,1,149
enjoy,0.001374,1,113
room,0.001371,2,390
instructions,0.001351,1,150
ideas,0.001350,2,432
supportive,0.001340,1,130
actions,0.001340,1,170
eventually,0.001340,1,104
desires,0.001318,1,207
push,0.001318,1,133
complete,0.001318,1,121
meant,0.001318,1,127
turns,0.001307,1,183
posture,0.001307,3,575
imagine,0.001300,2,340
case,0.001296,1,136
earlier,0.001296,1,110
source,0.001265,1,274
interested,0.001265,1,118
short,0.001255,1,141
line,0.001255,1,165
getting,0.001249,3,538
release,0.001235,1,168
ground,0.001235,1,151
inside,0.001232,2,424
drop,0.001225,1,164
image,0.001206,1,167
deep,0.001197,5,1146
translated,0.001194,2,318
peaceful,0.001184,2,399
understanding,0.001157,2,515
meditative,0.001157,2,295
focused,0.001150,1,169
ordinary,0.001141,1,178
follow,0.001124,1,136
terms,0.001124,1,204
experience,0.001122,9,2422
related,0.001115,1,147
supports,0.001107,1,171
ancient,0.001098,1,198
starting,0.001090,1,143
anything,0.001083,4,806
hold,0.001076,2,469
happens,0.001076,2,406
state,0.001074,3,760
seem,0.001065,1,165
kindness,0.001059,2,816
oneself,0.001041,1,187
wow,0.001033,1,210
looking,0.001025,2,501
connection,0.001018,1,195
future,0.001010,1,221
feels,0.000995,4,919
finding,0.000988,1,169
aversion,0.000988,1,475
ability,0.000980,1,230
assume,0.000966,1,151
healthy,0.000966,1,258
easier,0.000966,1,195
past,0.000959,1,234
flow,0.000959,1,354
present,0.000958,4,1187
pleasant,0.000951,1,362
coming,0.000950,3,698
talked,0.000944,1,234
softening,0.000944,1,223
desire,0.000944,1,555
goodwill,0.000937,1,475
stories,0.000937,1,366
happen,0.000934,2,527
keep,0.000926,2,523
free,0.000920,3,626
begin,0.000918,2,555
little,0.000910,14,2286
emotions,0.000910,1,281
show,0.000910,1,248
key,0.000910,1,176
become,0.000885,4,823
water,0.000877,1,473
yeah,0.000857,1,767
term,0.000857,1,258
may,0.000854,7,2142
soften,0.000845,1,280
exactly,0.000839,1,230
able,0.000833,2,610
forward,0.000826,1,225
minutes,0.000826,1,262
relaxing,0.000826,1,364
feelings,0.000826,1,308
especially,0.000826,1,216
places,0.000820,1,241
safe,0.000818,2,408
begins,0.000814,1,280
good,0.000807,8,1820
comes,0.000803,3,776
loving,0.000802,1,407
meditate,0.000802,1,261
middle,0.000796,1,242
certain,0.000795,2,605
stress,0.000790,1,336
turn,0.000784,1,276
give,0.000781,2,594
useful,0.000773,1,274
fronsdal,0.000767,1,271
strong,0.000767,1,341
allow,0.000766,2,603
seems,0.000756,1,267
guided,0.000755,3,783
allows,0.000750,1,326
continue,0.000745,1,256
full,0.000728,1,270
relationship,0.000712,1,387
longer,0.000707,1,293
inner,0.000701,1,452
wish,0.000686,1,397
mental,0.000675,1,425
sit,0.000667,2,598
everything,0.000660,2,882
point,0.000653,2,751
instead,0.000650,1,440
quite,0.000647,2,682
sitting,0.000637,3,755
link,0.000620,2,475
allowing,0.000616,1,465
around,0.000597,4,1126
start,0.000593,2,870
appreciate,0.000588,1,409
big,0.000588,1,465
particular,0.000574,1,430
change,0.000569,1,811
idea,0.000567,2,1149
important,0.000561,2,806
talking,0.000560,1,445
settle,0.000556,1,505
gil,0.000547,1,414
wonderful,0.000547,1,475
back,0.000543,5,1460
nothing,0.000543,1,464
peace,0.000529,1,636
day,0.000529,2,794
goes,0.000512,1,460
sometimes,0.000512,6,1843
someone,0.000504,1,580
simple,0.000504,1,581
right,0.000499,4,2097
live,0.000491,1,641
actually,0.000491,2,1066
mind,0.000486,23,4527
dharmette,0.000483,1,318
ways,0.000481,3,1057
end,0.000472,3,889
else,0.000471,1,541
taking,0.000463,1,465
use,0.000459,1,571
understand,0.000451,1,568
whatever,0.000431,3,1178
great,0.000428,1,680
place,0.000424,2,1275
moment,0.000423,3,1633
better,0.000420,1,611
called,0.000394,1,558
sense,0.000386,7,2569
week,0.000376,1,597
feel,0.000368,13,3044
make,0.000366,2,1254
welcome,0.000360,2,617
next,0.000344,1,608
well,0.000341,4,1963
world,0.000331,4,2312
long,0.000327,1,668
care,0.000313,1,1250
people,0.000313,5,3171
enough,0.000307,1,728
trying,0.000307,1,724
often,0.000293,2,1298
let,0.000250,4,1844
thank,0.000249,2,1084
happy,0.000246,1,791
word,0.000241,3,1397
together,0.000233,1,1022
lot,0.000233,2,1358
think,0.000228,2,2110
could,0.000224,1,1420
want,0.000212,2,2082
say,0.000207,2,2185
away,0.000197,1,1010
without,0.000195,1,970
thing,0.000186,1,1367
might,0.000173,3,2085
information,0.000166,1,398
much,0.000165,3,1615
part,0.000117,1,1403
practice,0.000114,3,3241
different,0.000103,1,1871
even,0.000092,3,1711
take,0.000090,1,1258
life,0.000065,1,2399
time,0.000052,2,2413
ai,0.000000,1,397
generated,0.000000,2,777
transcript,0.000000,2,556
auto,0.000000,1,383
subtitles,0.000000,1,383
video,0.000000,1,395
meditation,0.000000,8,3492
likely,0.000000,1,488
contains,0.000000,1,394
inaccuracies,0.000000,1,383
following,0.000000,1,509
talk,0.000000,2,1504
given,0.000000,1,606
insight,0.000000,1,1629
center,0.000000,1,885
redwood,0.000000,1,414
city,0.000000,1,477
california,0.000000,1,436
please,0.000000,1,528
visit,0.000000,1,422
website,0.000000,1,433
www,0.000000,1,384
audiodharma,0.000000,1,384
org,0.000000,1,398
