word,tfidf_score,talk_frequency,global_frequency
trampoline,0.033580,9,24
disappear,0.022319,14,125
music,0.019618,9,62
one-pointedness,0.016621,5,17
wholly,0.015374,3,3
samadhi,0.013543,18,1514
expansive,0.012429,6,63
sustain,0.012132,6,141
wholeness,0.010425,6,147
wide,0.010393,10,254
knead,0.009667,3,31
absorb,0.009654,6,130
joy,0.009564,14,925
receive,0.009373,10,368
mutual,0.009145,3,21
ekaggata,0.009049,2,3
field,0.008696,8,251
absorption,0.008496,4,45
pleasure,0.008374,9,697
drawer,0.008347,2,5
breathe,0.008314,28,2454
massage,0.007554,4,98
rhythm,0.007552,5,110
feather,0.007462,2,6
jhana,0.007393,4,275
couch,0.007230,3,29
anymore,0.007109,5,99
sip,0.006880,2,9
participation,0.006648,2,9
surface,0.006290,5,160
ah,0.006205,4,109
fold,0.005946,2,19
weight,0.005785,4,150
central,0.005666,3,73
activity,0.005627,7,439
unification,0.005604,3,95
simplicity,0.005592,4,257
lend,0.005560,2,16
narrow,0.005373,3,83
laser,0.005244,2,24
dish,0.005244,2,25
43rd,0.005125,1,1
quantumly,0.005125,1,1
ekka,0.005125,1,1
gata,0.005125,1,1
fastidious,0.005125,1,1
well-being,0.005114,6,545
factor,0.005061,3,114
penetrate,0.004746,2,34
tense,0.004654,3,125
involve,0.004640,7,408
sag,0.004524,1,2
narrowly,0.004524,1,2
masseuse,0.004524,1,2
laundry,0.004524,1,2
t-shirt,0.004524,1,2
one-pointedly,0.004524,1,2
calm,0.004501,7,801
focus,0.004299,7,597
appreciation,0.004194,3,207
substantiality,0.004173,1,3
navel,0.004173,1,3
squeeze,0.004173,1,3
gulp,0.004173,1,3
unconcerned,0.004173,1,3
gaze,0.004125,3,152
upon,0.004096,4,200
tight,0.004058,3,134
apply,0.003992,3,165
risky,0.003924,1,5
delight,0.003890,4,291
gravity,0.003861,2,51
dual,0.003731,1,5
simplification,0.003731,1,10
grind,0.003657,3,162
aware,0.003629,6,590
connect,0.003582,7,658
awareness,0.003576,8,1247
oneness,0.003573,1,8
mutually,0.003573,1,6
chop,0.003573,1,10
vegetable,0.003573,1,13
tension,0.003493,5,604
combine,0.003440,1,7
thirsty,0.003440,1,9
flame,0.003440,1,15
neat,0.003440,1,10
simple,0.003379,7,704
simultaneously,0.003324,1,20
enjoy,0.003286,3,194
remain,0.003279,2,86
byproduct,0.003222,1,9
gather,0.003212,3,319
state,0.003198,6,818
involvement,0.003131,1,13
jhanic,0.003131,1,15
exclude,0.003048,1,17
characteristic,0.002994,2,190
torso,0.002994,2,116
holistic,0.002973,1,22
breeze,0.002973,1,26
spark,0.002973,1,16
paradox,0.002904,1,19
firm,0.002904,1,14
intuitively,0.002904,1,14
immersion,0.002904,1,25
headache,0.002904,1,14
ideally,0.002904,1,13
circle,0.002892,2,152
tomorrow,0.002833,3,180
content,0.002820,2,167
middle,0.002812,3,212
everything,0.002781,8,881
inclusive,0.002780,1,24
devotion,0.002780,1,37
pleasurable,0.002780,1,29
liken,0.002780,1,22
mental,0.002731,3,344
edge,0.002727,2,173
solidity,0.002724,1,26
nicely,0.002724,1,24
hole,0.002672,1,37
intentionality,0.002622,1,30
stand,0.002614,3,273
almost,0.002612,6,558
attention,0.002584,10,1261
gladness,0.002575,1,48
unfortunate,0.002575,1,27
harmonious,0.002575,1,23
rid,0.002556,2,172
zero,0.002531,1,28
agenda,0.002531,1,23
kitchen,0.002531,1,54
concentration,0.002496,2,223
somehow,0.002495,4,311
sooner,0.002489,1,24
ball,0.002448,1,39
ripple,0.002448,1,32
jhanas,0.002448,1,57
initial,0.002448,1,24
interfere,0.002410,1,41
sake,0.002373,1,46
nice,0.002353,5,546
recede,0.002338,1,31
become,0.002324,28,1735
consciously,0.002304,1,31
enjoyable,0.002304,1,35
hand,0.002255,4,474
vacation,0.002240,1,53
anything,0.002220,8,812
abstract,0.002209,1,41
roll,0.002180,1,40
relatively,0.002151,1,38
capable,0.002151,1,39
corner,0.002151,1,41
characterize,0.002151,1,39
clothe,0.002151,1,48
hot,0.002124,1,62
blow,0.002124,1,58
wash,0.002124,1,51
term,0.002110,2,262
future,0.002110,2,217
mouth,0.002097,1,51
outside,0.002063,2,195
gentle,0.002048,2,257
drink,0.002046,1,63
lake,0.002022,1,127
refresh,0.002022,1,54
pleasant,0.002018,2,351
sensation,0.002013,4,867
small,0.002004,3,387
ride,0.001998,1,67
happiness,0.001959,3,830
solid,0.001953,1,69
friendship,0.001953,1,126
fifth,0.001953,1,49
consequence,0.001931,1,60
build,0.001931,2,234
translate,0.001916,2,243
eye,0.001915,5,617
concern,0.001902,2,269
window,0.001889,1,72
gently,0.001871,3,398
easeful,0.001868,1,68
engagement,0.001868,1,53
benefit,0.001834,2,253
negative,0.001810,1,73
floor,0.001810,1,75
lens,0.001791,1,70
serve,0.001791,1,110
bed,0.001791,1,62
unify,0.001791,1,90
still,0.001782,6,785
engage,0.001755,2,319
fully,0.001755,2,288
open,0.001728,9,1195
listen,0.001705,2,385
interest,0.001691,3,504
location,0.001687,1,87
definitely,0.001671,1,77
cool,0.001671,1,107
body,0.001660,20,3238
kid,0.001639,1,104
single,0.001639,1,87
complicate,0.001594,1,87
allow,0.001573,9,1508
smile,0.001565,1,144
lead,0.001550,2,527
leave,0.001548,3,469
goodness,0.001538,2,474
settle,0.001534,5,1501
safety,0.001524,1,117
everywhere,0.001524,1,99
concentrate,0.001510,1,118
month,0.001484,1,109
assume,0.001483,2,230
wave,0.001471,1,162
easily,0.001471,1,98
quickly,0.001471,1,91
soon,0.001446,1,139
broad,0.001446,1,118
cushion,0.001446,1,115
generally,0.001434,1,99
clean,0.001434,1,147
sound,0.001429,2,489
lay,0.001422,1,141
define,0.001410,1,125
careful,0.001386,1,122
period,0.001375,1,112
whole,0.001371,5,1133
place,0.001371,9,1576
room,0.001366,2,414
supportive,0.001364,1,131
slowly,0.001353,1,107
emphasis,0.001353,1,114
orient,0.001342,1,178
openness,0.001342,1,138
beyond,0.001288,1,185
gift,0.001278,1,147
spread,0.001278,1,235
land,0.001278,1,166
primary,0.001238,1,158
chance,0.001238,1,150
freedom,0.001238,2,600
include,0.001228,2,384
put,0.001227,4,795
course,0.001226,3,672
together,0.001214,5,1021
yesterday,0.001200,1,158
lie,0.001182,1,164
context,0.001173,1,177
emphasize,0.001164,1,159
pretty,0.001155,1,175
form,0.001127,2,443
bring,0.001123,5,1164
break,0.001120,1,188
nothing,0.001118,2,464
bear,0.001103,1,231
pali,0.001047,1,218
doe,0.001032,3,839
experience,0.001026,11,3049
couple,0.001016,1,175
number,0.001016,1,216
past,0.001009,1,227
day,0.001004,5,989
connection,0.001001,1,210
quite,0.001001,3,686
seem,0.000998,2,478
release,0.000972,1,296
bite,0.000970,7,1484
healthy,0.000965,1,267
soft,0.000958,1,246
deep,0.000946,5,1651
certainly,0.000937,1,204
hear,0.000910,2,844
belly,0.000897,1,266
water,0.000897,1,487
wrong,0.000891,1,321
series,0.000884,1,248
important,0.000881,3,806
call,0.000874,4,1020
sure,0.000871,1,252
rest,0.000871,2,550
mind,0.000862,28,4488
try,0.000860,5,1260
fall,0.000846,1,279
world,0.000840,9,2334
describe,0.000834,1,273
late,0.000828,1,269
point,0.000827,4,1111
care,0.000823,3,1588
pull,0.000816,1,320
buddhism,0.000816,1,515
certain,0.000810,2,610
though,0.000798,1,233
yes,0.000798,1,380
early,0.000781,1,287
simply,0.000781,1,302
fronsdal,0.000775,1,270
relate,0.000775,1,328
you've,0.000769,1,346
speak,0.000758,1,422
may,0.000750,6,2171
whatever,0.000748,5,1184
kindness,0.000741,1,538
light,0.000741,1,462
support,0.000716,2,928
whether,0.000714,1,305
close,0.000692,3,651
arise,0.000668,2,1066
probably,0.000663,1,343
beautiful,0.000658,1,541
quality,0.000643,1,620
condition,0.000638,1,676
guide,0.000602,3,876
idea,0.000594,3,1586
towards,0.000591,1,480
link,0.000587,2,507
meet,0.000586,1,600
space,0.000586,1,704
new,0.000577,1,550
keep,0.000574,2,806
wonderful,0.000564,1,485
good,0.000553,11,2445
gil,0.000550,1,411
peace,0.000546,1,632
little,0.000542,8,2311
within,0.000529,1,524
imagine,0.000520,1,456
lot,0.000519,5,1504
introduction,0.000516,1,275
create,0.000516,1,526
mean,0.000516,3,1429
actually,0.000511,2,1070
long,0.000507,3,932
appreciate,0.000503,1,568
continue,0.000499,1,417
begin,0.000490,3,1414
work,0.000486,2,1346
rather,0.000483,1,511
dharmette,0.000483,1,318
else,0.000483,1,545
touch,0.000471,1,493
today,0.000455,2,831
sometimes,0.000441,5,1848
word,0.000432,3,1319
last,0.000428,1,514
happen,0.000425,4,2047
away,0.000425,2,1003
posture,0.000424,1,594
turn,0.000413,1,674
stay,0.000390,1,814
heart,0.000384,2,1666
okay,0.000376,1,1128
move,0.000372,1,632
sense,0.000369,7,2910
