word,tfidf_score,talk_frequency,global_frequency
reorientation,0.022501,6,11
mingle,0.020499,6,11
well-being,0.016579,21,574
factor,0.015930,10,120
spread,0.015926,13,238
jhanic,0.014980,5,15
pleasure,0.014938,17,719
ritual,0.013451,6,60
stage,0.012171,8,128
happiness,0.011191,18,860
jhana,0.010549,6,276
joy,0.009747,15,931
knead,0.009248,3,31
tingle,0.009242,4,30
wrinkle,0.008641,2,4
faith,0.008357,5,183
contentment,0.007676,5,294
dough,0.007500,2,6
breathe,0.007290,26,2491
jhanas,0.007041,3,57
prefer,0.006889,4,60
sheet,0.006833,2,9
tenderness,0.006726,3,57
embody,0.006689,5,146
reorient,0.006579,2,9
balloon,0.006579,2,13
orient,0.006321,5,199
quantum,0.005835,2,15
coarse,0.005835,2,18
usual,0.005722,4,109
application,0.005325,2,18
meditative,0.005274,3,76
yes,0.005182,7,400
samadhi,0.005071,7,1519
charge,0.005025,2,24
glow,0.005025,2,30
immerse,0.005025,2,45
sublime,0.005025,2,26
joyful,0.005025,2,29
gift,0.004939,4,147
short,0.004900,4,133
multi-week,0.004891,1,1
assertively,0.004891,1,1
enrapture,0.004891,1,1
over-identified,0.004891,1,1
rarefy,0.004891,1,1
receptivity,0.004851,2,24
beginner,0.004771,2,38
release,0.004720,5,296
initial,0.004694,2,24
profound,0.004678,4,215
initially,0.004551,2,28
small,0.004450,7,393
ah,0.004405,3,125
transition,0.004357,2,38
scab,0.004321,1,3
coterminous,0.004321,1,3
plop,0.004321,1,2
series,0.004300,5,248
expect,0.004148,3,102
physical,0.004090,4,212
capable,0.004077,2,40
aggressively,0.003987,1,3
readjust,0.003987,1,3
over-identify,0.003987,1,3
heater,0.003987,1,3
springtime,0.003987,1,3
hemisphere,0.003987,1,3
slide,0.003978,2,81
peaceful,0.003948,7,412
attachment,0.003916,3,244
slow,0.003915,4,164
sustain,0.003884,2,141
evoke,0.003752,2,71
vertebra,0.003750,1,5
provoke,0.003750,1,4
bound,0.003750,1,5
daily,0.003704,3,154
beyond,0.003704,3,186
massage,0.003591,2,99
absorptive,0.003567,1,6
overemphasis,0.003567,1,7
subtle,0.003490,4,377
delightful,0.003480,2,62
unbounded,0.003416,1,11
iron,0.003416,1,7
predispose,0.003416,1,6
avail,0.003416,1,9
incidental,0.003290,1,15
restrict,0.003290,1,10
golden,0.003290,1,11
soften,0.003257,6,549
enter,0.003249,4,381
stream,0.003216,2,110
immersive,0.003180,1,12
one-pointedness,0.003180,1,17
trust,0.003113,3,278
kinship,0.003083,1,12
bump,0.003083,1,14
hardly,0.003083,1,9
absorb,0.003070,2,131
hold,0.003051,11,1026
deepen,0.003016,2,88
attentiveness,0.002996,1,14
tendency,0.002962,2,106
far,0.002961,4,361
northern,0.002918,1,15
gentle,0.002894,3,267
pause,0.002886,2,197
rhythm,0.002886,2,111
degree,0.002873,3,230
casually,0.002846,1,18
subtly,0.002846,1,12
comfortable,0.002812,3,215
posture,0.002809,7,608
agent,0.002780,1,16
gate,0.002780,1,33
rapture,0.002780,1,32
suffuse,0.002780,1,31
genuine,0.002719,1,15
sukha,0.002719,1,28
justice,0.002719,1,19
continuation,0.002662,1,15
edge,0.002611,2,175
fourth,0.002611,2,158
greedy,0.002609,1,21
green,0.002609,1,20
radiance,0.002559,1,23
string,0.002559,1,24
manifestation,0.002559,1,23
warmth,0.002549,2,155
storm,0.002512,1,29
grace,0.002512,1,23
intentionality,0.002512,1,30
thrill,0.002512,1,27
almost,0.002492,6,563
attention,0.002476,10,1275
gladness,0.002468,1,48
limitation,0.002468,1,48
planet,0.002468,1,25
energetic,0.002468,1,29
refine,0.002426,1,32
vibration,0.002426,1,27
intimately,0.002426,1,21
check,0.002394,2,167
someplace,0.002385,1,27
discursive,0.002385,1,57
paper,0.002385,1,32
flat,0.002385,1,34
selfish,0.002347,1,30
chant,0.002347,1,47
disturb,0.002347,1,30
cozy,0.002347,1,35
speed,0.002347,1,28
reinforce,0.002347,1,31
pervade,0.002347,1,44
list,0.002321,2,269
alertness,0.002311,1,25
nourishment,0.002311,1,44
incredibly,0.002276,1,33
instruction,0.002252,2,215
gentleness,0.002242,1,37
bind,0.002242,1,39
useful,0.002237,3,284
however,0.002235,2,153
approach,0.002218,2,276
opportunity,0.002218,2,173
pretty,0.002218,2,176
fragment,0.002210,1,41
there'll,0.002210,1,33
twice,0.002210,1,33
set,0.002205,3,315
ordinary,0.002202,2,192
activation,0.002179,1,44
regularly,0.002179,1,33
color,0.002149,1,62
light,0.002127,3,468
spine,0.002120,1,47
bliss,0.002120,1,64
lock,0.002120,1,71
global,0.002092,1,74
heat,0.002092,1,44
weather,0.002092,1,56
provide,0.002075,2,214
step,0.002066,3,419
outwards,0.002065,1,48
care,0.002052,8,1613
ongoing,0.002039,1,41
divide,0.002039,1,58
characterize,0.002039,1,40
blow,0.002039,1,58
absorption,0.002013,1,46
distinguish,0.002013,1,50
stretch,0.001989,1,58
sudden,0.001965,1,64
physically,0.001965,1,47
number,0.001943,2,218
skin,0.001942,1,62
drop,0.001929,2,275
deep,0.001926,11,1709
steadiness,0.001919,1,105
alert,0.001897,1,50
activate,0.001876,1,86
ability,0.001875,2,240
stay,0.001851,5,826
excite,0.001835,1,60
receptive,0.001815,1,81
compare,0.001815,1,76
gratitude,0.001796,1,99
available,0.001796,2,224
gently,0.001784,3,406
fly,0.001777,1,68
unification,0.001758,1,101
body,0.001745,22,3281
sacred,0.001740,1,92
accompany,0.001740,1,131
anywhere,0.001740,1,62
mental,0.001732,2,352
refuge,0.001722,1,171
conscious,0.001722,1,69
sky,0.001722,1,86
cover,0.001722,1,66
organize,0.001722,1,154
associate,0.001720,2,234
others,0.001713,7,1077
momentum,0.001705,1,87
apart,0.001705,1,77
leaf,0.001688,1,65
slight,0.001688,1,63
flower,0.001688,1,86
area,0.001684,2,268
beneficial,0.001639,1,104
potential,0.001639,1,85
animal,0.001639,1,119
fully,0.001636,2,299
youtube,0.001608,1,80
hand,0.001591,3,491
definitely,0.001578,1,79
afraid,0.001564,1,104
expectation,0.001549,1,112
fire,0.001549,1,144
pull,0.001545,2,326
position,0.001535,1,86
energy,0.001534,2,443
present,0.001533,7,1238
certain,0.001522,4,631
confidence,0.001521,1,159
meaningful,0.001494,1,93
flow,0.001491,2,570
seat,0.001481,1,120
smile,0.001481,1,150
everywhere,0.001468,1,99
recognize,0.001447,3,668
sangha,0.001431,1,237
share,0.001398,2,462
easily,0.001394,1,100
important,0.001387,5,824
depend,0.001383,1,111
broad,0.001371,1,121
touch,0.001367,3,497
wander,0.001360,1,137
tension,0.001338,2,608
express,0.001338,1,147
attend,0.001338,1,131
across,0.001338,1,152
support,0.001335,4,960
satisfy,0.001327,1,141
content,0.001327,1,171
encourage,0.001327,1,122
simplicity,0.001316,1,262
arm,0.001316,1,122
function,0.001305,1,123
uncomfortable,0.001305,1,207
slowly,0.001295,1,108
door,0.001285,1,154
tight,0.001285,1,138
difficulty,0.001264,1,219
pick,0.001264,1,124
limit,0.001264,1,181
involve,0.001253,2,423
path,0.001243,2,849
full,0.001216,2,340
finally,0.001216,1,153
surface,0.001206,1,164
condition,0.001198,2,691
belief,0.001188,1,286
movement,0.001172,2,456
focus,0.001163,2,607
arrive,0.001161,1,158
bite,0.001155,9,1541
primary,0.001152,1,164
love,0.001137,5,1743
yesterday,0.001135,1,162
place,0.001128,8,1599
distract,0.001126,1,156
run,0.001118,1,153
operate,0.001109,1,257
possibility,0.001109,1,163
happy,0.001109,5,873
emphasize,0.001101,1,169
ready,0.001085,1,182
open,0.001083,6,1220
image,0.001077,1,210
eye,0.001070,3,635
line,0.001069,1,222
common,0.001061,1,167
drive,0.001053,1,198
interest,0.001044,2,524
amount,0.001038,1,172
effort,0.001038,1,338
bear,0.001038,1,236
presence,0.001030,1,216
allow,0.001018,6,1528
connect,0.000988,2,666
value,0.000979,1,227
wide,0.000979,1,259
emotional,0.000979,1,228
may,0.000966,8,2204
another,0.000963,3,767
object,0.000958,1,302
continue,0.000957,2,423
relax,0.000953,3,1245
inspire,0.000951,1,240
play,0.000951,1,275
quite,0.000944,3,701
problem,0.000937,1,294
part,0.000937,10,1621
level,0.000931,1,283
seem,0.000919,2,500
simple,0.000919,2,721
act,0.000917,1,344
challenge,0.000917,1,307
delight,0.000917,1,297
receive,0.000911,1,368
tend,0.000911,1,225
moment,0.000909,9,1854
concern,0.000904,1,278
healthy,0.000898,1,293
buddha,0.000887,3,1883
tomorrow,0.000885,1,188
nice,0.000882,2,559
enough,0.000878,3,750
completely,0.000854,1,252
direction,0.000836,1,254
engage,0.000830,1,329
order,0.000824,1,240
keep,0.000823,3,817
aspect,0.000812,1,271
fall,0.000812,1,284
listen,0.000812,1,392
consider,0.000807,1,283
cling,0.000789,1,559
guide,0.000787,4,898
push,0.000773,1,318
day,0.000765,4,1006
topic,0.000762,1,267
pain,0.000751,1,514
activity,0.000751,1,453
though,0.000746,1,242
desire,0.000735,1,743
okay,0.000734,2,1161
fronsdal,0.000719,1,294
reason,0.000719,1,277
actually,0.000717,3,1098
people,0.000717,11,3319
little,0.000691,11,2387
inner,0.000679,1,485
offer,0.000674,2,696
catch,0.000664,1,440
always,0.000648,2,742
lose,0.000640,1,423
shift,0.000636,1,465
instead,0.000636,1,462
call,0.000623,3,1053
begin,0.000616,4,1436
away,0.000615,3,1020
calm,0.000608,1,810
week,0.000598,2,717
inside,0.000595,1,441
life,0.000589,11,2821
settle,0.000567,2,1517
new,0.000564,1,551
still,0.000561,2,804
space,0.000560,1,712
towards,0.000556,1,494
whatever,0.000554,4,1202
meet,0.000551,1,610
quiet,0.000551,1,634
heart,0.000549,3,1680
free,0.000549,2,748
link,0.000543,2,522
become,0.000539,7,1773
live,0.000537,2,1197
form,0.000535,1,450
wonderful,0.000526,1,504
experience,0.000519,6,3121
help,0.000519,2,866
whole,0.000519,2,1151
nothing,0.000518,1,479
gil,0.000514,1,437
within,0.000506,1,533
state,0.000506,1,843
every,0.000506,1,493
often,0.000495,2,1090
let,0.000494,14,2733
imagine,0.000494,1,466
introduction,0.000490,1,280
meditate,0.000490,1,514
someone,0.000482,1,638
sensation,0.000479,1,884
teach,0.000478,2,1458
