word,tfidf_score,talk_frequency,global_frequency
etiquette,0.039474,5,5
sincerity,0.029624,8,43
teacher,0.024131,24,532
student,0.022446,8,163
ego,0.022263,7,81
transference,0.018125,3,6
rodney,0.015790,2,2
load-bearing,0.015790,2,2
michael,0.013936,2,3
scott,0.013936,2,4
clip,0.012852,2,8
freud,0.012852,2,6
context,0.010757,6,177
approach,0.010591,6,275
merely,0.008549,2,22
dramatically,0.008549,2,16
examine,0.008376,2,28
relationship,0.008106,8,484
forage,0.007895,1,1
surgical,0.007895,1,1
self-absorption,0.007895,1,1
unpressured,0.007895,1,1
infantile,0.007895,1,1
westen,0.007895,1,1
gabbard,0.007895,1,1
libidinal,0.007895,1,1
idealization,0.007895,1,1
toleration,0.007895,1,1
smith,0.007895,1,1
bureaucracy,0.007895,1,1
wasp,0.007895,1,1
insatiable,0.007895,1,1
15-plus,0.007895,1,1
extent,0.007780,2,21
parameter,0.006968,1,2
currency,0.006968,1,3
code,0.006968,1,3
freudian,0.006968,1,2
therapeutic,0.006968,1,2
glen,0.006968,1,2
displacement,0.006968,1,2
regulate,0.006968,1,2
coexistence,0.006968,1,2
contend,0.006968,1,2
ferocious,0.006968,1,2
dynamic,0.006786,2,46
scrap,0.006426,1,3
heartache,0.006426,1,3
anonymous,0.006426,1,3
portal,0.006426,1,3
pad,0.006426,1,3
psychotherapeutic,0.006426,1,4
reconstruction,0.006426,1,3
ambivalence,0.006426,1,3
self,0.006161,5,1124
model,0.006135,2,72
praise,0.006064,2,67
self-consciousness,0.006042,1,6
non-existence,0.006042,1,7
devotional,0.006042,1,6
dramatize,0.006042,1,6
reproduce,0.006042,1,4
stereotype,0.006042,1,4
compliment,0.006042,1,4
relevant,0.005994,2,51
question,0.005966,7,835
willingness,0.005926,2,70
fade,0.005796,2,64
satiate,0.005743,1,7
unfamiliar,0.005743,1,11
desk,0.005743,1,5
transfer,0.005743,1,5
agnes,0.005743,1,6
callard,0.005743,1,8
ashamed,0.005743,1,5
ajahn,0.005672,2,108
contact,0.005637,3,224
perceive,0.005611,2,98
bless,0.005553,2,119
arrive,0.005506,3,158
irresponsible,0.005499,1,6
unsafe,0.005499,1,6
conversely,0.005499,1,6
exceptional,0.005499,1,6
congeal,0.005499,1,6
sub,0.005499,1,9
carefully,0.005495,2,56
dharma,0.005314,7,827
relinquishment,0.005293,1,16
depiction,0.005293,1,10
sujato,0.005293,1,25
shinzen,0.005293,1,8
flaw,0.005293,1,12
debt,0.005115,1,16
modicum,0.005115,1,8
elevate,0.005115,1,9
flexibility,0.004957,1,10
veil,0.004957,1,11
defense,0.004957,1,10
static,0.004957,1,11
sufficient,0.004957,1,11
pacific,0.004957,1,11
compulsive,0.004817,1,12
flexible,0.004817,1,11
cast,0.004817,1,12
classical,0.004817,1,10
continual,0.004817,1,11
integration,0.004817,1,17
fluidity,0.004817,1,19
role,0.004755,2,120
terrain,0.004689,1,14
historical,0.004689,1,13
construction,0.004689,1,14
