word,tfidf_score,talk_frequency,global_frequency
well-being,0.025486,27,574
jhana,0.020866,10,276
spread,0.015669,11,247
piti,0.014187,4,21
joy,0.013151,17,932
hourglass,0.011565,2,2
pervade,0.011125,4,44
stream,0.009459,5,111
intense,0.009322,4,51
shower,0.008929,3,31
minor,0.008771,3,29
massage,0.008523,4,99
wave,0.008429,5,162
unusual,0.008344,3,30
state,0.008274,14,850
wind,0.008084,5,191
samadhi,0.007750,9,1520
urge,0.007748,3,44
unnecessary,0.007642,3,36
sparkle,0.007527,2,14
factor,0.007361,4,125
homecoming,0.007094,2,13
continual,0.007094,2,11
lift,0.006992,3,57
strength,0.006978,4,102
neck,0.006910,3,55
happiness,0.006715,9,860
modest,0.006584,2,17
immersion,0.006584,2,25
calm,0.006474,9,820
application,0.006306,2,18
accompany,0.006196,3,131
pour,0.006181,2,25
water,0.006120,6,494
adjustment,0.005952,2,19
mild,0.005952,2,22
prevading,0.005782,1,1
elongate,0.005782,1,1
hyper-focused,0.005782,1,1
interlude,0.005782,1,1
gentle,0.005753,5,267
register,0.005748,2,35
degree,0.005631,5,235
absorb,0.005471,3,131
pervasive,0.005394,2,35
taste,0.005280,3,150
ritual,0.005238,2,61
crest,0.005109,1,2
bottleneck,0.005109,1,3
spine,0.005026,2,47
breathe,0.004991,15,2506
everyday,0.004897,2,41
characterize,0.004835,2,40
absorption,0.004775,2,46
sponge,0.004716,1,3
game-changer,0.004716,1,3
expansive,0.004553,2,69
sustain,0.004553,2,142
inspire,0.004505,4,242
wakefulness,0.004436,1,5
vertebra,0.004436,1,5
excite,0.004261,2,63
meditaiton,0.004220,1,6
momentarily,0.004220,1,5
crash,0.004220,1,7
bellow,0.004220,1,6
subtle,0.004138,4,378
thorough,0.004043,1,7
redirect,0.004043,1,9
predominate,0.004043,1,6
possible,0.004041,7,526
reorient,0.003893,1,9
self-awareness,0.003893,1,11
metaphorically,0.003893,1,11
fall,0.003829,4,287
teeny,0.003763,1,10
one-pointedness,0.003763,1,17
cascade,0.003763,1,11
translation,0.003714,2,108
disappear,0.003647,2,125
liberation,0.003551,2,118
skull,0.003547,1,19
socially,0.003547,1,11
half-smile,0.003547,1,12
self-care,0.003547,1,19
jhanic,0.003547,1,15
activity,0.003543,4,455
range,0.003520,2,97
flow,0.003518,4,572
gently,0.003492,5,412
art,0.003489,2,144
criterion,0.003454,1,56
sand,0.003454,1,15
brighten,0.003454,1,36
foot,0.003452,3,235
wide,0.003452,3,262
preoccupy,0.003429,2,124
pause,0.003400,2,198
palm,0.003370,1,17
odd,0.003370,1,15
subtly,0.003370,1,12
private,0.003370,1,29
unfortunately,0.003292,1,18
spark,0.003292,1,17
straighten,0.003292,1,16
suffuse,0.003292,1,31
temporarily,0.003292,1,18
challenge,0.003261,3,309
sukha,0.003220,1,28
irc,0.003220,1,22
warm,0.003105,2,124
dramatically,0.003091,1,17
air,0.003080,2,171
slowly,0.003080,2,108
lung,0.003032,1,28
embed,0.003032,1,27
stance,0.003032,1,21
scar,0.003032,1,25
thin,0.003032,1,23
combination,0.003032,1,24
immerse,0.002976,1,45
sublime,0.002976,1,26
storm,0.002924,1,30
persist,0.002924,1,22
momentary,0.002924,1,25
preoccupation,0.002916,2,215
expression,0.002893,2,131
emotionally,0.002874,1,27
intensity,0.002874,1,27
appear,0.002849,2,137
surface,0.002849,2,165
risk,0.002827,1,26
someplace,0.002827,1,27
appropriate,0.002806,2,175
flat,0.002781,1,36
initial,0.002781,1,24
alertness,0.002738,1,25
lip,0.002738,1,33
inadequate,0.002738,1,32
overall,0.002697,1,27
yesterday,0.002662,2,166
instruction,0.002662,2,216
boy,0.002619,1,44
fragment,0.002619,1,41
that'll,0.002619,1,33
ordinary,0.002603,2,194
yes,0.002602,3,405
plenty,0.002583,1,34
form,0.002534,4,455
territory,0.002513,1,31
share,0.002493,3,469
uplift,0.002448,1,84
expansion,0.002418,1,43
expand,0.002403,2,192
radically,0.002388,1,40
definition,0.002388,1,50
distinguish,0.002388,1,50
bow,0.002359,1,51
mouth,0.002359,1,52
slide,0.002359,1,81
posture,0.002347,5,615
attitude,0.002334,2,299
alive,0.002318,2,205
physically,0.002303,1,48
drink,0.002303,1,64
block,0.002277,1,70
refresh,0.002277,1,56
pali,0.002269,2,234
ride,0.002251,1,75
upright,0.002251,1,66
alert,0.002251,1,50
whereas,0.002226,1,49
quite,0.002213,6,708
fifth,0.002177,1,52
strong,0.002158,3,468
concern,0.002143,2,281
welfare,0.002131,1,105
meditative,0.002087,1,76
invaluable,0.002087,1,71
unification,0.002087,1,101
distress,0.002065,1,87
classic,0.002065,1,62
brensilver,0.002065,1,93
benefit,0.002054,2,270
refuge,0.002044,1,171
matthew,0.002044,1,94
normal,0.002011,2,186
relaxation,0.001984,1,66
almost,0.001977,4,566
significant,0.001965,1,73
inspiration,0.001965,1,126
particular,0.001959,3,447
interpret,0.001946,1,81
prepare,0.001946,1,80
fully,0.001915,2,304
retreat,0.001915,2,401
confuse,0.001910,1,71
event,0.001910,1,85
soften,0.001901,3,555
special,0.001892,1,84
somewhat,0.001892,1,75
resistance,0.001874,1,123
definitely,0.001874,1,79
everyone,0.001843,3,465
afraid,0.001840,1,110
fire,0.001840,1,144
distinction,0.001840,1,100
cling,0.001835,2,578
aside,0.001791,1,113
various,0.001791,1,92
week,0.001789,5,726
every,0.001787,3,507
position,0.001775,1,91
confidence,0.001775,1,164
contract,0.001775,1,101
session,0.001760,1,94
far,0.001747,2,364
tendency,0.001745,1,108
represent,0.001745,1,107
pas,0.001745,1,95
huge,0.001730,1,107
rhythm,0.001715,1,111
lead,0.001710,2,543
concentrate,0.001700,1,123
continue,0.001691,3,428
call,0.001690,7,1079
judge,0.001686,1,114
light,0.001662,2,490
protect,0.001658,1,111
throughout,0.001658,1,100
mostly,0.001658,1,103
extra,0.001644,1,182
cushion,0.001644,1,116
leg,0.001630,1,108
metaphor,0.001604,1,153
appreciation,0.001578,1,209
attend,0.001578,1,132
content,0.001565,1,172
next,0.001565,4,637
arm,0.001553,1,123
supportive,0.001540,1,133
english,0.001540,1,125
attachment,0.001540,1,257
edge,0.001540,1,176
ancient,0.001516,1,155
die,0.001504,1,223
warmth,0.001504,1,156
recognition,0.001492,1,217
care,0.001490,5,1655
relax,0.001475,4,1265
gift,0.001469,1,147
daily,0.001469,1,154
full,0.001428,2,346
chest,0.001392,1,144
