word,tfidf_score,talk_frequency,global_frequency
medical,0.035653,17,41
religion,0.031644,20,92
harm,0.026955,30,422
research,0.021666,13,53
art,0.021066,18,139
buddhism,0.017231,28,515
egg,0.015047,6,17
womb,0.012583,6,36
potluck,0.012154,5,20
sensitivity,0.010810,8,95
researcher,0.010783,4,11
science,0.010486,5,38
ethical,0.009622,8,195
yoni,0.008882,3,13
response,0.008438,8,194
school,0.008366,6,95
rhetoric,0.007732,2,2
panelist,0.007732,2,2
oppression,0.007523,3,12
dance,0.007388,4,44
chicken,0.007293,3,12
oddly,0.006899,3,14
singer,0.006827,2,3
painter,0.006827,2,3
correction,0.006827,2,3
scab,0.006827,2,3
hatch,0.006827,2,3
cure,0.006729,3,22
therapy,0.006729,3,24
incubate,0.006297,2,5
medicine,0.006175,4,84
welfare,0.005826,4,99
challenge,0.005826,8,299
sunday,0.005632,3,27
complacency,0.005630,2,7
solution,0.005541,3,29
announcement,0.005454,3,31
sing,0.005454,3,38
dancer,0.005391,2,48
burmese,0.005391,2,9
express,0.005318,5,144
spectrum,0.005291,3,43
approach,0.005228,6,275
non-harming,0.004747,3,70
properly,0.004724,2,13
hostility,0.004631,3,70
machine,0.004600,2,18
overly,0.004381,2,19
danger,0.004370,3,72
question,0.004252,10,835
principle,0.004183,3,122
conversation,0.004115,4,177
paint,0.004110,2,27
neither,0.004054,3,78
embed,0.004031,2,27
suffer,0.004009,13,1632
funnest,0.003866,1,1
soviet,0.003866,1,1
anti-religion,0.003866,1,1
upswelling,0.003866,1,1
unhealthily,0.003866,1,1
over-doers,0.003866,1,1
anjali,0.003866,1,1
glaringly,0.003866,1,1
lustful,0.003866,1,1
self-attachment,0.003866,1,1
expressivity,0.003866,1,1
inhibition,0.003866,1,1
de-stressed,0.003866,1,1
birthplace,0.003866,1,1
10-minute,0.003866,1,1
military-industrial,0.003866,1,1
aggadhamma,0.003866,1,1
unhealthy,0.003819,2,30
steal,0.003819,2,50
bell,0.003818,3,110
zen,0.003746,3,136
chance,0.003737,4,150
health,0.003710,3,96
truth,0.003668,5,487
there'll,0.003527,2,30
unite,0.003527,2,32
discussion,0.003511,3,90
compassion,0.003508,6,675
someone,0.003446,9,601
imc,0.003432,4,173
reverent,0.003413,1,2
unlimited,0.003413,1,2
outrageous,0.003413,1,2
over-striving,0.003413,1,2
silananda,0.003413,1,2
group,0.003406,4,246
they've,0.003359,3,96
meal,0.003333,2,42
phenomenal,0.003333,2,46
gil,0.003322,8,411
religious,0.003205,2,71
eightfold,0.003205,2,83
enlighten,0.003205,2,46
noble,0.003191,3,264
spiritual,0.003160,4,557
limitless,0.003148,1,7
recoil,0.003148,1,3
emotionality,0.003148,1,3
succinct,0.003148,1,4
ring,0.003088,2,65
abandon,0.003088,2,82
cause,0.003054,5,374
strive,0.003051,2,89
kill,0.003051,2,121
expression,0.002987,3,124
silence,0.002963,3,195
humorous,0.002961,1,4
predominantly,0.002961,1,5
odds,0.002961,1,5
resentful,0.002961,1,5
immigrant,0.002961,1,4
reason,0.002902,5,270
desire,0.002902,5,739
delicious,0.002815,1,7
union,0.002815,1,8
overemphasis,0.002815,1,7
daydream,0.002815,1,5
complacent,0.002815,1,6
converse,0.002815,1,7
gestate,0.002815,1,13
conference,0.002815,1,6
officer,0.002815,1,5
custom,0.002815,1,5
psychological,0.002789,2,70
lab,0.002696,1,6
neurotic,0.002696,1,6
metaphorical,0.002696,1,6
unwise,0.002696,1,6
beingness,0.002696,1,10
conversely,0.002696,1,6
academic,0.002696,1,9
department,0.002696,1,7
corrupt,0.002696,1,7
beneficial,0.002675,2,92
priest,0.002595,1,33
repair,0.002595,1,18
sickness,0.002595,1,8
abstain,0.002595,1,20
youth,0.002595,1,11
minute,0.002577,5,343
ask,0.002551,6,667
fit,0.002546,2,83
others,0.002535,13,1054
definitely,0.002521,2,77
tell,0.002511,6,560
phd,0.002508,1,14
japan,0.002508,1,8
sincerely,0.002508,1,8
conceited,0.002508,1,8
industry,0.002508,1,8
police,0.002508,1,8
result,0.002497,2,98
purpose,0.002479,3,266
happiness,0.002463,5,830
tax,0.002431,1,13
symbolic,0.002431,1,16
cruel,0.002431,1,11
core,0.002428,2,128
self,0.002408,4,1128
explain,0.002405,2,92
within,0.002393,6,524
monk,0.002383,2,212
flexible,0.002362,1,11
dalai,0.002362,1,17
heal,0.002362,2,107
couple,0.002300,3,175
artist,0.002300,1,13
lousy,0.002300,1,11
human,0.002297,6,541
sangha,0.002259,2,236
betray,0.002243,1,12
antidote,0.002243,1,18
forgive,0.002243,1,19
month,0.002239,2,109
quietly,0.002239,2,94
comfortable,0.002233,3,211
nature,0.002221,4,395
impact,0.002220,2,127
cell,0.002191,1,16
ceremony,0.002191,1,26
office,0.002191,1,19
spontaneously,0.002191,1,22
bay,0.002191,1,16
unethical,0.002191,1,22
healthy,0.002185,3,267
build,0.002185,3,234
refer,0.002145,2,104
debate,0.002142,1,41
representation,0.002142,1,27
lama,0.002142,1,23
permission,0.002142,1,18
deep,0.002140,15,1651
wind,0.002127,2,191
form,0.002126,5,443
wonderful,0.002126,5,485
thailand,0.002097,1,24
buddhist,0.002076,6,815
benefit,0.002075,3,253
period,0.002075,2,112
perpetuate,0.002055,1,20
emphasis,0.002041,2,114
pick,0.002041,2,119
difficulty,0.002041,2,212
whisper,0.002015,1,27
company,0.002015,1,29
involve,0.002000,4,408
fantasize,0.001978,1,25
preoccupation,0.001975,2,205
order,0.001957,3,236
unfortunate,0.001943,1,27
problematic,0.001943,1,27
therapist,0.001943,1,31
wholesomeness,0.001943,1,29
buddha,0.001932,8,1777
usually,0.001915,3,232
table,0.001909,1,31
spirituality,0.001909,1,41
glad,0.001909,1,36
scientist,0.001909,1,26
profound,0.001883,2,207
intend,0.001877,1,31
analyze,0.001877,1,33
freedom,0.001868,4,600
big,0.001867,5,645
study,0.001854,2,175
extreme,0.001818,1,36
matter,0.001806,3,286
source,0.001797,2,340
energy,0.001793,3,441
theravada,0.001764,1,51
primarily,0.001764,1,29
subtleness,0.001764,1,33
fronsdal,0.001754,3,270
criticize,0.001738,1,36
song,0.001738,1,49
design,0.001738,1,31
hope,0.001728,3,254
speak,0.001715,3,422
hear,0.001715,5,844
hi,0.001713,1,36
hall,0.001713,1,46
tea,0.001713,1,52
respectful,0.001713,1,33
literal,0.001713,1,33
violence,0.001713,1,62
interest,0.001701,4,504
oneself,0.001690,2,177
nobody,0.001690,1,57
phone,0.001667,1,61
vipassana,0.001667,1,87
bear,0.001665,2,231
everyone,0.001661,4,446
suppose,0.001652,2,163
recommend,0.001644,1,36
navigate,0.001623,1,51
dream,0.001623,1,55
family,0.001616,2,262
philosophy,0.001602,1,49
ever,0.001592,2,180
system,0.001592,2,295
reveal,0.001582,1,56
ethic,0.001582,1,140
bias,0.001563,1,50
