word,tfidf_score,talk_frequency,global_frequency
bypass,0.038021,33,76
spiritual,0.027177,70,555
anger,0.020000,47,346
integration,0.009217,8,17
ego,0.009130,12,81
western,0.007406,9,58
relation,0.006877,7,32
tibetan,0.006873,8,48
welwood,0.006667,4,11
scandal,0.006667,4,5
psychology,0.006407,8,47
level,0.006340,18,282
john,0.005761,5,25
consciousness,0.005671,8,129
uneven,0.005666,3,3
superego,0.005666,3,3
aronson,0.005666,3,3
gatha,0.005666,3,3
toward,0.005310,9,152
case,0.005064,11,167
chernikoff,0.005001,3,6
pema,0.005001,3,4
compassion,0.004937,17,634
angry,0.004895,9,174
suppress,0.004894,4,15
teacher,0.004810,20,532
threaten,0.004743,4,27
spirituality,0.004734,5,40
pride,0.004375,4,16
highly,0.004296,5,33
mother,0.004206,6,94
tibet,0.004121,3,8
woman,0.004114,6,167
unity,0.004090,4,51
personality,0.004058,5,53
tendency,0.003981,7,105
innate,0.003947,3,9
dimension,0.003852,5,56
beyond,0.003803,8,183
book,0.003800,9,247
interpersonal,0.003799,3,15
leapfrog,0.003777,2,2
thirdly,0.003777,2,2
directive,0.003777,2,2
psycho-emotional,0.003777,2,2
tulku,0.003777,2,2
nepal,0.003777,2,2
scour,0.003777,2,2
west,0.003758,5,54
david,0.003671,3,16
transcend,0.003671,3,13
regard,0.003669,5,75
relative,0.003660,4,27
grieve,0.003543,4,47
confusion,0.003386,4,55
student,0.003356,5,163
naropa,0.003334,2,6
psychotherapist,0.003334,2,4
mightily,0.003334,2,3
chodron,0.003334,2,3
sister,0.003205,3,24
mountain,0.003187,5,107
lama,0.003134,3,23
relate,0.003101,11,328
express,0.003099,6,144
attachment,0.003099,6,217
girlfriend,0.003074,2,6
self-talk,0.003074,2,5
grocery,0.003067,3,25
example,0.003045,12,367
briefly,0.002970,4,51
development,0.002970,4,57
form,0.002947,14,430
robert,0.002890,2,6
curriculum,0.002890,2,5
rocky,0.002890,2,5
breast,0.002890,2,8
cancer,0.002890,2,5
awaken,0.002818,8,412
marriage,0.002748,2,8
abusive,0.002748,2,9
terrify,0.002748,2,9
perfectionism,0.002748,2,6
ally,0.002748,2,7
situation,0.002715,8,315
negative,0.002685,4,72
absolute,0.002657,3,29
east,0.002657,3,33
ultimate,0.002657,3,35
circumstance,0.002657,4,83
someone,0.002651,14,577
developmental,0.002631,2,12
sexuality,0.002631,2,17
transcendent,0.002631,2,10
embrace,0.002577,3,59
grief,0.002550,4,132
advice,0.002540,3,36
caregiver,0.002532,2,12
aggression,0.002532,2,11
recite,0.002532,2,11
particularly,0.002500,4,86
necessary,0.002475,4,67
humanity,0.002469,3,47
human,0.002462,13,532
sharon,0.002447,2,14
father,0.002435,3,53
personal,0.002416,5,156
unresolved,0.002372,2,16
defense,0.002372,2,10
oftentimes,0.002372,2,12
master,0.002371,3,54
root,0.002360,4,140
mindful,0.002347,6,255
escape,0.002341,3,57
boundary,0.002311,3,61
store,0.002311,3,52
belief,0.002302,5,280
appropriate,0.002302,5,168
deal,0.002295,4,105
intuitive,0.002243,2,14
university,0.002243,2,16
writer,0.002243,2,22
mystery,0.002243,2,17
true,0.002238,8,389
last,0.002210,14,510
inherent,0.002201,3,62
authentic,0.002188,2,17
unfortunately,0.002188,2,16
therapy,0.002188,2,24
act,0.002177,6,311
honest,0.002176,3,65
perspective,0.002175,4,191
however,0.002144,5,151
advise,0.002136,2,14
healthy,0.002129,6,265
train,0.002128,5,296
emotion,0.002126,7,379
naive,0.002089,2,23
commonly,0.002089,2,16
manner,0.002089,2,16
wind,0.002083,4,189
vision,0.002080,3,178
develop,0.002079,7,353
call,0.002044,26,1016
move,0.002037,15,629
die,0.002014,4,202
unconscious,0.002004,2,45
prison,0.002004,2,62
early,0.002003,7,286
wake,0.001998,4,121
bless,0.001992,3,119
age,0.001972,3,77
i'd,0.001972,9,426
yet,0.001971,5,235
flip,0.001965,2,23
renounce,0.001965,2,39
hat,0.001965,2,21
moon,0.001965,2,27
fully,0.001948,6,284
painful,0.001932,3,98
habitual,0.001928,2,26
million,0.001928,2,21
year,0.001912,12,817
account,0.001894,2,28
problematic,0.001894,2,27
recognize,0.001894,10,645
class,0.001893,3,113
work,0.001889,21,1341
self-transcendence,0.001889,1,1
unhealed,0.001889,1,1
enforce,0.001889,1,1
black-and-white,0.001889,1,1
bitterness,0.001889,1,1
self-suppression,0.001889,1,1
goleman,0.001889,1,1
condemnation,0.001889,1,1
journalism,0.001889,1,1
newsworthy,0.001889,1,1
skew,0.001889,1,1
ashram,0.001889,1,1
compensate,0.001889,1,1
perfectionistic,0.001889,1,1
somber,0.001889,1,1
lamott,0.001889,1,1
myopia,0.001889,1,1
cellulite,0.001889,1,1
blessedly,0.001889,1,1
blur,0.001889,1,1
zorba,0.001889,1,1
ipad,0.001889,1,1
tummy,0.001889,1,1
