word,tfidf_score,talk_frequency,global_frequency
humor,0.084307,16,23
play,0.049092,32,271
laugh,0.032739,8,42
funny,0.020035,6,46
cry,0.019774,6,55
captain,0.019179,3,5
self-consciousness,0.018034,3,6
fake,0.017146,3,7
playfulness,0.017146,3,8
convention,0.016421,3,15
friendly,0.014156,5,122
buzzkill,0.013861,2,3
factor,0.012922,5,114
patrol,0.012786,2,4
phenomenon,0.011776,5,104
fidelity,0.011431,2,7
list,0.011032,6,269
self,0.011002,9,1128
suspicious,0.010947,2,10
self-story,0.010947,2,10
psychotherapy,0.010947,2,11
serious,0.010587,3,34
yogi,0.010538,2,10
dharma,0.009776,13,838
ego,0.009519,3,81
reward,0.008033,2,22
brother,0.007890,2,38
therapist,0.007890,2,31
beacon,0.007850,1,1
temperamental,0.007850,1,1
ajahns,0.007850,1,1
george,0.007850,1,1
re-acquiring,0.007850,1,1
non-vigilance,0.007850,1,1
90-minute,0.007850,1,1
laughter,0.007829,3,74
excitement,0.007754,2,33
pervade,0.007501,2,44
state,0.007348,9,818
fellow,0.007058,2,44
patient,0.007058,2,116
genius,0.006931,1,2
nickname,0.006931,1,2
award,0.006931,1,2
misattuned,0.006931,1,2
seriousness,0.006931,1,2
amuse,0.006931,1,2
saunders,0.006931,1,2
psychoanalyst,0.006931,1,2
winnicott,0.006931,1,2
aimless,0.006931,1,2
wildness,0.006931,1,2
co-occurring,0.006931,1,2
blot,0.006931,1,2
zone,0.006768,2,38
shame,0.006507,2,45
lightness,0.006425,2,74
iteration,0.006393,1,3
revise,0.006393,1,3
incompatible,0.006393,1,3
freud,0.006393,1,6
subterranean,0.006393,1,3
self-hatred,0.006393,1,3
quick,0.006269,2,42
expel,0.006011,1,5
shelf,0.006011,1,4
bound,0.006011,1,5
kalyanamitta,0.006011,1,6
testify,0.006011,1,5
workshop,0.006011,1,8
friendship,0.005982,2,126
absence,0.005915,2,96
radar,0.005715,1,5
rethink,0.005715,1,6
nietzsche,0.005715,1,6
intrinsically,0.005715,1,6
foible,0.005715,1,15
orbit,0.005715,1,14
wound,0.005715,1,5
progressively,0.005715,1,10
porous,0.005715,1,5
totally,0.005662,2,92
matthew,0.005544,2,93
anywhere,0.005544,2,62
sub,0.005474,1,9
marvel,0.005474,1,6
defensiveness,0.005474,1,7
cosmic,0.005474,1,9
lack,0.005271,2,91
intimidate,0.005269,1,9
inhalation,0.005269,1,16
it'd,0.005269,1,8
sneak,0.005269,1,9
tab,0.005269,1,9
defensive,0.005269,1,7
curious,0.005169,2,93
simultaneously,0.005092,1,20
exhalation,0.005092,1,16
beneath,0.004936,1,12
future,0.004848,3,217
dust,0.004796,1,14
jhanic,0.004796,1,15
effortless,0.004796,1,35
able,0.004709,7,610
sort,0.004706,3,276
writer,0.004670,1,22
maturity,0.004670,1,14
joke,0.004670,1,14
forget,0.004587,2,94
characteristic,0.004587,2,190
accumulate,0.004554,1,15
mystery,0.004554,1,18
sincere,0.004554,1,26
senior,0.004554,1,17
egoic,0.004554,1,17
truth,0.004469,3,487
assess,0.004448,1,16
precise,0.004448,1,19
poignancy,0.004448,1,19
threat,0.004448,1,17
tolerate,0.004448,1,14
overlap,0.004448,1,17
rigid,0.004448,1,19
mile,0.004448,1,15
playful,0.004350,1,20
thai,0.004350,1,17
inclusion,0.004350,1,26
smart,0.004258,1,20
tell,0.004249,5,560
defilement,0.004173,1,29
cannot,0.004077,2,130
business,0.004017,1,21
oxygen,0.003945,1,36
sea,0.003945,1,27
gift,0.003916,2,147
directly,0.003916,2,114
young,0.003885,2,162
perform,0.003877,1,28
intensity,0.003877,1,27
uncommon,0.003877,1,24
distinct,0.003877,1,24
identification,0.003812,1,33
colleague,0.003812,1,31
alertness,0.003692,1,25
surrender,0.003692,1,79
uncertainty,0.003635,1,36
framework,0.003635,1,47
opportunity,0.003565,2,170
far,0.003535,3,355
prove,0.003529,1,42
practitioner,0.003458,2,200
grateful,0.003384,1,40
share,0.003357,3,458
emptiness,0.003339,1,85
fresh,0.003339,1,40
responsible,0.003339,1,38
cease,0.003296,1,53
exploration,0.003296,1,49
progress,0.003296,1,45
spiritual,0.003208,2,557
anicca,0.003173,1,58
boundary,0.003173,1,62
pressure,0.003160,2,263
joy,0.003139,3,925
couple,0.003114,2,175
bottom,0.003061,1,46
model,0.003026,1,75
dark,0.002991,1,57
delight,0.002979,2,291
excite,0.002958,1,59
zoom,0.002925,1,79
central,0.002893,1,73
okay,0.002879,5,1128
forest,0.002862,1,108
jhana,0.002831,1,275
brensilver,0.002801,1,90
basically,0.002801,1,94
worth,0.002801,1,75
conscious,0.002801,1,66
woman,0.002801,1,170
organize,0.002772,1,153
dissolve,0.002744,1,83
abide,0.002744,1,155
relaxation,0.002716,1,62
afternoon,0.002662,1,67
potential,0.002662,1,82
ago,0.002650,2,265
grief,0.002635,1,133
sweet,0.002610,1,91
fun,0.002610,1,103
fit,0.002584,1,83
consideration,0.002584,1,65
spacious,0.002560,1,109
cool,0.002560,1,107
retreat,0.002555,2,389
forward,0.002555,2,223
spirit,0.002511,1,105
peace,0.002509,3,632
strange,0.002488,1,70
meaningful,0.002420,1,91
useful,0.002409,2,275
pain,0.002409,2,503
session,0.002398,1,92
surprise,0.002376,1,88
everywhere,0.002334,1,99
attune,0.002293,1,116
folk,0.002273,1,124
perspective,0.002273,1,191
quickly,0.002254,1,91
depend,0.002234,1,109
reach,0.002234,1,102
since,0.002215,1,95
circle,0.002215,1,152
noble,0.002160,1,264
join,0.002142,1,113
remind,0.002106,1,110
haven't,0.002089,1,98
orient,0.002055,1,178
hurt,0.002055,1,127
path,0.002031,2,796
theme,0.002022,1,123
remember,0.002000,2,388
teacher,0.002000,2,536
year,0.001983,3,821
balance,0.001942,1,231
surface,0.001927,1,160
must,0.001912,1,154
profound,0.001912,1,207
child,0.001912,1,210
stick,0.001810,1,191
towards,0.001810,2,480
space,0.001796,2,704
train,0.001756,1,299
hour,0.001756,1,193
lot,0.001748,11,1504
drive,0.001703,1,192
enjoy,0.001678,1,194
system,0.001616,1,295
force,0.001604,1,219
wide,0.001592,1,254
relax,0.001534,3,1230
object,0.001512,1,302
behind,0.001512,1,185
release,0.001490,1,296
awaken,0.001468,1,413
tomorrow,0.001446,1,180
receive,0.001436,1,368
direct,0.001436,1,270
tradition,0.001425,1,330
buddhist,0.001405,2,815
hear,0.001393,2,844
head,0.001374,1,267
area,0.001354,1,264
try,0.001317,5,1260
name,0.001306,1,302
usually,0.001296,1,232
cling,0.001277,1,535
moment,0.001271,8,1823
late,0.001268,1,269
begin,0.001252,5,1414
buddhism,0.001250,1,515
though,0.001222,1,233
flow,0.001196,1,564
often,0.001188,3,1064
compassion,0.001187,1,675
relate,0.001187,1,328
wisdom,0.001144,1,537
move,0.001140,2,632
light,0.001136,1,462
nature,0.001127,1,395
together,0.001116,3,1021
work,0.001116,3,1346
offer,0.001108,2,668
tension,0.001070,1,604
room,0.001046,1,414
always,0.001044,2,717
friend,0.001023,1,536
probably,0.001015,1,343
strong,0.001008,1,439
beautiful,0.001008,1,541
show,0.000985,1,525
ease,0.000978,1,533
look,0.000967,4,1416
somehow,0.000955,1,311
point,0.000950,3,1111
freedom,0.000948,1,600
sometimes,0.000945,7,1848
use,0.000936,3,1166
grow,0.000934,1,485
guide,0.000923,3,876
didn't,0.000919,1,507
breathe,0.000910,2,2454
link,0.000900,2,507
meet,0.000898,1,600
open,0.000882,3,1195
well,0.000882,3,1325
soften,0.000870,1,544
deep,0.000869,3,1651
ask,0.000863,1,667
nothing,0.000857,1,464
gil,0.000843,1,411
whole,0.000840,2,1133
story,0.000830,1,988
morning,0.000816,1,390
sense,0.000808,10,2910
every,0.000803,1,489
introduction,0.000790,1,275
teach,0.000782,2,1396
possible,0.000777,1,510
dharmette,0.000740,1,318
clear,0.000733,1,560
happy,0.000725,2,840
nice,0.000721,1,546
wish,0.000721,1,577
awareness,0.000685,1,1247
almost,0.000667,1,558
last,0.000655,1,514
posture,0.000649,1,594
turn,0.000632,1,674
safe,0.000609,1,420
notice,0.000570,1,1190
next,0.000538,1,610
everything,0.000532,1,881
another,0.000517,1,747
become,0.000508,4,1735
different,0.000501,3,1883
many,0.000492,2,1071
start,0.000475,2,1491
week,0.000470,1,710
place,0.000467,2,1576
whatever,0.000458,2,1184
still,0.000455,1,785
important,0.000450,1,806
hold,0.000445,1,1003
keep,0.000440,1,806
people,0.000431,4,3207
anything,0.000425,1,812
practice,0.000425,9,3716
bite,0.000424,2,1484
care,0.000420,1,1588
little,0.000415,4,2311
good,0.000385,5,2445
present,0.000363,1,1195
today,0.000349,1,831
bring,0.000344,1,1164
end,0.000342,2,1089
much,0.000339,4,1630
call,0.000335,1,1020
happen,0.000326,2,2047
away,0.000326,1,1003
even,0.000318,8,1850
without,0.000317,1,957
day,0.000308,1,989
idea,0.000303,1,1586
part,0.000302,2,1601
welcome,0.000272,1,692
life,0.000265,3,2727
mean,0.000263,1,1429
long,0.000259,1,932
information,0.000255,1,405
find,0.000246,2,1649
around,0.000238,1,1126
thing,0.000236,5,4774
word,0.000221,1,1319
right,0.000191,1,2070
may,0.000191,1,2171
mind,0.000189,4,4488
want,0.000177,2,2968
thank,0.000167,1,1167
world,0.000143,1,2334
experience,0.000143,1,3049
make,0.000132,2,2377
body,0.000127,1,3238
think,0.000108,6,5868
take,0.000094,2,2211
might,0.000092,1,2112
u,0.000076,3,3291
let,0.000058,1,2651
feel,0.000043,6,6172
time,0.000036,2,2834
ai-generated,0.000000,1,374
transcript,0.000000,1,377
auto-generated,0.000000,1,374
subtitle,0.000000,1,375
video,0.000000,1,393
meditation,0.000000,4,3415
likely,0.000000,1,466
contain,0.000000,1,405
inaccuracy,0.000000,1,374
follow,0.000000,2,699
talk,0.000000,3,2392
give,0.000000,2,1870
insight,0.000000,2,1665
center,0.000000,2,1099
redwood,0.000000,1,421
city,0.000000,1,479
california,0.000000,2,432
please,0.000000,1,559
visit,0.000000,1,462
website,0.000000,1,441
www,0.000000,1,389
audiodharma,0.000000,1,389
org,0.000000,1,404
