word,tfidf_score,talk_frequency,global_frequency
grief,0.082139,30,143
grieve,0.031331,8,48
renounce,0.030216,7,40
illusion,0.026882,6,31
sanctity,0.025010,3,3
reverence,0.019522,4,29
pessimist,0.016673,2,2
renunciation,0.016572,5,73
facet,0.016333,3,12
comprehend,0.015842,3,13
indispensable,0.014745,2,3
ennoble,0.013617,2,4
measure,0.012547,5,93
pregnant,0.012196,2,14
sponsor,0.011689,2,7
consolation,0.011260,2,8
dharma,0.010288,13,870
soak,0.010003,2,17
amidst,0.009140,2,19
entail,0.009140,2,23
false,0.008961,2,23
fist,0.008633,2,55
gap,0.008483,2,29
sila,0.008483,2,43
lineage,0.008340,2,29
specie,0.008340,2,28
2600-year,0.008337,1,1
moralism,0.008337,1,1
rearise,0.008337,1,1
agony,0.008337,1,1
controversial,0.008337,1,1
primatologist,0.008337,1,1
frans,0.008337,1,1
waal,0.008337,1,1
anthropodenial,0.008337,1,1
disobedience,0.008337,1,1
8-year-old,0.008337,1,1
inflect,0.008337,1,1
self-perceptions,0.008337,1,1
roost,0.008337,1,1
evolve,0.007505,2,34
arrow,0.007404,2,133
crook,0.007372,1,2
connive,0.007372,1,2
irreducible,0.007372,1,2
inevitability,0.007372,1,2
de,0.007372,1,2
explanatory,0.007372,1,2
sensitively,0.007372,1,3
carnival,0.007372,1,2
intelligible,0.007372,1,2
trench,0.007372,1,2
taylor,0.007372,1,2
self-aggrandizing,0.007372,1,2
widespread,0.007372,1,19
commend,0.007372,1,2
grandiosity,0.007372,1,2
moralize,0.007372,1,2
morally,0.007372,1,2
wallow,0.007372,1,2
pema,0.007372,1,4
chodron,0.007372,1,3
hall,0.007306,2,48
multitasking,0.006809,1,5
ping-pong,0.006809,1,5
spy,0.006809,1,3
ambivalence,0.006809,1,3
cohen,0.006809,1,3
anticipatory,0.006809,1,3
primal,0.006809,1,3
lamentation,0.006809,1,4
moggallana,0.006809,1,8
cluster,0.006809,1,3
placeholder,0.006809,1,3
receptively,0.006809,1,3
trope,0.006809,1,3
ungovernability,0.006809,1,3
stagnation,0.006809,1,6
baldwin,0.006809,1,5
stagnant,0.006809,1,3
anicca,0.006783,2,59
skin,0.006705,2,62
hurt,0.006572,3,143
wake,0.006424,3,138
footnote,0.006408,1,5
exquisitely,0.006408,1,4
leonard,0.006408,1,4
shelley,0.006408,1,5
optimism,0.006408,1,4
self-deception,0.006408,1,4
truth,0.006224,4,536
scheme,0.006098,1,5
playfulness,0.006098,1,8
unimaginable,0.006098,1,7
shatter,0.006098,1,5
transmute,0.006098,1,10
loss,0.005905,2,127
sacred,0.005847,2,96
positive,0.005847,2,84
ought,0.005845,1,7
sariputta,0.005845,1,33
powerlessness,0.005845,1,9
humor,0.005630,1,23
morality,0.005630,1,15
bodhicitta,0.005630,1,10
owe,0.005444,1,10
largely,0.005444,1,11
sickness,0.005444,1,9
engine,0.005444,1,8
afflictive,0.005444,1,10
amorphous,0.005444,1,8
unrealistic,0.005444,1,8
homelessness,0.005444,1,8
pain,0.005288,4,518
bolster,0.005281,1,9
chicken,0.005281,1,12
launch,0.005134,1,18
denial,0.005134,1,10
jam,0.005134,1,14
grasp,0.005105,2,142
vastness,0.005001,1,20
criterion,0.005001,1,56
death,0.004977,2,172
grow,0.004907,5,525
underwater,0.004880,1,13
cure,0.004880,1,22
quest,0.004880,1,17
fool,0.004880,1,33
joke,0.004880,1,15
purification,0.004880,1,33
egoic,0.004769,1,19
proliferation,0.004769,1,29
unfortunately,0.004769,1,18
clench,0.004769,1,19
foster,0.004769,1,17
mechanism,0.004666,1,16
generally,0.004590,2,105
hat,0.004396,1,21
resolution,0.004396,1,25
die,0.004381,2,224
noble,0.004381,2,283
animate,0.004317,1,23
completely,0.004302,3,264
momentary,0.004241,1,25
ethically,0.004241,1,26
implicit,0.004170,1,30
