word,tfidf_score,talk_frequency,global_frequency
incidental,0.049778,9,15
self-esteem,0.033498,5,7
worth,0.026140,9,77
deprivation,0.022974,4,9
symptom,0.021535,5,52
self,0.020136,16,1143
ryan,0.016430,2,2
esteem,0.016430,2,2
spectator,0.016430,2,2
heavy,0.016172,5,57
evaluate,0.013439,3,18
worthiness,0.013399,2,4
unworthiness,0.013399,2,4
zafu,0.012606,2,5
richard,0.012606,2,6
self-evaluation,0.012606,2,5
role,0.012181,5,135
conference,0.011990,2,6
brown,0.011990,2,8
ordinariness,0.011990,2,6
worthy,0.011670,3,32
matthew,0.011618,4,94
selfing,0.011494,3,100
idealistic,0.011487,2,7
thaw,0.011487,2,7
actor,0.011487,2,8
research,0.010711,3,53
normally,0.009593,3,47
vulnerability,0.009354,2,17
effect,0.009039,4,165
science,0.008781,2,40
hurt,0.008683,4,138
yoga,0.008614,2,30
dignity,0.008456,2,27
preoccupation,0.008284,4,215
silence,0.008284,4,205
infer,0.008215,1,1
labradoodle,0.008215,1,1
labradoodles,0.008215,1,1
dharma-scientific,0.008215,1,1
davidson,0.008215,1,1
import,0.008215,1,1
kirk,0.008215,1,1
warren,0.008215,1,1
salience,0.008215,1,1
deficiency,0.008215,1,1
morass,0.008215,1,1
brutality,0.008215,1,1
iyengar,0.008215,1,1
non-regret,0.008215,1,1
uncaring,0.008215,1,1
garfield,0.008215,1,1
pre-existent,0.008215,1,1
psychophysiological,0.008215,1,1
conduct,0.008166,2,32
goal,0.007843,3,131
social,0.007772,3,127
surrender,0.007663,2,80
project,0.007567,3,106
grasp,0.007436,3,142
medicate,0.007259,1,2
self-regard,0.007259,1,2
measurement,0.007259,1,2
self-harshness,0.007259,1,2
primordial,0.007259,1,2
unitary,0.007259,1,2
suggest,0.006891,3,91
manager,0.006700,1,3
eminent,0.006700,1,3
regulation,0.006700,1,3
self-worth,0.006700,1,5
intermediate,0.006700,1,3
function,0.006512,3,125
object,0.006492,4,302
pain,0.006337,5,516
blizzard,0.006303,1,15
