word,tfidf_score,talk_frequency,global_frequency
courage,0.096031,30,89
fear,0.024333,23,489
courageous,0.023939,5,14
marshall,0.014281,2,2
surrender,0.013837,4,57
temperamentally,0.012605,2,3
disrupts,0.011625,2,4
disorientation,0.010389,2,9
skeptical,0.009948,2,10
terror,0.009948,2,10
brain,0.009641,4,108
exhalation,0.009253,2,16
path,0.009164,10,795
controlling,0.008968,2,13
grieving,0.008482,2,22
restful,0.008272,2,15
shorter,0.008272,2,14
casually,0.008272,2,18
entail,0.008078,2,21
threat,0.008078,2,17
phrase,0.007811,4,175
strike,0.007732,2,18
specie,0.007732,2,21
blankness,0.007141,1,1
redemptive,0.007141,1,1
doingness,0.007141,1,1
megan,0.007141,1,1
cowan,0.007141,1,1
chris,0.007141,1,1
mckenna,0.007141,1,1
endearing,0.007141,1,1
risk-averse,0.007141,1,1
harm-avoidant,0.007141,1,1
threshold,0.007141,1,1
chucking,0.007141,1,1
kay,0.007141,1,1
tye,0.007141,1,1
authoritarian,0.007141,1,1
micro-level,0.007141,1,1
constellate,0.007141,1,1
necessitate,0.007141,1,1
thinness,0.007141,1,1
immanuel,0.007141,1,1
kant,0.007141,1,1
annihilation,0.007141,1,1
problem-solving,0.007141,1,1
problem-solve,0.007141,1,1
cataloging,0.007141,1,1
coward,0.007141,1,1
aquinas,0.007141,1,1
afraid,0.006820,3,103
suffering,0.006807,11,1427
control,0.006798,4,245
gesture,0.006596,2,42
pervasive,0.006596,2,35
sangha,0.006335,3,231
poignency,0.006303,1,2
effortlessness,0.006303,1,8
patently,0.006303,1,2
khema,0.006303,1,4
demonize,0.006303,1,2
cite,0.006303,1,2
niche,0.006303,1,2
groundless,0.006303,1,2
nameless,0.006303,1,2
trespass,0.006303,1,2
marshaled,0.006303,1,2
construed,0.006303,1,2
martial,0.006303,1,3
adhitthana,0.006303,1,2
bravery,0.006303,1,2
solve,0.005900,2,59
spiritual,0.005872,4,555
intimidating,0.005812,1,3
ledge,0.005812,1,3
trading,0.005812,1,5
primal,0.005812,1,3
pervasiveness,0.005812,1,3
maintains,0.005812,1,3
michelle,0.005812,1,4
mcdonald,0.005812,1,3
self-discovery,0.005812,1,3
crew,0.005812,1,4
careful,0.005809,3,120
impulse,0.005683,2,63
old,0.005618,3,153
bottom,0.005549,2,46
widen,0.005464,1,10
entrained,0.005464,1,4
manufactured,0.005464,1,4
ayya,0.005464,1,14
distort,0.005464,1,6
woven,0.005464,1,7
disrupt,0.005464,1,4
friction,0.005464,1,4
willingness,0.005360,2,70
needed,0.005287,4,227
correlated,0.005195,1,5
plastic,0.005195,1,8
st,0.005195,1,5
sensitivity,0.005022,2,91
clinging,0.005020,4,428
settleness,0.004974,1,11
tab,0.004974,1,7
height,0.004974,1,8
heading,0.004974,1,8
command,0.004974,1,7
campus,0.004974,1,24
measure,0.004919,2,67
imc,0.004790,3,158
renouncing,0.004788,1,14
inhalation,0.004788,1,16
humor,0.004788,1,23
desperation,0.004788,1,7
linked,0.004788,1,7
cognition,0.004788,1,9
relinquish,0.004788,1,7
sensitive,0.004680,2,86
nectar,0.004626,1,11
mixed,0.004626,1,12
faint,0.004626,1,9
truthfulness,0.004626,1,20
juice,0.004484,1,19
solved,0.004484,1,11
stock,0.004484,1,14
dread,0.004484,1,18
thomas,0.004484,1,9
cue,0.004356,1,13
mei,0.004356,1,56
elliott,0.004356,1,42
worry,0.004340,2,107
awe,0.004241,1,31
dense,0.004241,1,21
helplessness,0.004241,1,19
dana,0.004241,1,28
study,0.004186,2,120
folk,0.004149,2,123
partially,0.004136,1,14
sincere,0.004136,1,26
dharma,0.004120,6,827
speaking,0.004077,2,130
wellspring,0.004039,1,21
generally,0.004007,2,98
new,0.003980,5,543
dissolution,0.003950,1,29
attune,0.003866,1,19
paramis,0.003866,1,22
worrying,0.003788,1,17
perfection,0.003788,1,30
resolution,0.003788,1,24
realized,0.003776,2,125
cannot,0.003714,2,129
silence,0.003684,2,192
teacher,0.003666,4,522
million,0.003646,1,21
extremely,0.003646,1,22
total,0.003646,1,28
implicit,0.003580,1,29
addressed,0.003580,1,22
attuning,0.003580,1,30
distinct,0.003518,1,24
scientist,0.003518,1,26
must,0.003454,2,154
relax,0.003404,5,552
dangerous,0.003403,1,33
ignorance,0.003349,1,46
accessible,0.003349,1,31
soothing,0.003298,1,30
followed,0.003298,1,30
line,0.003294,2,206
elsewhere,0.003248,1,27
manifest,0.003248,1,36
highly,0.003248,1,33
letting,0.003203,6,758
mode,0.003201,1,51
advice,0.003201,1,36
smaller,0.003201,1,32
sweetness,0.003201,1,89
develop,0.003193,2,191
glass,0.003155,1,56
wood,0.003155,1,51
moral,0.003155,1,72
okay,0.003112,6,1126
bliss,0.003111,1,61
bow,0.003069,1,42
aspiration,0.003069,1,73
virtue,0.002988,1,106
depends,0.002988,1,43
option,0.002950,1,46
speaker,0.002913,1,66
renunciation,0.002913,1,68
doe,0.002902,6,829
fair,0.002842,1,44
ending,0.002742,1,87
honest,0.002742,1,65
truth,0.002683,2,487
paying,0.002650,1,64
bodily,0.002650,1,100
help,0.002613,6,720
cycle,0.002593,1,72
remembering,0.002593,1,65
unification,0.002593,1,95
brensilver,0.002565,1,89
school,0.002565,1,93
person,0.002543,5,1004
matthew,0.002538,1,91
closely,0.002538,1,53
loss,0.002511,1,123
faith,0.002485,1,172
tried,0.002460,1,67
potential,0.002435,1,81
painful,0.002435,1,98
die,0.002410,1,107
laughter,0.002386,1,73
worse,0.002386,1,175
exactly,0.002383,2,230
versus,0.002363,1,87
member,0.002363,1,170
consideration,0.002363,1,64
house,0.002340,1,114
anxiety,0.002340,1,91
kid,0.002340,1,97
monday,0.002340,1,66
retreat,0.002313,2,386
meditate,0.002279,2,261
inspired,0.002231,1,98
came,0.002213,2,323
suffer,0.002210,1,133
confidence,0.002210,1,156
various,0.002190,1,91
pain,0.002180,2,502
death,0.002150,1,161
condition,0.002132,2,519
safety,0.002131,1,116
