word,tfidf_score,talk_frequency,global_frequency
quarrel,0.027996,9,21
private,0.025991,11,29
concord,0.023670,8,17
brawl,0.021495,6,7
principle,0.020696,14,122
helpfulness,0.020272,5,5
non-dispute,0.020272,5,5
unity,0.019898,9,51
conflict,0.019843,13,321
public,0.019131,9,32
virtue,0.018884,11,106
goodwill,0.017435,21,527
dagger,0.016532,5,7
succumb,0.016532,5,8
kosambi,0.016217,4,4
memorable,0.014330,4,5
conduce,0.014330,4,5
monk,0.013693,11,214
conducive,0.013265,6,21
stab,0.012443,4,7
reservation,0.012443,4,7
dipper,0.012163,3,3
holy,0.011541,5,24
monastic,0.011467,8,111
verbal,0.011179,6,39
accost,0.010747,3,4
rule,0.010300,6,61
maintain,0.010136,7,82
harm,0.010039,11,466
standstill,0.009919,3,5
kindness,0.009835,17,557
liberate,0.009363,6,63
publicly,0.009332,3,6
violence,0.009054,5,62
companion,0.008930,5,59
ill,0.008714,7,150
ethically,0.008200,4,26
ethic,0.008170,5,143
good-heartedness,0.008109,2,2
unblotched,0.008109,2,2
10-week,0.008109,2,2
dispute,0.007916,3,25
concentration,0.007810,8,232
monastery,0.007550,5,113
unblemished,0.007165,2,3
unbroken,0.007165,2,3
purity,0.007088,3,21
hundred,0.006867,4,38
food,0.006833,7,198
venerable,0.006774,3,41
bar,0.006633,3,24
sir,0.006501,3,36
gun,0.006221,2,8
live,0.006119,28,1210
ethical,0.006116,5,204
surprise,0.006116,5,90
strike,0.006106,4,57
act,0.006054,8,347
persuade,0.005917,2,8
acutely,0.005917,2,7
occasion,0.005760,3,28
bowl,0.005760,3,56
argue,0.005509,3,33
respect,0.005436,6,234
divisiveness,0.005278,2,10
privately,0.005278,2,11
accord,0.005217,3,38
hit,0.005217,3,67
camp,0.005117,2,15
speech,0.005069,4,186
greed,0.004736,5,251
expert,0.004726,2,15
possess,0.004726,2,15
share,0.004662,8,469
perspective,0.004610,4,196
love,0.004560,24,1767
unethical,0.004516,2,25
buddha,0.004379,18,1904
insist,0.004334,2,28
disagree,0.004334,2,19
hatred,0.004285,4,208
minor,0.004100,2,29
outhouse,0.004054,1,1
faction,0.004054,1,1
parents-in-law,0.004054,1,1
germany,0.004054,1,1
father-in-law,0.004054,1,1
armenian,0.004054,1,1
genocide,0.004054,1,1
1910s,0.004054,1,1
amiability,0.004054,1,1
unmottled,0.004054,1,1
litmus,0.004054,1,1
obsessiveness,0.004054,1,1
harm-making,0.004054,1,1
create,0.004015,10,542
cook,0.003964,2,33
anxiety,0.003942,3,99
view,0.003753,6,729
accuse,0.003582,1,2
cordiality,0.003582,1,9
amiable,0.003582,1,3
commend,0.003582,1,2
safeguard,0.003582,1,2
munindra-ji,0.003582,1,2
gunpoint,0.003582,1,2
tear,0.003572,2,38
feed,0.003433,2,49
meal,0.003433,2,46
dwell,0.003390,2,44
escape,0.003390,2,57
convince,0.003348,2,41
remarkable,0.003348,2,54
crave,0.003346,3,277
naively,0.003306,1,3
mosquito,0.003306,1,3
civil,0.003306,1,5
obtain,0.003306,1,6
pure-hearted,0.003306,1,7
1960s,0.003306,1,3
bush,0.003306,1,4
hoard,0.003306,1,3
trek,0.003306,1,3
cling,0.003217,5,578
hadn't,0.003193,2,50
die,0.003164,3,223
expel,0.003111,1,5
townspeople,0.003111,1,5
overnight,0.003111,1,5
opposition,0.003111,1,6
citizen,0.003111,1,4
remarkably,0.003111,1,4
legacy,0.003111,1,4
revolution,0.003111,1,5
champion,0.003111,1,4
guilt,0.003111,1,8
accordance,0.003111,1,6
bandit,0.003111,1,8
muster,0.003111,1,4
honest,0.003086,2,70
war,0.003020,2,75
opinion,0.003020,2,121
reason,0.002997,5,282
welfare,0.002988,2,105
toilet,0.002959,1,7
vote,0.002959,1,7
noisy,0.002959,1,6
self-harm,0.002959,1,6
canada,0.002959,1,8
destruction,0.002959,1,11
ashamed,0.002959,1,5
profound,0.002907,3,216
street,0.002896,2,92
community,0.002885,3,358
fight,0.002867,2,105
water,0.002861,4,494
neither,0.002838,2,79
idealistic,0.002835,1,7
umbrella,0.002835,1,7
stake,0.002835,1,18
apart,0.002810,2,78
towards,0.002768,6,507
news,0.002756,2,77
independence,0.002730,1,11
compulsivity,0.002730,1,9
psychologically,0.002730,1,7
man,0.002703,2,141
high,0.002678,3,245
laughter,0.002678,2,76
common,0.002639,3,168
agreement,0.002639,1,10
intervene,0.002639,1,8
nation,0.002639,1,11
unrealistic,0.002639,1,8
limb,0.002639,1,11
wasn't,0.002629,4,294
sensitive,0.002604,2,95
hate,0.002604,2,105
specialize,0.002559,1,12
darken,0.002559,1,10
embarrassment,0.002559,1,10
disagreement,0.002559,1,12
quality,0.002540,5,627
suppose,0.002509,3,179
realistic,0.002487,1,11
newspaper,0.002487,1,16
society,0.002468,2,137
connect,0.002467,6,675
address,0.002425,2,125
huge,0.002425,2,107
starve,0.002422,1,12
grain,0.002422,1,13
exaggerate,0.002422,1,16
requirement,0.002422,1,14
someone,0.002409,6,640
fear,0.002398,4,522
didn't,0.002377,5,522
anyone,0.002364,2,121
forgive,0.002363,1,19
alienate,0.002363,1,13
credit,0.002363,1,14
desert,0.002363,1,18
hostile,0.002363,1,16
connection,0.002352,3,221
politics,0.002308,1,18
antidote,0.002308,1,19
virtuous,0.002308,1,28
compulsion,0.002308,1,27
tempt,0.002308,1,15
challenge,0.002286,3,309
treasure,0.002258,1,37
mechanism,0.002258,1,16
naive,0.002258,1,23
sophisticate,0.002258,1,18
majority,0.002211,1,16
indian,0.002211,1,24
exception,0.002211,1,15
eventually,0.002195,2,104
content,0.002195,2,172
couldn't,0.002177,2,109
alms,0.002167,1,25
lucky,0.002167,1,22
thailand,0.002167,1,25
stumble,0.002167,1,18
spiritually,0.002167,1,24
christian,0.002167,1,33
tremendously,0.002167,1,16
fourth,0.002160,2,160
apologize,0.002126,1,19
disciple,0.002087,1,24
ambition,0.002087,1,32
twist,0.002087,1,29
american,0.002087,1,22
test,0.002087,1,23
scene,0.002087,1,30
leave,0.002056,5,490
request,0.002050,1,33
horrible,0.002050,1,27
strategy,0.002050,1,31
deep,0.002028,14,1732
rob,0.002015,1,36
alone,0.001982,2,147
