word,tfidf_score,talk_frequency,global_frequency
jhāna,0.042565,24,290
discursive,0.031096,13,62
samādhi,0.014826,8,254
calm,0.013675,20,614
sustained,0.013477,6,43
intentionality,0.012604,5,30
applied,0.011580,5,42
jhānic,0.011335,3,10
settledness,0.011119,6,77
activated,0.010611,5,70
vicāra,0.009932,3,29
pumped,0.009875,2,2
vitakka,0.009597,3,34
applying,0.009121,4,36
pīti,0.009037,3,34
dipped,0.008716,2,3
torso,0.008684,6,109
joy,0.007721,12,965
atmosphere,0.007563,3,24
turmoil,0.007557,2,5
pleasure,0.007046,8,644
clarity,0.006947,7,260
breathing,0.006814,19,1992
separated,0.006640,3,32
balloon,0.006621,2,13
blocked,0.006621,2,8
pāli,0.006583,5,296
connecting,0.006536,4,156
expansion,0.006366,3,38
factors,0.006288,4,123
massage,0.006199,3,68
striving,0.006119,3,66
conversations,0.006042,3,50
ride,0.006042,3,56
energized,0.006025,2,17
characteristics,0.005947,4,170
intro,0.005865,2,23
disconnect,0.005865,2,21
embodied,0.005841,4,121
settled,0.005767,7,416
unwholesome,0.005688,4,192
born,0.005650,5,205
dipping,0.005586,2,14
glow,0.005586,2,22
sukha,0.005586,2,45
happiness,0.005487,9,846
obstacles,0.005462,2,26
jhana,0.005347,2,54
pool,0.005239,2,35
application,0.005042,2,25
fuller,0.005000,3,66
infinitesimal,0.004938,1,1
bottleneck,0.004938,1,1
strainful,0.004938,1,1
bottlenecked,0.004938,1,1
refreshes,0.004938,1,1
deeper,0.004875,9,576
seconds,0.004866,2,24
preoccupations,0.004807,3,109
connected,0.004728,6,310
spring,0.004706,2,29
pleasant,0.004673,5,362
refreshing,0.004632,2,32
tightening,0.004561,2,33
arrived,0.004492,2,28
mesmerizing,0.004358,1,2
assurance,0.004358,1,3
compressed,0.004358,1,2
interfered,0.004358,1,2
cleanse,0.004358,1,2
staying,0.004315,4,190
breathe,0.004292,6,408
initial,0.004244,2,38
tranquility,0.004229,3,114
movement,0.004228,6,365
quiet,0.004165,6,438
thinking,0.004135,23,1628
outwards,0.004133,2,48
anymore,0.004085,3,99
lake,0.004080,2,118
captivating,0.004019,1,3
betray,0.004019,1,3
positioned,0.004019,1,6
entrust,0.004019,1,4
escaping,0.004019,1,3
caught,0.003882,5,363
intense,0.003837,2,53
comfortable,0.003795,4,210
distance,0.003792,2,54
smog,0.003778,1,6
awry,0.003778,1,6
pumping,0.003778,1,4
fullness,0.003749,2,59
beyond,0.003729,3,183
gets,0.003671,7,445
thinks,0.003625,2,66
keeps,0.003611,3,136
visions,0.003592,1,6
unsatisfying,0.003592,1,6
consisting,0.003592,1,7
examination,0.003592,1,5
flame,0.003592,1,12
releasing,0.003547,2,78
closely,0.003473,2,57
longer,0.003471,5,293
space,0.003464,6,685
water,0.003445,4,473
settling,0.003445,5,507
inner,0.003445,5,452
unconsciously,0.003439,1,8
disembodied,0.003439,1,14
ribs,0.003439,1,7
settleness,0.003439,1,11
dull,0.003439,1,10
underground,0.003439,1,7
conversational,0.003439,1,9
engaging,0.003437,2,74
thoughts,0.003413,10,1192
empty,0.003333,2,95
lifted,0.003311,1,9
slipping,0.003311,1,7
tightened,0.003311,1,10
stronger,0.003300,2,82
relaxing,0.003247,4,364
faint,0.003199,1,9
seclusion,0.003199,1,15
fog,0.003199,1,12
pause,0.003114,2,154
produce,0.003100,1,10
lowering,0.003100,1,14
hardly,0.003100,1,9
contentment,0.003085,2,289
prioritize,0.003012,1,21
abides,0.003012,1,24
stir,0.002933,1,15
massaged,0.002933,1,12
contracts,0.002933,1,11
regrets,0.002933,1,14
terrain,0.002933,1,14
strive,0.002933,1,24
underwater,0.002933,1,12
translated,0.002932,5,318
concerns,0.002921,2,104
grounded,0.002869,2,116
radiates,0.002860,1,15
receives,0.002860,1,19
discussed,0.002860,1,13
blowing,0.002860,1,21
mostly,0.002844,2,95
unhappiness,0.002793,1,21
repeating,0.002793,1,17
ignored,0.002793,1,13
involved,0.002783,3,244
groundedness,0.002731,1,23
tranquil,0.002731,1,19
rigid,0.002731,1,20
lighter,0.002731,1,19
dip,0.002731,1,15
tomorrow,0.002722,3,179
subtle,0.002682,3,363
attune,0.002673,1,19
importantly,0.002673,1,16
unity,0.002673,1,51
pleasurable,0.002673,1,29
stay,0.002644,5,561
neighborhood,0.002619,1,17
continuation,0.002619,1,16
stilling,0.002619,1,26
lessons,0.002619,1,29
turning,0.002611,2,136
exhaling,0.002569,1,21
reinforcing,0.002569,1,19
awareness,0.002522,6,1270
listen,0.002506,2,172
deny,0.002476,1,21
fueling,0.002476,1,45
sustaining,0.002476,1,87
tendencies,0.002476,1,28
rapture,0.002476,1,45
short,0.002466,2,141
wishing,0.002446,2,147
delight,0.002426,2,201
pushing,0.002426,2,139
energy,0.002364,3,428
diaphragm,0.002353,1,31
switch,0.002353,1,27
representing,0.002353,1,25
focus,0.002329,3,348
concentration,0.002327,4,437
extend,0.002316,1,29
expands,0.002316,1,36
enters,0.002316,1,30
meanings,0.002316,1,29
expecting,0.002316,1,28
body,0.002316,24,3140
slow,0.002296,2,120
factor,0.002280,1,33
authority,0.002246,1,35
mountains,0.002246,1,35
smaller,0.002213,1,32
enjoyable,0.002213,1,35
sweetness,0.002213,1,89
radiate,0.002213,1,37
brightness,0.002213,1,63
jhānas,0.002213,1,84
restlessness,0.002182,1,80
spreads,0.002182,1,46
familiar,0.002174,2,177
satisfaction,0.002151,1,36
riding,0.002151,1,48
outward,0.002151,1,37
