word,tfidf_score,talk_frequency,global_frequency
dandapani,0.041694,11,11
papanca,0.025414,10,35
sutta,0.023441,23,307
blessed,0.021287,11,44
mahakaccana,0.018952,5,5
honeyball,0.018511,6,9
brahmin,0.018499,8,48
proliferation,0.017152,8,29
heartwood,0.016727,5,6
pursued,0.015842,6,11
proclaim,0.015161,4,4
suttas,0.013949,12,171
scene,0.013803,7,29
perception,0.013797,11,207
perceives,0.013787,5,10
underlie,0.012341,4,6
perplexity,0.012341,4,6
contact,0.012107,13,219
monk,0.011732,10,211
quarrel,0.011602,4,14
jaya,0.011371,3,3
rudgard,0.011371,3,3
sakyan,0.011371,3,3
beset,0.011029,4,11
detached,0.010561,4,9
dispute,0.010561,4,23
bhikkhu,0.010503,6,66
recluse,0.010165,4,13
tinged,0.010036,3,4
nikaya,0.009530,7,69
assert,0.009520,4,14
abides,0.009250,4,24
cake,0.008702,3,7
buddha,0.008117,34,1614
honey,0.007921,3,13
mara,0.007887,4,141
discern,0.007741,4,24
stick,0.007731,5,66
kapilavatthu,0.007581,2,2
bilva,0.007581,2,2
sapling,0.007581,2,2
courteous,0.007581,2,2
papanca-sanna-sankha,0.007581,2,2
mahakaccana's,0.007581,2,2
majjhima,0.007111,4,30
middle-length,0.006691,2,3
amiable,0.006691,2,3
caste,0.006691,2,9
eye-consciousness,0.006691,2,3
proliferates,0.006691,2,3
tathagatas,0.006691,2,4
craving,0.006436,6,250
day's,0.006170,2,4
eyebrow,0.006170,2,5
tanha,0.006170,2,4
bhikkhus,0.006170,2,5
non-conflict,0.005801,2,14
preconception,0.005801,2,5
worry,0.005759,5,107
anyone,0.005707,5,109
sensual,0.005627,4,104
tongue,0.005603,3,27
objectification,0.005515,2,11
sakka,0.005515,2,57
perspective,0.005458,5,191
pali,0.005413,7,216
delight,0.005370,6,207
underlying,0.005097,3,57
perceived,0.005083,2,8
translation,0.005017,4,103
published,0.004911,2,10
detailed,0.004911,2,11
impersonal,0.004911,2,11
obsessive,0.004911,2,13
leaning,0.004822,3,48
weapon,0.004760,2,15
wandering,0.004759,3,47
encounter,0.004650,4,80
discourse,0.004581,3,89
he's,0.004511,5,305
passage,0.004391,2,32
samyutta,0.004288,2,18
replied,0.004288,2,20
organ,0.004288,2,18
venerable,0.004193,2,41
alms,0.004104,2,22
mentally,0.004104,2,18
sir,0.004022,2,36
teaching,0.004009,15,984
leaf,0.003957,3,63
chant,0.003944,2,31
relation,0.003944,2,32
impossible,0.003944,2,25
meaning,0.003926,5,244
man,0.003877,3,125
section,0.003870,2,25
stood,0.003870,2,35
nun,0.003801,2,64
unrelatable,0.003790,1,1
exasperating,0.003790,1,1
nyanatiloka's,0.003790,1,1
mid-90s,0.003790,1,1
enmesh,0.003790,1,1
plonk,0.003790,1,1
bhikkhuni,0.003790,1,1
fudge,0.003790,1,1
sundae,0.003790,1,1
recount,0.003790,1,1
nigrodha's,0.003790,1,1
wagged,0.003790,1,1
stick-in-hand,0.003790,1,1
sided,0.003790,1,1
schism,0.003790,1,1
impolite,0.003790,1,1
teaching's,0.003790,1,1
khandhas,0.003790,1,1
nanusenti,0.003790,1,1
furrow,0.003790,1,1
malice,0.003790,1,1
purisa,0.003790,1,1
eradicating,0.003790,1,1
mind-objects,0.003790,1,1
besetting,0.003790,1,1
254-255,0.003790,1,1
nippapanca,0.003790,1,1
non-proliferation,0.003790,1,1
sakka's,0.003790,1,1
prejudiced,0.003790,1,1
notion,0.003763,3,96
bodhi,0.003735,2,26
stand,0.003725,4,126
object,0.003669,5,293
unhelpful,0.003556,2,48
rule,0.003556,2,50
ignorance,0.003556,2,46
scholar,0.003501,2,38
unskillful,0.003501,2,61
heard,0.003482,5,297
therefore,0.003449,2,30
dhammapada,0.003449,2,41
pleasure,0.003431,5,693
went,0.003406,5,295
master,0.003350,2,46
wood,0.003350,2,51
abiding,0.003350,2,56
greeting,0.003350,2,42
neglected,0.003345,1,2
sexy,0.003345,1,4
anthology,0.003345,1,2
refines,0.003345,1,2
descriptive,0.003345,1,2
prescriptive,0.003345,1,2
proponent,0.003345,1,2
non-becoming,0.003345,1,10
wag,0.003345,1,2
asserts,0.003345,1,2
brawl,0.003345,1,2
recrimination,0.003345,1,2
tathagata,0.003345,1,2
expound,0.003345,1,2
proliferated,0.003345,1,2
cognizable,0.003345,1,2
tangibles,0.003345,1,2
concretize,0.003345,1,2
footstep,0.003345,1,2
machinery,0.003345,1,2
asked,0.003262,4,194
considering,0.003215,2,35
fight,0.003172,2,44
conceit,0.003092,2,58
cryptic,0.003085,1,3
off-putting,0.003085,1,4
revisit,0.003085,1,3
intimidating,0.003085,1,3
patch,0.003085,1,5
quantity,0.003085,1,4
memorized,0.003085,1,4
minority,0.003085,1,3
naively,0.003085,1,3
longest,0.003085,1,4
backstory,0.003085,1,3
bodhi's,0.003085,1,3
situate,0.003085,1,4
disrespect,0.003085,1,3
arrogant,0.003085,1,3
grudge,0.003085,1,3
nobility,0.003085,1,3
rod,0.003085,1,3
oops,0.003085,1,3
sought,0.003085,1,5
possessed,0.003085,1,3
trunk,0.003085,1,5
agrees,0.003085,1,3
odor,0.003085,1,14
reading,0.003083,3,108
sort,0.003070,4,269
engage,0.003007,3,132
exercise,0.002981,2,53
increase,0.002981,2,61
explain,0.002911,2,49
asks,0.002911,2,63
immerse,0.002901,1,8
hometown,0.002901,1,4
exchanged,0.002901,1,6
departed,0.002901,1,4
detachment,0.002901,1,6
resorting,0.002901,1,4
remainder,0.002901,1,16
praising,0.002901,1,4
formula,0.002901,1,4
arisings,0.002901,1,4
proliferate,0.002901,1,5
decline,0.002901,1,4
manifesting,0.002901,1,4
non-identification,0.002901,1,4
sign,0.002878,2,71
consciousness,0.002845,2,129
root,0.002814,2,79
quality,0.002808,6,620
handful,0.002757,1,7
pondering,0.002757,1,6
enjoys,0.002757,1,5
intimidated,0.002757,1,6
devadatta,0.002757,1,12
implied,0.002757,1,5
whereby,0.002757,1,6
registering,0.002757,1,5
chain,0.002757,1,19
enamored,0.002757,1,7
digha,0.002757,1,6
pragmatic,0.002757,1,5
creatively,0.002757,1,9
linking,0.002757,1,6
source,0.002728,3,307
dependent,0.002694,2,84
mental,0.002684,4,342
lens,0.002666,2,69
loosely,0.002640,1,6
thirsty,0.002640,1,8
volume,0.002640,1,6
warrior,0.002640,1,7
sanna,0.002640,1,12
brow,0.002640,1,8
disgust,0.002640,1,18
sujato,0.002640,1,24
conversely,0.002640,1,6
inevitable,0.002640,1,8
predicament,0.002640,1,11
shaping,0.002640,1,6
closer,0.002638,2,72
ordinary,0.002623,3,175
somebody,0.002582,3,318
doe,0.002568,10,829
potentially,0.002541,1,8
engages,0.002541,1,7
excessive,0.002541,1,8
arrogance,0.002541,1,8
shaking,0.002541,1,8
mara's,0.002541,1,12
compound,0.002541,1,9
labeling,0.002541,1,7
thanissaro,0.002541,1,39
reify,0.002541,1,9
disliking,0.002541,1,7
unreliable,0.002541,1,10
skillful,0.002508,2,130
native,0.002456,1,8
threw,0.002456,1,12
amongst,0.002456,1,10
prince,0.002456,1,60
shook,0.002456,1,8
arguing,0.002456,1,10
vitakka,0.002456,1,19
attach,0.002456,1,8
sage,0.002456,1,14
spell,0.002456,1,9
stinginess,0.002456,1,21
inevitably,0.002456,1,9
free,0.002438,10,626
interest,0.002436,2,106
detail,0.002436,2,93
considered,0.002413,2,72
latin,0.002380,1,9
greek,0.002380,1,50
mindset,0.002380,1,11
ananda,0.002380,1,26
chocolate,0.002380,1,15
dressed,0.002380,1,11
cousin,0.002380,1,12
unlike,0.002380,1,9
lord,0.002380,1,12
unwholesome,0.002368,2,176
doubt,0.002325,2,161
college,0.002312,1,15
newspaper,0.002312,1,16
diagnosis,0.002312,1,13
gold,0.002312,1,21
chapter,0.002312,1,31
alongside,0.002312,1,13
inclined,0.002312,1,10
pursue,0.002312,1,17
generated,0.002312,1,11
tendency,0.002283,2,105
drama,0.002251,1,15
approached,0.002251,1,12
argument,0.002251,1,18
rose,0.002251,1,17
conventional,0.002251,1,24
persist,0.002251,1,11
explaining,0.002251,1,13
heart-mind,0.002251,1,21
understood,0.002242,2,100
degree,0.002234,3,226
form,0.002216,5,405
anguttara,0.002195,1,15
contemplate,0.002195,1,15
lust,0.002195,1,16
translates,0.002195,1,12
dharma,0.002187,6,827
contemporary,0.002144,1,27
false,0.002144,1,19
vedana,0.002144,1,152
appropriately,0.002144,1,13
unhappiness,0.002144,1,21
available,0.002137,3,213
ask,0.002137,3,285
realize,0.002105,3,221
doorway,0.002096,1,16
naive,0.002096,1,23
recall,0.002096,1,19
raise,0.002096,1,16
similarly,0.002096,1,14
robe,0.002096,1,33
envy,0.002096,1,42
liking,0.002096,1,23
nurturing,0.002096,1,16
ancient,0.002091,2,138
across,0.002091,2,148
rob,0.002052,1,28
literature,0.002052,1,25
equivalent,0.002052,1,22
enjoyed,0.002052,1,24
summary,0.002052,1,20
method,0.002052,1,18
mindfully,0.002052,1,20
known,0.002043,3,195
cause,0.002043,3,270
village,0.002011,1,35
reply,0.002011,1,27
dwelling,0.002011,1,17
branch,0.002011,1,35
shall,0.002011,1,35
cessation,0.002011,1,46
friend,0.002006,4,524
realized,0.002005,2,125
door,0.002005,2,146
joined,0.001972,1,19
explanation,0.001972,1,22
nurture,0.001972,1,22
face,0.001969,3,230
relationship,0.001946,4,484
view,0.001940,3,631
personal,0.001940,2,156
