word,tfidf_score,talk_frequency,global_frequency
clarity,0.037089,36,260
lake,0.023295,11,118
calm,0.018457,26,614
jhāna,0.018413,10,290
sky,0.016751,9,79
input,0.016606,5,16
pool,0.013597,5,35
rain,0.013402,6,62
vast,0.012462,8,115
unity,0.011102,4,51
music,0.010869,5,63
cool,0.010178,6,100
samadhi,0.009479,11,1428
steeped,0.008345,2,4
spot,0.008238,5,112
spaciousness,0.008083,5,214
water,0.008048,9,473
maker,0.007846,2,6
upwelling,0.007846,2,6
space,0.007791,13,685
joy,0.007348,11,965
inner,0.007152,10,452
welling,0.007142,2,8
born,0.007039,6,205
happiness,0.006963,11,846
edges,0.006853,4,111
fill,0.006785,4,79
fog,0.006642,2,12
permeates,0.006642,2,10
pervades,0.006255,2,13
saturates,0.006255,2,17
remaining,0.006089,2,13
preoccupied,0.006010,4,123
spread,0.006010,4,130
thoughts,0.005669,16,1192
touched,0.005655,4,110
immersed,0.005439,2,35
stilling,0.005439,2,26
clear,0.005422,11,544
dependent,0.005408,3,93
god,0.005244,3,90
blue,0.005140,2,64
fills,0.005140,2,21
banish,0.005126,1,1
damp,0.005126,1,1
occasionally,0.005051,2,26
clouds,0.005051,2,37
spring,0.004886,2,29
cloud,0.004809,2,49
applied,0.004809,2,42
mountains,0.004664,2,35
activation,0.004596,2,43
practitioner,0.004589,3,106
updrafts,0.004524,1,2
clung,0.004524,1,2
vanish,0.004524,1,2
stops,0.004467,2,35
dissolve,0.004406,2,40
flowing,0.004315,3,147
thinking,0.004293,23,1628
disappear,0.004291,2,48
settled,0.004277,5,416
pressure,0.004215,4,255
grasped,0.004173,1,3
bare,0.004173,1,3
manifested,0.004173,1,3
lined,0.004173,1,3
crowding,0.004173,1,4
surrounding,0.004173,1,3
apt,0.004173,1,3
basin,0.004173,1,5
drown,0.004173,1,5
stimulate,0.004173,1,3
agitate,0.004173,1,3
languages,0.004173,1,3
outside,0.004029,4,197
sierra,0.003923,1,6
replaced,0.003923,1,4
smog,0.003923,1,6
saturate,0.003923,1,4
wonderful,0.003905,7,475
among,0.003892,2,62
waves,0.003892,2,94
received,0.003848,2,56
deepening,0.003805,2,61
release,0.003779,3,168
cling,0.003763,2,100
trust,0.003749,3,196
merge,0.003729,1,5
consisting,0.003729,1,7
incessant,0.003729,1,5
floods,0.003729,1,7
indic,0.003729,1,5
external,0.003723,2,74
india,0.003683,2,90
underground,0.003571,1,7
supply,0.003571,1,7
coziness,0.003571,1,7
oriented,0.003532,2,88
reduced,0.003437,1,11
drifts,0.003437,1,8
cascade,0.003437,1,10
stimulus,0.003437,1,33
ecstasy,0.003437,1,7
lend,0.003321,1,8
immersive,0.003321,1,12
contained,0.003321,1,9
preoccupation,0.003295,2,122
energy,0.003273,4,428
peace,0.003240,6,636
cleared,0.003219,1,10
minimum,0.003219,1,11
evident,0.003219,1,9
accurately,0.003219,1,11
amazingly,0.003219,1,9
england,0.003219,1,12
pervade,0.003219,1,11
permeate,0.003219,1,10
inspiring,0.003173,2,90
starts,0.003161,3,188
crowded,0.003127,1,13
reassuring,0.003127,1,13
abides,0.003127,1,24
rocks,0.003127,1,12
depths,0.003127,1,10
foggy,0.003127,1,10
reduction,0.003127,1,18
characteristics,0.003087,2,170
provides,0.003059,2,88
underwater,0.003045,1,12
paradox,0.002969,1,18
constriction,0.002969,1,16
dissolves,0.002969,1,13
container,0.002969,1,15
fulfilled,0.002969,1,12
immersion,0.002969,1,24
delights,0.002969,1,14
psychophysical,0.002969,1,13
easily,0.002953,2,97
ambition,0.002900,1,25
dissolving,0.002900,1,21
climate,0.002900,1,17
northern,0.002900,1,17
desire,0.002890,3,555
quiet,0.002883,4,438
settling,0.002861,4,507
unified,0.002852,2,102
logical,0.002835,1,18
disappeared,0.002835,1,16
tranquil,0.002835,1,19
pointedness,0.002775,1,26
nothing,0.002767,5,464
pleasure,0.002743,3,644
lunch,0.002719,1,35
peripheral,0.002719,1,40
smelling,0.002719,1,17
tasting,0.002719,1,16
push,0.002689,2,133
completely,0.002683,3,248
lifting,0.002667,1,23
divided,0.002667,1,28
impossible,0.002667,1,25
evocative,0.002667,1,18
experiences,0.002643,3,332
muscle,0.002617,1,24
metaphors,0.002617,1,32
sea,0.002617,1,26
clinging,0.002585,3,490
beyond,0.002581,2,183
harmonious,0.002570,1,23
rapture,0.002570,1,45
state,0.002556,7,760
finger,0.002526,1,23
unfortunate,0.002526,1,28
peacefulness,0.002526,1,22
stillness,0.002519,2,201
delight,0.002519,2,201
stop,0.002510,3,308
slower,0.002483,1,22
gifts,0.002483,1,21
fragmented,0.002483,1,30
discursive,0.002483,1,62
south,0.002483,1,28
resting,0.002479,2,165
grab,0.002443,1,31
tingling,0.002443,1,29
poetry,0.002443,1,98
stages,0.002443,1,35
read,0.002418,3,323
concentration,0.002416,4,437
enters,0.002404,1,30
refreshing,0.002404,1,32
relaxes,0.002367,1,29
sustained,0.002332,1,43
fade,0.002332,1,33
east,0.002332,1,36
however,0.002328,2,152
seems,0.002313,3,267
radiate,0.002298,1,37
standard,0.002298,1,31
enjoyable,0.002298,1,35
north,0.002298,1,35
sweetness,0.002298,1,89
allows,0.002296,3,326
radiating,0.002265,1,51
coming,0.002260,7,698
outward,0.002234,1,37
breathe,0.002228,3,408
initial,0.002203,1,38
activated,0.002203,1,70
boundaries,0.002203,1,49
hold,0.002196,4,469
seem,0.002173,2,165
longer,0.002162,3,293
small,0.002162,3,343
description,0.002118,1,50
room,0.002098,3,390
arose,0.002091,1,49
medicine,0.002091,1,82
systems,0.002091,1,60
simile,0.002091,1,74
hot,0.002091,1,60
softly,0.002065,1,44
float,0.002040,1,47
walk,0.002030,2,258
quieting,0.002015,1,49
mountain,0.002015,1,77
war,0.001992,1,64
ocean,0.001992,1,75
bottom,0.001992,1,46
allow,0.001953,5,603
harmony,0.001946,1,115
loud,0.001946,1,54
involved,0.001926,2,244
settledness,0.001924,1,77
traditionally,0.001924,1,43
gives,0.001912,2,218
healing,0.001903,1,65
absence,0.001903,1,97
certainly,0.001884,2,202
breathing,0.001862,5,1992
friendly,0.001861,1,118
emotions,0.001856,2,281
invaluable,0.001841,1,68
entire,0.001841,1,65
negative,0.001822,1,73
choice,0.001822,1,96
body,0.001803,18,3140
delightful,0.001803,1,62
main,0.001803,1,69
absorption,0.001788,2,195
carefully,0.001784,1,56
contribute,0.001766,1,65
touches,0.001766,1,56
particular,0.001756,3,430
assuming,0.001748,1,64
agitated,0.001748,1,84
conscious,0.001748,1,72
awareness,0.001745,4,1270
empty,0.001730,1,95
west,0.001730,1,73
soften,0.001723,2,280
grounding,0.001713,1,96
stronger,0.001713,1,82
characterized,0.001713,1,66
deep,0.001710,7,1146
hate,0.001696,1,93
spacious,0.001664,1,109
begins,0.001661,2,280
concentrated,0.001648,1,89
satisfying,0.001648,1,111
ends,0.001648,1,78
special,0.001648,1,84
hopefully,0.001632,1,80
agitation,0.001617,1,105
alternative,0.001601,1,101
texts,0.001601,1,92
quieter,0.001601,1,95
contentment,0.001601,1,289
inviting,0.001587,1,118
component,0.001572,1,67
goodness,0.001553,2,466
concerned,0.001544,1,98
rhythm,0.001530,1,107
focusing,0.001516,1,106
within,0.001504,3,529
particularly,0.001503,1,101
content,0.001503,1,140
filled,0.001476,1,104
relax,0.001466,3,552
watch,0.001463,1,115
quickly,0.001463,1,91
busy,0.001463,1,91
metaphor,0.001463,1,119
relationship,0.001452,2,387
tightness,0.001438,1,113
beauty,0.001438,1,167
high,0.001426,1,121
enjoy,0.001402,1,113
creating,0.001402,1,107
anything,0.001381,5,806
still,0.001381,5,772
tremendous,0.001378,1,106
lovely,0.001367,1,120
closing,0.001356,1,95
air,0.001356,1,170
english,0.001356,1,119
everything,0.001347,4,882
hearing,0.001344,1,150
lots,0.001333,1,129
possibility,0.001333,1,132
silence,0.001333,1,188
listen,0.001301,1,172
orientation,0.001290,1,183
appropriate,0.001280,1,163
enlightenment,0.001280,1,150
gently,0.001266,2,393
ground,0.001260,1,151
inside,0.001256,2,424
alone,0.001250,1,143
beings,0.001224,4,1092
yesterday,0.001220,1,155
peaceful,0.001208,2,399
appreciate,0.001199,2,409
meditative,0.001180,2,295
sound,0.001155,1,245
friends,0.001146,1,215
ready,0.001137,1,176
towards,0.001134,2,478
deeper,0.001125,2,576
sensations,0.001125,2,713
ancient,0.001120,1,198
walking,0.001120,1,221
staying,0.001120,1,190
feeling,0.001120,9,1865
including,0.001103,1,149
experienced,0.001103,1,180
profound,0.001078,1,224
degree,0.001070,1,208
soft,0.001046,1,216
reason,0.001030,1,166
grow,0.001015,1,226
activity,0.001007,1,314
ability,0.001000,1,230
sounds,0.001000,1,230
point,0.001000,3,751
leave,0.000992,1,193
associated,0.000992,1,180
thought,0.000989,3,875
flow,0.000978,1,354
pleasant,0.000970,1,362
friend,0.000970,1,335
language,0.000963,1,248
breaths,0.000956,1,191
sense,0.000955,17,2569
happen,0.000953,2,527
working,0.000949,1,287
eyes,0.000945,2,497
tomorrow,0.000942,1,179
relaxed,0.000935,1,268
key,0.000928,1,176
view,0.000921,1,402
normal,0.000921,1,176
conditions,0.000921,1,367
moving,0.000908,1,220
moments,0.000888,1,240
almost,0.000881,2,552
great,0.000873,2,680
return,0.000868,1,181
hand,0.000862,1,300
ago,0.000862,1,265
better,0.000857,2,611
getting,0.000849,2,538
becomes,0.000849,2,515
real,0.000849,1,229
relaxing,0.000843,1,364
feelings,0.000843,1,308
create,0.000837,1,246
lot,0.000833,7,1358
meditate,0.000818,1,261
middle,0.000812,1,242
certain,0.000811,2,605
focus,0.000806,1,348
means,0.000796,2,646
fronsdal,0.000782,1,271
strong,0.000782,1,341
though,0.000782,1,234
becoming,0.000782,1,323
guided,0.000771,3,783
world,0.000760,9,2312
continue,0.000759,1,256
letting,0.000759,2,764
may,0.000746,6,2142
whatever,0.000733,5,1178
arises,0.000732,1,370
example,0.000710,1,344
sit,0.000680,2,598
become,0.000677,3,823
imagine,0.000663,1,340
beautiful,0.000648,1,549
link,0.000632,2,475
allowing,0.000628,1,465
free,0.000625,2,626
around,0.000609,4,1126
away,0.000604,3,1010
aware,0.000595,1,593
understanding,0.000590,1,515
love,0.000585,2,1507
mean,0.000581,1,479
idea,0.000578,2,1149
beginning,0.000562,1,456
gil,0.000558,1,414
rest,0.000558,1,374
welcome,0.000551,3,617
years,0.000549,1,568
comes,0.000546,2,776
whole,0.000539,2,1128
morning,0.000536,1,376
form,0.000536,1,379
goes,0.000523,1,460
making,0.000523,1,434
simple,0.000514,1,581
try,0.000510,1,443
attention,0.000507,2,1262
feels,0.000507,2,919
possible,0.000501,1,509
happy,0.000501,2,791
dharmette,0.000493,1,318
nice,0.000485,1,527
close,0.000476,1,378
together,0.000476,2,1022
part,0.000476,4,1403
taking,0.000472,1,465
understand,0.000460,1,568
could,0.000457,2,1420
rather,0.000452,1,524
posture,0.000444,1,575
sitting,0.000433,2,755
want,0.000433,4,2082
seeing,0.000429,1,831
would,0.000423,3,1944
safe,0.000417,1,408
might,0.000411,7,2085
put,0.000409,1,562
give,0.000398,1,594
without,0.000397,2,970
oh,0.000394,1,1324
path,0.000391,1,958
people,0.000383,6,3171
let,0.000383,6,1844
happening,0.000376,1,918
feel,0.000375,13,3044
okay,0.000369,1,1136
well,0.000348,4,1963
mind,0.000345,16,4527
quite,0.000330,1,682
end,0.000321,2,889
look,0.000319,1,750
trying,0.000313,1,724
bit,0.000310,2,1439
good,0.000309,3,1820
open,0.000306,1,818
start,0.000303,1,870
buddha,0.000283,1,2034
day,0.000270,1,794
sometimes,0.000261,3,1843
experience,0.000254,2,2422
thank,0.000254,2,1084
right,0.000254,2,2097
word,0.000245,3,1397
present,0.000244,1,1187
think,0.000233,2,2110
today,0.000229,1,819
much,0.000225,4,1615
place,0.000216,1,1275
little,0.000199,3,2286
buddhist,0.000193,1,1146
make,0.000187,1,1254
information,0.000169,1,398
many,0.000161,1,1071
even,0.000157,5,1711
moment,0.000144,1,1633
time,0.000132,5,2413
