word,tfidf_score,talk_frequency,global_frequency
unity,0.036377,13,51
wholeness,0.025114,15,155
subject-object,0.020563,4,4
jhana,0.020327,11,276
subject,0.019498,10,109
weave,0.018156,7,35
scooter,0.015766,4,15
ekodi,0.015422,3,3
slope,0.014994,4,15
clarity,0.012896,12,255
unification,0.011087,6,101
object,0.011073,11,302
oneness,0.010773,3,8
weft,0.010282,2,2
betrayal,0.010026,3,11
warp,0.009082,2,3
tranquil,0.008974,3,17
unacceptable,0.008381,2,6
calm,0.008308,13,810
boundary,0.008261,4,64
distinction,0.008217,5,99
breathe,0.007662,26,2491
calmness,0.007648,3,39
undisturbed,0.007497,2,7
apart,0.007168,4,77
objective,0.006915,2,8
cleanse,0.006298,2,20
piti,0.006298,2,21
float,0.006173,4,113
exclude,0.006133,2,17
subjective,0.005983,2,74
characteristic,0.005963,4,192
inclusion,0.005716,2,26
unify,0.005323,3,93
radiate,0.005323,3,112
atmosphere,0.005281,2,24
thrill,0.005281,2,27
ideal,0.005187,2,25
non-self-preoccupied,0.005141,1,1
mistrust,0.005141,1,1
reluctance,0.005141,1,1
eka,0.005141,1,1
odi,0.005141,1,1
coarseness,0.005141,1,1
countryside,0.005141,1,1
intimately,0.005099,2,21
won't,0.004955,4,136
absorb,0.004841,3,131
swim,0.004783,2,40
interfere,0.004713,2,44
however,0.004698,4,153
non-anxious,0.004541,1,2
parch,0.004541,1,3
ekaggata,0.004541,1,3
judge,0.004511,3,113
leg,0.004360,3,107
tranquility,0.004341,2,65
responsibility,0.004232,2,49
heater,0.004190,1,3
acceptable,0.004190,1,6
drink,0.004131,2,63
intentionally,0.004034,2,42
warmth,0.004018,3,155
lake,0.003943,2,132
reservation,0.003942,1,7
contradict,0.003942,1,4
mainly,0.003942,1,5
samadhi,0.003807,5,1519
everything,0.003784,11,902
objectify,0.003749,1,16
objectification,0.003749,1,11
pillow,0.003749,1,13
ambitious,0.003749,1,5
unsatisfying,0.003749,1,6
brief,0.003735,2,102
imagination,0.003735,2,96
loosely,0.003591,1,6
platform,0.003458,1,9
condone,0.003458,1,8
approval,0.003458,1,11
rock,0.003446,2,83
joy,0.003415,5,931
thirsty,0.003342,1,12
one-pointedness,0.003342,1,17
bad,0.003319,4,456
spirit,0.003287,2,107
provide,0.003272,3,214
effort,0.003272,3,338
clear,0.003271,7,577
happiness,0.003267,5,860
experiencer,0.003240,1,11
knead,0.003240,1,31
state,0.003192,6,843
heal,0.003169,2,107
wide,0.003086,3,259
outside,0.003086,3,199
feature,0.003067,1,17
temporary,0.003067,1,12
steep,0.003067,1,20
ugly,0.003067,1,15
heart-mind,0.003067,1,21
recondition,0.003067,1,12
able,0.003030,7,623
relax,0.003005,9,1245
oddly,0.002991,1,15
forgive,0.002991,1,19
wave,0.002981,2,162
metaphysical,0.002922,1,15
rapture,0.002922,1,32
spark,0.002922,1,17
anymore,0.002883,2,99
sukha,0.002858,1,28
wednesday,0.002858,1,21
edge,0.002744,2,175
permeate,0.002742,1,24
kick,0.002742,1,19
nicely,0.002742,1,24
saturate,0.002742,1,27
vibrate,0.002742,1,19
water,0.002712,3,493
worldly,0.002690,1,38
string,0.002690,1,24
immerse,0.002641,1,45
adjustment,0.002641,1,19
shower,0.002641,1,31
preoccupation,0.002616,2,207
beyond,0.002595,2,186
logic,0.002594,1,27
unfortunate,0.002594,1,27
harmonious,0.002594,1,23
philosophical,0.002507,1,38
letter,0.002507,1,32
flat,0.002507,1,34
concentration,0.002497,2,230
somehow,0.002481,4,321
require,0.002458,2,154
weak,0.002428,1,36
tingle,0.002428,1,30
care,0.002426,9,1613
hill,0.002392,1,36
exist,0.002349,2,164
operate,0.002332,2,257
continuous,0.002322,1,53
anxious,0.002322,1,35
north,0.002322,1,35
that'll,0.002322,1,33
ordinary,0.002314,2,192
happily,0.002290,1,36
glass,0.002258,1,57
variety,0.002258,1,34
book,0.002246,2,253
calmly,0.002228,1,63
tap,0.002228,1,33
bliss,0.002228,1,64
deep,0.002208,12,1709
rest,0.002183,5,558
trust,0.002181,2,278
responsible,0.002170,1,39
roll,0.002170,1,42
satisfaction,0.002143,1,40
ongoing,0.002143,1,41
within,0.002128,4,533
cold,0.002116,1,53
peacefully,0.002116,1,48
posture,0.002108,5,608
reveal,0.002090,1,57
quick,0.002065,1,42
statement,0.002041,1,60
sustain,0.002041,1,141
drop,0.002028,2,275
refresh,0.002017,1,56
alert,0.001994,1,50
activate,0.001972,1,86
gravity,0.001928,1,52
settledness,0.001928,1,76
whole,0.001909,7,1151
consciousness,0.001908,1,139
intentional,0.001908,1,58
massage,0.001887,1,99
analogy,0.001887,1,59
middle,0.001874,2,227
engagement,0.001867,1,54
movement,0.001847,3,456
sacred,0.001829,1,92
include,0.001819,3,397
experience,0.001818,20,3121
differently,0.001810,1,56
dissolve,0.001810,1,83
treat,0.001810,1,66
momentum,0.001792,1,87
settle,0.001787,6,1517
awareness,0.001777,4,1263
afternoon,0.001757,1,67
engage,0.001745,2,329
resist,0.001740,1,93
versus,0.001723,1,87
except,0.001690,1,74
youtube,0.001690,1,80
resistance,0.001659,1,123
nothing,0.001634,3,479
push,0.001624,2,318
agitation,0.001614,1,107
partly,0.001614,1,86
contentment,0.001614,1,294
aside,0.001599,1,112
confidence,0.001599,1,159
complicate,0.001599,1,88
hopefully,0.001599,1,84
activity,0.001578,2,453
highlight,0.001571,1,105
flow,0.001567,2,570
stay,0.001556,4,826
ah,0.001543,1,125
forget,0.001517,1,94
rhythm,0.001517,1,111
concentrate,0.001504,1,123
alternative,0.001491,1,119
kindness,0.001480,2,545
read,0.001469,2,427
mostly,0.001466,1,103
seem,0.001449,3,500
clean,0.001441,1,148
strain,0.001441,1,134
metaphor,0.001429,1,151
inner,0.001427,2,485
somewhere,0.001395,1,104
nice,0.001390,3,559
anything,0.001379,5,831
function,0.001372,1,123
apply,0.001339,1,166
mine,0.001329,1,232
gift,0.001298,1,147
quality,0.001288,2,625
explore,0.001288,1,197
word,0.001286,9,1369
finally,0.001278,1,153
surface,0.001268,1,164
case,0.001268,1,171
condition,0.001259,2,691
together,0.001256,5,1029
gently,0.001250,2,406
allow,0.001249,7,1528
grind,0.001229,1,163
work,0.001225,5,1360
focus,0.001222,2,607
stuff,0.001220,1,185
arrive,0.001220,1,158
bite,0.001214,9,1541
grow,0.001213,2,508
primary,0.001211,1,164
love,0.001195,5,1743
instruction,0.001183,1,215
occur,0.001183,1,142
space,0.001177,2,712
hold,0.001166,4,1026
quiet,0.001159,2,634
keep,0.001153,4,817
image,0.001132,1,210
world,0.001121,12,2405
hand,0.001115,2,491
common,0.001115,1,167
ground,0.001115,1,221
wholesome,0.001115,1,389
drive,0.001107,1,198
field,0.001091,1,255
bear,0.001091,1,236
body,0.001084,13,3281
story,0.001081,2,1012
gather,0.001075,1,330
add,0.001067,1,289
every,0.001064,2,493
goodwill,0.001059,1,504
attitude,0.001044,1,296
person,0.001042,3,1105
connect,0.001039,2,666
sort,0.001029,1,279
point,0.001019,5,1149
someone,0.001014,2,638
sensation,0.001006,2,884
mean,0.001004,6,1471
doe,0.001002,3,877
play,0.000999,1,275
soft,0.000978,1,246
challenge,0.000964,1,307
heart,0.000962,5,1680
rather,0.000958,2,543
receive,0.000957,1,368
you'll,0.000957,1,227
truth,0.000950,1,525
concern,0.000950,1,278
else,0.000950,2,562
direct,0.000944,1,272
translate,0.000930,1,258
tomorrow,0.000930,1,188
especially,0.000930,1,203
situation,0.000924,1,322
pleasure,0.000924,1,719
normal,0.000904,1,183
head,0.000898,1,270
completely,0.000898,1,252
may,0.000889,7,2204
ago,0.000878,1,268
order,0.000866,1,240
fully,0.000860,1,299
wise,0.000860,1,454
exactly,0.000854,1,239
consider,0.000848,1,283
forward,0.000842,1,229
describe,0.000836,1,280
well-being,0.000830,1,574
without,0.000827,4,982
home,0.000824,1,259
capacity,0.000818,1,403
help,0.000818,3,866
view,0.000812,1,683
become,0.000809,10,1773
sense,0.000808,15,2977
self,0.000789,1,1140
compassion,0.000789,1,676
though,0.000784,1,242
goodness,0.000772,1,479
move,0.000764,2,640
fronsdal,0.000756,1,294
true,0.000756,1,416
fear,0.000756,1,506
you've,0.000751,1,357
eye,0.000750,2,635
nature,0.000745,1,397
assume,0.000729,1,239
isn't,0.000724,1,406
room,0.000683,1,435
close,0.000673,3,674
small,0.000668,1,393
shift,0.000668,1,465
quite,0.000661,2,701
involve,0.000658,1,423
back,0.000652,6,1504
ease,0.000639,1,551
full,0.000639,1,340
inside,0.000625,1,441
guide,0.000620,3,898
enough,0.000615,2,750
aware,0.000597,1,622
little,0.000594,9,2387
peaceful,0.000593,1,412
still,0.000589,2,804
whatever,0.000582,4,1202
particular,0.000575,1,446
mind,0.000571,19,4578
soften,0.000571,1,549
link,0.000570,2,522
ask,0.000558,1,679
everyone,0.000553,1,457
wonderful,0.000553,1,504
interest,0.000549,1,524
thing,0.000541,18,4908
gil,0.000540,1,437
peace,0.000532,1,645
understand,0.000527,2,1224
attention,0.000521,2,1275
imagine,0.000519,1,466
happen,0.000518,5,2094
introduction,0.000515,1,280
meditate,0.000515,1,514
others,0.000514,2,1077
create,0.000511,1,538
possible,0.000511,1,523
continue,0.000503,1,423
appreciate,0.000495,1,588
dharmette,0.000483,1,323
touch,0.000479,1,497
wish,0.000479,1,583
happy,0.000466,2,873
present,0.000460,2,1238
place,0.000445,3,1599
almost,0.000437,1,563
year,0.000437,1,830
sometimes,0.000429,5,1897
need,0.000429,3,1576
last,0.000425,1,533
different,0.000425,4,1936
lot,0.000425,4,1541
