word,tfidf_score,talk_frequency,global_frequency
power,0.041366,25,196
prestige,0.029481,5,6
chah,0.025864,7,42
sila,0.024453,6,30
kittisaro,0.020041,3,3
thanissara,0.020041,3,3
insidious,0.020041,3,3
panna,0.017689,3,6
ajahn,0.016797,7,147
heritage,0.016312,3,5
partaking,0.016312,3,5
trustworthy,0.016312,3,5
thai,0.014356,5,56
revered,0.013960,3,8
potent,0.013960,3,8
rhodes,0.013361,2,2
plugging,0.013361,2,2
measureless,0.013361,2,2
potentize,0.013361,2,2
anagarika,0.013361,2,2
dharmagiri,0.013361,2,2
million,0.012584,3,11
banner,0.011903,3,15
hermitage,0.011792,2,4
blessings,0.010426,3,31
lineage,0.010048,3,24
safety,0.009967,5,116
triple,0.009719,2,7
gem,0.009719,2,6
waving,0.009719,2,11
harm,0.009616,6,337
protection,0.009256,3,35
africa,0.008958,2,9
leadership,0.008656,2,9
forest,0.008271,4,130
impacts,0.008151,2,11
must,0.008077,5,154
reverence,0.007935,2,28
extraordinary,0.007739,2,14
ownership,0.007390,2,19
roles,0.007390,2,20
trace,0.007390,2,20
brensilver,0.007199,3,91
actions,0.007125,4,170
matthew,0.007122,3,94
awakened,0.007048,3,94
countries,0.006951,2,31
heal,0.006821,2,33
dharma,0.006712,11,877
ornamental,0.006680,1,1
instinctively,0.006680,1,1
acquisitiveness,0.006680,1,1
23rd,0.006680,1,1
episode,0.006680,1,1
inflated,0.006680,1,1
amplified,0.006680,1,1
foreseeing,0.006680,1,1
overlapped,0.006680,1,1
junior,0.006680,1,1
consensually,0.006680,1,1
unpossessible,0.006680,1,1
centric,0.006680,1,1
unpossessibility,0.006680,1,1
calibrated,0.006680,1,1
coupled,0.006680,1,1
emulating,0.006680,1,1
diverge,0.006680,1,1
husband,0.006583,2,39
former,0.006583,2,23
teacher,0.006476,7,421
south,0.006472,2,28
gesture,0.006367,2,36
representing,0.006367,2,25
meal,0.006267,2,34
worthy,0.006170,2,33
