word,tfidf_score,talk_frequency,global_frequency
abide,0.040807,23,155
enter,0.030785,37,375
hillside,0.018480,5,9
jhana,0.018308,10,275
joy,0.017593,26,925
excitement,0.017549,7,33
happiness,0.014875,23,830
spread,0.010129,8,235
jhanas,0.009701,4,57
rock,0.008438,5,83
spirit,0.008120,5,105
sensation,0.006980,14,867
embody,0.006925,5,143
ordinary,0.006917,6,188
mature,0.006565,3,58
contentment,0.006435,4,284
mental,0.006312,7,344
open,0.006277,33,1195
hurry,0.006233,3,81
outdoors,0.006039,2,27
lake,0.006009,3,127
samadhi,0.005963,8,1514
modest,0.005753,2,17
nonverbal,0.005626,2,33
subtle,0.005450,6,372
active,0.005378,3,63
sky,0.005323,3,86
physical,0.005303,5,208
vision-making,0.005076,1,1
weekend,0.005014,2,24
distinction,0.004872,3,96
difference,0.004575,5,226
activation,0.004499,2,44
turkey,0.004482,1,5
healthy-looking,0.004482,1,2
stalk,0.004482,1,2
abate,0.004482,1,2
mind-made,0.004482,1,4
bliss,0.004437,2,61
expansion,0.004262,2,41
coyote,0.004134,1,3
egret,0.004134,1,9
leftover,0.004134,1,3
impulse,0.004006,2,65
pleasant,0.003998,4,351
conversational,0.003887,1,6
not-so-subtle,0.003887,1,4
supermarket,0.003887,1,4
rest,0.003881,9,550
beyond,0.003829,3,185
paul,0.003696,1,6
virtually,0.003696,1,5
negativity,0.003696,1,8
headline,0.003696,1,7
classic,0.003585,2,62
beingness,0.003540,1,10
mingle,0.003540,1,11
fully,0.003477,4,288
quiet,0.003457,6,622
body,0.003452,42,3238
relief,0.003442,2,95
accordingly,0.003407,1,8
luminous,0.003407,1,7
familiar,0.003354,3,178
wholesome,0.003354,3,349
monday,0.003310,2,67
evaluation,0.003293,1,13
tuesday,0.003293,1,13
breathe,0.003235,11,2454
commentarial,0.003192,1,11
state,0.003168,6,818
piti,0.003101,1,21
drop,0.003020,3,270
recondition,0.003020,1,12
throughout,0.002992,2,93
attune,0.002966,2,116
awe,0.002945,1,32
sticky,0.002945,1,14
step,0.002938,4,394
behind,0.002933,3,185
angry,0.002915,2,176
enjoyment,0.002876,1,16
sukha,0.002876,1,27
rapture,0.002876,1,32
meantime,0.002813,1,16
wednesday,0.002813,1,21
across,0.002770,2,151
satisfy,0.002770,2,136
saturate,0.002754,1,26
edge,0.002702,2,173
familiarity,0.002698,1,19
mild,0.002698,1,20
permeate,0.002698,1,24
glow,0.002646,1,29
associate,0.002627,3,234
strong,0.002607,4,439
thrill,0.002597,1,27
hum,0.002597,1,27
traditional,0.002597,1,25
oxygen,0.002551,1,36
vibration,0.002551,1,26
harmonious,0.002551,1,23
register,0.002551,1,34
well-being,0.002533,3,545
land,0.002532,2,166
someplace,0.002465,1,27
favor,0.002425,1,25
discus,0.002425,1,28
pervade,0.002425,1,44
dip,0.002387,1,33
aversive,0.002387,1,34
energy,0.002354,3,441
hill,0.002351,1,36
accessible,0.002351,1,32
rightness,0.002351,1,32
tower,0.002316,1,43
verbal,0.002316,1,39
however,0.002306,2,152
goodness,0.002286,3,474
design,0.002282,1,31
enjoyable,0.002282,1,35
hall,0.002250,1,46
dedication,0.002218,1,41
regular,0.002218,1,32
vacation,0.002218,1,53
assume,0.002203,3,230
everyday,0.002188,1,39
bear,0.002186,2,231
weather,0.002159,1,56
recommend,0.002159,1,36
white,0.002131,1,59
exploration,0.002131,1,49
characterize,0.002131,1,39
uplift,0.002131,1,84
wash,0.002104,1,51
intense,0.002104,1,47
strongly,0.002104,1,41
