word,tfidf_score,talk_frequency,global_frequency
secular,0.055522,38,76
bernat,0.020038,9,16
martine,0.015585,7,15
creative,0.014915,12,37
reincarnation,0.014373,7,11
changing,0.011409,22,378
awakening,0.011318,19,283
exposed,0.010543,6,11
impermanence,0.009273,11,144
sudden,0.009261,9,62
samma,0.009175,5,10
vulnerable,0.008854,7,29
unsatisfactory,0.008457,5,31
existential,0.008372,6,27
term,0.007958,15,256
nowadays,0.007920,5,20
korea,0.007722,4,10
anchoring,0.007722,4,7
unstable,0.007722,4,7
finite,0.007722,4,7
seon,0.007568,3,3
buddhahood,0.007568,3,3
harming,0.006885,6,59
painful,0.006881,8,98
samatha,0.006765,4,17
unpredictable,0.006679,3,5
sujata,0.006679,3,4
angulimala,0.006679,3,30
buddhism,0.006490,16,505
condition,0.006401,17,519
batchelor,0.005791,3,36
adjective,0.005791,3,11
imperfect,0.005791,3,6
audience,0.005738,5,137
gradual,0.005654,5,60
embrace,0.005581,4,22
transient,0.005505,3,7
vipassana,0.005421,5,87
metta,0.005130,7,445
kalama,0.005074,3,11
unreliable,0.005074,3,10
intemperie,0.005045,2,2
doorknob,0.005045,2,2
non-theistic,0.005045,2,2
decaying,0.005045,2,2
tittha,0.005045,2,2
change,0.004975,20,932
fail,0.004903,3,11
seek,0.004809,4,33
caring,0.004803,8,210
careful,0.004788,7,120
subject,0.004788,5,108
pattern,0.004773,6,127
palace,0.004752,3,28
followed,0.004660,4,30
quest,0.004617,3,15
cannot,0.004593,7,129
technique,0.004459,4,48
font,0.004453,2,5
chan,0.004453,2,3
unprotected,0.004453,2,3
stripping,0.004453,2,3
interesting,0.004401,10,278
faith,0.004390,5,172
vulnerability,0.004281,3,17
girl,0.004186,3,57
translation,0.004174,5,103
decay,0.004107,2,4
dissatisfied,0.004107,2,6
aging,0.004097,3,19
sutta,0.004070,6,307
depend,0.004015,3,27
text,0.003978,5,123
element,0.003940,5,183
bounded,0.003861,2,5
porridge,0.003861,2,5
lifetime,0.003745,4,71
repetitive,0.003670,2,14
metaphorically,0.003670,2,6
creatively,0.003670,2,9
aspiring,0.003670,2,6
characteristic,0.003664,5,190
buddha,0.003655,23,1614
dharma,0.003638,15,827
he's,0.003602,6,305
personally,0.003548,4,58
dukkha,0.003546,6,401
self-compassion,0.003514,2,15
uncertainty,0.003495,3,36
translate,0.003406,4,72
god,0.003406,4,190
england,0.003383,2,10
questioning,0.003269,2,10
cosmology,0.003269,2,23
karma,0.003253,3,75
tradition,0.003245,7,325
mindfulness,0.003221,15,928
rice,0.003168,2,15
habit,0.003152,4,113
religious,0.003126,3,71
disagree,0.003078,2,11
devoted,0.003078,2,13
realizes,0.003078,2,12
death,0.003038,4,161
outdoors,0.002997,2,27
enlightenment,0.002975,3,67
overlay,0.002922,2,29
receives,0.002922,2,19
dissolve,0.002906,3,53
patience,0.002840,3,329
generally,0.002831,4,98
creating,0.002831,4,104
indirectly,0.002791,2,15
permission,0.002791,2,18
question,0.002767,10,825
decides,0.002732,2,17
totally,0.002718,3,92
flower,0.002718,3,80
village,0.002676,2,35
circumstance,0.002661,3,83
seems,0.002656,7,266
teach,0.002632,5,242
suffering,0.002623,12,1427
looking,0.002615,10,491
country,0.002580,3,92
affected,0.002576,2,24
cultural,0.002576,2,31
call,0.002572,9,419
nun,0.002530,2,64
project,0.002529,3,89
circumscribed,0.002523,1,1
geography,0.002523,1,1
jargon,0.002523,1,1
mini-gods,0.002523,1,1
fatalistic,0.002523,1,1
withered,0.002523,1,1
wilted,0.002523,1,1
waiter,0.002523,1,1
yelp,0.002523,1,1
toothache,0.002523,1,1
devalues,0.002523,1,1
world-denial,0.002523,1,1
unreliability,0.002523,1,1
inclemency,0.002523,1,1
catalan,0.002523,1,1
josep,0.002523,1,1
esquirol,0.002523,1,1
self-sustenance,0.002523,1,1
eternally,0.002523,1,1
timelessness,0.002523,1,1
buddha-like,0.002523,1,1
un-buddha-like,0.002523,1,1
un-grasping,0.002523,1,1
hesitates,0.002523,1,1
mediate,0.002523,1,1
serial,0.002523,1,1
killer,0.002523,1,1
module,0.002523,1,1
patterning,0.002523,1,1
overeat,0.002523,1,1
bua,0.002523,1,1
hardening,0.002523,1,1
harm,0.002499,4,338
power,0.002499,4,213
zen,0.002480,3,134
practiced,0.002456,3,77
arisen,0.002404,2,33
possibly,0.002404,2,26
outer,0.002404,2,38
mean,0.002389,18,1037
cultivate,0.002383,4,201
wake,0.002364,3,84
follow,0.002364,4,128
self,0.002362,6,1124
compassion,0.002328,6,634
culture,0.002300,3,133
transformation,0.002295,2,54
break,0.002279,3,90
already,0.002266,5,255
resist,0.002262,2,41
gaia,0.002226,1,2
anew,0.002226,1,2
slogan,0.002226,1,4
relies,0.002226,1,2
spanish,0.002226,1,2
boil,0.002226,1,2
autonomous,0.002226,1,2
exchanging,0.002226,1,2
hagglund,0.002226,1,2
fails,0.002226,1,2
longed,0.002226,1,2
isolating,0.002226,1,2
fanciful,0.002226,1,2
creator,0.002226,1,4
popping,0.002226,1,2
millisecond,0.002226,1,2
disappoint,0.002226,1,2
inflicting,0.002226,1,2
recommends,0.002226,1,4
speaks,0.002198,2,40
