word,tfidf_score,talk_frequency,global_frequency
silent,0.038842,24,112
nonverbal,0.028392,11,33
lotus,0.027695,10,25
discursive,0.022643,10,57
silence,0.020081,17,201
jhana,0.020026,12,276
water,0.017144,21,493
turkey,0.016405,4,5
hot,0.013546,7,62
pool,0.011924,5,41
conversational,0.010679,3,6
metaphor,0.010327,8,151
delightful,0.009910,6,62
blue,0.009210,4,68
cool,0.009072,6,108
intelligence,0.008640,4,120
chapel,0.008203,2,3
verbally,0.007569,2,4
non-discursive,0.007569,2,5
envelop,0.007569,2,10
satisfy,0.007557,6,141
permeate,0.007430,3,24
immerse,0.007154,3,45
inconceivable,0.007120,2,5
happiness,0.007082,12,860
awareness,0.006819,17,1263
cozy,0.006684,3,35
season,0.006684,3,34
dance,0.006580,3,45
verbal,0.006384,3,39
red,0.006204,3,46
wholeness,0.006048,4,155
music,0.005957,3,62
white,0.005806,3,60
float,0.005575,4,113
alive,0.005534,6,205
judge,0.005432,4,113
friendliness,0.005342,3,177
simile,0.005283,3,134
treasure,0.005162,2,37
saturate,0.004953,2,27
clarity,0.004853,5,255
thrill,0.004769,2,27
expression,0.004651,4,130
non-conversational,0.004643,1,1
commentate,0.004643,1,1
music-making,0.004643,1,1
seashore,0.004643,1,1
snorkel,0.004643,1,1
comforter-filled,0.004643,1,1
thousand-year-old,0.004643,1,1
answer,0.004612,5,250
rumination,0.004605,2,46
excitement,0.004605,2,33
surface,0.004580,4,164
philosophical,0.004529,2,38
jhanas,0.004456,2,57
pervade,0.004456,2,44
tip,0.004386,2,34
dip,0.004320,2,34
joy,0.004318,7,931
suspect,0.004256,2,39
project,0.004255,3,106
co-teachers,0.004101,1,2
kaira,0.004101,1,2
inside,0.003951,7,441
ever,0.003826,4,183
lingo,0.003785,1,3
rudimentary,0.003785,1,3
off-putting,0.003785,1,4
june,0.003785,1,4
noble,0.003778,3,268
intimacy,0.003776,2,44
india,0.003730,2,79
tremendous,0.003658,3,112
refresh,0.003644,2,56
cloudy,0.003560,1,5
trance,0.003560,1,7
friendship,0.003522,2,127
wonderful,0.003497,7,504
monastery,0.003446,2,113
window,0.003446,2,72
environment,0.003446,2,61
italy,0.003385,1,6
absorptive,0.003385,1,6
france,0.003385,1,7
disconnect,0.003373,2,94
accompany,0.003303,2,131
coziness,0.003243,1,7
negotiate,0.003243,1,7
sanna,0.003243,1,12
accompaniment,0.003243,1,20
companionship,0.003243,1,8
dictionary,0.003243,1,7
flower,0.003205,2,86
source,0.003182,3,355
narrow,0.003173,2,87
offline,0.003123,1,8
storytelling,0.003123,1,31
mask,0.003123,1,9
rock,0.003112,2,83
comfortably,0.003018,1,9
fog,0.003018,1,12
catholic,0.003018,1,14
sincerely,0.003018,1,8
deep,0.002991,18,1709
trust,0.002955,3,278
beautiful,0.002951,5,559
commentarial,0.002926,1,11
offend,0.002926,1,10
coolness,0.002926,1,15
foggy,0.002844,1,10
jewel,0.002844,1,16
hug,0.002769,1,15
adjust,0.002739,2,96
thich,0.002701,1,13
nhat,0.002701,1,13
hanh,0.002701,1,13
scary,0.002701,1,12
holistic,0.002701,1,22
oddly,0.002701,1,15
logical,0.002701,1,16
peak,0.002701,1,20
summer,0.002701,1,14
underwater,0.002701,1,13
wave,0.002693,2,162
valuable,0.002670,2,97
fill,0.002669,3,233
conceive,0.002639,1,25
obsess,0.002639,1,16
climate,0.002639,1,17
nest,0.002639,1,58
comparable,0.002639,1,15
quiet,0.002616,5,634
doorway,0.002581,1,16
creativity,0.002581,1,22
rational,0.002581,1,20
embody,0.002540,2,146
assign,0.002527,1,23
content,0.002519,2,171
bubble,0.002477,1,22
head,0.002432,3,270
flip,0.002429,1,23
conversation,0.002419,2,185
state,0.002402,5,843
friend,0.002396,4,562
compel,0.002385,1,23
ambition,0.002385,1,32
ruminate,0.002385,1,24
recognition,0.002381,2,217
harmonious,0.002342,1,23
nun,0.002342,1,65
phenomenally,0.002342,1,20
silently,0.002342,1,26
communicate,0.002342,1,31
unfortunate,0.002342,1,27
sea,0.002342,1,27
shore,0.002342,1,101
fully,0.002330,3,299
spread,0.002326,2,238
explore,0.002326,2,197
worry,0.002308,2,155
sway,0.002302,1,26
intuition,0.002302,1,25
distinct,0.002302,1,24
comment,0.002272,2,194
sensation,0.002272,5,884
bodhi,0.002264,1,29
alone,0.002255,2,147
convey,0.002228,1,26
seemingly,0.002228,1,24
sincerity,0.002193,1,43
dive,0.002193,1,29
exhaust,0.002160,1,32
hill,0.002160,1,36
surround,0.002128,1,35
conceptual,0.002128,1,36
however,0.002122,2,153
context,0.002106,2,185
boy,0.002097,1,44
samadhi,0.002063,3,1519
image,0.002044,2,210
sacrifice,0.002040,1,50
ask,0.002014,4,679
ground,0.002014,2,221
burn,0.002012,1,57
weather,0.001986,1,56
capable,0.001935,1,40
remarkable,0.001935,1,53
divide,0.001935,1,58
pure,0.001935,1,59
absorption,0.001911,1,46
stretch,0.001888,1,58
bow,0.001888,1,51
sadness,0.001888,1,62
enlighten,0.001888,1,49
soothe,0.001888,1,53
cloud,0.001865,1,83
lift,0.001865,1,57
renunciation,0.001865,1,70
pleasant,0.001858,2,351
foot,0.001858,2,232
neck,0.001843,1,55
drop,0.001831,2,275
enlightenment,0.001822,1,70
briefly,0.001822,1,52
probably,0.001810,3,351
play,0.001805,2,275
label,0.001801,1,84
involve,0.001784,3,423
agree,0.001781,1,55
allow,0.001772,11,1528
level,0.001767,2,283
generous,0.001761,1,92
tire,0.001761,1,82
stop,0.001757,3,474
collect,0.001742,1,72
delight,0.001741,2,297
touch,0.001730,4,497
receive,0.001729,2,368
sati,0.001723,1,94
compare,0.001723,1,76
imagination,0.001686,1,96
somehow,0.001681,3,321
without,0.001681,9,982
unification,0.001669,1,101
basically,0.001669,1,94
enough,0.001667,6,750
mean,0.001662,11,1471
loss,0.001652,1,123
grow,0.001643,3,508
sky,0.001635,1,86
commentary,0.001635,1,87
bed,0.001635,1,62
rich,0.001618,1,67
unify,0.001602,1,93
align,0.001602,1,83
relaxation,0.001602,1,63
dependent,0.001602,1,92
underneath,0.001602,1,88
breathe,0.001597,6,2491
sure,0.001576,2,256
slightly,0.001571,1,65
animal,0.001556,1,119
event,0.001556,1,83
bell,0.001541,1,110
arise,0.001538,5,1074
lack,0.001526,1,95
posture,0.001523,4,608
retreat,0.001520,2,401
extend,0.001512,1,77
ignore,0.001512,1,75
question,0.001499,3,845
wasn't,0.001499,2,293
quite,0.001493,5,701
spirit,0.001484,1,107
capacity,0.001477,2,403
fact,0.001477,2,245
tell,0.001476,3,580
expectation,0.001471,1,112
story,0.001464,3,1012
course,0.001457,4,696
disappear,0.001457,1,125
repeat,0.001444,1,81
explain,0.001431,1,94
activity,0.001426,2,453
need,0.001419,11,1576
society,0.001418,1,136
though,0.001415,2,242
otherwise,0.001406,1,98
root,0.001406,1,146
goodness,0.001395,2,479
hope,0.001385,2,259
trouble,0.001382,1,93
recognize,0.001374,3,668
someone,0.001374,3,638
usual,0.001358,1,109
attune,0.001358,1,117
characteristic,0.001346,1,192
alternative,0.001346,1,119
would,0.001340,11,2002
kindness,0.001336,2,545
extra,0.001324,1,181
strain,0.001302,1,134
tension,0.001270,2,608
express,0.001270,1,147
clear,0.001266,3,577
appreciation,0.001259,1,209
respond,0.001259,1,156
nourish,0.001259,1,127
whether,0.001252,2,315
careful,0.001249,1,126
warm,0.001249,1,122
rise,0.001249,1,134
everything,0.001243,4,902
remind,0.001239,1,112
walk,0.001225,2,552
door,0.001219,1,154
hurt,0.001219,1,138
tree,0.001219,1,203
warmth,0.001210,1,155
relax,0.001206,4,1245
place,0.001205,9,1599
body,0.001205,16,3281
limit,0.001200,1,181
almost,0.001183,3,563
rest,0.001183,3,558
unfold,0.001154,1,170
great,0.001146,4,937
young,0.001145,1,165
check,0.001136,1,167
contact,0.001119,1,225
top,0.001119,1,180
require,0.001110,1,154
chest,0.001110,1,144
profound,0.001110,1,215
community,0.001102,1,357
peaceful,0.001071,2,412
exist,0.001061,1,164
free,0.001042,4,748
soften,0.001031,2,549
practitioner,0.001030,1,201
saw,0.001022,1,191
live,0.001019,4,1197
anything,0.000996,4,831
bear,0.000985,1,236
future,0.000971,1,217
fix,0.000971,1,284
goodwill,0.000956,1,504
pressure,0.000950,1,263
couple,0.000936,1,175
past,0.000929,1,227
value,0.000929,1,227
wait,0.000929,1,225
create,0.000923,2,538
spiritual,0.000922,1,573
gentle,0.000916,1,267
day,0.000908,5,1006
connection,0.000903,1,216
release,0.000896,1,296
invite,0.000896,1,319
appreciate,0.000894,2,588
build,0.000883,1,236
discover,0.000883,1,312
many,0.000877,6,1092
simple,0.000872,2,721
you'll,0.000864,1,227
healthy,0.000852,1,293
tomorrow,0.000840,1,188
tradition,0.000828,1,342
subtle,0.000828,1,377
normal,0.000816,1,183
may,0.000802,7,2204
ago,0.000793,1,268
direction,0.000793,1,254
important,0.000790,3,824
wrong,0.000788,1,333
back,0.000786,8,1504
mindfulness,0.000775,2,990
consider,0.000766,1,283
forward,0.000760,1,229
well-being,0.000749,1,574
emotion,0.000749,1,388
bite,0.000731,6,1541
use,0.000726,4,1198
understand,0.000714,3,1224
part,0.000712,8,1621
flow,0.000708,1,570
idea,0.000706,4,1638
safe,0.000703,2,430
stay,0.000703,2,826
simply,0.000703,1,309
desire,0.000698,1,743
fronsdal,0.000683,1,294
reason,0.000683,1,277
true,0.000683,1,416
fear,0.000683,1,506
actually,0.000680,3,1098
you've,0.000678,1,357
world,0.000675,8,2405
read,0.000663,1,427
assume,0.000659,1,239
spend,0.000649,1,297
example,0.000630,1,379
return,0.000599,1,278
call,0.000592,3,1053
show,0.000577,1,545
buddha,0.000561,2,1883
guide,0.000560,3,898
movement,0.000556,1,456
include,0.000548,1,397
i'd,0.000548,1,434
didn't,0.000544,1,516
settle,0.000538,2,1517
new,0.000535,1,551
keep,0.000521,2,817
particular,0.000519,1,446
form,0.000507,1,450
nothing,0.000492,1,479
gil,0.000488,1,437
morning,0.000488,1,399
care,0.000487,2,1613
every,0.000480,1,493
within,0.000480,1,533
peace,0.000480,1,645
lot,0.000479,5,1541
different,0.000479,5,1936
thank,0.000479,5,1197
little,0.000477,8,2387
imagine,0.000469,1,466
happen,0.000468,5,2094
introduction,0.000465,1,280
leave,0.000465,1,488
others,0.000465,2,1077
possible,0.000462,1,523
human,0.000454,1,556
continue,0.000454,1,423
teach,0.000454,2,1458
dharma,0.000451,1,842
love,0.000432,2,1743
else,0.000429,1,562
nice,0.000418,1,559
experience,0.000410,5,3121
buddhist,0.000408,1,833
hear,0.000408,1,864
life,0.000407,8,2821
close,0.000405,2,674
whatever,0.000394,3,1202
year,0.000394,1,830
able,0.000391,1,623
word,0.000387,3,1369
think,0.000382,37,5995
thing,0.000380,14,4908
people,0.000371,6,3319
certain,0.000361,1,631
mind,0.000353,13,4578
okay,0.000348,1,1161
move,0.000345,1,640
open,0.000343,2,1220
sense,0.000341,7,2977
welcome,0.000317,2,707
next,0.000317,1,621
person,0.000314,1,1105
try,0.000312,2,1286
another,0.000305,1,767
doe,0.000302,1,877
learn,0.000296,1,781
end,0.000295,3,1107
begin,0.000292,2,1436
week,0.000284,1,717
look,0.000282,2,1467
still,0.000266,1,804
good,0.000266,6,2501
sit,0.000265,4,1503
hold,0.000263,1,1026
whole,0.000246,1,1151
often,0.000235,1,1090
let,0.000235,7,2733
sometimes,0.000233,3,1897
want,0.000212,4,3042
happy,0.000211,1,873
today,0.000208,1,842
much,0.000195,4,1676
well,0.000171,1,1348
u,0.000159,11,3385
might,0.000159,3,2167
long,0.000154,1,943
make,0.000151,4,2446
find,0.000151,2,1691
information,0.000146,1,415
even,0.000137,6,1894
right,0.000110,1,2158
feel,0.000103,25,6274
become,0.000073,1,1773
time,0.000072,7,2880
take,0.000027,1,2267
practice,0.000027,1,3793
ai-generated,0.000000,1,383
transcript,0.000000,1,386
auto-generated,0.000000,1,383
subtitle,0.000000,1,384
video,0.000000,1,405
meditation,0.000000,9,3504
likely,0.000000,1,475
contain,0.000000,1,414
inaccuracy,0.000000,1,383
follow,0.000000,1,724
talk,0.000000,3,2454
give,0.000000,2,1917
insight,0.000000,1,1683
center,0.000000,5,1120
redwood,0.000000,1,431
city,0.000000,1,489
california,0.000000,1,443
please,0.000000,1,570
visit,0.000000,1,473
website,0.000000,1,450
www,0.000000,1,398
audiodharma,0.000000,1,398
org,0.000000,1,414
