word,tfidf_score,talk_frequency,global_frequency
bunny,0.048891,14,14
pansy,0.034922,10,10
stake,0.031624,13,18
low,0.015486,9,33
letting,0.012272,47,758
cart,0.011707,5,17
shopping,0.011589,6,22
poem,0.010057,10,393
bummer,0.009247,3,4
buy,0.008885,6,47
grasping,0.008597,7,97
dukkha,0.008182,10,401
lesser,0.007902,4,33
abandoning,0.007563,4,26
art,0.007497,7,133
lasting,0.007410,4,36
dozen,0.007298,3,9
half-circle,0.006984,2,2
crinkly,0.006984,2,2
rootbound,0.006984,2,2
unblinking,0.006984,2,2
consumes,0.006984,2,2
coo,0.006984,2,2
nibbled,0.006984,2,2
blouse,0.006984,2,2
noble,0.006685,7,263
arrives,0.006392,3,12
happiness,0.006274,14,811
spade,0.006165,2,3
twitchy,0.006165,2,3
garden,0.005926,3,18
delight,0.005773,7,207
purple,0.005685,2,4
corporate,0.005685,2,4
obstructing,0.005685,2,5
pink,0.005345,2,5
gladness,0.005253,3,48
helpful,0.005252,10,561
truth,0.005249,8,487
plastic,0.005081,2,8
brown,0.005081,2,8
petal,0.005081,2,6
efficient,0.005081,2,10
price,0.005081,2,8
surrender,0.005075,3,57
belonging,0.005075,3,30
small,0.004984,10,341
surrendering,0.004865,2,20
lead,0.004840,7,363
she's,0.004763,4,113
fourth,0.004735,5,153
lump,0.004683,2,11
tug,0.004683,2,8
cute,0.004683,2,15
renouncing,0.004683,2,14
abundance,0.004386,2,13
diana,0.004364,4,331
discomfort,0.004364,4,127
harm,0.004325,5,338
clinging,0.004296,7,428
inadequacy,0.004261,2,13
replace,0.004261,2,11
greater,0.004222,5,216
shallow,0.004148,2,23
bloom,0.004148,2,13
buying,0.004148,2,14
pointed,0.004119,3,52
gain,0.004071,3,80
ending,0.004023,3,87
gone,0.004023,4,97
stress,0.003996,5,232
generous,0.003977,3,77
container,0.003951,2,18
rosemary,0.003863,2,33
slip,0.003782,2,17
square,0.003782,2,41
hike,0.003782,2,26
security,0.003782,2,24
highlight,0.003763,3,70
lift,0.003705,2,24
joy,0.003697,8,923
hole,0.003634,2,37
wash,0.003634,2,22
clark,0.003609,3,281
dish,0.003566,2,25
precious,0.003566,2,24
possession,0.003566,2,29
round,0.003502,2,30
traummer,0.003492,1,1
twenty,0.003492,1,1
adequacy,0.003492,1,1
traumer,0.003492,1,1
scratchy,0.003492,1,1
purchasing,0.003492,1,1
reinterpretation,0.003492,1,1
respectable,0.003492,1,1
browbeat,0.003492,1,1
closure,0.003492,1,1
duckling,0.003492,1,1
boyfriend-girlfriend,0.003492,1,1
low-stakes,0.003492,1,1
soil,0.003441,2,48
wealth,0.003441,2,42
wear,0.003441,2,32
single,0.003433,3,84
source,0.003351,4,307
biggest,0.003329,2,32
control,0.003325,4,245
rid,0.003304,3,123
uplift,0.003226,2,54
line,0.003222,4,206
nose,0.003177,2,31
integral,0.003177,2,31
dhammapada,0.003177,2,41
instead,0.003161,7,439
cause,0.003138,5,270
situation,0.003138,5,315
path,0.003137,7,795
ease,0.003137,7,509
chasing,0.003086,2,45
cancel,0.003082,1,2
bummer-ness,0.003082,1,2
instituting,0.003082,1,2
socialized,0.003082,1,2
neurotransmitter,0.003082,1,2
expertise,0.003082,1,2
allure,0.003082,1,3
innocent,0.003043,2,44
bliss,0.003043,2,61
bow,0.003002,2,42
tranquility,0.003002,2,63
view,0.002979,5,631
ever,0.002894,4,177
uncomfortable,0.002889,3,194
strange,0.002885,2,35
eating,0.002849,2,45
foundational,0.002849,2,47
recipe,0.002843,1,3
daylight,0.002843,1,3
lee,0.002843,1,7
revolutionary,0.002843,1,3
sufficiency,0.002843,1,4
itchy,0.002843,1,3
pentad,0.002843,1,6
obscuring,0.002843,1,3
hypothetical,0.002843,1,4
riff,0.002843,1,3
higher,0.002814,2,92
wide,0.002770,3,143
change,0.002755,8,932
dark,0.002746,2,52
suffering,0.002724,9,1427
object,0.002704,4,293
advertising,0.002672,1,7
threatening,0.002672,1,8
amazon,0.002672,1,6
provisionally,0.002672,1,4
autonomy,0.002672,1,7
subset,0.002672,1,5
definite,0.002672,1,4
causing,0.002622,2,73
window,0.002592,2,71
ear,0.002592,2,65
root,0.002592,2,79
perfectly,0.002592,2,61
travel,0.002592,2,51
money,0.002564,2,75
horrifying,0.002540,1,5
playfulness,0.002540,1,8
insufficiency,0.002540,1,15
shave,0.002540,1,5
fleeting,0.002540,1,10
altar,0.002540,1,7
possess,0.002540,1,6
adequate,0.002540,1,5
treadmill,0.002540,1,7
implied,0.002540,1,5
monastic,0.002536,2,107
stuff,0.002494,3,178
idea,0.002470,18,1572
teaching,0.002463,10,984
cascade,0.002433,1,9
battery,0.002433,1,6
measured,0.002433,1,6
okay-ness,0.002433,1,10
hedonic,0.002433,1,8
cookie,0.002433,1,22
seductive,0.002433,1,7
leaf,0.002431,2,63
rise,0.002406,2,86
apply,0.002406,2,70
leaving,0.002406,2,66
sweet,0.002381,2,85
lack,0.002381,2,84
die,0.002358,2,107
example,0.002346,5,367
pretty,0.002343,3,175
insisting,0.002341,1,14
annoyance,0.002341,1,12
brasington,0.002341,1,31
acquiring,0.002341,1,8
sell,0.002341,1,8
asceticism,0.002341,1,11
tangible,0.002341,1,7
striking,0.002341,1,10
clicking,0.002341,1,8
hour,0.002324,3,193
versus,0.002311,2,87
friend,0.002310,5,524
question,0.002299,6,825
giving,0.002280,4,296
tonight,0.002267,2,99
flavor,0.002267,2,80
duration,0.002263,1,8
shoot,0.002263,1,21
eight-fold,0.002263,1,10
industry,0.002263,1,8
cave,0.002263,1,16
attractive,0.002263,1,10
preserved,0.002263,1,9
denial,0.002263,1,8
gripping,0.002263,1,13
range,0.002203,2,91
core,0.002203,2,125
spaciousness,0.002203,2,214
overcoming,0.002193,1,12
item,0.002193,1,15
annoying,0.002193,1,12
controlling,0.002193,1,13
sufficient,0.002193,1,11
oh,0.002170,8,1322
changed,0.002162,2,99
laypeople,0.002131,1,24
author,0.002131,1,14
realizes,0.002131,1,12
enough,0.002130,10,728
reduce,0.002074,1,12
renounce,0.002074,1,24
battle,0.002074,1,33
true,0.002070,4,387
gaze,0.002047,2,116
high,0.002029,2,110
translates,0.002023,1,12
behold,0.002023,1,12
easier,0.002013,3,195
earth,0.002011,2,229
perfect,0.002011,2,122
put,0.002009,8,620
stillness,0.001977,2,178
craving,0.001977,2,250
asking,0.001977,2,124
worst,0.001975,1,16
america,0.001975,1,18
sympathetic,0.001975,1,24
planting,0.001975,1,18
ask,0.001968,3,285
disappointment,0.001932,1,18
hiking,0.001932,1,23
debate,0.001932,1,40
dropped,0.001932,1,17
interpreting,0.001932,1,14
reading,0.001894,2,108
aging,0.001891,1,19
indeed,0.001891,1,19
regardless,0.001891,1,15
direction,0.001869,3,238
quote,0.001862,2,122
interpreted,0.001853,1,19
wrong,0.001841,3,317
viharas,0.001817,1,42
data,0.001817,1,48
evening,0.001817,2,124
job,0.001802,2,190
relationship,0.001793,4,484
personal,0.001787,2,156
promise,0.001783,1,27
need,0.001770,12,1251
comment,0.001758,2,182
implicit,0.001751,1,29
minor,0.001751,1,29
suggestion,0.001751,1,22
well-being,0.001748,3,536
translated,0.001744,2,136
peacefulness,0.001721,1,22
status,0.001721,1,33
food,0.001716,2,189
frustration,0.001692,1,35
brahma,0.001692,1,75
celebrate,0.001692,1,38
meditate,0.001672,3,261
freedom,0.001672,4,597
abandon,0.001664,1,47
awakening,0.001649,2,283
recognizing,0.001649,2,172
everything,0.001639,7,836
hoping,0.001638,1,28
absolute,0.001638,1,29
unhelpful,0.001638,1,48
occasion,0.001638,1,28
caused,0.001638,1,28
navigate,0.001613,1,33
framework,0.001613,1,47
irritation,0.001613,1,38
required,0.001613,1,29
stranger,0.001613,1,32
energy,0.001611,3,439
towards,0.001608,4,469
therefore,0.001589,1,30
game,0.001589,1,48
