word,tfidf_score,talk_frequency,global_frequency
happiness,0.035811,49,811
medicine,0.027529,12,83
abides,0.017371,5,24
jhana,0.014318,7,275
well-being,0.013303,14,536
swayed,0.011389,2,2
contentment,0.010775,6,284
firing,0.010052,2,3
lake,0.009176,4,125
aside,0.008895,5,109
glowing,0.008716,2,5
revolution,0.008716,2,5
samadhi,0.008250,10,1513
enters,0.008142,3,29
zone,0.007890,3,33
sweetness,0.007658,3,89
hall,0.007549,3,46
seclusion,0.007379,2,14
betrayal,0.007379,2,11
equanimous,0.007244,3,75
independent,0.007244,3,49
contented,0.006765,2,22
distressed,0.006765,2,16
embodied,0.006737,4,119
instruction,0.006567,5,212
fullness,0.006561,3,58
permission,0.006300,2,18
joy,0.006028,8,923
aliveness,0.005885,3,84
elicited,0.005695,1,1
rattled,0.005695,1,1
hearness,0.005695,1,1
person-dependent,0.005695,1,1
hyper-vigilant,0.005695,1,1
volcanic,0.005695,1,1
influencable,0.005695,1,1
excitement,0.005612,2,33
cozy,0.005518,2,34
caring,0.005422,4,210
enjoyable,0.005106,2,35
convenient,0.005026,1,2
legally,0.005026,1,2
nowness,0.005026,1,2
recoiling,0.005026,1,2
furthermore,0.005026,1,2
alive,0.004648,4,182
repress,0.004635,1,7
qualifies,0.004635,1,4
tensed,0.004635,1,4
coursing,0.004635,1,3
distress,0.004478,2,59
fantastic,0.004425,2,52
body,0.004406,47,3168
posture,0.004402,9,584
asks,0.004374,2,63
preoccupation,0.004371,3,204
shelter,0.004358,1,4
feared,0.004358,1,6
saturate,0.004358,1,4
dollar,0.004358,1,4
newborn,0.004358,1,7
solid,0.004324,2,69
settledness,0.004275,2,75
reacting,0.004227,2,53
trust,0.004198,3,192
happening,0.004176,10,915
infinitely,0.004143,1,5
sacrificing,0.004143,1,6
greater,0.004131,3,216
breathe,0.004125,5,408
description,0.004091,2,64
smile,0.004048,2,111
dependent,0.004048,2,84
longer,0.004033,5,290
rock,0.004005,2,72
metaphorical,0.003967,1,6
checked,0.003967,1,6
smallest,0.003967,1,7
ecstatic,0.003967,1,8
winning,0.003967,1,12
lottery,0.003967,1,6
potential,0.003883,2,81
anger,0.003850,3,345
enough,0.003821,11,728
neuron,0.003818,1,10
dignified,0.003818,1,8
declare,0.003818,1,9
practitioner,0.003790,3,195
giving,0.003717,4,296
half,0.003696,2,97
wholeheartedly,0.003689,1,9
sincerely,0.003689,1,8
comforted,0.003689,1,9
impersonal,0.003689,1,11
permeates,0.003689,1,10
spirit,0.003661,2,104
relationship,0.003654,5,484
caught,0.003582,4,358
broadcast,0.003576,1,9
