word,tfidf_score,talk_frequency,global_frequency
jhana,0.044045,20,275
peace,0.039715,63,643
nourishment,0.014324,5,44
flavor,0.013820,7,81
characteristic,0.012303,7,192
nerve,0.011147,3,15
viscosity,0.010719,2,4
equanimous,0.010374,4,75
peacefully,0.009984,4,48
selfless,0.009891,2,4
subset,0.009303,2,5
jhanas,0.008731,3,57
pervade,0.008731,3,44
lesson,0.008595,3,50
edge,0.008153,5,173
peaceful,0.007729,11,410
beyond,0.007709,5,185
lotus,0.007237,2,25
equanimity,0.006974,5,460
happiness,0.006920,9,860
search,0.006749,3,70
saturate,0.006471,2,27
fourth,0.006470,4,158
abide,0.006405,3,155
water,0.006388,6,493
samadhi,0.006320,7,1516
spread,0.006071,4,238
experiencers,0.006068,1,1
non-activity,0.006068,1,1
homeopathic,0.006068,1,1
dosage,0.006068,1,1
marginalize,0.006068,1,1
register,0.006015,2,35
degree,0.005930,5,230
weekend,0.005916,2,25
profound,0.005840,4,212
agitation,0.005708,3,107
partly,0.005708,3,86
cage,0.005479,2,35
practitioner,0.005414,4,200
rib,0.005402,2,36
buoyant,0.005360,1,2
detract,0.005360,1,2
housework,0.005360,1,2
stillness,0.005098,3,181
amplify,0.004945,1,3
substantiality,0.004945,1,3
chronically,0.004945,1,3
appropriation,0.004945,1,3
drink,0.004872,2,63
medicine,0.004872,2,84
conceit,0.004814,2,70
predominantly,0.004652,1,5
exquisitely,0.004652,1,4
connoisseur,0.004652,1,4
lake,0.004651,2,132
breathe,0.004489,13,2491
preference,0.004451,2,65
psyche,0.004424,1,5
state,0.004413,7,834
description,0.004314,2,66
active,0.004270,2,64
refuge,0.004270,2,171
density,0.004080,1,10
pristine,0.004080,1,8
cathedral,0.004080,1,11
interference,0.004080,1,8
wholeness,0.003986,2,154
influence,0.003949,2,87
immersive,0.003944,1,12
spot,0.003876,2,116
spaciousness,0.003840,2,215
dignify,0.003823,1,10
minimum,0.003823,1,11
deepen,0.003737,2,88
declare,0.003716,1,13
assignment,0.003716,1,11
float,0.003639,2,113
church,0.003618,1,22
grove,0.003618,1,21
bank,0.003618,1,12
gentle,0.003584,3,267
relax,0.003560,9,1244
select,0.003529,1,18
underwater,0.003529,1,13
aware,0.003513,5,622
immersion,0.003448,1,25
nest,0.003448,1,58
non-reactivity,0.003372,1,20
richness,0.003372,1,18
psychophysical,0.003372,1,16
define,0.003315,2,129
texture,0.003301,1,15
continuation,0.003301,1,15
satisfy,0.003288,2,141
deep,0.003268,15,1699
joy,0.003239,4,929
press,0.003236,1,27
peripheral,0.003236,1,40
permeate,0.003236,1,24
familiarity,0.003236,1,19
ancient,0.003235,2,148
complete,0.003209,2,128
thin,0.003174,1,23
mine,0.003133,2,232
blind,0.003115,1,27
reassure,0.003060,1,30
silently,0.003060,1,26
neighborhood,0.003060,1,20
unfortunate,0.003060,1,27
quality,0.003053,4,624
successful,0.003008,1,31
beginner,0.002958,1,38
well-being,0.002952,3,572
home,0.002931,3,257
chance,0.002920,2,152
friday,0.002910,1,29
speed,0.002910,1,28
piece,0.002876,2,222
dive,0.002865,1,29
grieve,0.002865,1,47
orientation,0.002832,2,200
pervasive,0.002821,1,35
swim,0.002821,1,40
selfing,0.002821,1,100
incline,0.002821,1,32
body,0.002764,28,3278
argue,0.002740,1,33
violence,0.002701,1,62
unnecessary,0.002701,1,35
innocent,0.002664,1,44
regular,0.002664,1,32
spine,0.002628,1,47
corner,0.002560,1,41
master,0.002560,1,54
expand,0.002533,2,184
absorption,0.002528,1,45
characterize,0.002528,1,40
pure,0.002528,1,59
meditator,0.002528,1,47
freely,0.002496,1,56
hurry,0.002496,1,81
posture,0.002476,5,608
experience,0.002475,23,3116
stretch,0.002466,1,58
softly,0.002436,1,45
park,0.002379,1,54
grab,0.002352,1,77
evoke,0.002325,1,71
favorite,0.002300,1,58
settledness,0.002274,1,76
unless,0.002274,1,54
patience,0.002274,1,331
fifth,0.002274,1,52
delight,0.002271,2,297
medium,0.002250,1,82
absence,0.002250,1,100
fade,0.002250,1,64
window,0.002250,1,72
movement,0.002189,3,455
positive,0.002179,1,79
situation,0.002176,2,322
final,0.002157,1,70
classic,0.002157,1,62
certainly,0.002145,2,211
commentary,0.002135,1,87
lean,0.002092,1,80
flower,0.002092,1,86
almost,0.002069,4,562
towards,0.002060,3,494
increase,0.002051,1,89
constantly,0.002032,1,94
prepare,0.002032,1,80
exactly,0.002025,2,238
grief,0.002012,1,137
form,0.001998,3,448
ignore,0.001993,1,74
reactivity,0.001993,1,146
except,0.001993,1,74
hate,0.001974,1,95
resistance,0.001956,1,123
whole,0.001938,6,1149
story,0.001921,3,1011
toward,0.001903,1,153
difficult,0.001899,2,329
comfort,0.001885,1,114
agitate,0.001885,1,107
river,0.001869,1,349
travel,0.001852,1,111
tense,0.001836,1,127
measure,0.001819,1,89
preoccupy,0.001804,1,121
muscle,0.001804,1,109
reason,0.001793,2,276
you've,0.001780,2,355
judge,0.001773,1,113
month,0.001773,1,109
protect,0.001773,1,107
may,0.001766,12,2204
appreciate,0.001745,3,588
throughout,0.001743,1,99
react,0.001743,1,100
reach,0.001728,1,104
leg,0.001728,1,106
touch,0.001703,3,496
anymore,0.001699,1,99
wind,0.001685,1,191
front,0.001685,1,114
metaphor,0.001685,1,151
tension,0.001667,2,606
low,0.001657,1,139
noble,0.001657,1,267
respond,0.001657,1,155
arm,0.001644,1,121
somewhere,0.001644,1,104
encourage,0.001644,1,122
wherever,0.001631,1,102
function,0.001631,1,122
everything,0.001630,4,900
air,0.001617,1,170
tremendous,0.001604,1,111
tree,0.001604,1,202
pick,0.001579,1,123
warmth,0.001579,1,155
shift,0.001572,2,465
