word,tfidf_score,talk_frequency,global_frequency
deer,0.042501,25,136
earth,0.035107,43,241
king,0.030790,27,489
trees,0.023445,22,84
oak,0.020215,9,15
natural,0.018067,38,325
massive,0.017968,8,11
hunting,0.011945,5,13
synthetic,0.011945,5,7
mara,0.011808,6,43
tree,0.011354,11,119
rock,0.011142,10,62
reduction,0.010744,6,18
marin,0.010676,5,10
majestic,0.010362,4,6
banyan,0.010362,4,39
doe,0.010362,4,9
pilgrimage,0.009556,4,8
kin,0.009556,4,22
oxygen,0.008830,6,36
groves,0.008805,3,3
angeles,0.008805,3,3
microplastics,0.008805,3,3
outdoors,0.008716,5,27
pregnant,0.008541,4,14
witness,0.008531,6,38
harm,0.008450,12,337
peninsula,0.007772,3,4
redwoods,0.007772,3,4
los,0.007772,3,4
lizard,0.007772,3,4
spirit,0.007620,8,102
kill,0.007493,5,49
heal,0.007493,5,33
hunt,0.007167,3,5
islands,0.007167,3,7
egret,0.007167,3,9
killed,0.007163,4,23
fable,0.006738,3,7
smog,0.006738,3,6
yoni,0.006738,3,16
morgan,0.006738,3,10
save,0.006485,5,73
womb,0.006356,4,42
campus,0.006134,3,22
buildings,0.006134,3,9
growing,0.006022,7,106
davis,0.005870,2,2
botany,0.005870,2,2
jataka,0.005870,2,2
leakey,0.005870,2,2
overspecialized,0.005870,2,2
overfarmed,0.005870,2,2
throats,0.005870,2,2
regeneration,0.005870,2,2
constructed,0.005507,4,56
valley,0.005372,3,12
county,0.005372,3,15
enlightened,0.005328,5,58
walk,0.005230,9,258
freeways,0.005181,2,3
civilizations,0.005181,2,3
participate,0.004978,4,59
died,0.004978,4,53
humans,0.004941,6,121
cruz,0.004870,3,17
genetic,0.004778,2,4
sore,0.004778,2,4
replicate,0.004778,2,4
naturalness,0.004778,2,4
richard,0.004492,2,6
destroying,0.004492,2,5
sacrifice,0.004415,3,37
large,0.004379,5,84
remember,0.004284,10,308
magnificent,0.004270,2,7
survived,0.004270,2,7
sacredness,0.004270,2,6
60s,0.004270,2,9
killing,0.004266,3,43
humility,0.004196,3,31
santa,0.004196,3,31
dioxide,0.004089,2,9
forests,0.004089,2,7
carbon,0.003936,2,11
africa,0.003936,2,9
millennia,0.003936,2,8
washed,0.003936,2,8
generative,0.003936,2,12
land,0.003810,4,104
reply,0.003803,2,13
went,0.003692,7,295
ancestors,0.003686,2,14
europe,0.003686,2,10
la,0.003686,2,15
grew,0.003685,3,52
park,0.003638,3,43
animals,0.003638,3,58
forest,0.003634,4,130
cut,0.003592,3,47
coast,0.003581,2,16
reverence,0.003487,2,28
ceremony,0.003487,2,23
tales,0.003487,2,29
dies,0.003400,2,15
representation,0.003400,2,18
places,0.003353,7,241
prevent,0.003320,2,19
human,0.003298,10,441
family,0.003256,5,233
buddha,0.003237,20,2034
came,0.003160,7,324
plants,0.003114,2,26
hundred,0.003114,2,20
trip,0.003114,2,23
sir,0.003114,2,36
big,0.003088,9,465
profound,0.003086,5,224
stood,0.002997,2,35
metaphors,0.002997,2,32
source,0.002955,4,274
equivalent,0.002943,2,25
courtyards,0.002935,1,1
europeans,0.002935,1,1
admiral,0.002935,1,1
vancouver,0.002935,1,1
biochemical,0.002935,1,1
blackboard,0.002935,1,1
stunned,0.002935,1,1
kidneys,0.002935,1,1
kidney,0.002935,1,1
headlands,0.002935,1,1
tam,0.002935,1,1
muir,0.002935,1,1
pilgrimages,0.002935,1,1
logged,0.002935,1,1
spectacular,0.002935,1,1
coastline,0.002935,1,1
pulgas,0.002935,1,1
depicts,0.002935,1,1
drapes,0.002935,1,1
trickster,0.002935,1,1
tempter,0.002935,1,1
parental,0.002935,1,1
testings,0.002935,1,1
survives,0.002935,1,1
entourage,0.002935,1,1
logs,0.002935,1,1
stab,0.002935,1,1
stead,0.002935,1,1
auditorium,0.002935,1,1
overspecializes,0.002935,1,1
woolly,0.002935,1,1
mammoths,0.002935,1,1
adriatic,0.002935,1,1
starkness,0.002935,1,1
olive,0.002935,1,1
orchards,0.002935,1,1
vases,0.002935,1,1
pottery,0.002935,1,1
shards,0.002935,1,1
ships,0.002935,1,1
olives,0.002935,1,1
vegetation,0.002935,1,1
mesopotamia,0.002935,1,1
overused,0.002935,1,1
overspecialize,0.002935,1,1
runny,0.002935,1,1
catalytic,0.002935,1,1
converters,0.002935,1,1
metaphoric,0.002935,1,1
lifestyles,0.002935,1,1
replication,0.002935,1,1
noodleman,0.002935,1,1
ingrid,0.002935,1,1
drake,0.002935,1,1
rot,0.002935,1,1
rust,0.002935,1,1
fallopian,0.002935,1,1
synthetically,0.002935,1,1
decoration,0.002935,1,1
participatory,0.002935,1,1
dominance,0.002935,1,1
residence,0.002935,1,1
lizards,0.002935,1,1
sanctuaries,0.002935,1,1
edgewood,0.002935,1,1
cemetery,0.002935,1,1
burial,0.002935,1,1
bury,0.002935,1,1
burials,0.002935,1,1
tennessee,0.002935,1,1
relationship,0.002910,7,387
planet,0.002892,2,26
soil,0.002892,2,48
construct,0.002892,2,32
cares,0.002844,2,24
old,0.002839,4,177
years,0.002829,9,568
dying,0.002798,2,43
ideas,0.002760,7,432
nature,0.002724,8,455
got,0.002719,7,535
wanted,0.002717,5,248
participating,0.002711,2,51
worthy,0.002711,2,33
trap,0.002711,2,37
apparently,0.002711,2,39
exist,0.002676,3,92
thousand,0.002670,2,35
hall,0.002631,2,45
provides,0.002628,3,88
saw,0.002625,4,182
hi,0.002594,2,36
oldest,0.002594,2,32
technique,0.002594,2,40
froze,0.002591,1,2
specialness,0.002591,1,2
reverent,0.002591,1,2
protested,0.002591,1,2
goddess,0.002591,1,3
descended,0.002591,1,2
aesop,0.002591,1,5
panic,0.002591,1,6
antlers,0.002591,1,3
anthropologist,0.002591,1,2
tusks,0.002591,1,2
grape,0.002591,1,8
bays,0.002591,1,5
civilization,0.002591,1,2
humanly,0.002591,1,2
howard,0.002591,1,7
francis,0.002591,1,2
boulevard,0.002591,1,2
tubes,0.002591,1,2
embryos,0.002591,1,2
cathedrals,0.002591,1,2
walking,0.002565,4,221
contemplation,0.002558,2,48
year,0.002526,4,303
previous,0.002523,2,44
relatively,0.002489,2,37
ago,0.002467,5,265
home,0.002467,5,246
create,0.002395,5,246
grasslands,0.002389,1,4
humbleness,0.002389,1,3
goodbye,0.002389,1,5
renewed,0.002389,1,3
custom,0.002389,1,3
tribe,0.002389,1,4
fables,0.002389,1,6
herds,0.002389,1,11
soldiers,0.002389,1,6
elephants,0.002389,1,13
hunted,0.002389,1,5
intermediate,0.002389,1,3
fawn,0.002389,1,3
1960s,0.002389,1,3
boats,0.002389,1,3
grapes,0.002389,1,6
airplane,0.002389,1,7
menlo,0.002389,1,3
reproduce,0.002389,1,3
chemicals,0.002389,1,3
incubate,0.002389,1,3
snapped,0.002389,1,3
connection,0.002377,4,195
white,0.002365,2,63
air,0.002328,3,170
told,0.002309,3,137
lots,0.002290,3,129
amazing,0.002290,3,122
native,0.002281,2,42
world,0.002271,47,2312
convert,0.002246,1,5
courtyard,0.002246,1,5
historically,0.002246,1,5
fence,0.002246,1,6
clay,0.002246,1,6
inadvertently,0.002246,1,4
shiny,0.002246,1,4
gestate,0.002246,1,7
participates,0.002246,1,4
trails,0.002246,1,5
ecology,0.002246,1,4
causing,0.002203,2,73
dear,0.002179,2,124
healing,0.002179,2,65
named,0.002179,2,54
records,0.002135,1,6
tracks,0.002135,1,5
dominate,0.002135,1,5
honored,0.002135,1,7
flowering,0.002135,1,5
traps,0.002135,1,10
latest,0.002135,1,6
fate,0.002135,1,6
roman,0.002135,1,5
constructions,0.002135,1,6
clever,0.002135,1,9
paul,0.002135,1,6
eager,0.002135,1,5
sin,0.002135,1,5
voluminous,0.002135,1,5
sensual,0.002086,2,111
group,0.002079,3,190
compassionate,0.002064,2,74
longer,0.002063,5,293
mount,0.002045,1,10
cathedral,0.002045,1,9
plains,0.002045,1,8
injuring,0.002045,1,6
promised,0.002045,1,7
sailing,0.002045,1,10
diving,0.002045,1,6
produced,0.002045,1,9
lab,0.002045,1,6
bill,0.002045,1,10
saved,0.002045,1,7
sell,0.002045,1,7
harming,0.002043,2,126
growth,0.002022,2,69
born,0.002015,3,205
day,0.002007,13,794
class,0.002002,2,105
looked,0.001981,2,86
inseparable,0.001968,1,8
netflix,0.001968,1,9
surfing,0.001968,1,10
statue,0.001968,1,21
herd,0.001968,1,36
collapsed,0.001968,1,11
vs,0.001968,1,15
distinguished,0.001968,1,7
residential,0.001968,1,12
valued,0.001968,1,13
attempted,0.001968,1,7
births,0.001968,1,7
school,0.001962,2,99
realm,0.001962,2,111
distinction,0.001962,2,87
build,0.001962,2,67
child,0.001942,2,103
stop,0.001916,4,308
practicing,0.001912,5,336
quarter,0.001902,1,11
shook,0.001902,1,8
bearing,0.001902,1,10
sport,0.001902,1,9
bought,0.001902,1,9
preserve,0.001902,1,11
concerning,0.001902,1,8
asked,0.001895,3,195
started,0.001874,4,283
absorbed,0.001869,2,117
afraid,0.001869,2,103
area,0.001866,3,178
caught,0.001846,4,363
produce,0.001843,1,10
symbolic,0.001843,1,16
nowadays,0.001843,1,20
millions,0.001843,1,10
skull,0.001843,1,18
cleaned,0.001843,1,9
destroyed,0.001843,1,9
president,0.001843,1,14
planted,0.001843,1,11
reconnect,0.001843,1,10
race,0.001843,1,13
20th,0.001843,1,10
called,0.001841,8,558
sacred,0.001834,2,107
last,0.001828,7,468
fronsdal,0.001792,4,271
grove,0.001791,1,16
royal,0.001791,1,19
fallen,0.001791,1,10
thick,0.001791,1,12
secondary,0.001791,1,13
generate,0.001791,1,15
destroy,0.001791,1,18
personifies,0.001791,1,10
touching,0.001784,2,88
ever,0.001743,3,188
grow,0.001743,3,226
closest,0.001743,1,13
college,0.001743,1,16
producing,0.001743,1,12
square,0.001743,1,16
mess,0.001743,1,16
chase,0.001743,1,15
majesty,0.001743,1,16
survive,0.001743,1,17
traffic,0.001743,1,12
live,0.001722,6,641
within,0.001722,6,529
spread,0.001721,2,130
woods,0.001700,1,16
nearby,0.001700,1,12
promise,0.001700,1,20
defend,0.001700,1,15
centuries,0.001700,1,17
bay,0.001700,1,16
easily,0.001691,2,97
web,0.001660,1,20
reflected,0.001660,1,15
local,0.001660,1,21
lifetimes,0.001660,1,22
shorter,0.001660,1,15
excuse,0.001660,1,17
vow,0.001660,1,27
harmed,0.001660,1,19
evolution,0.001660,1,16
ask,0.001654,3,285
quiet,0.001650,4,438
period,0.001647,2,104
loved,0.001647,2,111
asking,0.001647,2,125
stories,0.001642,3,366
story,0.001638,4,664
streets,0.001623,1,27
scale,0.001623,1,27
trace,0.001623,1,20
rushing,0.001623,1,19
injured,0.001623,1,17
explained,0.001623,1,19
demonic,0.001623,1,16
temptation,0.001623,1,14
across,0.001619,2,149
touched,0.001619,2,110
anymore,0.001619,2,99
creating,0.001605,2,107
deserve,0.001589,1,24
dramatically,0.001589,1,16
species,0.001589,1,21
board,0.001589,1,24
aging,0.001589,1,19
touch,0.001559,3,231
computer,0.001557,1,23
neighborhood,0.001557,1,17
drawing,0.001557,1,24
anytime,0.001557,1,18
embedded,0.001557,1,26
worlds,0.001557,1,21
english,0.001552,2,119
willing,0.001552,2,148
probably,0.001530,4,339
reaching,0.001527,1,21
dignity,0.001527,1,26
cared,0.001527,1,27
green,0.001527,1,21
phenomenally,0.001499,1,19
