word,tfidf_score,talk_frequency,global_frequency
lucid,0.036021,10,23
jhana,0.033434,18,275
jhanas,0.027108,11,57
fourth,0.021033,15,153
vast,0.019030,12,114
awareness,0.017788,39,1240
equanimous,0.017542,8,75
imagination,0.015354,8,88
mountaintop,0.013692,3,4
mountain,0.012818,6,72
vastness,0.012285,4,20
spaciousness,0.011415,7,214
description,0.010681,5,49
roam,0.009741,3,19
equanimity,0.009394,8,458
sky,0.009388,5,79
majesty,0.009214,3,16
trances,0.009128,2,3
floats,0.008985,3,15
sockets,0.008580,3,16
pure,0.008545,4,59
ridge,0.008418,2,5
trance,0.008418,2,4
expanse,0.007914,2,16
lingering,0.007524,2,7
plains,0.007204,2,8
pervading,0.006934,2,17
field,0.006884,6,230
openness,0.006837,5,135
silence,0.006725,5,188
vista,0.006700,2,9
fixating,0.006700,2,12
permeates,0.006700,2,10
substance,0.006494,2,12
saturates,0.006310,2,17
abides,0.006310,2,24
floating,0.006250,3,50
focusing,0.006228,4,104
float,0.006173,3,47
intro,0.006143,2,23
distant,0.006143,2,18
winds,0.005990,2,53
surrounded,0.005990,2,21
purity,0.005990,2,21
pleasure,0.005962,6,617
earth,0.005957,4,229
frees,0.005850,2,31
tremendous,0.005562,4,106
whatsoever,0.005486,2,18
preoccupation,0.005344,3,97
cloud,0.005280,2,42
edges,0.005184,3,111
sensibilities,0.005171,1,1
plateau,0.005171,1,1
unresisting,0.005171,1,1
over-prioritize,0.005171,1,1
clean,0.005133,3,101
river,0.005083,3,330
pain,0.004915,6,489
purpose,0.004846,4,224
relaxed,0.004716,5,268
sits,0.004705,2,33
clear,0.004589,9,504
mental,0.004578,5,342
grandeur,0.004564,1,2
overlooking,0.004564,1,2
roams,0.004564,1,3
colloquially,0.004564,1,2
overvalue,0.004564,1,2
professors,0.004564,1,2
1930s,0.004564,1,2
far-fetched,0.004564,1,2
humanly,0.004564,1,2
stills,0.004564,1,5
refreshment,0.004564,1,2
metaphor,0.004507,3,114
phenomenal,0.004506,2,45
samadhi,0.004495,6,1513
eyes,0.004288,9,497
stability,0.004279,3,164
images,0.004273,2,53
space,0.004232,7,680
captivating,0.004209,1,3
substantiality,0.004209,1,3
dances,0.004209,1,3
narrowness,0.004209,1,3
unafraid,0.004209,1,4
magnanimous,0.004209,1,5
reserved,0.004209,1,4
overactive,0.004209,1,3
harmony,0.004018,2,111
almost,0.003997,9,551
hilltop,0.003957,1,4
reorientation,0.003957,1,11
disappearance,0.003957,1,7
holds,0.003926,2,51
beyond,0.003905,3,183
absence,0.003882,2,96
allows,0.003859,5,325
horizon,0.003762,1,5
extends,0.003762,1,5
unruffled,0.003762,1,5
unimportant,0.003762,1,5
ascetics,0.003762,1,8
compound,0.003762,1,6
attribute,0.003762,1,8
untouched,0.003762,1,6
akin,0.003602,1,8
staring,0.003602,1,9
filters,0.003602,1,8
dull,0.003602,1,10
potential,0.003562,2,77
state,0.003503,4,483
expansiveness,0.003467,1,10
wakes,0.003467,1,10
flies,0.003467,1,7
malleable,0.003350,1,11
imagining,0.003261,2,76
week's,0.003247,1,13
eyesight,0.003247,1,9
minimum,0.003247,1,11
starving,0.003247,1,9
gently,0.003193,5,393
soft,0.003189,3,214
stars,0.003155,1,18
fixated,0.003155,1,18
recede,0.003155,1,12
attaining,0.003155,1,14
graduate,0.003155,1,22
translators,0.003155,1,11
fallen,0.003155,1,10
preoccupied,0.003143,2,115
allowed,0.003143,2,108
movements,0.003114,2,92
fields,0.003071,1,16
strive,0.003071,1,24
navigating,0.003071,1,16
aware,0.003023,5,589
lying,0.003005,2,89
background,0.003005,2,110
sensibility,0.002995,1,17
medium,0.002995,1,17
besides,0.002995,1,15
disconnection,0.002995,1,20
shorter,0.002995,1,14
