word,tfidf_score,talk_frequency,global_frequency
calm,0.042787,66,853
cloth,0.033439,11,42
wave,0.020450,13,162
jhana,0.019391,10,276
samatha,0.017943,5,17
white,0.015498,7,61
pure,0.015313,7,61
calmness,0.015205,6,42
pain,0.014325,17,518
lake,0.014305,7,133
data,0.013757,5,49
cover,0.012920,7,72
agitation,0.011585,7,115
quiet,0.011384,19,648
conceptualize,0.011176,3,16
samadhi,0.011097,14,1556
mental,0.010332,11,368
fourth,0.009775,7,166
pleasure,0.009651,10,727
tranquil,0.009120,3,18
nonverbal,0.008923,3,33
clean,0.008917,6,151
conceptualization,0.008680,2,5
holder,0.008680,2,4
calmly,0.008648,4,107
diffuse,0.007974,3,33
activity,0.007926,10,487
crunch,0.007774,2,6
pervade,0.007721,3,44
clear,0.007701,16,594
spaciously,0.007451,2,9
recede,0.007276,3,32
pot,0.006941,2,19
pause,0.006190,4,201
metaphor,0.005898,4,155
active,0.005537,3,67
trust,0.005536,5,294
except,0.005332,3,74
unexpecting,0.005314,1,1
image-making,0.005314,1,1
non-strife,0.005314,1,1
micro-muscles,0.005314,1,1
s-a-m-a-t-h-a,0.005314,1,1
spittoon,0.005314,1,1
uncharacterized,0.005314,1,1
overthinking,0.005314,1,1
overreact,0.005314,1,1
over-involved,0.005314,1,1
discursive,0.005230,2,57
register,0.005230,2,38
bell,0.005189,3,116
cozy,0.005068,2,36
conceptual,0.004920,2,36
agitate,0.004881,3,120
represent,0.004839,3,111
activation,0.004784,2,44
wrap,0.004784,2,44
towel,0.004699,1,3
contribute,0.004680,3,108
clarity,0.004429,4,261
wind,0.004423,3,194
unforceful,0.004340,1,3
accentuate,0.004340,1,3
tranquilize,0.004340,1,5
clip,0.004340,1,8
mosquito,0.004340,1,3
shawl,0.004340,1,3
indistinct,0.004340,1,3
medicine,0.004274,2,85
boundary,0.004274,2,66
reminder,0.004178,2,57
solve,0.004087,2,80
expansive,0.004087,2,73
lighten,0.004085,1,4
meaning-making,0.004085,1,5
contextual,0.004085,1,4
insect,0.004085,1,4
disappearance,0.004085,1,7
recognition,0.004064,3,222
brief,0.003918,2,102
30-minute,0.003887,1,5
magnify,0.003887,1,14
trance,0.003887,1,8
unaware,0.003887,1,7
untroubled,0.003887,1,7
untouched,0.003887,1,6
spread,0.003887,3,255
etymology,0.003725,1,6
reassurance,0.003725,1,7
soup,0.003725,1,6
underneath,0.003622,2,91
general,0.003589,3,175
vigilance,0.003589,1,7
irrelevant,0.003589,1,8
completion,0.003589,1,7
net,0.003589,1,13
surprisingly,0.003470,1,10
prediction,0.003470,1,9
broaden,0.003366,1,15
parcel,0.003366,1,9
spaciousness,0.003310,2,220
widen,0.003272,1,18
effortless,0.003272,1,35
generalize,0.003272,1,13
outline,0.003272,1,10
luminous,0.003272,1,13
detail,0.003254,2,110
ah,0.003226,2,126
float,0.003226,2,116
harmonize,0.003188,1,12
lotus,0.003188,1,25
pen,0.003111,1,23
blanket,0.003111,1,13
react,0.003095,2,101
usual,0.003095,2,113
choice,0.003070,2,154
light,0.003064,4,502
purity,0.003040,1,22
quietly,0.003020,2,102
breathe,0.002996,10,2612
construction,0.002974,1,17
sharp,0.002913,1,23
content,0.002903,2,175
anymore,0.002880,2,109
subtle,0.002876,3,384
indian,0.002856,1,25
dramatically,0.002802,1,18
lung,0.002802,1,28
openly,0.002802,1,17
grant,0.002802,1,23
whisper,0.002751,1,28
nothing,0.002702,5,514
concept,0.002689,2,260
gift,0.002669,2,153
reassure,0.002658,1,41
vibration,0.002658,1,27
preoccupation,0.002630,2,227
favor,0.002574,1,25
cook,0.002574,1,37
large,0.002553,2,152
body,0.002502,30,3405
paper,0.002496,1,36
peaceful,0.002397,4,433
glass,0.002360,1,57
gradual,0.002329,1,63
innocent,0.002329,1,45
previous,0.002329,1,39
companion,0.002329,1,60
relax,0.002318,7,1325
equanimous,0.002299,1,75
fresh,0.002269,1,41
sound,0.002267,3,508
cease,0.002241,1,55
outwards,0.002241,1,50
tranquility,0.002241,1,66
fix,0.002215,2,292
effort,0.002215,2,363
awareness,0.002202,5,1389
stressful,0.002188,1,55
slide,0.002188,1,81
expand,0.002184,2,201
still,0.002163,7,827
emotional,0.002139,2,232
stretch,0.002137,1,61
trigger,0.002113,1,48
abandon,0.002113,1,104
label,0.002089,1,84
happiness,0.002086,3,869
tighten,0.002066,1,63
meditate,0.002065,4,538
evoke,0.002044,1,74
actively,0.002044,1,51
gentle,0.002039,2,277
bottom,0.002022,1,59
solid,0.002022,1,72
ocean,0.002000,1,88
fill,0.001997,2,250
exercise,0.001959,1,68
welfare,0.001959,1,106
distance,0.001939,1,63
entire,0.001920,1,68
gently,0.001917,3,426
water,0.001904,2,497
closely,0.001901,1,56
commentary,0.001901,1,87
head,0.001891,2,276
fullness,0.001882,1,71
neither,0.001864,1,80
description,0.001846,1,71
abide,0.001846,1,159
series,0.001828,2,269
circumstance,0.001828,1,91
silent,0.001794,1,120
increase,0.001777,1,93
person,0.001770,5,1156
name,0.001767,2,325
distraction,0.001761,1,76
particularly,0.001730,1,98
real,0.001708,2,245
disappear,0.001699,1,125
contentment,0.001684,1,295
fire,0.001684,1,147
strange,0.001684,1,73
monk,0.001641,1,219
whole,0.001633,6,1332
matter,0.001629,2,303
