word,tfidf_score,talk_frequency,global_frequency
bhutan,0.064940,20,20
straatman,0.035627,15,49
maria,0.027611,17,75
nunnery,0.017229,6,8
kindness,0.017083,37,566
monastery,0.015889,13,113
questioner,0.014219,12,258
country,0.011947,11,100
hotel,0.011486,4,5
dogwood,0.009741,3,3
21st,0.009501,4,9
bless,0.009199,8,121
india,0.009140,7,81
national,0.008227,4,12
gratitude,0.008211,7,103
nun,0.008121,5,66
knee,0.007835,6,74
hill,0.007627,5,36
culture,0.006785,7,144
school,0.006702,6,104
blah,0.006579,3,22
hydroelectric,0.006494,2,2
eight-hour,0.006494,2,2
solo,0.006494,2,2
century,0.006391,4,36
glad,0.006391,4,37
accomplishment,0.006362,3,13
china,0.006170,3,23
gross,0.006170,3,12
joy,0.006075,14,946
thankful,0.005743,2,3
key,0.005720,6,103
remarkable,0.005347,4,56
altitude,0.005304,2,4
backpack,0.005304,2,6
income,0.005304,2,4
somebody,0.005191,7,363
vajrayana,0.004992,2,7
polite,0.004992,2,8
traveler,0.004992,2,7
trip,0.004873,3,31
prayer,0.004873,3,60
astound,0.004750,2,6
behalf,0.004750,2,6
investment,0.004750,2,10
husband,0.004645,3,42
pay,0.004575,7,235
lamp,0.004553,2,14
marriage,0.004553,2,9
attitude,0.004543,7,304
mindful,0.004420,7,286
step,0.004400,10,467
butter,0.004386,2,11
carbon,0.004386,2,11
southern,0.004386,2,11
downhill,0.004386,2,9
silent,0.004385,4,120
wheel,0.004326,3,62
tour,0.004241,2,14
heat,0.004214,3,44
didn't,0.004175,11,543
conversation,0.004077,5,214
grateful,0.004059,3,46
aware,0.004027,11,671
travel,0.004010,4,112
smile,0.003943,4,152
trouble,0.003910,4,94
climb,0.003896,2,25
year,0.003830,14,868
decide,0.003813,4,129
he'll,0.003802,2,19
foot,0.003789,6,252
tire,0.003746,3,82
america,0.003715,2,18
pretty,0.003682,5,183
plant,0.003450,3,97
mindfulness,0.003441,13,1055
accept,0.003439,4,151
wonder,0.003413,4,150
i'd,0.003392,9,454
journey,0.003383,3,124
company,0.003363,2,30
twist,0.003363,2,29
tough,0.003304,2,28
impression,0.003248,2,24
education,0.003248,2,81
trail,0.003248,2,27
impossible,0.003248,2,28
extremely,0.003248,2,24
rightfully,0.003247,1,1
mural,0.003247,1,1
