word,tfidf_score,talk_frequency,global_frequency
pressure,0.026436,26,255
tension,0.025289,34,544
jhāna,0.021318,12,290
activation,0.015520,7,43
progressive,0.015087,5,21
samadhi,0.014134,17,1428
relaxing,0.011384,14,364
releases,0.011191,4,18
keys,0.010794,3,7
massage,0.010349,5,68
holding,0.010182,14,373
oxygen,0.009919,4,36
tightness,0.009714,7,113
welcomes,0.009613,3,13
fourth,0.009005,7,165
jhānas,0.008869,4,84
involvement,0.008594,3,16
subtle,0.008058,9,363
tensions,0.007687,4,57
suffuse,0.007570,2,5
tautness,0.007570,2,7
strain,0.007425,4,67
happiness,0.007329,12,846
mastery,0.007196,2,6
breathing,0.007184,20,1992
calming,0.007183,4,126
releasing,0.007106,4,78
sensitivity,0.007031,4,90
disturbance,0.006890,2,13
drifts,0.006632,2,8
sensitive,0.006483,4,86
preoccupations,0.006420,4,109
coarse,0.006409,2,11
stickiness,0.006409,2,14
contentment,0.006181,4,289
dust,0.006035,2,14
focusing,0.005851,4,106
quieting,0.005834,3,49
preoccupied,0.005799,4,123
massaging,0.005595,2,16
deepening,0.005507,3,61
letting,0.005494,15,764
stilling,0.005248,2,26
involves,0.005231,4,114
gotten,0.005218,3,73
joy,0.005156,8,965
58th,0.004946,1,1
zeros,0.004946,1,1
consumers,0.004946,1,1
gung,0.004946,1,1
ho,0.004946,1,1
evaporating,0.004946,1,1
relief,0.004862,3,98
delight,0.004861,4,201
contraction,0.004724,3,88
quieter,0.004635,3,95
kilter,0.004365,1,2
deeper,0.004341,8,576
balance,0.004273,3,153
leaning,0.004251,2,46
directed,0.004251,2,47
dissolve,0.004251,2,40
added,0.004195,2,48
equanimous,0.004195,2,75
unification,0.004163,3,143
attention,0.004161,17,1262
clinging,0.004157,5,490
welcoming,0.004035,2,40
surrounding,0.004026,1,3
thereby,0.004026,1,3
harnessed,0.004026,1,3
cycling,0.004026,1,3
unpreoccupied,0.004026,1,6
gasped,0.004026,1,4
workable,0.004026,1,4
possibility,0.003859,3,132
healthy,0.003801,4,258
awareness,0.003789,9,1270
absence,0.003671,2,97
cling,0.003631,2,100
reactive,0.003631,2,77
cracks,0.003598,1,5
pressures,0.003598,1,5
warmhearted,0.003598,1,7
harmoniously,0.003598,1,6
variations,0.003598,1,6
unimportant,0.003598,1,5
friendly,0.003592,2,118
ecstatic,0.003445,1,8
undisturbed,0.003445,1,7
grabs,0.003445,1,9
dioxide,0.003445,1,9
idealistic,0.003445,1,7
headaches,0.003445,1,7
oriented,0.003407,2,88
fuller,0.003339,2,66
die,0.003339,2,107
soften,0.003326,4,280
simplify,0.003316,1,10
broadest,0.003316,1,7
fewer,0.003316,1,8
pushes,0.003316,1,7
desperation,0.003316,1,7
carbon,0.003316,1,11
prone,0.003316,1,8
move,0.003297,5,289
clean,0.003210,2,103
wholeheartedly,0.003204,1,9
interferes,0.003204,1,14
wanting,0.003181,4,393
satisfying,0.003179,2,111
sublime,0.003119,2,72
caught,0.003111,4,363
hijacked,0.003106,1,15
diminished,0.003106,1,11
malleable,0.003106,1,12
emphasize,0.003090,2,80
soft,0.003027,3,216
softened,0.002938,1,15
stiller,0.002938,1,14
intent,0.002938,1,19
cost,0.002938,1,16
peaceful,0.002914,5,399
content,0.002899,2,140
floats,0.002865,1,15
extra,0.002799,2,179
attaining,0.002798,1,17
report,0.002798,1,18
ideally,0.002798,1,13
softening,0.002788,3,223
quiet,0.002781,4,438
whether,0.002760,4,304
grabbing,0.002736,1,23
smiling,0.002736,1,19
doorway,0.002736,1,16
blow,0.002736,1,16
miracle,0.002736,1,37
towards,0.002735,5,478
narrowing,0.002678,1,25
filter,0.002678,1,23
pointedness,0.002678,1,26
gets,0.002627,5,445
continuation,0.002624,1,16
sustain,0.002624,1,27
whatsoever,0.002624,1,18
discussing,0.002624,1,22
absorption,0.002588,3,195
fortunate,0.002573,1,27
noticed,0.002552,2,123
described,0.002531,2,109
intentionality,0.002525,1,30
orientation,0.002490,2,183
sustaining,0.002480,1,87
builds,0.002480,1,23
feelings,0.002439,3,308
gladness,0.002396,1,51
interpretations,0.002396,1,28
sooner,0.002396,1,24
