word,tfidf_score,talk_frequency,global_frequency
self,0.022369,29,1124
snake,0.021569,6,13
samadhi,0.018614,26,1514
selfing,0.015976,7,100
unneeded,0.014825,3,3
self-ideas,0.014825,3,3
jhana,0.014200,8,275
skin,0.013766,7,61
cloth,0.011449,4,41
shed,0.011181,4,25
i-am-ness,0.009605,3,11
progressive,0.009045,3,20
clench,0.008587,3,18
self-assertion,0.008045,2,4
jhanas,0.007065,3,57
clean,0.006932,5,144
cover,0.006879,4,66
attachment,0.006757,5,217
cling,0.006452,8,532
vipassana,0.006372,3,87
activity,0.006171,8,438
shouldn't,0.006062,4,92
deepen,0.006062,4,87
pressure,0.006050,6,259
expansive,0.005972,3,63
ability,0.005870,6,227
oddly,0.005870,2,14
self-concern,0.005725,2,19
construct,0.005628,3,117
fourth,0.005360,4,153
mine,0.005141,4,228
series,0.005096,6,247
preoccupation,0.005057,4,204
luminously,0.004942,1,1
bigness,0.004942,1,1
self-imagination,0.004942,1,1
heavy-duty,0.004942,1,1
un-tarnished,0.004942,1,1
body-mind-heart,0.004942,1,1
fall,0.004911,6,277
disturb,0.004870,2,28
worthy,0.004870,2,28
contraction,0.004632,3,91
detail,0.004632,3,104
recede,0.004565,2,30
calm,0.004372,7,782
diversion,0.004362,1,7
grandeur,0.004362,1,2
clear,0.004169,9,556
white,0.004136,2,59
appreciation,0.004089,3,203
metaphor,0.004089,3,146
philosophy,0.004083,2,49
simplicity,0.004054,3,255
unconditioned,0.004022,1,3
malleability,0.004022,1,5
narcissism,0.004022,1,3
someday,0.004022,1,4
corollary,0.004022,1,4
intimacy,0.003982,2,44
deep,0.003958,22,1628
association,0.003795,2,60
coagulation,0.003782,1,4
dismay,0.003782,1,5
inconceivable,0.003782,1,5
relax,0.003608,11,1213
meditaiton,0.003595,1,6
luminosity,0.003595,1,5
in-breaths,0.003595,1,5
predispose,0.003595,1,5
overactivated,0.003595,1,5
alienation,0.003595,1,5
novice,0.003595,1,5
active,0.003550,2,61
conscious,0.003550,2,65
mental,0.003500,4,342
lucid,0.003442,1,23
readiness,0.003442,1,8
centeredness,0.003442,1,6
self-image,0.003442,1,11
leaf,0.003440,2,63
journey,0.003440,2,120
offline,0.003313,1,8
predominant,0.003313,1,11
gender,0.003313,1,7
idea,0.003301,17,1572
disturbance,0.003202,1,15
attach,0.003117,2,108
dignify,0.003103,1,10
thigh,0.003103,1,9
avenue,0.003103,1,9
heal,0.003031,2,103
highlight,0.003031,2,102
formation,0.003015,1,18
hind,0.003015,1,19
crack,0.003015,1,13
impose,0.003015,1,12
guest,0.003015,1,13
occupy,0.003015,1,10
outline,0.003015,1,10
emotional,0.002980,3,222
surprise,0.002976,2,88
safety,0.002949,2,116
locus,0.002935,1,27
construction,0.002935,1,14
recondition,0.002935,1,12
expert,0.002935,1,14
concentrate,0.002897,2,118
quietly,0.002871,2,92
characteristic,0.002871,2,190
subconscious,0.002862,1,13
possess,0.002862,1,15
big,0.002851,6,642
particular,0.002821,5,431
comparison,0.002795,1,18
trick,0.002795,1,15
underestimate,0.002795,1,17
quiet,0.002777,5,619
tightness,0.002773,2,113
rejection,0.002733,1,16
periphery,0.002733,1,16
lay,0.002726,2,141
catch,0.002696,4,424
blade,0.002676,1,19
self-preoccupation,0.002676,1,23
importantly,0.002676,1,16
sunlight,0.002676,1,19
replace,0.002622,1,20
return,0.002616,4,265
awareness,0.002615,6,1240
judgment,0.002592,2,177
radiance,0.002571,1,23
impossible,0.002571,1,25
traditional,0.002523,1,25
concept,0.002508,2,242
gift,0.002488,2,144
depression,0.002478,1,28
natural,0.002474,3,318
well-being,0.002474,3,536
unusual,0.002435,1,27
large,0.002428,2,139
chance,0.002409,2,148
emotion,0.002384,3,379
peaceful,0.002348,4,397
chest,0.002334,2,143
extreme,0.002318,1,36
appreciative,0.002318,1,81
pervasive,0.002282,1,35
emphasize,0.002262,2,154
reject,0.002248,1,43
discuss,0.002248,1,34
enjoyable,0.002215,1,35
activation,0.002184,1,44
freeze,0.002153,1,49
phenomenal,0.002153,1,45
mature,0.002153,1,57
nothing,0.002151,4,462
clearly,0.002132,3,386
trust,0.002127,2,252
softness,0.002124,1,36
purpose,0.002110,2,265
stressful,0.002096,1,49
manifest,0.002096,1,43
peacefully,0.002096,1,45
