word,tfidf_score,talk_frequency,global_frequency
onward-leading,0.010479,6,55
dharma,0.009202,27,827
inspiration,0.008375,7,125
contemplative,0.007677,4,40
liberation,0.007609,7,113
bus,0.007407,3,13
characteristic,0.007209,7,190
conductor,0.007089,2,2
peace,0.006944,18,619
apple,0.006889,3,12
plow,0.006316,3,24
six-year-old,0.006257,2,4
inspection,0.006257,2,3
overgrow,0.006257,2,4
alone,0.006048,7,141
religion,0.005784,4,92
solitude,0.005770,2,6
ascetic,0.005757,3,22
inspire,0.005657,8,229
tumble,0.005425,2,6
kitchen,0.005239,3,54
memory,0.005060,5,148
sheet,0.004938,2,9
jungle,0.004938,2,14
birthday,0.004938,2,9
rise,0.004806,5,130
visible,0.004753,2,21
ticket,0.004753,2,9
celebrate,0.004699,3,58
inner,0.004553,9,447
daylong,0.004452,2,12
sell,0.004452,2,12
white,0.004450,3,59
religious,0.004393,3,71
sensibility,0.004106,2,18
cow,0.004106,2,60
questioner,0.004037,3,228
comparable,0.004010,2,15
childhood,0.003921,2,19
freedom,0.003819,9,597
fronsdal,0.003816,7,266
joy,0.003752,8,924
tree,0.003749,4,196
request,0.003688,2,26
remember,0.003611,8,386
spirituality,0.003555,2,40
tent,0.003545,1,1
liturgy,0.003545,1,1
sophisticatedly,0.003545,1,1
artha,0.003545,1,1
attha-veda,0.003545,1,1
dharma-inspired,0.003545,1,1
fjord,0.003545,1,1
ledger,0.003545,1,1
difficult-to-acquire,0.003545,1,1
norwegian,0.003545,1,1
miserly,0.003545,1,1
bloody,0.003545,1,1
unencumbered,0.003545,1,1
re-experience,0.003545,1,1
drone,0.003545,1,1
50-minute,0.003545,1,1
healer,0.003545,1,1
lance,0.003545,1,1
quality,0.003502,8,620
table,0.003493,2,31
wonderful,0.003472,9,475
cozy,0.003379,2,35
chant,0.003379,2,47
dismiss,0.003325,2,37
hike,0.003325,2,49
ethical,0.003322,3,192
famous,0.003274,2,30
meditate,0.003252,9,493
address,0.003173,3,123
correspond,0.003129,1,2
colloquial,0.003129,1,4
attha,0.003129,1,2
veda,0.003129,1,2
daylongs,0.003129,1,3
instinctual,0.003129,1,2
crust,0.003129,1,2
belittle,0.003129,1,2
western,0.003089,2,58
gil,0.003086,8,407
tranquility,0.003047,2,63
relatively,0.003006,2,37
suppose,0.003005,4,163
characterize,0.002967,2,39
peaceful,0.002947,7,397
reference,0.002933,3,141
integrity,0.002929,2,54
action,0.002893,4,318
springtime,0.002885,1,3
emaciate,0.002885,1,3
norway,0.002885,1,3
pencil,0.002885,1,3
rural,0.002885,1,3
hermit,0.002885,1,3
magnanimous,0.002885,1,5
hoard,0.002885,1,3
distinctly,0.002885,1,3
