word,tfidf_score,talk_frequency,global_frequency
dot,0.016865,16,17
miller,0.015811,15,17
leigh,0.015213,19,58
chaplaincy,0.011377,19,186
cpe,0.011294,13,36
enneagram,0.009486,9,11
spiritual,0.008798,41,622
chaplain,0.008014,11,83
vanessa,0.007487,9,17
empathy,0.007185,12,78
program,0.006519,12,83
guesses,0.006324,6,7
sort,0.005653,22,242
clinical,0.005416,7,37
buddhists,0.005358,11,75
peter,0.005270,5,7
formation,0.004991,6,11
system,0.004719,17,235
worldview,0.004642,6,15
generation,0.004642,6,15
daughter,0.004624,7,31
medical,0.004526,7,41
model,0.004498,9,71
map,0.004435,7,35
patient,0.004346,8,105
vocabulary,0.004256,6,16
jerry,0.004216,4,7
emergency,0.004003,5,14
family,0.003974,15,233
feelings,0.003927,20,308
framework,0.003921,7,45
boxes,0.003888,4,6
lee,0.003888,4,7
existing,0.003728,6,22
yeah,0.003667,18,767
assessment,0.003655,4,8
inferior,0.003655,4,8
needs,0.003595,19,267
pathology,0.003583,3,3
icu,0.003583,3,3
worked,0.003522,9,82
fundamentally,0.003458,5,20
service,0.003410,7,72
self,0.003360,38,1830
social,0.003358,9,122
skip,0.003327,4,11
box,0.003233,5,26
motivation,0.003166,6,53
interdependent,0.003162,3,4
judeo,0.003162,3,4
racism,0.003162,3,4
differentiation,0.003162,3,4
mother,0.003138,7,92
tool,0.003049,5,35
meaning,0.003048,22,388
chat,0.003041,8,90
film,0.002916,3,5
care,0.002903,39,1250
potential,0.002850,7,80
inherently,0.002846,5,32
conventional,0.002837,4,24
guess,0.002800,8,107
questions,0.002795,12,239
location,0.002794,7,81
nursing,0.002742,3,6
divorced,0.002742,3,8
level,0.002673,12,258
hospital,0.002642,4,37
values,0.002639,5,38
identity,0.002630,6,129
heard,0.002614,12,298
hone,0.002606,3,8
contemplative,0.002586,4,40
vehicle,0.002586,4,20
refuge,0.002574,6,164
totally,0.002574,6,92
sharing,0.002564,7,138
pond,0.002534,4,31
event,0.002499,5,43
context,0.002496,13,241
developmental,0.002496,3,13
staff,0.002496,3,8
christian,0.002485,4,35
data,0.002485,4,48
folks,0.002472,7,119
chaplains,0.002402,3,51
bodhicitta,0.002402,3,17
interpersonal,0.002402,3,16
embody,0.002402,3,11
blind,0.002395,4,27
maitripa,0.002388,2,2
dispense,0.002388,2,2
cohort,0.002388,2,2
ventilator,0.002388,2,2
tracheotomy,0.002388,2,2
addict,0.002388,2,2
adaptation,0.002388,2,2
peership,0.002388,2,2
gwen,0.002388,2,2
cadge,0.002388,2,2
catholicism,0.002388,2,2
screening,0.002388,2,2
examples,0.002354,4,28
religious,0.002348,5,75
mountain,0.002348,5,77
study,0.002325,6,90
discuss,0.002276,4,28
response,0.002267,7,172
share,0.002261,10,244
abundance,0.002250,3,13
lived,0.002248,7,124
based,0.002226,9,201
toward,0.002197,6,156
making,0.002192,18,434
common,0.002176,9,179
change,0.002164,16,811
case,0.002156,7,136
traditions,0.002145,5,76
jim,0.002128,3,30
dialogue,0.002128,3,17
racial,0.002108,2,3
nvc,0.002108,2,3
specificity,0.002108,2,3
diagram,0.002108,2,3
wendy,0.002108,2,3
enlightenment,0.002087,7,150
religion,0.002081,4,77
note,0.002081,4,49
lines,0.002053,4,45
training,0.002046,6,189
behaviors,0.002027,3,18
facing,0.002027,3,15
blank,0.002027,3,26
set,0.002025,8,196
working,0.001990,9,287
yet,0.001979,8,237
curious,0.001957,5,93
systems,0.001949,4,60
exercise,0.001949,4,49
providers,0.001944,2,9
delusions,0.001944,2,4
intractable,0.001944,2,4
prognosis,0.001944,2,4
intervention,0.001944,2,4
typology,0.001944,2,5
gonna,0.001944,2,9
slides,0.001944,2,4
grandparents,0.001944,2,6
treating,0.001940,3,22
woman,0.001924,4,100
unconscious,0.001901,3,46
connect,0.001884,7,182
team,0.001864,3,67
led,0.001834,4,58
tools,0.001829,3,29
services,0.001828,2,8
afflictions,0.001828,2,5
facility,0.001828,2,5
visits,0.001828,2,5
accuracy,0.001828,2,5
traits,0.001828,2,14
limiting,0.001796,3,27
able,0.001781,18,610
identify,0.001773,4,75
healing,0.001773,4,65
theory,0.001765,3,57
husband,0.001765,3,39
families,0.001765,3,32
thanks,0.001753,4,74
particularly,0.001750,5,101
healthcare,0.001737,2,17
unit,0.001737,2,6
neglect,0.001737,2,11
interfaith,0.001737,2,12
losses,0.001737,2,12
elicit,0.001737,2,6
productive,0.001737,2,6
department,0.001737,2,6
vajrayana,0.001737,2,11
marriage,0.001737,2,9
commonality,0.001737,2,6
destination,0.001737,2,6
10th,0.001737,2,6
enlightened,0.001734,4,58
tradition,0.001728,9,324
hope,0.001728,9,238
question,0.001725,11,593
already,0.001717,8,255
met,0.001716,4,69
coffee,0.001707,3,39
stuck,0.001690,5,122
hoping,0.001680,3,28
tell,0.001679,8,270
altruistic,0.001664,2,9
disoriented,0.001664,2,9
um,0.001664,2,8
elevation,0.001664,2,8
internal,0.001662,4,93
inspiration,0.001662,4,105
applying,0.001655,3,36
skilled,0.001655,3,32
help,0.001650,15,460
invite,0.001647,5,144
helpful,0.001616,9,561
categories,0.001606,3,49
feedback,0.001606,3,42
personality,0.001606,3,49
phd,0.001601,2,11
subtler,0.001601,2,15
articulate,0.001601,2,8
nuanced,0.001601,2,10
switching,0.001601,2,8
speaker,0.001596,4,85
students,0.001583,3,108
list,0.001566,5,163
consider,0.001566,6,158
avoiding,0.001561,3,40
till,0.001547,2,10
encounters,0.001547,2,12
patients,0.001547,2,11
bye,0.001547,2,14
hear,0.001545,9,379
relationship,0.001522,9,387
hopefully,0.001521,4,80
ones,0.001518,6,189
presence,0.001507,6,208
helping,0.001506,4,80
building,0.001506,4,89
interested,0.001503,5,118
forming,0.001500,2,14
resource,0.001500,2,11
remove,0.001500,2,14
deciding,0.001500,2,11
bridge,0.001500,2,10
code,0.001500,2,10
inner,0.001500,9,452
whether,0.001500,9,304
attain,0.001499,3,40
type,0.001492,4,109
conversation,0.001479,4,126
lifetime,0.001461,3,50
hospice,0.001457,2,24
graduate,0.001457,2,22
generate,0.001457,2,15
private,0.001457,2,26
discouraged,0.001457,2,12
valuing,0.001457,2,13
sangha,0.001452,4,242
white,0.001443,3,63
could,0.001438,27,1420
sure,0.001437,7,247
book,0.001432,5,208
person,0.001427,18,1076
practitioner,0.001425,4,106
college,0.001419,2,16
unable,0.001419,2,14
unquote,0.001419,2,13
q,0.001410,5,120
basis,0.001409,3,56
hand,0.001405,7,300
buddhist,0.001390,31,1146
pop,0.001383,2,19
disease,0.001383,2,17
