word,tfidf_score,talk_frequency,global_frequency
kalyāṇamittatā,0.040359,10,14
friendship,0.035091,18,107
virtuous,0.020252,8,40
milk,0.018972,5,14
friends,0.016630,15,215
benefactors,0.015177,4,9
kalyāṇa,0.014428,4,20
spiritual,0.013365,15,622
ānanda,0.013298,4,18
connection,0.013053,13,195
benefactor,0.011780,4,29
appreciating,0.011731,8,128
contagion,0.011383,3,8
blending,0.011383,3,6
goodness,0.011269,15,466
earth,0.011034,8,241
holy,0.010970,4,26
admirable,0.010821,3,7
sāsana,0.009917,2,2
longitudinal,0.009917,2,2
reflection,0.009382,6,124
gratitude,0.009100,5,98
sangha,0.009040,6,242
network,0.008835,3,27
dispensation,0.008753,2,3
friendships,0.008616,3,29
research,0.008524,4,53
buffer,0.008072,2,4
cankī,0.008072,2,6
pāli,0.007933,6,296
social,0.007745,5,122
accordance,0.007589,2,6
wholesomeness,0.007458,3,29
dear,0.007361,4,124
tuscany,0.007214,2,8
italy,0.007214,2,6
brighten,0.007214,2,7
kusala,0.007214,2,15
fathom,0.007214,2,8
elevated,0.007214,2,6
companionship,0.006908,2,9
attendant,0.006908,2,13
unconsciously,0.006908,2,8
emotional,0.006820,7,228
brightness,0.006668,3,63
friend,0.006570,7,335
late,0.006482,3,52
land,0.006436,4,104
study,0.006436,4,90
mortality,0.006425,2,13
nikāya,0.006308,3,77
mitta,0.006227,2,23
cousin,0.006227,2,17
belong,0.006145,3,49
release,0.006092,5,168
arose,0.006068,3,49
internet,0.006050,2,16
foster,0.006050,2,13
regarding,0.006050,2,13
church,0.005890,2,19
environment,0.005848,3,47
spread,0.005814,4,130
kindly,0.005779,3,54
attunement,0.005744,2,13
beautiful,0.005640,9,549
zone,0.005609,2,21
dropping,0.005583,3,57
theme,0.005517,4,107
half,0.005517,4,132
resonance,0.005485,2,19
entire,0.005343,3,65
degrees,0.005261,2,23
silent,0.005231,3,110
presence,0.005214,5,208
companions,0.005159,2,36
italian,0.004958,1,1
privy,0.004958,1,1
remarked,0.004958,1,1
comrades,0.004958,1,1
predictor,0.004958,1,1
regulate,0.004958,1,1
fowler,0.004958,1,1
christakis,0.004958,1,1
synchrony,0.004958,1,1
seamlessly,0.004958,1,1
changi,0.004958,1,1
power,0.004913,4,196
soil,0.004886,2,48
gladness,0.004804,2,51
studies,0.004651,2,34
noble,0.004647,4,310
excited,0.004445,2,38
majjhima,0.004445,2,53
internationally,0.004376,1,2
deliciousness,0.004376,1,2
shouting,0.004376,1,2
correlates,0.004376,1,2
mittatā,0.004376,1,3
proximity,0.004376,1,2
attends,0.004376,1,2
poured,0.004376,1,2
inseparably,0.004376,1,2
beneficent,0.004376,1,2
associating,0.004376,1,2
water,0.004325,5,473
levels,0.004321,2,51
heart,0.004305,20,1499
community,0.004267,4,389
vipassanā,0.004262,2,121
kindness,0.004179,8,816
invite,0.004103,3,144
buddha,0.004101,15,2034
hiccup,0.004036,1,3
hellos,0.004036,1,4
strengthens,0.004036,1,5
spelling,0.004036,1,4
wherever,0.004033,3,99
mentioned,0.003869,3,118
zooming,0.003794,1,4
relishing,0.003794,1,7
creator,0.003794,1,6
lifespan,0.003794,1,10
regulation,0.003794,1,4
modeling,0.003794,1,5
flourish,0.003794,1,6
associates,0.003794,1,7
reciting,0.003794,1,5
preserving,0.003794,1,4
harmony,0.003765,2,115
co,0.003765,2,48
samādhi,0.003722,2,254
arrive,0.003681,2,58
virtue,0.003681,2,106
needed,0.003671,4,227
drop,0.003626,3,164
concord,0.003607,1,17
warms,0.003607,1,7
catastrophe,0.003607,1,5
bet,0.003607,1,5
harmoniously,0.003607,1,6
aṅguttara,0.003607,1,8
praises,0.003607,1,5
psychological,0.003562,2,73
wise,0.003486,4,397
aspects,0.003485,3,164
european,0.003454,1,10
breathed,0.003454,1,9
afflicted,0.003454,1,23
fertile,0.003454,1,10
measured,0.003454,1,6
blend,0.003454,1,6
principal,0.003454,1,6
suta,0.003454,1,6
afternoon,0.003381,2,65
bells,0.003324,1,17
pebble,0.003324,1,9
heady,0.003324,1,9
recipient,0.003324,1,8
inseparable,0.003324,1,8
calms,0.003324,1,9
interpersonal,0.003324,1,16
modern,0.003314,2,87
shared,0.003249,2,73
entirety,0.003212,1,9
aligns,0.003212,1,8
bond,0.003212,1,12
afflictive,0.003212,1,10
ripples,0.003212,1,9
exceptional,0.003212,1,8
corrected,0.003187,2,67
relationships,0.003157,2,101
health,0.003157,2,96
fame,0.003113,1,19
coordinated,0.003113,1,24
reflective,0.003113,1,23
inviting,0.003069,2,118
abdomen,0.003025,1,17
trusted,0.003025,1,15
titled,0.003025,1,10
aimed,0.003025,1,13
played,0.003025,1,16
crucial,0.003025,1,14
path,0.003023,8,958
simply,0.003005,4,299
practitioner,0.002959,2,106
ethical,0.002959,2,213
failed,0.002945,1,17
approached,0.002945,1,12
resilience,0.002945,1,16
nikki,0.002872,1,54
mirghafori,0.002872,1,17
mutual,0.002872,1,22
reveals,0.002872,1,17
impacted,0.002872,1,14
embrace,0.002805,1,20
survival,0.002805,1,16
connections,0.002805,1,16
shorter,0.002805,1,15
gains,0.002805,1,16
behaviors,0.002805,1,18
unhappiness,0.002805,1,21
wisdom,0.002767,4,575
p,0.002742,1,18
resonate,0.002742,1,15
embracing,0.002742,1,35
nurturing,0.002742,1,16
vital,0.002742,1,17
similarly,0.002742,1,14
dwell,0.002742,1,20
settle,0.002742,5,505
belly,0.002693,3,255
deserve,0.002685,1,24
merely,0.002685,1,22
unity,0.002685,1,51
association,0.002685,1,19
actions,0.002644,2,170
lungs,0.002630,1,25
pond,0.002630,1,31
dedicate,0.002630,1,20
relational,0.002579,1,35
dynamic,0.002579,1,27
stability,0.002579,2,174
term,0.002538,3,258
cannot,0.002537,2,132
silently,0.002531,1,25
jumping,0.002531,1,21
whoever,0.002531,1,25
joined,0.002531,1,20
walks,0.002531,1,25
happier,0.002531,1,23
figured,0.002486,1,19
harmonious,0.002486,1,23
protected,0.002443,1,27
peacefulness,0.002443,1,22
trust,0.002417,2,196
inspire,0.002402,1,27
approaches,0.002402,1,27
nourishment,0.002363,1,42
highlights,0.002363,1,32
layers,0.002363,1,42
anattā,0.002363,1,44
smooth,0.002326,1,30
separation,0.002326,1,50
shifted,0.002326,1,25
feet,0.002323,2,174
fruit,0.002290,1,41
plant,0.002290,1,38
protection,0.002290,1,35
sutta,0.002287,2,434
patient,0.002256,1,105
merit,0.002256,1,45
renowned,0.002256,1,26
plenty,0.002223,1,33
nervous,0.002223,1,53
unpack,0.002223,1,35
expected,0.002191,1,33
nourished,0.002161,1,32
fighting,0.002161,1,56
showed,0.002161,1,46
doctrine,0.002161,1,38
teachings,0.002141,4,571
arises,0.002123,3,370
considering,0.002103,1,35
opened,0.002103,1,36
talks,0.002086,2,216
guidance,0.002075,1,42
spreading,0.002075,1,59
importance,0.002075,1,35
bring,0.002054,5,643
nourishing,0.002048,1,47
success,0.002048,1,61
seeds,0.002048,1,64
alive,0.002023,2,182
spend,0.002023,2,162
midst,0.002023,1,46
groups,0.002023,1,58
element,0.001997,1,68
resisting,0.001997,1,47
offers,0.001997,1,40
joining,0.001997,1,40
benefits,0.001973,1,49
offer,0.001968,3,342
grow,0.001963,2,226
associate,0.001949,1,46
rich,0.001949,1,48
principle,0.001949,1,75
marks,0.001949,1,50
progress,0.001949,1,50
joy,0.001938,3,965
good,0.001890,19,1820
disciples,0.001861,1,54
bones,0.001840,1,57
exists,0.001840,1,53
happiness,0.001837,3,846
reflecting,0.001820,1,65
influence,0.001820,1,60
memory,0.001800,1,96
length,0.001800,1,72
emotions,0.001795,2,281
teaching,0.001794,3,504
conditions,0.001782,2,367
monks,0.001781,1,131
lay,0.001762,1,95
negative,0.001762,1,73
attitudes,0.001762,1,79
anicca,0.001762,1,113
qualities,0.001743,2,353
bell,0.001708,1,93
growth,0.001708,1,69
passing,0.001708,1,91
sweet,0.001691,1,86
beneficial,0.001674,1,99
home,0.001667,2,246
eightfold,0.001657,1,114
lack,0.001657,1,86
laughter,0.001657,1,73
translates,0.001657,1,55
specifically,0.001657,1,68
sit,0.001645,5,598
youtube,0.001641,1,77
cultivation,0.001641,1,112
faith,0.001641,1,193
supporting,0.001625,1,90
preoccupations,0.001609,1,109
steady,0.001594,1,152
skillful,0.001594,1,140
hopefully,0.001579,1,80
needs,0.001571,2,267
impact,0.001564,1,100
tendency,0.001549,1,86
receiving,0.001549,1,155
emphasize,0.001549,1,80
discourses,0.001549,1,95
role,0.001535,1,101
yes,0.001525,2,378
sharing,0.001521,1,138
component,0.001521,1,67
shows,0.001507,1,123
week,0.001483,4,597
continuing,0.001480,1,76
throughout,0.001480,1,91
challenges,0.001480,1,104
large,0.001480,1,84
everywhere,0.001480,1,98
causes,0.001466,1,95
various,0.001466,1,96
movements,0.001453,1,96
grounded,0.001441,1,116
brought,0.001441,1,94
expand,0.001441,1,86
discourse,0.001441,1,140
breathing,0.001440,4,1992
full,0.001437,2,270
okay,0.001426,4,1136
chair,0.001415,1,97
perfect,0.001415,1,123
metaphor,0.001415,1,119
invitation,0.001403,1,124
support,0.001394,3,559
beauty,0.001391,1,167
unification,0.001391,1,143
supported,0.001379,1,105
gift,0.001379,1,125
eyes,0.001370,3,497
appreciation,0.001368,1,205
