word,tfidf_score,talk_frequency,global_frequency
sangha,0.057939,43,237
robe,0.035882,14,33
monastic,0.027870,17,110
kovilo,0.022554,6,13
monastery,0.020520,12,113
ordain,0.020075,8,28
lay,0.019212,15,142
monk,0.018463,13,213
precept,0.015243,7,97
ajahn,0.015065,9,108
wear,0.014302,8,69
arya,0.013836,3,3
refrain,0.013272,6,63
group,0.012345,12,246
transcend,0.011990,4,13
music,0.011828,6,62
basically,0.011595,7,94
noble,0.011339,9,267
type,0.011155,9,182
archetype,0.010607,3,8
america,0.010482,4,18
level,0.009703,11,282
buddho,0.009224,2,2
bhikkhunis,0.009224,2,2
detox,0.009224,2,2
noon,0.008992,3,11
celestial,0.008148,2,3
luxurious,0.008148,2,3
digital,0.008148,2,3
belief,0.007828,7,286
thailand,0.007528,3,24
bhikkhus,0.007518,2,5
permanently,0.007518,2,4
period,0.007436,6,113
gym,0.007071,2,6
gem,0.007071,2,6
wakefulness,0.007071,2,5
male,0.007071,2,6
nun,0.006978,3,65
attain,0.006915,4,70
sri,0.006725,2,13
lanka,0.006725,2,9
principle,0.006696,4,122
email,0.006636,3,31
canon,0.006533,3,56
bed,0.006491,4,62
largely,0.006442,2,8
ordination,0.006442,2,13
country,0.006299,4,94
recite,0.006202,2,11
anger,0.006127,6,354
rule,0.005993,3,58
beautiful,0.005888,10,558
mom,0.005648,2,16
convert,0.005648,2,14
ugly,0.005500,2,15
greed,0.005423,5,247
month,0.005390,4,109
partially,0.005365,2,14
deer,0.005365,2,135
lie,0.005261,5,169
sleep,0.005186,3,72
currently,0.005126,2,20
chah,0.005126,2,28
thai,0.005126,2,17
majority,0.005126,2,15
mundane,0.005126,2,17
train,0.005106,5,306
money,0.005075,3,76
paint,0.004919,2,27
delusion,0.004687,4,219
ukiah,0.004612,1,1
disco,0.004612,1,1
hardwood,0.004612,1,1
osho,0.004612,1,1
miga-sangha,0.004612,1,1
kaka-sangha,0.004612,1,1
deva-sangha,0.004612,1,1
soft-shell,0.004612,1,1
taco,0.004612,1,1
70-plus,0.004612,1,1
percent,0.004612,1,1
lame,0.004612,1,1
voluntary,0.004612,1,1
beautification,0.004612,1,1
adornment,0.004612,1,1
knock-on,0.004612,1,1
non-backsliding,0.004612,1,1
once-return,0.004612,1,1
non-return,0.004612,1,1
arahatship,0.004612,1,1
obstructive,0.004612,1,1
arahat,0.004612,1,1
healthfully,0.004612,1,1
disrobe,0.004612,1,1
monasticism,0.004612,1,1
proximal,0.004612,1,1
awake,0.004588,3,81
laughter,0.004588,3,75
excitement,0.004572,2,33
buddhism,0.004330,6,528
who've,0.004289,2,32
tradition,0.004134,5,339
eat,0.004077,3,135
woo-woo,0.004074,1,2
10-15,0.004074,1,2
institutional,0.004074,1,2
rectangle,0.004074,1,2
convenient,0.004074,1,2
renunciant,0.004074,1,3
reset,0.004074,1,2
isolation,0.004074,1,2
uninspired,0.004074,1,2
flail,0.004074,1,2
buddhist,0.004069,10,830
wild,0.004050,2,50
zone,0.003995,2,38
year,0.003932,10,825
roll,0.003892,2,42
expansion,0.003892,2,41
experiment,0.003842,2,49
crave,0.003811,3,276
carpet,0.003759,1,4
seattle,0.003759,1,3
menlo,0.003759,1,3
ims,0.003759,1,3
barre,0.003759,1,3
usage,0.003759,1,3
reserve,0.003759,1,4
strict,0.003759,1,4
mattress,0.003759,1,3
chronically,0.003759,1,3
humanness,0.003759,1,3
bow,0.003748,2,51
great,0.003714,13,933
enlightenment,0.003617,2,70
foundation,0.003600,3,164
believe,0.003583,5,334
abhayagiri,0.003536,1,4
nisabho,0.003536,1,10
gautama,0.003536,1,5
documentary,0.003536,1,4
roughly,0.003536,1,4
dollar,0.003536,1,4
smoke,0.003536,1,12
mat,0.003536,1,4
path,0.003533,6,820
specifically,0.003496,2,55
teacher,0.003481,6,560
you've,0.003382,5,355
triple,0.003362,1,7
secretly,0.003362,1,5
mantra,0.003362,1,6
lament,0.003362,1,6
costume,0.003362,1,8
hone,0.003362,1,8
crow,0.003362,1,16
fabulous,0.003362,1,5
valid,0.003362,1,5
ochre,0.003362,1,5
female,0.003362,1,6
stream-entry,0.003362,1,14
default,0.003362,1,6
especially,0.003331,4,203
totally,0.003313,2,93
floor,0.003279,2,75
organize,0.003279,2,153
refuge,0.003245,2,171
siddhartha,0.003221,1,7
flag,0.003221,1,13
intoxicant,0.003221,1,15
novice,0.003221,1,6
transcendent,0.003221,1,10
educational,0.003221,1,6
ago,0.003146,4,268
imc,0.003109,3,173
latter,0.003101,1,7
morality,0.003101,1,15
lifestyle,0.003101,1,8
foreign,0.002997,1,8
misconduct,0.002997,1,18
herd,0.002997,1,47
elicit,0.002997,1,9
figure,0.002974,3,219
definitely,0.002973,2,79
devas,0.002906,1,43
yoke,0.002906,1,14
camp,0.002906,1,15
teeth,0.002906,1,16
hopefully,0.002892,2,83
force,0.002846,3,220
jewel,0.002824,1,16
oftentimes,0.002824,1,14
entertainment,0.002824,1,14
institution,0.002824,1,17
address,0.002790,2,123
measure,0.002766,2,89
historical,0.002750,1,13
symbol,0.002750,1,17
temporary,0.002750,1,12
endure,0.002750,1,23
human,0.002719,6,555
secular,0.002683,1,76
variation,0.002683,1,13
pandemic,0.002683,1,15
anybody,0.002649,2,119
consume,0.002621,1,16
cell,0.002621,1,16
gateway,0.002621,1,23
lust,0.002621,1,17
temporarily,0.002621,1,18
since,0.002605,2,96
truth,0.002571,3,523
rarely,0.002563,1,17
unnecessarily,0.002563,1,16
join,0.002541,2,113
buddha,0.002519,9,1874
exception,0.002509,1,15
inclusive,0.002509,1,24
mentally,0.002509,1,18
mental,0.002463,3,347
dress,0.002459,1,19
solidity,0.002459,1,26
tall,0.002459,1,16
device,0.002459,1,23
walk,0.002444,4,549
door,0.002419,2,154
american,0.002412,1,21
burma,0.002412,1,21
signal,0.002412,1,20
renounce,0.002412,1,39
state,0.002396,5,834
super,0.002368,1,20
beyond,0.002344,2,185
brother,0.002326,1,38
strategy,0.002326,1,31
traditional,0.002326,1,26
sexual,0.002326,1,46
ideal,0.002326,1,25
depression,0.002326,1,28
meditate,0.002302,5,514
balance,0.002289,2,232
rob,0.002286,1,36
beat,0.002286,1,42
weekend,0.002248,1,25
food,0.002219,2,197
ball,0.002212,1,39
asleep,0.002212,1,32
initial,0.002212,1,24
view,0.002196,3,679
community,0.002186,2,357
unhealthy,0.002178,1,35
seem,0.002175,5,499
didn't,0.002169,4,513
bhikkhu,0.002145,1,66
men,0.002145,1,61
initially,0.002145,1,28
volunteer,0.002113,1,57
theravada,0.002113,1,51
quiet,0.002088,4,633
meet,0.002088,4,609
north,0.002082,1,35
consciously,0.002082,1,31
song,0.002082,1,49
somebody,0.002073,2,352
high,0.002042,2,243
unique,0.002025,1,42
hall,0.002025,1,47
regular,0.002025,1,32
moral,0.002025,1,73
report,0.002025,1,37
karma,0.001998,1,75
western,0.001971,1,60
phone,0.001971,1,62
fruit,0.001971,1,51
hundred,0.001971,1,37
father,0.001946,1,59
son,0.001946,1,94
virtue,0.001946,1,106
progress,0.001946,1,45
yet,0.001925,2,239
commit,0.001921,1,57
bias,0.001874,1,50
renunciation,0.001874,1,69
couple,0.001856,2,175
foot,0.001856,2,231
west,0.001852,1,54
religion,0.001852,1,94
store,0.001852,1,54
realize,0.001846,3,408
sort,0.001843,2,279
pali,0.001843,2,228
abandon,0.001830,1,85
park,0.001808,1,54
chase,0.001808,1,63
block,0.001808,1,70
development,0.001808,1,58
bright,0.001808,1,68
inspire,0.001803,2,239
none,0.001788,1,50
main,0.001788,1,59
stay,0.001752,5,821
road,0.001748,1,117
