word,tfidf_score,talk_frequency,global_frequency
friendship,0.051540,31,125
friend,0.029789,52,524
sangha,0.023047,18,231
counsel,0.019879,6,9
companion,0.015996,8,52
upakaraka,0.015285,4,5
mitta,0.015079,5,13
kalyana,0.014514,5,15
d,0.013252,4,8
suhadaya,0.012988,3,3
uplift,0.011997,6,54
loyalty,0.011464,3,4
ethical,0.010821,8,192
belong,0.010731,6,49
jewel,0.010565,4,16
mutual,0.010565,4,20
goodness,0.010495,16,466
community,0.010224,10,352
contagion,0.009939,3,8
counselor,0.009939,3,9
compassionate,0.009750,6,66
quality,0.009623,18,620
helper,0.009449,3,8
interconnected,0.009048,3,14
uplifted,0.009048,3,18
enduring,0.009048,3,16
wise,0.008816,11,383
pole,0.008708,3,12
liberation-supporting,0.008659,2,2
upright,0.008511,5,63
showing,0.007894,6,95
true,0.007697,12,387
emptying,0.007643,2,3
trust,0.007447,7,192
virtuous,0.007347,3,28
lawful,0.007048,2,6
cheering,0.007048,2,4
cherished,0.007048,2,8
hardship,0.007048,2,5
reflection,0.006990,7,212
theme,0.006646,6,123
conduct,0.006399,3,32
soil,0.006399,3,48
reliable,0.006399,3,33
triple,0.006299,2,7
concord,0.006299,2,17
digha,0.006299,2,6
buddha,0.006272,23,1614
spiritual,0.006230,7,555
limited,0.006092,3,41
sake,0.006092,3,45
capital,0.006032,2,8
fault,0.005998,3,43
embody,0.005806,2,11
supporting,0.005675,4,88
entity,0.005437,2,12
heart,0.005028,30,1600
lovingly,0.005015,2,18
beautiful,0.005001,9,538
opinion,0.004988,3,115
earth,0.004987,4,229
dropping,0.004875,3,57
dear,0.004821,3,124
nuance,0.004789,2,20
noble,0.004736,4,263
nikaya,0.004665,3,69
foundation,0.004431,4,164
traditional,0.004421,2,25
vastly,0.004329,1,1
rooting,0.004329,1,1
kalyana-mittata,0.004329,1,1
good-hearted,0.004329,1,1
sigala,0.004329,1,1
suhada,0.004329,1,1
counterfeit,0.004329,1,1
beware,0.004329,1,1
taker,0.004329,1,1
sweet-talker,0.004329,1,1
flatterer,0.004329,1,1
reckless,0.004329,1,1
ego-based,0.004329,1,1
attachment-based,0.004329,1,1
clinginess,0.004329,1,1
craving-based,0.004329,1,1
flatters,0.004329,1,1
corrects,0.004329,1,1
caga,0.004329,1,1
relative,0.004195,2,27
celebrate,0.004195,2,38
highest,0.004195,2,35
dharma,0.004163,10,827
protection,0.004127,2,33
waking,0.004061,2,29
landing,0.004061,2,33
fellow,0.003939,2,43
inextricably,0.003821,1,2
underside,0.003821,1,2
centrality,0.003821,1,2
reverberate,0.003821,1,2
safeguard,0.003821,1,2
embodies,0.003821,1,4
deceiving,0.003821,1,2
vanishing,0.003821,1,2
prioritizes,0.003821,1,2
centered,0.003807,3,143
progress,0.003773,2,41
bright,0.003672,2,45
virtue,0.003624,2,106
generosity,0.003582,3,206
remind,0.003577,2,45
others,0.003557,16,1015
invitation,0.003552,3,132
sorrow,0.003532,2,51
yesterday's,0.003524,1,4
well-rooted,0.003524,1,4
vertical,0.003524,1,5
council,0.003524,1,15
kalyanamittata,0.003524,1,12
reciprocity,0.003524,1,3
scarcity,0.003524,1,4
illuminate,0.003524,1,3
propped,0.003524,1,3
transcends,0.003524,1,3
wherever,0.003522,3,99
joining,0.003488,2,40
good,0.003384,40,1807
invite,0.003378,3,158
relationality,0.003313,1,4
brightened,0.003313,1,7
interconnection,0.003313,1,4
loyal,0.003313,1,6
enriched,0.003313,1,4
interactive,0.003313,1,4
kalyanamitta,0.003313,1,6
generous,0.003287,2,77
talked,0.003254,4,233
settle,0.003245,7,570
power,0.003217,3,213
kindness,0.003183,5,530
gratitude,0.003178,2,98
tuscany,0.003150,1,8
italy,0.003150,1,6
infinitely,0.003150,1,5
aspiring,0.003150,1,6
purposeful,0.003150,1,7
reflects,0.003150,1,10
seed,0.003144,2,88
psychological,0.003144,2,69
yesterday,0.003116,3,150
bone,0.003110,2,62
description,0.003110,2,64
commentary,0.003045,2,86
intend,0.003016,1,6
flash,0.003016,1,13
lightning,0.003016,1,7
beingness,0.003016,1,10
lit,0.003016,1,11
sleepy,0.003016,1,9
xyz,0.003016,1,7
framed,0.003016,1,6
intending,0.003016,1,11
assistant,0.003016,1,6
self-image,0.003016,1,11
superficial,0.003016,1,6
towards,0.002990,6,469
exploring,0.002983,2,78
comfort,0.002983,2,83
possibility,0.002972,3,159
space,0.002966,6,698
cultivation,0.002952,2,108
potential,0.002952,2,81
drop,0.002949,3,194
afternoon,0.002923,2,67
dignified,0.002903,1,8
heady,0.002903,1,9
approval,0.002903,1,11
aspire,0.002903,1,8
discerning,0.002903,1,9
shared,0.002894,2,71
member,0.002865,2,170
versus,0.002865,2,87
guide,0.002865,2,65
bell,0.002865,2,109
pebble,0.002805,1,10
luxury,0.002805,1,10
entirety,0.002805,1,9
layperson,0.002805,1,14
protects,0.002805,1,8
closeness,0.002805,1,8
challenging,0.002783,2,81
considered,0.002757,2,72
card,0.002719,1,19
planted,0.002719,1,11
wake,0.002705,2,84
inspired,0.002705,2,98
alive,0.002650,3,182
blind,0.002641,1,15
faithful,0.002641,1,11
pause,0.002631,2,168
emotional,0.002610,3,222
outside,0.002591,3,195
voice,0.002584,2,111
everywhere,0.002584,2,98
foster,0.002571,1,15
distant,0.002571,1,18
historical,0.002571,1,13
householder,0.002571,1,18
dana,0.002571,1,28
connection,0.002552,3,207
nikki,0.002508,1,53
mirghafori,0.002508,1,17
recent,0.002508,1,13
fulfilled,0.002508,1,12
attunement,0.002508,1,13
accident,0.002508,1,13
emphasizes,0.002508,1,12
anguttara,0.002508,1,15
based,0.002472,2,136
p,0.002449,1,16
resonate,0.002449,1,14
benefactor,0.002449,1,37
holy,0.002449,1,24
firm,0.002449,1,14
false,0.002449,1,19
unethical,0.002449,1,22
teaching,0.002442,8,984
cushion,0.002429,2,115
chair,0.002409,2,102
web,0.002395,1,21
mentioned,0.002388,2,107
type,0.002368,2,176
miracle,0.002344,1,50
correct,0.002344,1,32
sustained,0.002344,1,26
strengthen,0.002344,1,15
supportive,0.002309,2,129
turning,0.002309,2,134
water,0.002283,3,467
judgment,0.002271,2,177
relational,0.002252,1,33
uprightness,0.002252,1,22
evening,0.002252,2,124
receive,0.002252,2,141
relationship,0.002222,4,484
yeah,0.002216,3,767
duty,0.002210,1,36
important,0.002199,9,800
gift,0.002180,2,144
planet,0.002171,1,24
learned,0.002145,2,128
inspire,0.002133,1,26
etc,0.002097,1,31
email,0.002097,1,30
despair,0.002097,1,46
turn,0.002073,4,457
seek,0.002063,1,33
season,0.002063,1,34
nourishment,0.002063,1,42
abandon,0.002063,1,47
dangerous,0.002063,1,33
precept,0.002063,1,93
awakening,0.002045,2,283
zone,0.001999,1,33
due,0.001999,1,33
theravada,0.001999,1,50
compassion,0.001997,3,634
nourish,0.001970,1,33
brightness,0.001941,1,62
sweetness,0.001941,1,89
practitioner,0.001921,2,195
importance,0.001913,1,31
spine,0.001913,1,45
research,0.001913,1,51
someone's,0.001913,1,36
wholesome,0.001892,2,349
unfolds,0.001886,1,32
speaks,0.001886,1,40
hear,0.001868,3,379
aspiration,0.001861,1,73
personality,0.001861,1,53
let's,0.001854,3,389
considering,0.001836,1,35
presence,0.001835,2,207
family,0.001821,2,259
exploration,0.001812,1,49
non-harming,0.001812,1,64
nourishing,0.001789,1,46
trusting,0.001789,1,45
describes,0.001789,1,45
integrity,0.001789,1,54
heavy,0.001744,1,50
honor,0.001744,1,56
ego,0.001744,1,79
plant,0.001723,1,62
west,0.001723,1,54
send,0.001702,1,48
bottom,0.001682,1,46
continues,0.001682,1,50
kindly,0.001682,1,54
spending,0.001682,1,53
none,0.001682,1,49
gain,0.001682,1,80
comfortable,0.001664,2,210
welfare,0.001663,1,95
arriving,0.001644,1,60
external,0.001625,1,69
level,0.001615,2,282
taking,0.001609,4,456
preference,0.001607,1,62
breathing,0.001603,5,1985
needed,0.001603,2,227
unfold,0.001589,1,72
becomes,0.001582,4,475
head,0.001579,2,244
stepping,0.001572,1,78
message,0.001572,1,65
passing,0.001572,1,86
judging,0.001555,1,61
principle,0.001555,1,122
invaluable,0.001555,1,68
internal,0.001539,1,88
especially,0.001533,2,202
parent,0.001523,1,72
refuge,0.001523,1,170
aliveness,0.001491,1,84
sweet,0.001476,1,85
lack,0.001476,1,84
inspiration,0.001461,1,125
impermanence,0.001447,1,144
mood,0.001447,1,92
sit,0.001437,5,596
connected,0.001434,2,296
particularly,0.001433,1,86
version,0.001433,1,96
aspect,0.001424,2,268
complicated,0.001405,1,78
becoming,0.001392,2,298
wider,0.001392,1,107
seat,0.001392,1,105
spirit,0.001392,1,104
receiving,0.001392,1,152
spot,0.001378,1,115
spaciousness,0.001365,1,214
difficult,0.001362,2,323
element,0.001353,1,183
chat,0.001353,1,95
check,0.001340,1,106
inviting,0.001340,1,118
confidence,0.001340,1,156
vast,0.001328,1,114
sharing,0.001328,1,135
suttas,0.001328,1,171
liberation,0.001328,1,113
simply,0.001322,2,298
allow,0.001320,4,602
you've,0.001292,2,345
continuing,0.001292,1,76
reflect,0.001280,1,112
characteristic,0.001258,1,190
dharmette,0.001249,3,313
leg,0.001247,1,99
perspective,0.001247,1,191
issue,0.001236,1,107
beauty,0.001236,1,165
small,0.001236,2,341
person,0.001233,4,1004
recognize,0.001226,2,404
craving,0.001225,1,250
isn't,0.001217,2,390
distracted,0.001215,1,101
supported,0.001204,1,105
stability,0.001194,1,164
basic,0.001194,1,121
pointing,0.001154,1,154
seeing,0.001146,3,801
practicing,0.001137,2,332
old,0.001135,1,153
cannot,0.001126,1,129
recognition,0.001126,1,212
imagine,0.001120,2,340
pay,0.001117,1,128
earlier,0.001117,1,110
happiness,0.001111,2,811
sitting,0.001097,6,758
beyond,0.001090,1,183
stand,0.001064,1,126
allowing,0.001061,2,465
inside,0.001061,2,425
alone,0.001055,1,141
care,0.001045,4,1245
offer,0.001045,2,380
challenge,0.001030,1,181
recognizing,0.001022,1,172
including,0.001022,1,134
today,0.001018,5,788
who's,0.001014,1,167
appreciate,0.001012,2,409
opportunity,0.000991,1,167
somebody,0.000983,1,318
context,0.000983,1,177
call,0.000981,2,419
question,0.000950,2,825
may,0.000946,9,2140
language,0.000939,1,165
goodwill,0.000932,1,427
morning,0.000912,2,380
looking,0.000897,2,491
meaning,0.000897,1,244
soft,0.000890,1,214
wow,0.000890,1,210
next,0.000889,3,607
pali,0.000883,1,216
spend,0.000883,1,162
action,0.000883,1,318
foot,0.000870,1,221
human,0.000868,2,532
past,0.000844,1,227
else,0.000840,2,516
relax,0.000826,2,552
share,0.000813,1,249
benefit,0.000813,1,227
name,0.000801,1,231
wanted,0.000801,1,248
tomorrow,0.000801,1,177
relaxed,0.000790,1,268
subtle,0.000790,1,350
middle,0.000784,1,212
known,0.000778,1,195
difference,0.000778,1,225
bringing,0.000772,1,229
belly,0.000761,1,260
interesting,0.000755,1,278
series,0.000744,1,247
love,0.000733,3,1487
moment,0.000731,8,1806
believe,0.000728,1,278
bring,0.000724,2,641
forward,0.000712,1,219
support,0.000711,2,720
shift,0.000707,1,298
return,0.000696,1,188
light,0.000671,1,411
thank,0.000644,6,1084
continue,0.000641,1,255
breathe,0.000627,1,408
wisdom,0.000627,1,536
nature,0.000618,1,389
arise,0.000613,1,350
together,0.000611,3,1016
sound,0.000609,1,472
settling,0.000604,1,507
whether,0.000604,1,303
made,0.000600,1,315
example,0.000582,1,367
become,0.000579,3,820
another,0.000563,2,739
instead,0.000560,1,439
coming,0.000545,2,707
feeling,0.000535,6,2135
gently,0.000535,1,393
week,0.000528,2,687
link,0.000528,2,483
let,0.000502,5,1487
didn't,0.000502,1,505
i'd,0.000502,1,426
body,0.000499,7,3168
particular,0.000494,1,431
nothing,0.000490,1,452
making,0.000490,1,395
look,0.000483,2,827
everyone,0.000483,1,410
talking,0.000483,1,445
well,0.000480,3,1310
wonderful,0.000471,1,475
say,0.000467,6,2787
welcome,0.000465,3,630
rest,0.000460,1,382
move,0.000456,1,363
simple,0.000452,1,574
stay,0.000445,1,595
guided,0.000434,2,774
change,0.000427,1,932
live,0.000423,1,640
point,0.000423,2,900
notice,0.000413,1,736
rather,0.000409,1,505
place,0.000407,3,1508
happen,0.000406,1,526
close,0.000402,1,375
use,0.000399,1,568
around,0.000393,3,1116
buddhist,0.000392,1,807
last,0.000385,1,470
mindfulness,0.000369,1,928
we'll,0.000365,1,557
word,0.000364,3,1293
better,0.000362,1,611
course,0.000352,1,662
part,0.000338,4,1585
oh,0.000336,1,1322
keep,0.000330,1,653
letting,0.000324,1,758
ha,0.000323,6,1913
right,0.000322,3,2053
doe,0.000293,1,829
everything,0.000290,1,836
many,0.000271,2,1063
deep,0.000270,1,1007
enough,0.000264,1,728
life,0.000248,5,2685
i'll,0.000247,1,831
bit,0.000238,2,1460
would,0.000238,2,1943
whole,0.000230,1,1124
practice,0.000228,8,3284
want,0.000227,3,2298
little,0.000224,4,2286
often,0.000217,1,1059
actually,0.000212,1,1065
u,0.000198,14,3250
could,0.000193,1,1418
much,0.000190,4,1611
mind,0.000185,7,4396
need,0.000183,1,1251
day,0.000173,1,977
thinking,0.000158,1,1621
information,0.000143,1,398
whatever,0.000124,1,1171
don't,0.000122,5,3298
take,0.000121,2,1495
find,0.000114,1,1200
thing,0.000106,4,4739
time,0.000101,10,2801
feel,0.000099,7,3959
sense,0.000095,2,2543
back,0.000091,1,1460
different,0.000089,1,1866
world,0.000080,1,2302
even,0.000079,3,1704
sometimes,0.000073,1,1836
make,0.000073,1,1651
people,0.000063,1,3081
might,0.000050,1,2085
ai-generated,0.000000,1,369
transcript,0.000000,1,372
auto-generated,0.000000,1,369
subtitle,0.000000,1,369
video,0.000000,1,388
likely,0.000000,1,461
contains,0.000000,1,379
inaccuracy,0.000000,1,369
following,0.000000,1,508
talk,0.000000,7,1694
wa,0.000000,6,5473
given,0.000000,4,601
insight,0.000000,1,1660
meditation,0.000000,5,3370
center,0.000000,1,871
redwood,0.000000,1,414
city,0.000000,1,472
california,0.000000,1,425
please,0.000000,3,528
visit,0.000000,1,427
website,0.000000,1,435
www,0.000000,1,384
audiodharma,0.000000,1,384
org,0.000000,1,398
