word,tfidf_score,talk_frequency,global_frequency
generosity,0.038406,27,206
embracing,0.022821,8,32
sangaha,0.022761,5,7
relational,0.021465,8,33
sangha,0.018304,12,231
cohesion,0.018209,4,8
speech,0.016577,10,170
frequency,0.016193,5,16
bind,0.016193,5,15
friendship,0.015845,8,125
piyavaja,0.015473,3,3
act,0.015301,14,257
atthacariya,0.013656,3,4
samanattata,0.013656,3,4
audible,0.013656,3,4
social,0.013653,8,112
sutta,0.012481,9,307
dana,0.012253,4,28
kalyanamitta,0.011840,3,6
spirit,0.011604,7,104
receiving,0.011604,7,152
community,0.010961,9,352
limb,0.010778,3,8
tuning,0.010653,5,48
gaha,0.010315,2,2
equally,0.009716,3,13
greeting,0.009116,4,42
anguttara,0.008962,3,15
impartiality,0.008396,2,5
strengthens,0.008396,2,5
received,0.007922,4,54
welfare,0.007922,4,95
tune,0.007657,4,65
tuscany,0.007504,2,8
recollect,0.007504,2,7
glue,0.007504,2,6
nikaya,0.007410,4,69
action,0.007366,7,318
uplifted,0.007185,2,18
beneficial,0.007180,4,91
song,0.006936,3,49
relinquishment,0.006916,2,16
gather,0.006695,4,86
foremost,0.006683,2,9
service,0.006233,3,79
foster,0.006127,2,15
kindness,0.006067,8,530
harmony,0.006012,3,111
out-breath,0.006012,3,65
nikki,0.005975,2,53
mirghafori,0.005975,2,17
bond,0.005975,2,21
in-breath,0.005942,3,79
giving,0.005892,7,296
embrace,0.005705,2,22
mentioned,0.005690,4,107
gratitude,0.005680,3,98
treating,0.005585,2,19
principle,0.005558,3,122
pond,0.005472,2,31
furrowed,0.005158,1,1
cozier,0.005158,1,1
sangahavatthuni,0.005158,1,1
helpfully,0.005158,1,1
aiding,0.005158,1,1
happenstance,0.005158,1,1
timeliness,0.005158,1,1
endears,0.005158,1,1
obtuse,0.005158,1,1
favoritism,0.005158,1,1
even-minded,0.005158,1,1
unshaken,0.005158,1,1
untouchable,0.005158,1,1
respect,0.005110,4,189
bodhi,0.005082,2,26
etc,0.004997,2,31
ground,0.004989,4,157
softening,0.004845,5,223
others,0.004767,18,1015
zone,0.004764,2,33
grasp,0.004764,2,34
bhikkhu,0.004764,2,66
acting,0.004764,2,47
showing,0.004702,3,95
include,0.004617,3,99
heart,0.004592,23,1600
research,0.004558,2,51
proverbial,0.004552,1,2
recollecting,0.004552,1,2
brightening,0.004552,1,19
imbue,0.004552,1,2
like-minded,0.004552,1,2
like-hearted,0.004552,1,2
fairness,0.004552,1,2
solidarity,0.004552,1,2
equality,0.004552,1,4
brightens,0.004552,1,2
oneself,0.004542,4,175
san,0.004495,2,49
allowing,0.004424,7,465
resource,0.004374,2,48
presence,0.004372,4,207
weight,0.004341,3,150
literally,0.004304,3,94
offered,0.004304,3,103
appreciation,0.004267,3,203
impartially,0.004198,1,3
wholeheartedness,0.004198,1,3
sustains,0.004198,1,3
predicts,0.004198,1,3
superiority,0.004198,1,3
stagnant,0.004198,1,3
bye,0.004198,1,4
gathering,0.004126,3,186
prefer,0.004008,2,45
evenness,0.003947,1,4
worldwide,0.003947,1,4
transactional,0.003947,1,6
communal,0.003947,1,5
misunderstood,0.003947,1,4
demonstrated,0.003947,1,4
commenting,0.003947,1,5
barista,0.003947,1,6
goodness,0.003907,5,466
arrive,0.003828,2,58
dear,0.003828,2,124
trust,0.003802,3,192
mean,0.003798,14,1037
graciously,0.003752,1,5
bonding,0.003752,1,10
truthful,0.003752,1,6
psychological,0.003745,2,69
join,0.003705,2,54
modern,0.003705,2,75
dependent,0.003666,2,84
smile,0.003666,2,111
superficial,0.003593,1,6
ankle,0.003593,1,6
brow,0.003593,1,8
life-giving,0.003593,1,7
mind-heart,0.003593,1,7
sleepy,0.003593,1,9
affectionate,0.003593,1,8
timely,0.003593,1,11
strained,0.003593,1,6
buddha,0.003574,11,1614
reflection,0.003569,3,212
opening,0.003468,4,283
arrival,0.003458,1,7
citta,0.003458,1,22
thanissaro,0.003458,1,39
affection,0.003458,1,8
pleasing,0.003458,1,12
aligns,0.003458,1,7
hierarchy,0.003458,1,9
supporting,0.003380,2,88
entirety,0.003341,1,9
participation,0.003341,1,9
truthfulness,0.003341,1,20
treated,0.003341,1,8
challenging,0.003315,2,81
europe,0.003239,1,10
seated,0.003239,1,11
uplifting,0.003239,1,12
inviting,0.003193,2,118
various,0.003163,2,91
together,0.003153,13,1016
radio,0.003147,1,19
dial,0.003147,1,12
easing,0.003147,1,11
purifying,0.003147,1,14
promoting,0.003147,1,12
increased,0.003147,1,14
laypeople,0.003147,1,24
foot,0.003110,3,221
aligning,0.003063,1,12
church,0.003063,1,22
activate,0.003063,1,13
noted,0.003063,1,13
bodhisattva,0.003063,1,21
division,0.003063,1,17
recent,0.002987,1,13
protecting,0.002987,1,13
mahayana,0.002987,1,18
pride,0.002987,1,16
reward,0.002987,1,14
jataka,0.002987,1,141
earth,0.002971,2,229
wishing,0.002919,2,113
thursday,0.002917,1,18
liberating,0.002917,1,22
karuna,0.002917,1,33
tale,0.002917,1,30
benefit,0.002907,3,227
creating,0.002894,2,104
brighter,0.002853,1,23
inclusion,0.002853,1,26
nuance,0.002853,1,20
beautifully,0.002853,1,22
barrier,0.002853,1,23
basic,0.002845,2,121
discussing,0.002792,1,21
unity,0.002792,1,51
humble,0.002792,1,16
inclusive,0.002792,1,24
win,0.002792,1,57
vow,0.002792,1,29
shop,0.002792,1,21
bringing,0.002760,3,229
reborn,0.002736,1,32
stance,0.002736,1,20
village,0.002736,1,35
friend,0.002730,4,524
openness,0.002728,2,135
judgment,0.002705,2,177
nurture,0.002683,1,22
series,0.002659,3,247
beautiful,0.002648,4,538
relationship,0.002648,4,484
deliberate,0.002633,1,34
transform,0.002633,1,39
gift,0.002597,2,144
embodiment,0.002586,1,27
grip,0.002586,1,37
breaking,0.002586,1,29
aspect,0.002544,3,268
relaxing,0.002544,3,364
translator,0.002541,1,22
tie,0.002541,1,26
conduct,0.002541,1,32
status,0.002541,1,33
release,0.002494,2,184
nourishment,0.002458,1,42
humility,0.002458,1,31
coffee,0.002458,1,38
accessible,0.002419,1,31
sake,0.002419,1,45
waking,0.002419,1,29
majjhima,0.002419,1,30
nobody,0.002419,1,49
i'd,0.002393,4,426
soothing,0.002382,1,30
compassion,0.002379,3,634
transition,0.002312,1,36
brightness,0.002312,1,62
sweetness,0.002312,1,89
treat,0.002312,1,35
hand,0.002282,4,466
outward,0.002279,1,36
someone's,0.002279,1,36
material,0.002247,1,50
fell,0.002247,1,33
satisfaction,0.002247,1,36
field,0.002219,2,246
resentment,0.002217,1,42
blame,0.002217,1,66
king,0.002217,1,478
let's,0.002208,3,389
bright,0.002187,1,45
hundred,0.002187,1,37
town,0.002187,1,51
care,0.002178,7,1245
inward,0.002158,1,44
bias,0.002158,1,47
non-harming,0.002158,1,64
spiritual,0.002121,2,555
support,0.002117,5,720
conceit,0.002104,1,58
joining,0.002078,1,40
knee,0.002078,1,72
title,0.002078,1,42
relating,0.002078,1,46
emotional,0.002073,2,222
protect,0.002052,1,49
neck,0.002052,1,50
fair,0.002052,1,44
interpretation,0.002028,1,55
side,0.002027,2,271
open,0.002014,7,864
kindly,0.002004,1,54
fundamental,0.002004,1,49
gain,0.002004,1,80
path,0.001986,3,795
opinion,0.001981,1,115
intentional,0.001981,1,51
dissolve,0.001981,1,53
arriving,0.001958,1,60
dropping,0.001936,1,57
ear,0.001914,1,65
lifetime,0.001914,1,71
money,0.001893,1,75
we've,0.001884,4,419
stepping,0.001873,1,78
base,0.001873,1,68
arising,0.001867,2,284
offer,0.001867,3,380
already,0.001854,2,255
bone,0.001853,1,62
conscious,0.001853,1,65
later,0.001840,2,215
basically,0.001833,1,94
refuge,0.001814,1,170
awakened,0.001814,1,92
clinging,0.001813,2,428
space,0.001767,3,698
sweet,0.001759,1,85
cultivation,0.001759,1,108
behavior,0.001759,1,77
afternoon,0.001741,1,67
bird,0.001741,1,108
brain,0.001741,1,108
believe,0.001734,2,278
soften,0.001734,2,280
everyone,0.001725,3,410
includes,0.001724,1,62
animal,0.001724,1,118
member,0.001707,1,170
bell,0.001707,1,109
translation,0.001707,1,103
position,0.001690,1,70
another,0.001676,5,739
plan,0.001674,1,93
complicated,0.001674,1,78
half,0.001674,1,97
someone,0.001630,3,541
spent,0.001626,1,72
helping,0.001626,1,80
expectation,0.001626,1,106
building,0.001611,1,96
discomfort,0.001611,1,127
ethical,0.001611,1,192
monk,0.001596,1,211
every,0.001591,3,478
pick,0.001567,1,83
show,0.001540,2,371
continuing,0.001539,1,76
appreciating,0.001525,1,128
anybody,0.001525,1,112
hold,0.001500,3,520
lying,0.001498,1,89
background,0.001485,1,112
became,0.001485,1,129
speaking,0.001472,1,130
extra,0.001460,1,179
distracted,0.001447,1,101
settling,0.001439,2,507
land,0.001435,1,126
supported,0.001435,1,105
lovely,0.001410,1,117
invitation,0.001410,1,132
noble,0.001410,1,263
