word,tfidf_score,talk_frequency,global_frequency
sabbe,0.046767,11,11
satta,0.046767,11,11
sukhi,0.042515,10,10
hontu,0.042515,10,10
baby,0.024314,12,45
born,0.018798,17,182
scent,0.017103,6,16
celebrate,0.014417,7,38
indulging,0.012371,4,8
kin,0.010382,3,22
die,0.010046,7,107
birthday,0.009278,3,8
peacefully,0.009014,5,45
brand,0.008885,3,8
fulfilling,0.008885,3,11
awake,0.008698,6,73
statue,0.008552,3,21
asceticism,0.008552,3,11
world-honored,0.008503,2,2
dying,0.008239,4,42
he's,0.008095,8,305
source,0.007677,7,261
wellspring,0.007576,3,17
six-year-old,0.007505,2,4
represents,0.007410,4,41
profound,0.007371,7,195
kids,0.007117,4,59
clean,0.007034,5,101
taught,0.007028,7,162
bathing,0.006921,2,5
deepest,0.006767,4,58
family,0.006706,7,227
live,0.006652,16,640
discovered,0.006607,4,52
song,0.006395,3,33
plowing,0.006186,2,10
liberated,0.006179,3,29
spring,0.006179,3,27
harmless,0.005923,2,11
complete,0.005913,5,114
heavenly,0.005701,2,18
route,0.005509,2,9
clearing,0.005509,2,12
beautiful,0.005456,10,538
chance,0.005363,4,86
celebration,0.005339,2,11
rose,0.005339,2,13
adults,0.005188,2,12
ascetic,0.005188,2,14
india,0.005138,3,77
peace,0.005090,11,619
closest,0.005050,2,13
rebirth,0.005050,2,42
shallow,0.005050,2,23
purity,0.004925,2,21
cycles,0.004810,2,24
livelihood,0.004810,2,42
wasn't,0.004750,7,290
existential,0.004703,2,27
ancient,0.004690,4,138
rules,0.004511,2,25
chant,0.004424,2,24
drinking,0.004424,2,24
table,0.004341,2,29
finger,0.004263,2,22
smell,0.004263,2,38
kitchen,0.004263,2,53
pagoda,0.004252,1,1
intends,0.004252,1,1
prodigy,0.004252,1,1
skirt,0.004252,1,1
achievement,0.004252,1,1
digested,0.004252,1,1
spoons,0.004252,1,1
theo,0.004252,1,1
celeration,0.004252,1,1
anthem,0.004252,1,1
stately,0.004252,1,1
self-flagellation,0.004252,1,1
sheets,0.004252,1,1
self-denial,0.004252,1,1
fanning,0.004252,1,1
surfacy,0.004252,1,1
bathe,0.004252,1,1
harm,0.004212,4,324
intention,0.004179,4,190
speech,0.004099,3,170
awakening,0.004016,4,280
followed,0.003927,2,30
passed,0.003927,2,36
anyone,0.003841,3,109
humanity,0.003757,2,42
guys,0.003757,2,52
decorating,0.003752,1,2
harmlessly,0.003752,1,2
footing,0.003752,1,5
harmlessness,0.003752,1,2
sam,0.003752,1,2
pasanno,0.003752,1,2
betsy,0.003752,1,4
universities,0.003752,1,2
seekers,0.003752,1,2
foothills,0.003752,1,2
perpetuated,0.003752,1,2
graphic,0.003752,1,2
pageantry,0.003752,1,4
headlong,0.003752,1,2
rumors,0.003752,1,2
symbolism,0.003752,1,2
symbolizes,0.003752,1,2
walking,0.003716,4,219
issues,0.003705,2,36
became,0.003673,3,129
died,0.003606,2,53
state,0.003600,5,483
buddha,0.003593,13,1594
white,0.003558,2,59
lake,0.003558,2,114
remarkable,0.003513,2,53
street,0.003513,2,57
conflict,0.003468,2,302
eating,0.003468,2,45
milk,0.003461,1,13
clara,0.003461,1,3
significance,0.003461,1,3
naked,0.003461,1,4
emaciated,0.003461,1,3
streaming,0.003461,1,3
consummate,0.003461,1,5
workable,0.003461,1,4
pivoting,0.003461,1,3
massages,0.003461,1,3
insulting,0.003461,1,4
originates,0.003461,1,3
unconditioned,0.003461,1,3
fourth,0.003459,3,153
means,0.003435,9,572
realized,0.003373,3,125
buddha's,0.003317,3,155
came,0.003293,5,323
view,0.003292,4,365
eat,0.003265,2,68
weapon,0.003253,1,4
ethnicity,0.003253,1,4
commonality,0.003253,1,5
demonstrated,0.003253,1,4
fable,0.003253,1,7
jr,0.003253,1,4
cheek,0.003253,1,12
himalayas,0.003253,1,4
mastered,0.003253,1,5
consciousness,0.003191,2,127
memory,0.003156,2,93
sensual,0.003156,2,104
friendly,0.003121,2,117
steps,0.003121,2,72
mother's,0.003093,1,5
records,0.003093,1,6
perpetuating,0.003093,1,5
depictions,0.003093,1,7
samma,0.003093,1,10
flowering,0.003093,1,5
trees,0.003087,2,84
went,0.003056,4,295
jhana,0.003054,2,275
dependent,0.003022,2,84
sing,0.002962,1,8
plains,0.002962,1,8
conception,0.002962,1,10
sheet,0.002962,1,8
checked,0.002962,1,6
offended,0.002962,1,6
fully,0.002923,4,284
feelings,0.002923,4,294
deep,0.002915,11,1007
hand,0.002901,4,296
man,0.002899,2,125
open-handed,0.002851,1,10
gender,0.002851,1,7
bond,0.002851,1,11
voices,0.002851,1,9
chanting,0.002851,1,11
creature,0.002851,1,9
festival,0.002851,1,8
apple,0.002851,1,10
everyone,0.002844,6,410
distinction,0.002842,2,87
name,0.002830,3,188
special,0.002814,2,81
child,0.002814,2,103
fill,0.002814,2,79
far,0.002787,3,220
race,0.002754,1,12
conceited,0.002754,1,8
answering,0.002754,1,10
malleable,0.002754,1,11
welcomed,0.002754,1,14
started,0.002714,4,283
helping,0.002682,2,80
plane,0.002670,1,17
cleaned,0.002670,1,9
endless,0.002670,1,13
latin,0.002670,1,9
destroyed,0.002670,1,9
check,0.002656,2,104
promoting,0.002594,1,12
heavens,0.002594,1,45
attaining,0.002594,1,14
allowed,0.002584,2,108
walk,0.002563,3,253
ceremony,0.002525,1,23
senior,0.002525,1,16
removed,0.002525,1,15
self-concern,0.002525,1,17
remembered,0.002525,1,14
peaceful,0.002525,5,397
tradition,0.002506,3,262
reference,0.002492,2,127
story,0.002482,4,624
fulfilled,0.002463,1,12
missed,0.002463,1,15
letter,0.002463,1,15
fulfillment,0.002463,1,18
earth,0.002449,2,229
carries,0.002405,1,13
messages,0.002405,1,15
local,0.002405,1,21
creation,0.002405,1,16
forcing,0.002405,1,15
forgotten,0.002405,1,13
shade,0.002405,1,14
attained,0.002405,1,21
failure,0.002405,1,22
living,0.002391,4,345
new,0.002370,5,543
equal,0.002352,1,22
adult,0.002352,1,15
therapist,0.002352,1,22
disappeared,0.002352,1,16
covering,0.002352,1,17
washing,0.002352,1,21
invite,0.002345,2,144
touched,0.002345,2,110
action,0.002345,2,173
