word,tfidf_score,talk_frequency,global_frequency
discursive,0.028148,11,57
meander,0.017198,4,6
lemon,0.015846,3,3
befriending,0.012126,3,6
thinking,0.011539,60,1621
functional,0.011038,3,10
instance,0.010069,4,35
prominent,0.009412,3,17
daily,0.009307,7,152
jump,0.009206,4,39
foreground,0.008964,3,26
monkey,0.008765,3,68
tense,0.008329,5,111
friendliness,0.008307,4,163
coarser,0.008084,2,7
wholesome,0.008078,7,349
rumination,0.007945,3,45
relaxed,0.007707,8,268
encourage,0.007671,4,59
curiosity,0.007509,4,99
unhelpful,0.007433,3,48
focused,0.007410,5,134
rehearsing,0.007359,2,7
affectionate,0.007359,2,8
vegetable,0.007359,2,13
timer,0.007359,2,7
enjoyable,0.007104,3,35
recognition,0.006869,5,212
vipassana,0.006811,3,87
cooking,0.006634,2,11
stir,0.006634,2,13
contracted,0.006546,3,50
generate,0.006445,2,15
began,0.006157,3,76
subconscious,0.006119,2,13
environment,0.006085,3,50
background,0.006085,4,112
easily,0.006085,4,97
directing,0.005843,2,23
judging,0.005692,3,61
reject,0.005604,2,21
worrying,0.005604,2,17
ruminating,0.005496,2,23
mountain,0.005349,3,107
regret,0.005297,2,29
mood,0.005296,3,92
buzzing,0.005282,1,1
compulsively,0.005282,1,1
needless,0.005282,1,1
forehead's,0.005282,1,1
rooted,0.004806,2,60
seemed,0.004806,2,36
focusing,0.004772,3,104
mode,0.004736,2,51
discourage,0.004662,1,2
befriend,0.004662,1,2
grosser,0.004662,1,2
prolonged,0.004662,1,2
occasional,0.004662,1,2
beautiful-looking,0.004662,1,2
narrator,0.004662,1,2
tool,0.004540,2,64
attitude,0.004512,4,265
depends,0.004421,2,43
planning,0.004364,2,51
solve,0.004364,2,59
shift,0.004310,5,298
sentence,0.004309,2,44
occurs,0.004309,2,36
persevere,0.004299,1,5
unskillfully,0.004299,1,10
vary,0.004299,1,4
decision-making,0.004299,1,3
short,0.004297,3,115
several,0.004256,2,53
knee,0.004256,2,72
judge,0.004204,2,51
alert,0.004154,2,48
enjoying,0.004154,2,51
add,0.004088,3,168
tone,0.004057,2,99
undesirable,0.004042,1,4
bee,0.004042,1,4
charged,0.004042,1,5
inferior,0.004042,1,8
extensive,0.004042,1,4
leaping,0.004042,1,5
purposely,0.004042,1,5
systematic,0.004042,1,4
tax,0.004042,1,6
eliminate,0.004042,1,6
calmed,0.004042,1,6
problem,0.004000,4,292
intimate,0.003965,2,53
show,0.003942,5,371
friendly,0.003878,2,117
story,0.003864,7,985
warms,0.003843,1,7
extends,0.003843,1,5
indulging,0.003843,1,8
paraphrase,0.003843,1,5
dominate,0.003843,1,5
solving,0.003843,1,5
repetitive,0.003843,1,14
upsetting,0.003843,1,5
daydreaming,0.003843,1,5
seduced,0.003843,1,6
desk,0.003843,1,5
periodically,0.003843,1,5
negative,0.003754,2,72
smile,0.003754,2,111
recognize,0.003741,5,404
widely,0.003679,1,7
seductive,0.003679,1,7
exploring,0.003639,2,78
fantasy,0.003602,2,87
however,0.003598,3,151
freedman,0.003542,1,11
useless,0.003542,1,13
fragment,0.003542,1,8
simplifies,0.003542,1,9
frequent,0.003542,1,7
countless,0.003542,1,7
subtler,0.003542,1,15
hindrance,0.003496,2,197
ines,0.003422,1,12
kinder,0.003422,1,13
permeates,0.003422,1,10
stirring,0.003422,1,12
afflictive,0.003422,1,10
habitually,0.003317,1,9
solved,0.003317,1,11
prioritize,0.003317,1,20
entertainment,0.003317,1,13
reflective,0.003317,1,23
mindful,0.003282,3,255
allowing,0.003236,5,465
generated,0.003223,1,11
wordless,0.003223,1,14
worry,0.003210,2,107
drifted,0.003137,1,11
analyzing,0.003137,1,12
foster,0.003137,1,15
past,0.003091,3,227
chase,0.003059,1,16
compulsion,0.003059,1,26
thought,0.003042,26,2033
let's,0.003015,4,389
arise,0.002993,4,350
stuck,0.002990,2,120
mile,0.002988,1,15
rough,0.002988,1,16
distracted,0.002964,2,101
tension,0.002926,4,596
creativity,0.002922,1,22
where's,0.002922,1,26
liking,0.002922,1,23
rejecting,0.002922,1,19
type,0.002889,2,176
integrate,0.002860,1,20
trigger,0.002860,1,17
accompanied,0.002860,1,18
branch,0.002802,1,35
dwelling,0.002802,1,17
wrapped,0.002748,1,23
obvious,0.002703,2,145
placing,0.002697,1,32
diffuse,0.002697,1,30
trip,0.002697,1,28
relaxing,0.002605,3,364
took,0.002575,2,151
dinner,0.002559,1,26
emotion,0.002548,3,379
harsh,0.002517,1,31
solution,0.002517,1,29
enters,0.002517,1,29
essential,0.002517,1,33
favor,0.002517,1,25
figure,0.002514,2,177
studying,0.002478,1,31
resolve,0.002478,1,40
smooth,0.002478,1,30
attention,0.002441,9,1243
refer,0.002439,1,28
strong,0.002419,3,340
pushed,0.002403,1,38
worried,0.002403,1,29
helpful,0.002383,3,561
knowing,0.002374,4,621
obviously,0.002368,1,32
importance,0.002334,1,31
written,0.002334,1,40
staying,0.002308,2,190
effective,0.002302,1,40
gosh,0.002302,1,38
rush,0.002302,1,34
smell,0.002302,1,61
global,0.002270,1,71
remain,0.002270,1,35
karma,0.002270,1,75
year,0.002268,5,801
considering,0.002240,1,35
depending,0.002240,1,38
freely,0.002211,1,53
cloud,0.002211,1,78
bias,0.002211,1,47
radically,0.002211,1,37
practical,0.002211,1,41
running,0.002182,1,39
remind,0.002182,1,45
fade,0.002182,1,43
shoulder,0.002172,2,201
wander,0.002155,1,50
floating,0.002128,1,50
reactive,0.002128,1,62
harmful,0.002102,1,74
developed,0.002102,1,51
room,0.002097,3,410
investigate,0.002077,1,71
rich,0.002077,1,48
repeat,0.002077,1,46
dark,0.002077,1,52
sensation,0.002066,4,863
another,0.002060,6,739
oh,0.002051,5,1322
aversion,0.002045,2,480
object,0.002045,2,293
lost,0.002030,2,242
walk,0.002030,2,278
ending,0.002028,1,87
write,0.002028,1,52
relax,0.002014,4,552
sign,0.002005,1,71
train,0.001983,1,64
suddenly,0.001983,1,51
paying,0.001960,1,64
ear,0.001960,1,65
gently,0.001957,3,393
use,0.001947,4,568
mind's,0.001939,1,58
brief,0.001939,1,99
online,0.001918,1,58
set,0.001912,2,233
principle,0.001897,1,122
reaction,0.001877,1,92
anywhere,0.001858,1,62
form,0.001853,3,405
underneath,0.001838,1,86
body,0.001826,21,3168
particular,0.001809,3,431
painful,0.001801,1,98
task,0.001801,1,71
mindfulness,0.001799,4,928
bring,0.001766,4,641
class,0.001765,1,113
guide,0.001748,1,65
location,0.001748,1,85
returning,0.001748,1,60
version,0.001748,1,96
explore,0.001714,1,101
retreat,0.001711,2,386
return,0.001699,2,188
interest,0.001698,1,106
realm,0.001682,1,185
focus,0.001674,2,359
rid,0.001666,1,123
sat,0.001666,1,70
car,0.001666,1,134
pattern,0.001666,1,127
chat,0.001650,1,95
tends,0.001650,1,83
unwholesome,0.001650,1,176
activity,0.001649,2,438
desire,0.001637,2,723
warm,0.001635,1,90
though,0.001625,2,233
sharing,0.001620,1,135
various,0.001620,1,91
specific,0.001620,1,91
pain,0.001613,2,502
pick,0.001605,1,83
throughout,0.001591,1,90
