word,tfidf_score,talk_frequency,global_frequency
demon,0.074372,26,33
hilary,0.022388,6,6
anh,0.022388,6,6
poison,0.019897,10,46
medicine,0.019474,13,84
milarepa,0.018656,5,5
anger,0.016523,20,354
transmute,0.016322,6,10
chod,0.014925,4,4
repress,0.012545,5,13
sadness,0.012130,8,62
cave,0.012125,5,16
borison,0.011194,3,3
five-step,0.011194,3,3
visualize,0.010151,5,22
arrow,0.010108,6,131
anybody,0.009645,9,119
suffer,0.009193,31,1686
afraid,0.008419,7,103
fight,0.007958,6,103
self-compassion,0.007817,3,15
puppet,0.007463,2,2
oftentimes,0.006855,3,14
tibetan,0.006837,4,48
pain,0.006286,11,514
nourish,0.006116,6,126
run,0.005959,7,153
towards,0.005912,14,494
overwhelm,0.005785,4,57
firewood,0.005721,2,12
unkind,0.005721,2,6
frighten,0.005645,3,29
ally,0.005441,2,7
enemy,0.005369,3,53
obey,0.005212,2,8
accept,0.005055,5,141
fear,0.004961,9,503
unease,0.004850,2,19
kid,0.004811,4,104
step,0.004750,9,414
turn,0.004745,16,689
feed,0.004723,3,49
inner,0.004682,9,481
sad,0.004663,3,55
rid,0.004630,5,176
mouth,0.004605,3,51
compassion,0.004572,8,676
hug,0.004450,2,15
enlightenment,0.004389,3,70
chase,0.004389,3,63
communication,0.004240,2,17
transform,0.004196,3,81
contemporary,0.004147,2,28
rage,0.004060,2,23
substitute,0.004060,2,19
blood,0.003831,2,30
creature,0.003763,2,26
2nd,0.003731,1,1
palatial,0.003731,1,1
barrage,0.003731,1,1
lunge,0.003731,1,1
unfazed,0.003731,1,1
bulge,0.003731,1,1
fang,0.003731,1,1
mythologist,0.003731,1,1
nayyirah,0.003731,1,1
waheed,0.003731,1,1
kahlil,0.003731,1,1
gibran,0.003731,1,1
alchemist,0.003731,1,1
11th-century,0.003731,1,1
machig,0.003731,1,1
labdron,0.003731,1,1
tsultrim,0.003731,1,1
allione,0.003731,1,1
fanged,0.003731,1,1
scary-looking,0.003731,1,1
princess,0.003731,1,1
untended,0.003731,1,1
frustration,0.003638,2,35
stuff,0.003564,4,184
cause,0.003503,6,391
comfort,0.003478,3,114
nagarjuna,0.003296,1,2
sujata,0.003296,1,4
