word,tfidf_score,talk_frequency,global_frequency
symphony,0.019491,3,3
insecure,0.017209,3,4
self,0.016188,16,1128
sun,0.013131,5,66
thirsty,0.013083,3,9
moment-to-moment,0.013083,3,11
trudge,0.012994,2,2
discrepancy,0.012994,2,2
wholesome,0.012880,9,349
essential,0.012221,4,34
screech,0.011473,2,4
remember,0.010761,13,388
deny,0.010636,4,44
gladden,0.010582,2,4
purposely,0.009951,2,5
effort,0.009720,7,330
nourish,0.009013,5,119
story,0.008927,13,988
cultivation,0.008900,4,108
outward,0.008638,3,36
hurt,0.008504,5,127
ruin,0.008429,2,22
goodwill,0.008207,6,496
hero,0.008171,2,14
guest,0.007939,2,13
dalai,0.007939,2,17
harmful,0.007783,3,74
judgmental,0.007730,2,15
lama,0.007201,2,23
minute,0.006929,8,343
radiate,0.006813,3,109
despondently,0.006497,1,1
daniel,0.006497,1,1
kahneman,0.006497,1,1
score,0.006497,1,1
unwholesome,0.006120,3,176
unhelpful,0.006111,2,48
hike,0.006111,2,49
reality,0.005954,3,117
cultivate,0.005770,5,448
rhythm,0.005745,3,110
5-10,0.005736,1,2
pulsate,0.005736,1,2
negatively,0.005736,1,2
wise,0.005443,5,432
fabrication,0.005291,1,9
storyteller,0.005291,1,3
slam,0.005291,1,3
home,0.005286,5,253
warm,0.005274,3,120
meander,0.004975,1,8
pore,0.004975,1,4
helpful,0.004912,5,562
sati,0.004842,2,92
honor,0.004789,2,82
conclusion,0.004737,2,53
concert,0.004730,1,5
weaken,0.004730,1,8
reshape,0.004730,1,5
journey,0.004542,2,120
recur,0.004530,1,7
observe,0.004406,2,121
freedman,0.004361,1,11
version,0.004320,2,96
particularly,0.004320,2,86
ines,0.004215,1,12
miserable,0.004215,1,16
evaluation,0.004215,1,13
awesome,0.004215,1,8
happiness,0.004139,5,830
habitually,0.004085,1,9
quality,0.004077,5,620
habit,0.004042,2,114
hind,0.003970,1,19
desert,0.003865,1,16
fill,0.003781,3,223
non-reactive,0.003769,1,14
judge,0.003763,2,113
memory,0.003731,2,148
sixth,0.003600,1,16
tend,0.003565,3,225
decrease,0.003525,1,17
tell,0.003517,5,560
permeate,0.003454,1,24
dignity,0.003387,1,26
wrong,0.003387,3,321
obvious,0.003347,2,145
mess,0.003324,1,25
horrible,0.003324,1,26
continuously,0.003324,1,26
trail,0.003265,1,26
rid,0.003241,2,172
unusual,0.003209,1,27
scientist,0.003209,1,26
status,0.003209,1,33
instance,0.003104,1,35
frequently,0.003104,1,36
chest,0.003067,2,144
aversive,0.003055,1,34
achieve,0.003009,1,36
automatically,0.002964,1,33
boy,0.002964,1,43
base,0.002951,2,212
regularly,0.002921,1,32
consciously,0.002921,1,31
fee,0.002921,1,39
narrative,0.002879,1,46
major,0.002879,1,33
form,0.002859,4,443
bring,0.002848,10,1164
addition,0.002801,1,33
research,0.002801,1,53
success,0.002801,1,57
inclination,0.002801,1,49
drift,0.002764,1,50
music,0.002764,1,62
mindfulness,0.002735,5,952
freely,0.002728,1,53
dream,0.002728,1,55
nurture,0.002728,1,41
state,0.002703,4,818
spend,0.002697,3,292
eightfold,0.002693,1,83
hot,0.002693,1,62
pay,0.002675,2,215
responsibility,0.002659,1,49
several,0.002626,1,53
service,0.002626,1,79
foot,0.002596,2,229
inspire,0.002577,2,232
alert,0.002564,1,48
decision,0.002564,1,51
return,0.002559,3,270
aversion,0.002539,2,482
whenever,0.002504,1,43
forever,0.002504,1,68
environment,0.002476,1,55
simple,0.002448,4,704
patience,0.002448,1,329
mistake,0.002394,1,59
gratitude,0.002368,1,99
curiosity,0.002319,1,99
maintain,0.002319,1,81
loud,0.002319,1,61
i'd,0.002300,3,426
peaceful,0.002300,3,402
treat,0.002294,1,64
finish,0.002271,1,64
painful,0.002225,1,98
inspiration,0.002203,1,125
significant,0.002203,1,70
man,0.002203,1,137
listen,0.002161,2,385
skillful,0.002160,1,130
aspect,0.002145,2,269
ignore,0.002139,1,72
experience,0.002129,18,3049
influence,0.002118,1,86
happy,0.002101,7,840
goal,0.002098,1,125
shape,0.002098,1,76
terrible,0.002079,1,120
great,0.002073,5,911
strange,0.002059,1,70
near,0.002059,1,112
seat,0.002003,1,117
ill,0.002003,1,139
huge,0.002003,1,99
affect,0.002003,1,99
repeat,0.002003,1,81
attention,0.001966,6,1261
compassion,0.001965,2,675
true,0.001951,2,389
everywhere,0.001932,1,99
throughout,0.001915,1,93
may,0.001901,12,2171
notice,0.001888,4,1190
loving-kindness,0.001882,1,185
metta,0.001882,1,453
kindness,0.001880,2,538
angry,0.001865,1,176
earth,0.001849,1,235
free,0.001841,5,730
dharmette,0.001836,3,318
cushion,0.001834,1,115
soon,0.001834,1,139
isn't,0.001825,2,392
clean,0.001818,1,147
sound,0.001812,2,489
define,0.001788,1,125
effect,0.001788,1,162
catch,0.001785,2,427
love,0.001778,6,1737
satisfy,0.001773,1,136
example,0.001771,2,367
tension,0.001771,2,604
careful,0.001758,1,122
realize,0.001745,2,402
period,0.001743,1,112
generosity,0.001743,1,256
lose,0.001719,2,413
phrase,0.001701,1,183
door,0.001701,1,153
shift,0.001694,2,461
warmth,0.001673,1,155
begin,0.001658,8,1414
beyond,0.001633,1,185
explore,0.001633,1,195
directly,0.001620,1,114
amaze,0.001608,1,137
concentration,0.001582,1,223
food,0.001582,1,192
gently,0.001582,2,398
study,0.001558,1,175
suffer,0.001555,3,1632
greed,0.001546,1,240
dukkha,0.001534,1,401
safe,0.001513,3,420
mention,0.001510,1,157
however,0.001476,1,152
run,0.001476,1,152
close,0.001462,5,651
heart,0.001461,6,1666
keep,0.001456,4,806
hour,0.001453,1,193
ready,0.001442,1,177
stress,0.001442,1,260
saw,0.001442,1,188
ask,0.001429,2,667
change,0.001402,3,1414
whole,0.001391,4,1133
enjoy,0.001389,1,194
intention,0.001389,1,260
peace,0.001384,2,632
presence,0.001378,1,213
meditate,0.001330,2,497
imagine,0.001319,2,456
life,0.001318,18,2727
outside,0.001308,1,195
upon,0.001298,1,200
drop,0.001289,1,270
choose,0.001260,1,246
side,0.001260,1,275
comfortable,0.001251,1,211
buddha,0.001218,3,1777
middle,0.001188,1,212
already,0.001171,1,256
situation,0.001171,1,316
difference,0.001171,1,226
settle,0.001167,3,1501
normal,0.001154,1,179
especially,0.001154,1,203
completely,0.001146,1,248
water,0.001137,1,487
breathe,0.001129,3,2454
series,0.001121,1,248
area,0.001121,1,264
allow,0.001108,5,1508
rest,0.001104,2,550
consider,0.001081,1,273
describe,0.001057,1,273
body,0.001052,10,3238
fact,0.001049,1,235
wasn't,0.001049,1,290
believe,0.001034,1,322
develop,0.001027,1,354
activity,0.001019,1,439
idea,0.001003,4,1586
teach,0.000971,3,1396
back,0.000967,7,1479
speak,0.000961,1,422
step,0.000940,1,394
light,0.000940,1,462
assume,0.000940,1,230
clearly,0.000940,1,387
moment,0.000921,7,1823
room,0.000866,1,414
another,0.000855,2,747
learn,0.000855,2,759
instead,0.000847,1,440
quite,0.000846,2,686
relax,0.000846,2,1230
path,0.000840,1,796
strong,0.000834,1,439
full,0.000822,1,325
show,0.000815,1,525
calm,0.000815,1,801
freedom,0.000785,1,600
movement,0.000779,1,450
focus,0.000779,1,597
grow,0.000773,1,485
guide,0.000764,3,876
didn't,0.000761,1,507
still,0.000753,2,785
towards,0.000749,1,480
link,0.000745,2,507
important,0.000745,2,806
question,0.000715,1,835
wonderful,0.000715,1,485
welcome,0.000676,3,692
sometimes,0.000670,6,1848
within,0.000670,1,524
often,0.000655,2,1064
introduction,0.000654,1,275
try,0.000654,3,1260
connect,0.000649,1,658
recognize,0.000649,1,653
sit,0.000646,7,1473
human,0.000643,1,541
someone,0.000643,1,601
appreciate,0.000638,1,568
continue,0.000633,1,417
might,0.000611,8,2112
touch,0.000597,1,493
awareness,0.000567,1,1247
end,0.000566,4,1089
different,0.000553,4,1883
almost,0.000552,1,558
year,0.000547,1,821
mind,0.000547,14,4488
away,0.000539,2,1003
posture,0.000537,1,594
become,0.000526,5,1735
without,0.000524,2,957
course,0.000518,1,672
part,0.000499,4,1601
eye,0.000486,1,617
deep,0.000480,2,1651
move,0.000472,1,632
support,0.000454,1,928
person,0.000450,1,1064
everything,0.000441,1,881
long,0.000429,2,932
arise,0.000423,1,1066
find,0.000408,4,1649
many,0.000407,2,1071
enough,0.000397,1,733
lot,0.000395,3,1504
put,0.000389,1,795
think,0.000386,26,5868
whatever,0.000379,2,1184
hold,0.000368,1,1003
need,0.000365,2,1551
live,0.000364,1,1127
anything,0.000352,1,812
would,0.000351,2,1958
help,0.000344,1,853
actually,0.000324,1,1070
present,0.000300,1,1195
thank,0.000276,2,1167
take,0.000273,7,2211
sense,0.000268,4,2910
people,0.000267,3,3207
use,0.000258,1,1166
good,0.000255,4,2445
open,0.000243,1,1195
let,0.000241,5,2651
practice,0.000234,6,3716
mean,0.000218,1,1429
information,0.000211,1,405
look,0.000200,1,1416
bite,0.000176,1,1484
u,0.000125,6,3291
thing,0.000117,3,4774
make,0.000109,2,2377
time,0.000104,7,2834
little,0.000086,1,2311
much,0.000070,1,1630
even,0.000066,2,1850
feel,0.000065,11,6172
ai-generated,0.000000,1,374
transcript,0.000000,1,377
auto-generated,0.000000,1,374
subtitle,0.000000,1,375
video,0.000000,1,393
meditation,0.000000,8,3415
likely,0.000000,1,466
contain,0.000000,1,405
inaccuracy,0.000000,1,374
follow,0.000000,1,699
talk,0.000000,2,2392
give,0.000000,2,1870
insight,0.000000,1,1665
center,0.000000,3,1099
redwood,0.000000,1,421
city,0.000000,1,479
california,0.000000,1,432
please,0.000000,1,559
visit,0.000000,3,462
website,0.000000,1,441
www,0.000000,1,389
audiodharma,0.000000,1,389
org,0.000000,1,404
