word,tfidf_score,talk_frequency,global_frequency
unpleasant,0.033389,20,233
repetitive,0.027914,7,14
tone,0.024876,12,101
pleasant,0.024038,22,351
plan,0.023815,17,163
speech,0.022710,13,175
pattern,0.018866,11,133
vedana,0.018238,6,153
internal,0.013610,7,89
neither,0.013472,7,78
weakness,0.010665,3,10
helpful,0.010581,13,577
meanness,0.009663,2,4
judgment,0.008609,6,179
menu,0.008387,2,6
wise,0.008216,9,454
judge,0.007990,5,113
instance,0.007871,3,35
regret,0.007517,3,37
lastly,0.007356,2,10
painful,0.007326,4,102
guideline,0.006893,2,17
worry,0.006788,5,155
impatient,0.006699,2,17
true,0.006465,8,415
concentrate,0.006448,4,122
however,0.006287,5,152
easily,0.006231,4,100
decrease,0.005952,2,17
notice,0.005894,15,1214
add,0.005708,5,288
wait,0.005503,5,223
replan,0.005470,1,1
compulsiveness,0.005470,1,1
unfiltered,0.005470,1,1
employee,0.005470,1,1
deserve,0.005165,2,33
self-worth,0.004832,1,2
truth-telling,0.004832,1,2
groggy,0.004832,1,2
twain,0.004832,1,2
rehash,0.004832,1,2
unkindness,0.004832,1,2
sensation,0.004797,9,884
discern,0.004738,2,39
stressful,0.004615,2,50
harshness,0.004458,1,3
usually,0.004404,5,240
push,0.004310,5,318
hurt,0.004304,3,138
briefly,0.004290,2,52
alert,0.004240,2,50
meander,0.004193,1,8
anticipation,0.004193,1,4
extensive,0.004193,1,4
10th,0.004193,1,5
contention,0.004193,1,5
daily,0.004137,3,154
tend,0.004066,4,225
unaware,0.003988,1,7
brutal,0.003988,1,6
internalize,0.003988,1,6
unwanted,0.003988,1,5
rethink,0.003988,1,6
ephemeral,0.003988,1,5
kindness,0.003925,5,545
conversely,0.003820,1,6
correctly,0.003820,1,6
reappear,0.003820,1,8
harmless,0.003820,1,11
recur,0.003820,1,7
bos,0.003820,1,6
timely,0.003820,1,11
wrong,0.003704,4,333
freedman,0.003678,1,11
frequent,0.003678,1,7
fatigue,0.003678,1,21
eddy,0.003678,1,22
anxiety,0.003560,2,93
ines,0.003555,1,12
erode,0.003555,1,9
lo,0.003555,1,8
enjoy,0.003553,3,194
tell,0.003491,6,577
gossip,0.003447,1,14
recipient,0.003447,1,12
darken,0.003447,1,10
aside,0.003399,2,112
boredom,0.003350,1,20
grasp,0.003339,2,139
voice,0.003280,2,113
rhythm,0.003224,2,111
isolate,0.003182,1,15
non-reactive,0.003182,1,14
sticky,0.003182,1,14
truth,0.003049,3,523
entertain,0.003040,1,19
behold,0.003040,1,14
rejection,0.003040,1,16
attend,0.002988,2,131
catch,0.002984,4,435
popular,0.002976,1,16
evaluate,0.002976,1,18
discourage,0.002917,1,20
manipulate,0.002861,1,19
apply,0.002847,2,166
compel,0.002808,1,23
lunch,0.002808,1,36
complain,0.002808,1,42
empathy,0.002808,1,89
communicate,0.002808,1,27
worthwhile,0.002808,1,20
obvious,0.002802,2,150
fall,0.002719,3,284
correct,0.002711,1,40
refine,0.002711,1,32
honesty,0.002711,1,26
separation,0.002666,1,39
mark,0.002666,1,32
late,0.002661,3,275
refrain,0.002624,1,63
seemingly,0.002624,1,24
discernment,0.002624,1,70
neutral,0.002583,1,52
aversive,0.002583,1,34
worthy,0.002583,1,32
mention,0.002573,2,157
dukkha,0.002573,2,410
incredibly,0.002543,1,33
distract,0.002515,2,156
though,0.002513,3,241
compassion,0.002513,3,676
bore,0.002506,1,38
verbal,0.002506,1,39
relax,0.002496,7,1244
unskillful,0.002470,1,63
harm,0.002459,2,462
vacation,0.002401,1,53
stress,0.002386,2,265
common,0.002386,2,166
underlie,0.002338,1,66
phone,0.002338,1,62
morning,0.002309,4,397
immediate,0.002308,1,47
drift,0.002308,1,51
feed,0.002308,1,49
responsible,0.002308,1,39
dwell,0.002308,1,43
tension,0.002255,3,606
freely,0.002250,1,56
pay,0.002250,2,219
attention,0.002223,8,1271
minute,0.002190,3,347
past,0.002185,2,227
reactive,0.002170,1,64
return,0.002126,3,277
label,0.002120,1,84
whenever,0.002120,1,43
fundamental,0.002096,1,52
partner,0.002096,1,62
relationship,0.002095,3,498
fill,0.002092,2,233
tire,0.002073,1,82
honest,0.002073,1,70
away,0.002070,9,1019
quality,0.002064,3,624
excite,0.002050,1,60
fuel,0.002050,1,90
simple,0.002047,4,721
environment,0.002028,1,61
gratitude,0.002006,1,99
brief,0.001985,1,102
often,0.001945,7,1089
student,0.001944,1,164
worth,0.001944,1,76
reaction,0.001925,1,95
negative,0.001925,1,79
still,0.001888,6,802
underneath,0.001886,1,88
afternoon,0.001868,1,67
either,0.001865,2,229
ago,0.001865,2,268
ahead,0.001849,1,76
mood,0.001849,1,92
significant,0.001849,1,73
slightly,0.001849,1,65
observe,0.001831,1,123
constantly,0.001831,1,94
event,0.001831,1,83
fun,0.001814,1,104
particularly,0.001814,1,87
consideration,0.001814,1,65
bell,0.001814,1,110
ignore,0.001797,1,74
ask,0.001787,3,676
sens,0.001780,1,146
spacious,0.001780,1,110
cling,0.001774,2,545
question,0.001773,3,842
resistance,0.001763,1,123
emotion,0.001762,2,388
element,0.001731,1,183
cause,0.001712,2,391
agitate,0.001700,1,107
detail,0.001700,1,106
habit,0.001700,1,115
contract,0.001684,1,98
affect,0.001684,1,101
project,0.001669,1,106
strength,0.001669,1,99
seat,0.001655,1,120
tense,0.001655,1,127
everywhere,0.001640,1,99
sangha,0.001598,1,237
quickly,0.001584,1,91
earth,0.001571,1,235
throughout,0.001571,1,99
memory,0.001571,1,149
circle,0.001558,1,152
impact,0.001558,1,132
cushion,0.001545,1,116
change,0.001542,4,1441
dharmette,0.001535,3,323
chair,0.001532,1,105
strain,0.001532,1,134
effect,0.001507,1,163
express,0.001507,1,145
accept,0.001482,1,141
content,0.001482,1,171
period,0.001470,1,113
uncomfortable,0.001458,1,207
wake,0.001446,1,124
hatred,0.001446,1,198
arise,0.001440,4,1074
lose,0.001439,2,421
warmth,0.001423,1,155
pick,0.001423,1,123
friend,0.001417,2,559
shift,0.001417,2,465
remember,0.001417,2,390
theme,0.001401,1,126
delusion,0.001390,1,219
rest,0.001387,3,558
fine,0.001368,1,150
spread,0.001368,1,238
rid,0.001358,1,176
comment,0.001347,1,193
large,0.001347,1,142
check,0.001337,1,167
child,0.001337,1,212
gently,0.001326,2,406
right,0.001299,10,2124
arrive,0.001296,1,158
reflection,0.001286,1,212
greed,0.001286,1,247
didn't,0.001286,2,513
put,0.001286,4,810
settle,0.001272,4,1516
occur,0.001257,1,142
old,0.001248,1,200
control,0.001248,1,279
emphasize,0.001239,1,166
practitioner,0.001220,1,200
respect,0.001220,1,232
particular,0.001219,2,446
eye,0.001201,3,634
form,0.001201,2,448
