word,tfidf_score,talk_frequency,global_frequency
contemplative,0.032727,9,40
reflective,0.029504,7,23
impatience,0.023925,6,70
observer,0.021836,4,6
decision,0.018514,7,51
intention,0.017190,12,260
reflection,0.017137,11,212
boredom,0.016382,4,20
prayer,0.013474,4,52
3-day,0.013406,2,2
instance,0.012810,4,35
bore,0.012231,4,38
renunciate,0.011836,2,3
open-ended,0.009761,2,6
conceptual,0.009173,3,36
i'd,0.008702,11,426
unconditional,0.008430,2,13
taste,0.008190,4,148
reflect,0.007670,5,199
message,0.007331,3,65
response,0.007315,4,194
method,0.007273,2,18
possession,0.006860,2,29
wait,0.006848,5,214
emojis,0.006703,1,1
complementary,0.006703,1,1
escort,0.006703,1,1
one-sentence,0.006703,1,1
long-winded,0.006703,1,1
toothbrush,0.006703,1,1
comb,0.006703,1,1
leaflet,0.006703,1,1
answer,0.006648,5,245
finally,0.006634,4,149
spirituality,0.006621,2,41
verbal,0.006116,2,39
gridlock,0.005918,1,2
sleepiness,0.005918,1,2
doll,0.005918,1,7
question,0.005898,8,835
freely,0.005628,2,53
surge,0.005459,1,4
gravitate,0.005459,1,3
pilgrim,0.005459,1,3
pilgrimage,0.005459,1,9
ask,0.005161,7,667
shelf,0.005133,1,4
purposely,0.005133,1,5
juicy,0.005133,1,4
handout,0.005133,1,6
ocean,0.005108,2,84
gratitude,0.004887,2,99
canada,0.004880,1,8
pro,0.004674,1,6
inspiration,0.004546,2,125
freedman,0.004499,1,11
superficial,0.004499,1,7
visitor,0.004499,1,10
lastly,0.004499,1,10
ines,0.004348,1,12
enliven,0.004348,1,10
con,0.004348,1,8
fast,0.004289,2,96
impatient,0.004215,1,16
aside,0.004209,2,109
fruitful,0.004095,1,12
wordless,0.004095,1,14
she'd,0.004095,1,18
specific,0.004095,2,92
deepen,0.004095,2,88
impactful,0.003988,1,11
steep,0.003988,1,20
pen,0.003988,1,22
aversion,0.003930,3,482
attune,0.003917,2,116
salt,0.003889,1,22
thich,0.003889,1,13
nhat,0.003889,1,13
hanh,0.003889,1,13
stimulate,0.003889,1,16
communication,0.003798,1,17
clarify,0.003798,1,20
nest,0.003798,1,58
cushion,0.003783,2,115
mundane,0.003714,1,17
rational,0.003714,1,20
respond,0.003658,2,154
multiple,0.003636,1,24
warm,0.003627,2,120
walk,0.003601,4,537
somewhere,0.003597,2,104
peace,0.003571,5,632
edge,0.003568,2,173
prioritize,0.003563,1,30
insist,0.003563,1,28
yoga,0.003563,1,28
forefront,0.003495,1,18
logic,0.003495,1,23
area,0.003469,3,264
deep,0.003464,14,1651
dish,0.003430,1,25
lunch,0.003430,1,36
shower,0.003430,1,31
dawn,0.003430,1,30
every,0.003430,5,489
silence,0.003425,2,195
keep,0.003380,9,806
daily,0.003371,2,153
dislike,0.003310,1,29
retreat,0.003272,3,389
discursive,0.003255,1,57
scan,0.003255,1,36
email,0.003203,1,31
develop,0.003178,3,354
resonate,0.003152,1,29
though,0.003131,3,233
incline,0.003104,1,32
equanimity,0.003068,2,459
contemplation,0.003058,1,43
recede,0.003058,1,31
formal,0.003058,1,35
arise,0.003056,7,1066
base,0.003045,2,212
