word,tfidf_score,talk_frequency,global_frequency
frenzy,0.035339,5,7
rampage,0.031968,4,4
non-referentiality,0.023976,3,3
masquerade,0.021590,4,11
ping,0.021590,4,12
corridor,0.021203,3,4
labyrinth,0.021203,3,4
debase,0.015984,2,2
desire,0.015392,13,785
mana,0.014136,2,3
abyss,0.014136,2,3
helplessness,0.014036,3,20
cure,0.014036,3,22
attention,0.012381,32,1400
currency,0.012287,2,5
prayer,0.011993,3,60
technological,0.011692,2,6
resemble,0.011692,2,6
risk,0.011612,3,27
patient,0.010943,3,116
tower,0.010647,3,47
reference,0.010501,5,161
locate,0.010439,2,9
mere,0.010439,2,12
owe,0.010439,2,10
sufficient,0.009844,2,12
effectively,0.009590,2,12
boredom,0.009590,2,21
arrange,0.008946,2,15
crave,0.008871,4,285
attract,0.008276,2,29
soul,0.008132,2,42
nba,0.007992,1,1
well-regulated,0.007992,1,1
grunt,0.007992,1,1
pirouette,0.007992,1,1
referentiality,0.007992,1,1
regime,0.007992,1,1
monoculture,0.007992,1,1
over-cultivation,0.007992,1,1
spasm,0.007992,1,1
confection,0.007992,1,1
corn,0.007992,1,1
self-expression,0.007992,1,1
solicitation,0.007992,1,1
evacuate,0.007992,1,1
bauble-bedecked,0.007992,1,1
ill-advised,0.007992,1,1
dwarf,0.007992,1,1
ryokan,0.007992,1,1
interchangeably,0.007992,1,1
impulsivity,0.007992,1,1
weil,0.007992,1,1
self-evidently,0.007992,1,1
vulnerable,0.007865,2,31
hate,0.007734,3,106
fragment,0.007296,2,41
fault,0.007296,2,51
rocket,0.007068,1,3
matt,0.007068,1,2
hamstring,0.007068,1,2
rumi,0.007068,1,2
cult,0.007068,1,2
worsen,0.007068,1,2
syrup,0.007068,1,2
unfreedom,0.007068,1,2
mansion,0.007068,1,4
impervious,0.007068,1,4
acquisition,0.007068,1,5
wrongly,0.007068,1,3
irritability,0.007068,1,2
presuppose,0.007068,1,2
unmixed,0.007068,1,2
withstand,0.007068,1,2
abrasiveness,0.007068,1,2
satisfaction,0.006742,2,40
nephew,0.006527,1,3
steph,0.006527,1,3
manifesto,0.006527,1,3
primitive,0.006527,1,3
circular,0.006527,1,4
bearer,0.006527,1,3
forge,0.006527,1,5
shihab,0.006527,1,3
nye,0.006527,1,3
drawer,0.006527,1,5
simone,0.006527,1,3
fair,0.006214,2,49
curry,0.006144,1,7
pinpoint,0.006144,1,4
tolerant,0.006144,1,4
draft,0.006144,1,6
impoverish,0.006144,1,4
grammar,0.006144,1,4
scroll,0.006144,1,8
buffet,0.006144,1,4
acclimatize,0.006144,1,5
spite,0.006144,1,5
gravity,0.005954,2,54
extract,0.005846,1,7
infinitely,0.005846,1,5
dye,0.005846,1,5
lament,0.005846,1,6
21st,0.005846,1,9
transform,0.005833,2,87
power,0.005760,3,227
matthew,0.005661,2,97
basketball,0.005603,1,12
warrior,0.005603,1,7
compromise,0.005603,1,9
edit,0.005603,1,6
bake,0.005603,1,7
naomi,0.005603,1,6
fidelity,0.005603,1,8
freedom,0.005486,6,691
confront,0.005397,1,9
compulsivity,0.005397,1,9
consolation,0.005397,1,8
faith,0.005298,2,188
love,0.005293,14,1809
gracefully,0.005219,1,8
miserable,0.005219,1,16
bad,0.005104,4,467
dread,0.005062,1,18
stem,0.005062,1,14
attractive,0.005062,1,11
glance,0.005062,1,12
outline,0.004922,1,10
correlate,0.004922,1,11
publish,0.004922,1,13
technology,0.004922,1,15
economy,0.004922,1,11
phenomenon,0.004852,2,107
exaggerate,0.004795,1,16
heartbreak,0.004795,1,27
recent,0.004679,1,13
pace,0.004572,1,17
so-called,0.004572,1,13
cell,0.004473,1,18
secret,0.004473,1,18
nearly,0.004473,1,18
robe,0.004473,1,33
basic,0.004400,2,133
passion,0.004295,1,37
remind,0.004265,2,117
slowly,0.004233,2,111
relation,0.004214,1,32
ourself,0.004214,1,22
paint,0.004214,1,28
attentional,0.004214,1,49
generation,0.004138,1,28
possession,0.004138,1,29
scale,0.004138,1,33
linger,0.004138,1,23
tight,0.004137,2,146
hatred,0.004137,2,214
theme,0.004106,2,129
thrill,0.004066,1,28
momentary,0.004066,1,25
nowhere,0.003998,1,28
impossible,0.003998,1,28
refine,0.003998,1,32
