word,tfidf_score,talk_frequency,global_frequency
taste,0.033040,14,152
pond,0.024152,6,33
aspiration,0.023540,7,75
nowhere,0.019444,5,28
strive,0.018758,6,89
climb,0.018657,4,25
forward-leading,0.017929,3,6
nobody,0.016814,5,59
freedom,0.015119,17,691
sky,0.010906,4,90
mountain,0.010402,4,137
spaciousness,0.009685,4,220
sun,0.009379,3,68
fish,0.009328,2,29
boulder,0.009103,2,54
path,0.008597,9,1006
air,0.008363,4,172
breathe,0.008329,19,2612
stir,0.008199,2,31
ache,0.007911,2,26
panorama,0.007774,1,1
gravelly,0.007774,1,1
checkbox,0.007774,1,1
weekend,0.007651,2,25
spacious,0.007457,3,114
bore,0.007097,2,40
cartoon,0.006875,1,2
promise,0.006814,2,46
vast,0.006792,3,128
regularly,0.006726,2,37
busy,0.006523,3,102
thunder,0.006349,1,3
painfulness,0.006349,1,3
khema,0.006349,1,5
sentiment,0.006349,1,3
gladden,0.006349,1,4
tire,0.005979,2,82
exquisitely,0.005976,1,4
sediment,0.005976,1,4
ayya,0.005976,1,14
cling,0.005958,5,643
ocean,0.005853,2,88
awareness,0.005799,9,1389
undisturbed,0.005687,1,7
muddy,0.005687,1,5
tick,0.005687,1,10
unwelcome,0.005687,1,5
complacent,0.005687,1,6
lightning,0.005450,1,7
school,0.005349,2,104
resist,0.005299,2,94
arrival,0.005250,1,7
downhill,0.005250,1,9
grim,0.005250,1,8
constantly,0.005249,2,96
space,0.005221,6,755
clock,0.005077,1,12
till,0.004924,1,11
yet,0.004826,3,248
field,0.004793,3,281
brace,0.004788,1,12
mud,0.004788,1,16
eight-fold,0.004788,1,19
pas,0.004760,2,95
detail,0.004760,2,110
steep,0.004664,1,20
object,0.004630,3,321
outside,0.004598,3,211
salt,0.004551,1,22
foot,0.004536,3,252
inspire,0.004474,3,260
aspire,0.004447,1,17
stillness,0.004419,2,182
failure,0.004351,1,26
bloom,0.004351,1,16
determination,0.004351,1,20
echo,0.004262,1,19
rough,0.004262,1,18
suzuki,0.004178,1,27
defilement,0.004178,1,29
peripheral,0.004100,1,41
charge,0.004025,1,24
moon,0.004025,1,29
awkward,0.004025,1,26
discourage,0.004025,1,22
restless,0.003955,1,30
bother,0.003955,1,33
roshi,0.003889,1,31
education,0.003889,1,81
trail,0.003889,1,27
delusion,0.003876,2,226
top,0.003791,2,183
contemplate,0.003765,1,34
graduate,0.003765,1,59
quote,0.003763,2,156
separation,0.003707,1,41
seemingly,0.003707,1,25
dance,0.003707,1,45
swim,0.003599,1,42
essential,0.003599,1,38
flow,0.003551,3,578
non-clinging,0.003548,1,68
aware,0.003506,4,671
image,0.003501,2,211
brightness,0.003452,1,64
relax,0.003392,7,1325
accomplish,0.003363,1,59
star,0.003320,1,51
son,0.003279,1,95
drift,0.003279,1,52
feed,0.003279,1,50
master,0.003279,1,55
lightness,0.003201,1,80
cloud,0.003126,1,84
lift,0.003126,1,58
wait,0.003108,2,233
speaker,0.003091,1,75
wall,0.003056,1,67
ring,0.003056,1,68
wide,0.003024,2,297
mindful,0.003024,2,286
alert,0.002958,1,53
bottom,0.002958,1,59
watch,0.002942,2,264
rain,0.002926,1,100
choose,0.002902,2,282
inside,0.002886,3,459
mistake,0.002866,1,62
title,0.002837,1,56
change,0.002810,5,1471
classic,0.002808,1,62
reaction,0.002781,1,95
fight,0.002781,1,105
difference,0.002730,2,245
anywhere,0.002727,1,67
count,0.002727,1,312
unknown,0.002700,1,51
lean,0.002649,1,92
arise,0.002638,5,1093
silent,0.002625,1,120
bird,0.002600,1,115
mood,0.002600,1,96
class,0.002600,1,133
afternoon,0.002577,1,72
establish,0.002553,1,77
bell,0.002530,1,116
push,0.002516,2,321
lack,0.002508,1,99
emotion,0.002499,2,397
fully,0.002499,2,323
real,0.002499,2,245
disappear,0.002486,1,125
zen,0.002486,1,143
contraction,0.002464,1,93
develop,0.002432,2,380
allow,0.002417,9,1581
unpleasant,0.002401,1,235
liberation,0.002380,1,121
grasp,0.002380,1,142
float,0.002360,1,116
tense,0.002340,1,132
huge,0.002321,1,110
surprise,0.002321,1,93
voice,0.002321,1,116
earth,0.002264,1,244
beauty,0.002264,1,167
memory,0.002246,1,152
reach,0.002227,1,106
nature,0.002211,2,413
leg,0.002192,1,112
throughout,0.002192,1,112
spend,0.002181,2,309
pass,0.002174,1,155
tightness,0.002174,1,119
angry,0.002157,1,186
cushion,0.002140,1,167
refer,0.002140,1,111
chair,0.002124,1,112
attend,0.002124,1,135
somewhere,0.002124,1,106
step,0.002107,2,467
arm,0.002091,1,128
authoritative,0.002059,1,85
careful,0.002059,1,134
moment,0.002054,13,1919
tree,0.002027,1,215
couldn't,0.002027,1,116
warmth,0.002027,1,164
stop,0.002021,2,480
walk,0.002021,2,579
hatred,0.002012,1,214
tight,0.002012,1,146
sutta,0.001997,1,329
beautiful,0.001993,2,592
aren't,0.001982,1,143
heart,0.001964,7,1755
appear,0.001938,1,138
opposite,0.001938,1,134
balance,0.001909,1,239
mindfulness,0.001901,3,1055
show,0.001897,2,572
limit,0.001895,1,207
alone,0.001882,1,154
comment,0.001882,1,200
gently,0.001870,2,426
dukkha,0.001854,1,415
contact,0.001841,1,237
movement,0.001818,2,475
yesterday,0.001814,1,167
reflect,0.001814,1,206
i'd,0.001805,2,454
however,0.001776,1,159
run,0.001776,1,159
occur,0.001763,1,150
distract,0.001763,1,166
greed,0.001763,1,263
soften,0.001715,2,572
record,0.001714,1,121
saw,0.001701,1,198
book,0.001701,1,272
enjoy,0.001701,1,198
free,0.001699,4,790
drive,0.001678,1,203
wholesome,0.001654,1,435
purpose,0.001598,1,311
nothing,0.001581,2,514
pleasant,0.001576,1,354
shoulder,0.001576,1,220
connect,0.001569,2,707
pay,0.001565,1,235
presence,0.001565,1,245
leave,0.001557,2,511
sensation,0.001522,2,907
meditate,0.001511,2,538
everything,0.001496,3,957
soft,0.001471,1,254
behind,0.001471,1,202
idea,0.001443,5,1693
challenge,0.001441,1,317
big,0.001431,2,692
clear,0.001408,2,594
belly,0.001384,1,280
middle,0.001374,1,250
settle,0.001370,3,1552
buddha,0.001356,3,1958
series,0.001337,1,269
normal,0.001337,1,193
face,0.001337,1,256
away,0.001335,4,1076
either,0.001328,1,238
wrong,0.001310,1,346
bring,0.001302,4,1269
last,0.001299,2,553
fall,0.001293,1,292
aspect,0.001275,1,283
back,0.001261,7,1553
forward,0.001258,1,238
body,0.001220,10,3405
guide,0.001203,4,955
whole,0.001194,3,1332
begin,0.001186,5,1493
buddhism,0.001176,1,578
attention,0.001129,3,1400
light,0.001121,1,502
experience,0.001119,8,3247
sound,0.001105,1,508
read,0.001105,1,444
need,0.001089,5,1638
tension,0.001046,1,633
whether,0.001032,1,331
room,0.001017,1,461
sometimes,0.001004,8,1977
friend,0.000989,1,586
remember,0.000989,1,426
week,0.000988,2,744
return,0.000969,1,299
condition,0.000962,1,702
calm,0.000948,1,853
full,0.000948,1,358
somehow,0.000942,1,340
keep,0.000850,2,854
open,0.000830,3,1295
every,0.000808,1,517
peace,0.000808,1,664
morning,0.000796,1,426
understand,0.000796,2,1281
within,0.000785,1,561
care,0.000779,2,1725
introduction,0.000767,1,295
continue,0.000755,1,439
appreciate,0.000755,1,602
create,0.000749,1,566
someone,0.000749,1,675
recognize,0.000744,1,700
dharma,0.000738,1,870
teach,0.000735,2,1555
seem,0.000721,1,526
dharmette,0.000704,1,343
present,0.000668,2,1330
rest,0.000666,1,573
year,0.000655,1,868
posture,0.000618,1,664
day,0.000618,2,1063
find,0.000610,5,1762
move,0.000587,1,671
suffer,0.000582,1,1751
stay,0.000577,1,872
mind,0.000556,13,4777
eye,0.000552,1,665
deep,0.000529,2,1807
support,0.000523,1,1043
another,0.000503,1,796
great,0.000485,1,964
quite,0.000485,1,733
different,0.000474,3,1997
become,0.000474,4,1881
around,0.000459,2,1211
enough,0.000457,1,779
bite,0.000443,2,1589
would,0.000428,2,2056
good,0.000419,6,2632
life,0.000417,5,3018
live,0.000407,1,1316
anything,0.000398,1,883
often,0.000389,1,1135
work,0.000376,1,1422
love,0.000368,1,1809
together,0.000363,1,1094
might,0.000362,4,2246
happy,0.000355,1,900
right,0.000345,2,2321
close,0.000342,1,706
little,0.000334,3,2467
thank,0.000316,2,1259
without,0.000305,1,1027
welcome,0.000257,1,751
long,0.000249,1,987
practice,0.000230,5,3987
take,0.000230,5,2368
whatever,0.000214,1,1271
word,0.000206,1,1481
think,0.000195,12,6192
may,0.000191,1,2295
sense,0.000167,2,3086
much,0.000160,2,1749
let,0.000158,3,2887
lot,0.000158,1,1640
end,0.000158,1,1170
