word,tfidf_score,talk_frequency,global_frequency
simplicity,0.033796,21,256
contentment,0.020396,11,289
interest,0.016533,9,119
inspirations,0.015381,4,23
med,0.011870,2,2
sādhu,0.011870,2,2
glasses,0.010863,3,27
anecdotes,0.010477,2,3
vesak,0.010477,2,5
supports,0.010454,8,171
status,0.008626,3,34
colored,0.007959,2,9
acquired,0.007959,2,10
complication,0.007959,2,10
wanting,0.007634,8,393
notice,0.007356,13,731
habits,0.007356,3,54
appreciating,0.007021,4,128
centuries,0.006875,2,17
subjective,0.006875,2,74
ascetic,0.006714,2,18
internal,0.006197,3,93
reaching,0.006175,2,21
wearing,0.006060,2,28
collects,0.005935,1,1
mindsets,0.005935,1,1
opulence,0.005935,1,1
groomed,0.005935,1,1
childbirth,0.005935,1,1
deadheaded,0.005935,1,1
charioteer,0.005935,1,1
fomo,0.005935,1,1
insecurities,0.005935,1,1
verdicts,0.005935,1,1
underrated,0.005935,1,1
mongoose,0.005935,1,1
likening,0.005935,1,1
protected,0.005849,2,27
wealth,0.005849,2,42
noticing,0.005745,5,329
wings,0.005657,2,37
raised,0.005321,2,36
flurry,0.005238,1,2
stepmother,0.005238,1,8
blip,0.005238,1,2
castle,0.005238,1,2
conceived,0.005238,1,4
commands,0.005238,1,2
commemorating,0.005238,1,2
duca,0.005238,1,2
ease,0.005091,7,526
father,0.005033,2,55
presence,0.004993,4,208
death,0.004953,3,193
tuning,0.004904,2,48
midst,0.004842,2,46
sediment,0.004831,1,3
rainy,0.004831,1,5
sneak,0.004831,1,3
messengers,0.004831,1,4
trips,0.004831,1,5
marketplace,0.004831,1,3
dis,0.004831,1,4
cuts,0.004831,1,3
young,0.004828,3,139
relating,0.004724,2,47
wandering,0.004724,2,51
turning,0.004708,3,136
birth,0.004667,2,63
simpler,0.004667,2,68
king,0.004612,2,489
version,0.004558,2,55
awareness,0.004547,9,1270
seer,0.004542,1,4
definite,0.004542,1,4
blooms,0.004542,1,5
appeal,0.004542,1,4
discontented,0.004542,1,4
shiny,0.004542,1,4
relentless,0.004542,1,4
mendicant,0.004542,1,4
mood,0.004506,2,76
discover,0.004482,3,191
absence,0.004406,2,97
release,0.004375,3,168
inwards,0.004318,1,7
commonality,0.004318,1,6
consequential,0.004318,1,5
cravings,0.004318,1,8
adolescent,0.004318,1,6
fleeting,0.004318,1,10
continuum,0.004318,1,7
gateways,0.004318,1,6
challenge,0.004310,2,78
releasing,0.004264,2,78
worth,0.004264,2,77
sensual,0.004218,2,111
major,0.004174,2,57
story,0.004140,5,664
persists,0.004134,1,8
hero,0.004134,1,11
filters,0.004134,1,8
moments,0.004111,4,240
growth,0.004089,2,69
concern,0.004089,2,84
leading,0.004043,3,215
sound,0.004012,3,245
hearts,0.003981,3,185
tech,0.003979,1,16
millennia,0.003979,1,8
capital,0.003979,1,9
luxury,0.003979,1,8
sickness,0.003979,1,8
humbling,0.003979,1,7
savor,0.003979,1,11
lifestyle,0.003979,1,8
senses,0.003890,2,140
succeed,0.003845,1,8
shook,0.003845,1,8
chaos,0.003845,1,11
pursuit,0.003845,1,15
disturbed,0.003845,1,11
homework,0.003845,1,8
preoccupation,0.003815,2,122
complicated,0.003815,2,79
health,0.003779,2,96
minds,0.003773,3,206
savoring,0.003727,1,9
celebration,0.003727,1,11
mindset,0.003727,1,10
graceful,0.003727,1,11
assignment,0.003727,1,9
evoked,0.003727,1,13
festival,0.003727,1,10
mindful,0.003660,3,257
gathers,0.003621,1,10
myths,0.003621,1,14
holiday,0.003621,1,20
prince,0.003621,1,62
penetrate,0.003621,1,11
resonates,0.003621,1,11
forgot,0.003621,1,19
praised,0.003621,1,15
sangha,0.003607,2,242
simply,0.003597,4,299
simple,0.003571,6,581
practitioner,0.003542,2,106
removed,0.003525,1,15
sage,0.003525,1,18
generations,0.003525,1,13
projecting,0.003525,1,13
rose,0.003525,1,17
content,0.003479,2,140
strengthening,0.003438,1,13
kingdom,0.003438,1,27
preference,0.003438,1,15
garden,0.003438,1,15
monkey,0.003438,1,51
simplifying,0.003438,1,18
watching,0.003389,2,109
embrace,0.003357,1,20
ignored,0.003357,1,13
encountering,0.003357,1,13
proliferation,0.003357,1,33
invites,0.003357,1,14
stories,0.003321,3,366
texture,0.003283,1,14
indirectly,0.003283,1,15
cruz,0.003283,1,17
determined,0.003283,1,15
grabbing,0.003283,1,23
holy,0.003283,1,26
liberation,0.003274,2,133
became,0.003274,2,139
buddha,0.003273,10,2034
emerge,0.003213,1,36
adult,0.003213,1,16
core,0.003192,2,147
practitioners,0.003165,2,126
forefront,0.003149,1,17
continuation,0.003149,1,16
stance,0.003149,1,20
qualities,0.003129,3,353
conducive,0.003088,1,23
relate,0.003087,2,132
obvious,0.003037,2,147
affected,0.003030,1,24
interested,0.002988,2,118
attuning,0.002976,1,30
younger,0.002976,1,23
harmonious,0.002976,1,23
enlightenment,0.002964,2,150
happiness,0.002932,4,846
acknowledging,0.002924,1,23
sunday,0.002924,1,23
comparing,0.002924,1,28
clearer,0.002924,1,25
extent,0.002924,1,21
assembly,0.002924,1,22
drop,0.002893,2,164
slower,0.002875,1,22
inspire,0.002875,1,27
gesture,0.002828,1,36
santa,0.002828,1,31
grab,0.002828,1,31
frame,0.002828,1,27
liberated,0.002828,1,30
monastics,0.002828,1,42
determination,0.002784,1,27
sincerity,0.002784,1,43
meanings,0.002784,1,29
overall,0.002784,1,26
unhelpful,0.002784,1,48
appreciate,0.002776,4,409
bunch,0.002741,1,27
soothing,0.002741,1,30
origin,0.002741,1,32
older,0.002741,1,33
freed,0.002741,1,40
rising,0.002741,1,28
offering,0.002738,2,163
taught,0.002738,2,171
evoke,0.002700,1,37
flowers,0.002700,1,43
fade,0.002700,1,33
contemporary,0.002700,1,39
sensory,0.002700,1,48
moment,0.002662,16,1633
motivated,0.002661,1,35
settle,0.002625,4,505
towards,0.002625,4,478
deeper,0.002604,4,576
outward,0.002586,1,37
riding,0.002586,1,48
mistake,0.002586,1,35
onward,0.002586,1,112
satisfaction,0.002586,1,36
happened,0.002574,2,196
community,0.002554,2,389
lets,0.002551,1,34
relationship,0.002522,3,387
weather,0.002517,1,55
died,0.002517,1,53
carried,0.002517,1,44
wholesome,0.002515,2,374
talks,0.002496,2,216
outwards,0.002484,1,48
introduce,0.002484,1,38
inward,0.002452,1,45
opportunities,0.002452,1,40
wish,0.002429,3,397
shift,0.002422,2,217
simile,0.002421,1,74
clarity,0.002386,2,260
honor,0.002362,1,53
conditioning,0.002362,1,63
age,0.002362,1,47
discovering,0.002362,1,45
distraction,0.002362,1,54
got,0.002356,3,535
dukkha,0.002350,2,565
hadn,0.002334,1,49
rich,0.002334,1,48
religious,0.002334,1,75
discovered,0.002306,1,52
taste,0.002306,1,101
tone,0.002279,1,100
habit,0.002279,1,59
checking,0.002279,1,52
instruction,0.002253,1,70
softening,0.002230,2,223
mother,0.002228,1,92
flavor,0.002228,1,57
virtue,0.002203,1,106
deepening,0.002203,1,61
setting,0.002203,1,61
step,0.002197,2,263
unfold,0.002179,1,72
brief,0.002179,1,102
bird,0.002179,1,81
external,0.002155,1,74
spiritual,0.002133,2,622
capacity,0.002133,2,316
left,0.002117,2,209
attitudes,0.002109,1,79
curiosity,0.002109,1,100
journey,0.002087,1,116
personally,0.002087,1,58
quality,0.002071,2,314
inspiration,0.002066,1,105
relaxation,0.002044,1,62
touches,0.002044,1,56
later,0.002040,2,224
next,0.002031,5,608
unknown,0.002024,1,50
uses,0.002024,1,70
except,0.002024,1,65
respond,0.002003,1,94
beneficial,0.002003,1,99
human,0.002001,3,441
speaker,0.001983,1,85
universal,0.001983,1,74
session,0.001983,1,71
accept,0.001983,1,85
cool,0.001964,1,100
truths,0.001964,1,138
man,0.001964,1,140
cultivation,0.001964,1,112
sanskrit,0.001964,1,71
hours,0.001945,1,79
wasn,0.001895,2,290
started,0.001895,2,283
discomfort,0.001889,1,124
chat,0.001889,1,90
discourses,0.001854,1,95
tendency,0.001854,1,86
aside,0.001854,1,109
tends,0.001854,1,83
turn,0.001853,2,276
areas,0.001837,1,90
voice,0.001820,1,103
free,0.001810,5,626
allow,0.001809,4,603
showing,0.001804,1,96
referring,0.001787,1,76
rhythm,0.001771,1,107
everywhere,0.001771,1,98
various,0.001755,1,96
gaze,0.001740,1,116
keeping,0.001709,1,90
metaphor,0.001694,1,119
onto,0.001694,1,98
busy,0.001694,1,91
invitation,0.001680,1,124
theme,0.001651,1,107
supported,0.001651,1,105
teacher,0.001644,2,421
invite,0.001637,1,144
offered,0.001637,1,106
considered,0.001623,1,96
craving,0.001623,1,262
suffering,0.001608,4,1656
activities,0.001596,1,132
eventually,0.001583,1,104
condition,0.001583,1,160
sensation,0.001569,1,160
told,0.001556,1,137
meant,0.001556,1,127
heart,0.001546,6,1499
silence,0.001544,1,188
generosity,0.001544,1,233
amazing,0.001544,1,122
attitude,0.001544,1,192
another,0.001543,4,747
instead,0.001535,2,440
noticed,0.001531,1,123
choose,0.001531,1,161
authoritative,0.001506,1,85
forms,0.001506,1,135
changes,0.001494,1,134
