word,tfidf_score,talk_frequency,global_frequency
heaven,0.059698,65,109
devas,0.032148,29,43
realm,0.021357,38,185
faith,0.020890,34,172
deva,0.017737,16,28
rebirth,0.015729,15,43
hell,0.014985,16,59
lesser,0.014979,15,33
ghost,0.013510,10,28
lead,0.011185,32,363
virtue,0.011082,15,106
generosity,0.010225,21,206
level,0.010207,31,282
abandon,0.010096,12,47
cosmos,0.009470,8,18
principle,0.008878,14,122
hungry,0.008852,10,51
renouncing,0.008286,7,14
habit,0.008273,15,113
theravada,0.008153,10,50
rapture,0.007989,8,32
drawback,0.007791,5,8
saddha,0.007760,7,25
indignation,0.007706,6,10
renounce,0.007340,7,24
giving,0.007203,25,296
kovilo,0.007185,5,13
angry,0.007118,14,174
morality,0.007102,6,15
recollection,0.007102,6,15
pro-attitude,0.007062,4,4
non-remorse,0.007062,4,4
pamojja,0.007062,4,4
among,0.006859,10,60
greater,0.006831,16,216
nisabho,0.006755,5,10
cessation,0.006556,7,46
ajahn,0.006341,10,108
dana,0.006291,6,28
unitarianism,0.006233,4,7
sukha,0.005992,6,27
non-anger,0.005748,4,9
governing,0.005748,4,6
e,0.005719,5,14
happiness,0.005664,25,811
likewise,0.005511,6,29
sila,0.005408,6,42
imbued,0.005404,4,7
death,0.005316,10,161
yama,0.005296,3,3
tusita,0.005296,3,3
destination,0.005137,4,9
stain,0.005137,4,11
stream-entry,0.005137,4,14
metta,0.005129,10,445
view,0.005120,17,631
truth,0.004976,15,487
sake,0.004968,6,45
transcendent,0.004919,4,10
cascade,0.004919,4,9
responsive,0.004919,4,11
noble,0.004828,10,263
dhammapada,0.004819,6,41
gain,0.004802,7,80
delighting,0.004735,4,10
pervading,0.004735,4,17
reborn,0.004683,5,32
1of,0.004675,3,5
formless,0.004675,3,5
loving-kindness,0.004657,9,182
dirt,0.004575,4,17
overcome,0.004507,5,43
one's,0.004479,11,187
teach,0.004422,12,242
unwholesome,0.004412,8,176
anger,0.004376,11,345
buddhist,0.004316,27,807
possible,0.004316,25,509
asura,0.004311,3,9
magnanimous,0.004311,3,5
conception,0.004308,4,15
brahma,0.004276,5,75
buddhism,0.004258,15,505
canon,0.004207,5,53
entry,0.004194,4,14
lesson,0.004140,5,50
he'll,0.004090,4,19
ancestor,0.004090,4,19
maximum,0.004053,3,6
request,0.003995,4,20
existence,0.003957,5,46
develop,0.003947,10,191
abide,0.003906,4,55
regard,0.003901,5,52
buddha,0.003892,35,1614
belief,0.003873,9,280
possessiveness,0.003853,3,7
bliss,0.003846,5,61
monk,0.003825,7,211
burn,0.003823,4,25
applies,0.003746,4,23
wouldn't,0.003704,8,128
depressing,0.003689,3,8
memorize,0.003689,3,13
god,0.003575,6,190
compared,0.003541,4,28
unitarian,0.003531,2,2
sugatis,0.003531,2,2
connote,0.003531,2,2
buddhist-influenced,0.003531,2,2
stand-in,0.003531,2,2
akusala,0.003531,2,2
ordains,0.003531,2,2
angelic,0.003531,2,2
attains,0.003531,2,2
jhana-esque,0.003531,2,2
mind-corrupted,0.003531,2,2
nakula's,0.003531,2,2
well-off,0.003531,2,2
ornament,0.003531,2,2
reappears,0.003531,2,2
brahma's,0.003531,2,2
somewhat,0.003505,6,68
wholesome,0.003472,9,349
coarse,0.003431,3,11
subject,0.003351,5,108
plane,0.003326,3,18
lower,0.003313,5,58
verse,0.003312,4,78
western,0.003312,4,44
monastery,0.003276,5,109
sensual,0.003276,5,104
wise,0.003268,10,383
samsara,0.003261,4,41
anyone,0.003190,6,109
everybody,0.003188,7,181
raised,0.003166,4,36
straight,0.003166,4,37
smart,0.003146,3,15
righteous,0.003146,3,17
growing,0.003133,6,104
plurality,0.003116,2,3
degradation,0.003116,2,5
conjecture,0.003116,2,3
recollects,0.003116,2,3
fingernail,0.003116,2,3
infinitesimally,0.003116,2,3
suffusion,0.003116,2,3
abidings,0.003116,2,3
thirty-three,0.003116,2,4
retinue,0.003116,2,4
asked,0.003039,8,194
virtuous,0.002996,3,28
teaching,0.002988,24,984
animal,0.002950,5,118
mundane,0.002929,3,17
religion,0.002881,4,91
birth,0.002881,4,58
universal,0.002881,4,54
renunciation,0.002881,4,68
titan,0.002874,2,93
allergic,0.002874,2,4
correlate,0.002874,2,4
non-delusion,0.002874,2,8
eon,0.002874,2,11
wholesomely,0.002874,2,5
all-encompassing,0.002874,2,4
exalted,0.002874,2,5
rob,0.002868,3,28
divine,0.002868,3,25
higher,0.002845,4,92
state,0.002813,15,807
harmful,0.002810,4,74
prove,0.002755,3,26
company,0.002755,3,29
opinion,0.002712,4,115
sharing,0.002707,5,135
immense,0.002702,2,5
answer,0.002639,7,217
positive,0.002621,4,64
non-greed,0.002569,2,7
default,0.002569,2,6
fate,0.002569,2,6
scripture,0.002569,2,8
recollect,0.002569,2,7
immeasurable,0.002569,2,11
corrupted,0.002569,2,6
gratification,0.002569,2,12
cleansed,0.002569,2,7
believing,0.002566,3,32
psychological,0.002564,4,69
origin,0.002524,3,31
q,0.002501,6,120
cultivate,0.002501,6,201
alternate,0.002460,2,8
refining,0.002460,2,9
graduated,0.002460,2,24
intoxicant,0.002460,2,15
stream-enterer,0.002460,2,8
brahma-viharas,0.002460,2,8
abundant,0.002460,2,9
serene,0.002460,2,7
actual,0.002458,4,82
scholar,0.002446,3,38
merit,0.002446,3,46
stream,0.002408,4,102
believe,0.002374,8,278
sutta,0.002374,5,307
conceiving,0.002367,2,9
elated,0.002367,2,12
kalama,0.002367,2,11
heavenly,0.002367,2,18
consistent,0.002367,2,9
excessive,0.002367,2,8
open-handed,0.002367,2,10
festival,0.002367,2,8
well-being,0.002357,8,536
fun,0.002337,4,103
realized,0.002334,5,125
familiar,0.002332,6,177
least,0.002322,7,202
value,0.002297,6,183
misconduct,0.002288,2,18
seclusion,0.002288,2,14
quarter,0.002288,2,16
king,0.002276,3,478
path,0.002266,10,795
pleasure,0.002237,7,693
family,0.002228,6,259
spaciousness,0.002227,4,214
explains,0.002217,2,12
stock,0.002217,2,14
exhausted,0.002217,2,11
forgiveness,0.002217,2,25
freely,0.002216,3,53
suttas,0.002166,4,171
pas,0.002166,4,88
talking,0.002165,11,445
ethic,0.002160,3,140
unifying,0.002154,2,15
piti,0.002154,2,21
regarding,0.002154,2,13
suggests,0.002154,2,11
suffering,0.002142,14,1427
hostility,0.002134,3,69
deity,0.002097,2,26
compare,0.002097,2,19
whereas,0.002082,3,46
ordained,0.002045,2,19
refined,0.002045,2,15
adopt,0.002045,2,15
logical,0.002045,2,16
dy,0.002045,2,15
contemplate,0.002045,2,15
mahayana,0.002045,2,18
mother,0.002034,3,89
main,0.002034,3,59
earth,0.002034,4,229
specifically,0.002011,3,53
generous,0.002011,3,77
presentation,0.001997,2,16
stealing,0.001997,2,21
creation,0.001997,2,17
comparison,0.001997,2,18
quality,0.001962,9,620
realize,0.001961,6,221
nuance,0.001953,2,20
envy,0.001953,2,42
passion,0.001953,2,31
operating,0.001948,4,170
effect,0.001948,4,161
matter,0.001943,7,278
final,0.001923,3,65
connotation,0.001912,2,16
nibbana,0.001912,2,41
person,0.001886,15,1004
american,0.001873,2,20
defilement,0.001873,2,29
confident,0.001873,2,23
infinite,0.001873,2,27
term,0.001856,5,256
great,0.001852,12,666
give,0.001850,19,811
karmic,0.001837,2,32
chant,0.001837,2,31
relate,0.001837,4,132
delusion,0.001807,4,214
country,0.001806,3,92
section,0.001803,2,25
joyful,0.001803,2,29
we'll,0.001787,12,557
sexual,0.001770,2,46
step-wise,0.001765,1,1
interpolation,0.001765,1,1
long-lasting,0.001765,1,1
godlike,0.001765,1,1
sacrificed,0.001765,1,1
opapatika,0.001765,1,1
charter,0.001765,1,1
pascal's,0.001765,1,1
wager,0.001765,1,1
steven,0.001765,1,1
truthtelling,0.001765,1,1
grandma's,0.001765,1,1
sugati,0.001765,1,1
tavatimsa,0.001765,1,1
ascendingly,0.001765,1,1
equate,0.001765,1,1
unswerving,0.001765,1,1
sotapanna,0.001765,1,1
anupubbikatha,0.001765,1,1
maternal,0.001765,1,1
devanussati,0.001765,1,1
unperturbed,0.001765,1,1
halo,0.001765,1,1
osmosis,0.001765,1,1
emulate,0.001765,1,1
multi-life,0.001765,1,1
caganussati,0.001765,1,1
successively,0.001765,1,1
outright,0.001765,1,1
goad,0.001765,1,1
punna,0.001765,1,1
past-life,0.001765,1,1
regression,0.001765,1,1
deva-humans,0.001765,1,1
dibba-cakkhu,0.001765,1,1
stepwise,0.001765,1,1
clairvoyant,0.001765,1,1
afar,0.001765,1,1
consequently,0.001765,1,1
wretch,0.001765,1,1
santideva,0.001765,1,1
hell-being,0.001765,1,1
irked,0.001765,1,1
finally,0.001749,4,148
experiential,0.001740,2,24
philosophical,0.001740,2,37
advantage,0.001740,2,34
easiest,0.001711,2,28
killing,0.001711,2,43
highest,0.001711,2,35
evil,0.001711,2,54
enter,0.001694,4,189
favor,0.001683,2,25
possibly,0.001683,2,26
jhanas,0.001683,2,57
he's,0.001681,4,305
story,0.001660,9,985
remains,0.001656,2,32
dukkha,0.001654,4,401
ill,0.001639,3,130
unskillful,0.001631,2,61
ritual,0.001631,2,59
acting,0.001631,2,47
passed,0.001631,2,36
there'll,0.001606,2,30
therefore,0.001606,2,30
harming,0.001606,2,59
formal,0.001606,2,35
cause,0.001586,5,270
gradually,0.001583,2,42
gradual,0.001583,2,60
reflect,0.001566,3,112
greeting,0.001560,2,42
father,0.001560,2,48
filial,0.001558,1,2
piety,0.001558,1,2
gluttonous,0.001558,1,2
blissful,0.001558,1,2
behooves,0.001558,1,2
through-line,0.001558,1,2
kama,0.001558,1,2
equated,0.001558,1,2
non-perception,0.001558,1,2
grandparent's,0.001558,1,3
non-buddhists,0.001558,1,2
upper-middle-class,0.001558,1,2
luang,0.001558,1,2
por,0.001558,1,2
pasanno,0.001558,1,2
iconography,0.001558,1,2
shantideva,0.001558,1,2
arranged,0.001558,1,2
truth-telling,0.001558,1,2
loka,0.001558,1,3
puffed,0.001558,1,2
tinged,0.001558,1,4
portrait,0.001558,1,2
distribution,0.001558,1,3
reappearance,0.001558,1,2
harmfulness,0.001558,1,3
prohibition,0.001558,1,2
berate,0.001558,1,4
easily,0.001525,3,97
blessing,0.001518,2,68
tranquility,0.001518,2,63
karma,0.001518,2,75
aspiration,0.001518,2,73
amount,0.001508,4,164
presence,0.001496,4,207
morning,0.001488,8,380
telling,0.001486,3,104
practical,0.001478,2,41
enlightened,0.001478,2,45
aspect,0.001451,5,268
pali,0.001441,4,216
lightness,0.001440,2,74
poof,0.001437,1,4
legend,0.001437,1,3
impurity,0.001437,1,3
collins,0.001437,1,12
nothingness,0.001437,1,6
rite,0.001437,1,4
grandfather,0.001437,1,3
lessened,0.001437,1,3
affinity,0.001437,1,3
endowed,0.001437,1,3
psychic,0.001437,1,3
conscience,0.001437,1,3
wrongdoing,0.001437,1,3
chariot,0.001437,1,5
exclaimed,0.001437,1,5
bursting,0.001437,1,3
possesses,0.001437,1,3
reappear,0.001437,1,3
person's,0.001422,2,49
quote,0.001412,3,122
joy,0.001402,6,923
buddha's,0.001378,3,155
spending,0.001372,2,53
light,0.001368,5,411
eat,0.001356,2,68
question,0.001356,7,825
inference,0.001351,1,4
elaboration,0.001351,1,4
roughly,0.001351,1,4
transcend,0.001351,1,7
embarrassing,0.001351,1,4
transference,0.001351,1,6
package,0.001351,1,6
custom,0.001351,1,4
rightly,0.001351,1,4
formerly,0.001351,1,4
stingy,0.001351,1,4
gave,0.001344,3,129
involve,0.001340,2,55
comment,0.001333,3,182
sati,0.001325,2,89
danger,0.001325,2,72
train,0.001325,2,64
they'll,0.001310,2,53
bodily,0.001310,2,100
lifetime,0.001310,2,71
food,0.001301,3,189
receptive,0.001296,2,81
deprivation,0.001284,1,8
sensuality,0.001284,1,8
bonding,0.001284,1,10
behalf,0.001284,1,6
reflects,0.001284,1,10
online,0.001282,2,58
encourage,0.001282,2,59
reach,0.001282,2,62
monastic,0.001282,2,107
totally,0.001268,2,92
jhana,0.001268,2,275
left,0.001260,4,209
negative,0.001255,2,72
meditative,0.001255,2,76
taught,0.001251,3,162
awakening,0.001251,3,283
dependence,0.001230,1,17
weren't,0.001229,2,77
leaving,0.001216,2,66
stress,0.001212,3,232
general,0.001212,3,165
next,0.001208,10,607
leading,0.001204,2,105
mountain,0.001192,2,107
either,0.001187,4,227
recluse,0.001184,1,13
declare,0.001184,1,9
embody,0.001184,1,11
latter,0.001184,1,7
decreased,0.001184,1,7
refraining,0.001184,1,30
experienced,0.001175,3,172
direct,0.001175,3,199
hindrance,0.001168,2,197
concentrated,0.001168,2,85
position,0.001157,2,70
result,0.001157,2,96
definitely,0.001157,2,76
probably,0.001150,5,339
egg,0.001144,1,17
worldview,0.001144,1,15
cleaner,0.001144,1,9
protects,0.001144,1,8
transforms,0.001144,1,9
homelessness,0.001144,1,8
miserable,0.001144,1,16
goal,0.001135,2,125
intention,0.001131,3,259
wasn't,0.001127,4,290
hopefully,0.001124,2,80
addicted,0.001109,1,15
obsessed,0.001109,1,12
affective,0.001109,1,10
boundless,0.001109,1,16
hardly,0.001109,1,9
deed,0.001109,1,13
oftentimes,0.001109,1,12
i'll,0.001108,11,831
clarity,0.001105,3,252
could,0.001103,14,1418
brings,0.001097,3,190
spiritual,0.001089,3,555
various,0.001083,2,91
action,0.001081,3,318
earliest,0.001077,1,14
brahmin,0.001077,1,48
quoted,0.001077,1,16
realizes,0.001077,1,12
motif,0.001077,1,12
pick,0.001073,2,83
exist,0.001073,2,91
allows,0.001054,4,325
you've,0.001054,4,345
everywhere,0.001054,2,98
contented,0.001049,1,22
similar,0.001044,2,80
connection,0.001041,3,207
describe,0.001035,2,76
lying,0.001026,2,89
samadhi,0.001023,4,1513
authentic,0.001023,1,17
spontaneously,0.001023,1,21
introduced,0.001023,1,14
attainment,0.001023,1,17
former,0.001023,1,14
shining,0.001023,1,22
pair,0.001023,1,31
reward,0.001023,1,14
partially,0.001023,1,14
background,0.001017,2,112
taken,0.001017,2,88
mostly,0.001017,2,95
became,0.001017,2,129
english,0.001008,2,107
based,0.001008,2,136
quickly,0.001008,2,91
learning,0.001003,3,213
craving,0.000999,2,250
twist,0.000999,1,18
genuine,0.000999,1,14
entail,0.000999,1,21
relates,0.000999,1,16
listened,0.000999,1,13
perform,0.000999,1,19
invisible,0.000999,1,17
false,0.000999,1,19
explained,0.000999,1,18
whether,0.000985,4,303
pop,0.000976,1,21
implication,0.000976,1,24
smiling,0.000976,1,19
dropped,0.000976,1,17
secret,0.000976,1,18
dissolution,0.000976,1,29
knew,0.000974,2,105
tradition,0.000973,3,325
subtle,0.000966,3,350
lovely,0.000966,2,117
enjoy,0.000966,2,113
type,0.000966,2,176
phrase,0.000966,2,175
couldn't,0.000957,2,104
fourth,0.000957,2,153
doe,0.000957,8,829
pass,0.000956,1,23
womb,0.000956,1,36
meditated,0.000956,1,16
multiple,0.000956,1,24
alms,0.000956,1,22
later,0.000945,3,215
got,0.000942,4,534
gathering,0.000941,2,186
implies,0.000937,1,22
inquiry,0.000937,1,26
disciple,0.000937,1,20
dedicate,0.000937,1,20
depend,0.000937,1,27
christian,0.000937,1,33
someone,0.000930,5,541
original,0.000918,1,49
shy,0.000918,1,20
account,0.000918,1,26
fortunate,0.000918,1,27
born,0.000918,2,182
different,0.000908,25,1866
obvious,0.000903,2,145
generation,0.000901,1,28
report,0.000901,1,27
map,0.000901,1,37
promise,0.000901,1,27
able,0.000894,6,604
people,0.000892,35,3081
gift,0.000889,2,144
trapped,0.000885,1,25
sending,0.000885,1,33
addressed,0.000885,1,22
human,0.000885,5,532
getting,0.000878,6,537
referring,0.000870,1,23
live,0.000863,5,640
good,0.000862,25,1807
case,0.000861,2,167
tear,0.000855,1,27
relative,0.000855,1,27
celebrate,0.000855,1,38
related,0.000847,2,134
using,0.000845,3,270
started,0.000845,3,283
discernment,0.000841,1,70
attain,0.000841,1,30
precept,0.000841,1,93
dhamma,0.000841,1,129
sent,0.000841,1,31
thus,0.000841,1,34
greed,0.000840,2,238
certain,0.000838,6,604
limited,0.000828,1,41
ultimate,0.000828,1,35
resolve,0.000828,1,40
occasion,0.000828,1,28
nobody,0.000828,1,49
who's,0.000827,2,167
say,0.000826,26,2787
framework,0.000815,1,47
encouraged,0.000815,1,28
skilled,0.000815,1,32
reflection,0.000814,2,212
line,0.000814,2,206
offering,0.000808,2,168
we've,0.000806,5,419
manifest,0.000803,1,36
shine,0.000803,1,61
dream,0.000803,1,41
permanent,0.000803,1,40
stop,0.000802,3,343
goodness,0.000802,3,466
previous,0.000791,1,36
brightness,0.000791,1,62
dedication,0.000791,1,35
hour,0.000783,2,193
ready,0.000783,2,175
practitioner,0.000783,2,195
wisely,0.000780,1,31
abiding,0.000780,1,56
moral,0.000780,1,72
deep,0.000770,7,1007
smell,0.000769,1,61
speaks,0.000769,1,40
wisdom,0.000767,3,536
hear,0.000762,3,379
common,0.000760,2,164
added,0.000759,1,47
personality,0.000759,1,53
addition,0.000759,1,33
fruit,0.000749,1,51
psychology,0.000749,1,47
opened,0.000749,1,36
around,0.000747,14,1116
living,0.000745,3,345
impermanent,0.000739,1,58
fight,0.000739,1,44
definition,0.000729,1,49
absorption,0.000729,1,45
realizing,0.000729,1,43
others,0.000725,8,1015
away,0.000725,10,1000
discourse,0.000711,1,89
number,0.000704,2,213
west,0.000703,1,54
intentionally,0.000703,1,40
couple,0.000699,2,174
introduction,0.000696,4,275
practicing,0.000695,3,332
enjoying,0.000694,1,51
happy,0.000690,8,786
continues,0.000686,1,50
knowledge,0.000686,1,110
object,0.000684,2,293
aversion,0.000684,2,480
beautiful,0.000680,3,538
walk,0.000678,2,278
ending,0.000678,1,87
intentional,0.000678,1,51
led,0.000678,1,58
keep,0.000673,5,653
nice,0.000668,4,526
benefit,0.000663,2,227
sight,0.000663,1,63
consciousness,0.000663,1,129
consequence,0.000663,1,60
whole,0.000658,7,1124
root,0.000655,1,79
name,0.000654,2,231
certainly,0.000649,2,202
appear,0.000648,1,55
week,0.000646,6,687
head,0.000644,2,244
passing,0.000641,1,86
conclusion,0.000641,1,53
situation,0.000634,2,315
recently,0.000634,1,55
modern,0.000634,1,75
met,0.000634,1,69
join,0.000634,1,54
become,0.000630,8,820
basically,0.000627,1,94
smile,0.000627,1,111
taste,0.000627,1,125
reaction,0.000627,1,92
address,0.000627,1,69
neither,0.000621,1,77
engaging,0.000614,1,74
driving,0.000614,1,75
sky,0.000614,1,86
underneath,0.000614,1,86
towards,0.000610,3,469
rise,0.000608,1,86
almost,0.000607,4,551
year,0.000607,4,801
man,0.000602,1,125
deal,0.000602,1,72
call,0.000600,3,419
step,0.000598,2,303
