word,tfidf_score,talk_frequency,global_frequency
itch,0.013048,5,14
pimple,0.012824,4,4
tiger,0.012267,5,10
aversion,0.010080,16,475
sunset,0.009618,3,3
roots,0.009167,6,45
intellectual,0.008339,5,24
hatred,0.008136,10,212
bodies,0.007865,8,95
angry,0.007386,8,174
unbearable,0.007360,3,6
blew,0.007360,3,8
seed,0.006803,4,25
holes,0.006700,3,9
investigation,0.006539,5,71
freedman,0.006449,3,11
anushka,0.006412,2,2
retelling,0.006412,2,2
anger,0.006402,9,355
hate,0.006365,6,93
minor,0.006318,4,31
ines,0.006231,3,12
incline,0.006231,3,11
alarm,0.006231,3,12
type,0.006010,6,109
huge,0.005899,6,99
transformation,0.005834,4,52
shoes,0.005712,3,24
torments,0.005659,2,3
pissed,0.005659,2,3
conditioner,0.005659,2,4
coal,0.005659,2,3
energy,0.005628,11,428
minds,0.005435,8,206
story,0.005368,12,664
puddle,0.005219,2,4
carpet,0.005219,2,4
junk,0.005219,2,4
oblivious,0.005219,2,4
mindfully,0.005102,3,21
hearts,0.005018,7,185
wisdom,0.004920,11,575
walks,0.004910,3,25
tool,0.004910,3,35
lasting,0.004910,3,38
stain,0.004907,2,9
delusion,0.004842,6,234
husband,0.004739,3,39
feed,0.004739,3,29
ill,0.004699,5,144
unpleasant,0.004699,5,244
drop,0.004689,6,164
irritating,0.004664,2,6
toilet,0.004664,2,6
negativity,0.004664,2,8
coffee,0.004584,3,39
wrong,0.004541,8,320
waking,0.004511,3,30
paññā,0.004466,2,13
lasts,0.004466,2,7
insist,0.004466,2,8
nourish,0.004375,3,33
investigating,0.004154,2,24
clock,0.004154,2,10
resistance,0.004083,4,125
personalities,0.004026,2,12
habits,0.003973,3,54
forgot,0.003912,2,19
meetings,0.003912,2,13
root,0.003875,3,49
helpful,0.003857,8,561
hostile,0.003808,2,15
enjoying,0.003782,3,51
habit,0.003693,3,59
unwholesome,0.003693,4,192
metaphor,0.003661,4,119
mood,0.003651,3,76
sees,0.003651,3,55
force,0.003567,4,118
dropped,0.003546,2,17
contract,0.003472,2,16
board,0.003472,2,24
strong,0.003426,7,341
discussing,0.003401,2,22
got,0.003394,8,535
pain,0.003350,7,518
instance,0.003336,2,30
amazing,0.003335,4,122
cleaning,0.003274,2,23
decisions,0.003274,2,21
respond,0.003246,3,94
defilements,0.003215,2,29
obliviousness,0.003206,1,1
trays,0.003206,1,1
stockinged,0.003206,1,1
oversimplified,0.003206,1,1
grin,0.003206,1,1
minorly,0.003206,1,1
toilets,0.003206,1,1
resentfully,0.003206,1,1
potter,0.003206,1,1
devilish,0.003206,1,1
mantle,0.003206,1,1
disapprove,0.003206,1,1
dusk,0.003206,1,1
subsided,0.003206,1,1
puttering,0.003206,1,1
retell,0.003206,1,1
improves,0.003206,1,1
workings,0.003206,1,1
justifications,0.003206,1,1
fun,0.003183,3,103
ability,0.003126,5,230
aspect,0.003126,4,117
clean,0.003121,3,103
unhelpful,0.003007,2,48
tends,0.003005,3,83
oh,0.002960,12,1324
greed,0.002958,4,258
shows,0.002923,3,123
early,0.002890,4,178
personality,0.002874,2,49
bias,0.002874,2,36
pretty,0.002867,4,176
martha,0.002830,1,3
torment,0.002830,1,2
delusional,0.002830,1,2
miserably,0.002830,1,2
ugh,0.002830,1,2
arranging,0.002830,1,2
mellow,0.002830,1,2
bleeds,0.002830,1,2
burst,0.002830,1,2
likable,0.002830,1,3
frowning,0.002830,1,4
delve,0.002830,1,2
instantly,0.002830,1,2
clocks,0.002830,1,2
filtered,0.002830,1,2
imperfections,0.002830,1,3
fantasy,0.002794,2,37
continued,0.002794,2,36
happened,0.002780,4,196
give,0.002739,11,594
music,0.002719,2,63
distracted,0.002675,3,103
hurts,0.002649,2,39
contracted,0.002649,2,50
feelings,0.002635,5,308
developing,0.002630,3,100
hot,0.002615,2,60
irritations,0.002610,1,3
stereotypes,0.002610,1,3
predominate,0.002610,1,3
bummer,0.002610,1,6
darken,0.002610,1,3
unfriendly,0.002610,1,4
disposition,0.002610,1,3
repelled,0.002610,1,3
discomforts,0.002610,1,3
motivator,0.002610,1,3
healthiest,0.002610,1,3
doom,0.002610,1,4
collaborating,0.002610,1,3
sittings,0.002610,1,4
fridge,0.002610,1,5
recipe,0.002610,1,3
suffering,0.002606,12,1656
tight,0.002586,3,128
job,0.002565,3,157
started,0.002558,5,283
wasn,0.002558,5,290
train,0.002552,2,57
attitude,0.002501,3,192
towards,0.002482,7,478
sip,0.002453,1,4
scratching,0.002453,1,4
phones,0.002453,1,10
enthusiastic,0.002453,1,4
resentful,0.002453,1,5
fantasize,0.002453,1,6
shrinking,0.002453,1,5
arguments,0.002453,1,9
blooms,0.002453,1,5
preconceptions,0.002453,1,5
call,0.002431,6,367
nothing,0.002423,7,464
plan,0.002407,2,63
retreats,0.002380,2,72
setting,0.002380,2,61
intentions,0.002380,2,73
food,0.002363,3,183
notices,0.002332,1,5
chill,0.002332,1,6
chopping,0.002332,1,7
teenagers,0.002332,1,9
motivate,0.002332,1,7
collaboration,0.002332,1,5
seduced,0.002332,1,6
petals,0.002332,1,6
fulfill,0.002332,1,5
friendly,0.002328,2,118
d,0.002304,9,637
forces,0.002303,2,83
types,0.002279,2,86
curiosity,0.002279,2,100
choice,0.002279,2,96
work,0.002261,10,850
gotten,0.002255,2,73
journey,0.002255,2,116
guests,0.002233,1,7
grabs,0.002233,1,9
desperately,0.002233,1,6
vegetables,0.002233,1,13
poignant,0.002233,1,6
overemphasize,0.002233,1,6
hormones,0.002233,1,6
bellies,0.002233,1,6
affectionate,0.002233,1,11
dividing,0.002233,1,6
faults,0.002233,1,10
rehearsing,0.002233,1,7
inclining,0.002233,1,6
reality,0.002201,3,169
god,0.002186,2,90
strength,0.002186,2,80
lives,0.002170,5,405
clinging,0.002156,4,490
home,0.002156,4,246
ideas,0.002154,5,432
pushes,0.002150,1,7
teasing,0.002150,1,11
gut,0.002150,1,14
triggering,0.002150,1,9
affection,0.002150,1,8
scrolling,0.002150,1,10
decreased,0.002150,1,7
days,0.002124,4,222
house,0.002122,2,109
minutes,0.002108,4,262
wonderful,0.002093,6,475
includes,0.002081,2,66
objects,0.002081,2,97
study,0.002081,2,90
afflictive,0.002077,1,10
awesome,0.002077,1,8
woke,0.002077,1,8
sustainable,0.002077,1,11
till,0.002077,1,10
enthusiasm,0.002077,1,13
transforms,0.002077,1,9
unhappy,0.002077,1,9
bubble,0.002077,1,12
fail,0.002077,1,11
vista,0.002077,1,9
situation,0.002023,3,237
spent,0.002022,2,72
focus,0.002017,4,348
dressed,0.002013,1,11
warmer,0.002013,1,10
privilege,0.002013,1,9
goldstein,0.002013,1,13
differences,0.002013,1,10
discerning,0.002013,1,11
flexibility,0.002013,1,10
argument,0.002013,1,11
turn,0.002002,4,276
pick,0.001985,2,79
interest,0.001985,2,119
happiness,0.001979,5,846
transforming,0.001956,1,10
wealthy,0.001956,1,13
cell,0.001956,1,12
devices,0.001956,1,10
penetrating,0.001956,1,16
mere,0.001956,1,14
walk,0.001904,3,258
ugly,0.001904,1,15
regrets,0.001904,1,14
survive,0.001904,1,17
chronic,0.001904,1,13
failed,0.001904,1,17
physical,0.001890,3,223
happening,0.001881,8,918
meditating,0.001862,3,213
didn,0.001859,5,505
party,0.001857,1,18
tighten,0.001857,1,14
joseph,0.001857,1,16
strengthening,0.001857,1,13
divide,0.001857,1,13
mud,0.001857,1,18
subconscious,0.001857,1,13
understanding,0.001845,5,515
notice,0.001834,6,731
quickly,0.001830,2,91
warm,0.001830,2,145
tranquility,0.001830,2,114
friend,0.001821,3,335
rough,0.001813,1,16
authentic,0.001813,1,18
frees,0.001813,1,31
manner,0.001813,1,15
knots,0.001813,1,17
desire,0.001807,3,555
tightness,0.001799,2,113
example,0.001776,4,344
calm,0.001776,4,614
corner,0.001773,1,22
liking,0.001773,1,23
rejecting,0.001773,1,19
rarely,0.001773,1,17
limitations,0.001773,1,29
keep,0.001772,6,523
fix,0.001768,2,146
attention,0.001745,11,1262
emotions,0.001741,3,281
show,0.001741,3,248
difference,0.001741,3,216
living,0.001736,4,355
wet,0.001736,1,29
enjoyed,0.001736,1,24
picked,0.001736,1,18
broke,0.001736,1,24
stressed,0.001736,1,25
childhood,0.001736,1,20
view,0.001728,3,402
happens,0.001717,5,406
face,0.001716,3,216
exhausting,0.001701,1,18
knees,0.001701,1,19
anytime,0.001701,1,18
occurred,0.001701,1,16
trip,0.001701,1,23
intuitive,0.001701,1,19
air,0.001696,2,170
push,0.001681,2,133
quality,0.001678,3,314
right,0.001670,21,2097
awkward,0.001668,1,25
fuel,0.001668,1,29
transformed,0.001668,1,24
shy,0.001668,1,20
reinforcing,0.001668,1,19
lots,0.001668,2,129
moments,0.001665,3,240
instead,0.001658,4,440
obvious,0.001641,2,147
habitual,0.001637,1,26
righteous,0.001637,1,25
intimately,0.001637,1,19
landscape,0.001637,1,23
forms,0.001627,2,135
source,0.001614,2,274
pay,0.001614,2,125
unpleasantness,0.001607,1,26
smell,0.001607,1,39
learned,0.001588,2,129
meeting,0.001588,2,179
found,0.001581,3,274
cup,0.001580,1,42
mirror,0.001580,1,29
political,0.001580,1,34
weak,0.001580,1,30
grasp,0.001580,1,30
peacefulness,0.001580,1,22
pushing,0.001575,2,139
tend,0.001575,2,129
within,0.001568,5,529
took,0.001563,2,151
matter,0.001558,3,232
referred,0.001553,1,22
temperature,0.001553,1,24
plans,0.001553,1,30
expressing,0.001553,1,25
opinion,0.001553,1,58
experiential,0.001553,1,25
irritation,0.001528,1,36
wings,0.001528,1,37
nourishment,0.001528,1,42
grab,0.001528,1,31
committed,0.001504,1,31
aversive,0.001504,1,34
irritated,0.001504,1,36
dangerous,0.001504,1,34
mature,0.001504,1,37
feeding,0.001504,1,38
lean,0.001504,1,29
flower,0.001504,1,37
discernment,0.001504,1,71
feet,0.001502,2,174
aspects,0.001502,2,164
intention,0.001491,2,202
appreciated,0.001481,1,27
incredibly,0.001481,1,33
essential,0.001481,1,35
fruit,0.001481,1,41
seemed,0.001458,1,36
addressing,0.001458,1,32
variety,0.001437,1,30
happily,0.001437,1,35
standard,0.001437,1,31
direction,0.001434,2,186
saw,0.001434,2,182
last,0.001426,5,468
heat,0.001417,1,39
phone,0.001417,1,51
continuous,0.001417,1,54
primarily,0.001417,1,32
freeing,0.001417,1,40
holding,0.001414,3,373
side,0.001412,2,235
amount,0.001401,2,161
mistake,0.001397,1,35
showed,0.001397,1,46
hanging,0.001397,1,33
fighting,0.001397,1,56
vacation,0.001397,1,52
satisfaction,0.001397,1,36
full,0.001393,3,270
develop,0.001390,2,197
experienced,0.001380,2,180
buy,0.001378,1,46
sign,0.001378,1,38
lets,0.001378,1,34
arises,0.001373,3,370
great,0.001365,5,680
relationship,0.001362,3,387
recognize,0.001362,3,404
weather,0.001359,1,55
wholesome,0.001359,2,374
peace,0.001351,4,636
matters,0.001342,1,54
fresh,0.001342,1,42
sadness,0.001342,1,59
practical,0.001342,1,41
tied,0.001342,1,41
better,0.001340,5,611
teacher,0.001332,3,421
planning,0.001324,1,51
wow,0.001318,2,210
equanimity,0.001308,2,528
react,0.001308,1,37
ride,0.001308,1,56
arise,0.001302,3,357
resisting,0.001292,1,47
several,0.001292,1,53
express,0.001292,1,56
impermanent,0.001292,1,61
move,0.001282,3,289
psychology,0.001276,1,52
decades,0.001276,1,42
everything,0.001264,6,882
send,0.001261,1,50
upset,0.001246,1,46
began,0.001246,1,76
investigate,0.001246,1,72
spending,0.001246,1,53
define,0.001246,1,50
noticing,0.001241,2,329
lost,0.001232,2,245
wishes,0.001231,1,67
prominent,0.001231,1,48
relax,0.001223,4,552
favorite,0.001217,1,57
still,0.001209,7,772
address,0.001203,1,64
dropping,0.001203,1,57
books,0.001203,1,56
level,0.001196,2,258
stories,0.001196,2,366
healing,0.001190,1,65
reach,0.001190,1,55
easeful,0.001190,1,63
bones,0.001190,1,57
letting,0.001187,5,764
step,0.001187,2,263
thing,0.001186,10,1367
influence,0.001177,1,60
money,0.001177,1,75
stopped,0.001177,1,59
knowledge,0.001177,1,113
use,0.001171,4,571
paying,0.001164,1,66
went,0.001152,2,295
text,0.001139,1,75
negative,0.001139,1,73
attachments,0.001127,1,76
wise,0.001127,2,397
completely,0.001119,2,248
retreat,0.001119,2,317
inspiration,0.001116,1,105
differently,0.001116,1,55
underneath,0.001116,1,86
nature,0.001116,3,455
heart,0.001114,8,1499
opposed,0.001104,1,77
experiences,0.001102,2,332
sweet,0.001093,1,86
awake,0.001093,1,74
agitated,0.001093,1,84
change,0.001089,3,811
looked,0.001082,1,86
news,0.001082,1,74
emotion,0.001082,1,106
hand,0.001078,2,300
ago,0.001078,2,265
realm,0.001071,1,111
school,0.001071,1,99
muscles,0.001071,1,81
getting,0.001062,4,538
able,0.001062,4,610
usually,0.001062,2,231
real,0.001062,2,229
sensations,0.001055,3,713
supporting,0.001051,1,90
make,0.001051,9,1254
partly,0.001040,1,78
ends,0.001030,1,78
challenging,0.001030,1,81
hold,0.001030,3,469
using,0.001023,2,270
contraction,0.001021,1,88
tense,0.001021,1,110
practiced,0.001021,1,80
naturally,0.001011,1,81
judgments,0.001011,1,88
sat,0.001002,1,71
tendency,0.001002,1,86
conversation,0.000992,1,126
changed,0.000992,1,99
suffer,0.000992,1,133
role,0.000992,1,101
came,0.000986,2,324
shifting,0.000983,1,137
looking,0.000981,3,501
door,0.000974,1,107
showing,0.000974,1,96
makes,0.000972,3,405
ah,0.000965,1,109
seems,0.000964,2,267
allows,0.000957,2,326
continuing,0.000957,1,76
large,0.000957,1,84
everywhere,0.000957,1,98
try,0.000956,3,443
actually,0.000940,6,1066
seen,0.000936,2,296
remember,0.000936,2,308
often,0.000934,10,1298
anybody,0.000931,1,115
usual,0.000931,1,107
easily,0.000923,1,97
okay,0.000922,4,1136
clearly,0.000922,2,386
perfect,0.000915,1,123
watching,0.000915,1,109
creates,0.000915,1,106
soon,0.000907,1,138
extra,0.000907,1,179
stuck,0.000907,1,122
gone,0.000907,1,99
longer,0.000901,2,293
minute,0.000899,1,103
telling,0.000899,1,107
humans,0.000899,1,121
help,0.000886,3,460
want,0.000879,13,2082
creating,0.000877,1,107
pull,0.000877,1,131
couldn,0.000869,1,104
made,0.000868,2,334
instructions,0.000862,1,150
tremendous,0.000862,1,106
somewhere,0.000855,1,104
standing,0.000855,1,115
sensation,0.000848,1,160
realized,0.000848,1,125
slowly,0.000848,1,106
desires,0.000841,1,207
told,0.000841,1,137
meant,0.000841,1,127
point,0.000834,4,751
always,0.000834,4,716
another,0.000834,4,747
wait,0.000827,1,120
choose,0.000827,1,161
earlier,0.000827,1,110
described,0.000820,1,109
authoritative,0.000814,1,85
gave,0.000814,1,130
beautiful,0.000810,2,549
moment,0.000809,9,1633
seeing,0.000804,3,831
course,0.000804,3,651
many,0.000804,8,1071
everybody,0.000801,1,196
cultivating,0.000801,1,199
listening,0.000801,1,181
look,0.000799,4,750
play,0.000794,1,169
daily,0.000794,1,156
release,0.000788,1,168
record,0.000781,1,92
trust,0.000781,1,196
open,0.000765,4,818
yesterday,0.000763,1,155
stuff,0.000763,1,178
supposed,0.000757,1,137
group,0.000757,1,190
start,0.000757,4,870
personal,0.000751,1,171
recognizing,0.000745,1,175
teach,0.000739,1,188
points,0.000722,1,159
won,0.000722,1,145
friends,0.000717,1,215
experience,0.000716,9,2422
could,0.000715,5,1420
ready,0.000711,1,176
practices,0.000711,1,181
family,0.000711,1,233
familiar,0.000706,1,177
field,0.000706,1,231
walking,0.000700,1,221
figure,0.000700,1,195
consider,0.000700,1,158
shoulders,0.000700,1,171
anything,0.000691,4,806
asked,0.000690,1,195
including,0.000690,1,149
experiencing,0.000690,1,172
hands,0.000690,1,171
putting,0.000690,1,172
wants,0.000690,1,217
comes,0.000683,4,776
area,0.000679,1,178
kindness,0.000676,2,816
talks,0.000674,1,216
morning,0.000670,2,376
brings,0.000664,1,190
yet,0.000664,1,237
times,0.000659,2,405
mindful,0.000659,1,257
next,0.000658,3,608
direct,0.000649,1,218
simple,0.000643,2,581
let,0.000638,16,1844
couple,0.000635,1,172
ever,0.000635,1,188
outside,0.000630,1,197
activity,0.000630,1,314
bad,0.000630,1,262
away,0.000630,5,1010
possible,0.000627,2,509
head,0.000625,1,220
back,0.000624,9,1460
comfortable,0.000616,1,210
healthy,0.000616,1,258
changing,0.000616,1,392
involved,0.000602,1,244
else,0.000601,2,541
wanted,0.000593,1,248
working,0.000593,1,287
dharma,0.000586,2,877
begin,0.000586,2,555
heard,0.000585,1,298
relaxed,0.000585,1,268
bit,0.000581,6,1439
conditions,0.000576,1,367
left,0.000572,1,209
moving,0.000568,1,220
qualities,0.000563,1,353
interesting,0.000559,1,278
water,0.000559,1,473
later,0.000551,1,224
term,0.000547,1,258
yeah,0.000547,1,767
topic,0.000539,1,231
important,0.000537,3,806
takes,0.000535,1,242
believe,0.000535,1,279
becomes,0.000531,2,515
forward,0.000527,1,225
fact,0.000523,1,233
lot,0.000521,7,1358
hope,0.000515,1,238
put,0.000512,2,562
meditate,0.000512,1,261
stress,0.000504,1,336
caught,0.000504,1,363
means,0.000498,2,646
helps,0.000497,1,265
useful,0.000493,1,274
though,0.000489,1,234
allow,0.000489,2,603
difficult,0.000482,1,332
tension,0.000482,1,544
happy,0.000470,3,791
hear,0.000461,1,379
deep,0.000458,3,1146
inner,0.000447,1,452
room,0.000437,1,390
sometimes,0.000435,8,1843
learn,0.000434,1,404
mental,0.000431,1,425
probably,0.000418,1,339
practicing,0.000418,1,336
long,0.000417,2,668
imagine,0.000415,1,340
practice,0.000411,17,3241
free,0.000391,2,626
enough,0.000391,2,728
good,0.000386,6,1820
body,0.000376,6,3140
big,0.000375,1,465
little,0.000373,9,2286
meaning,0.000372,1,388
used,0.000369,1,355
particular,0.000366,1,430
mean,0.000363,1,479
known,0.000363,1,314
idea,0.000362,2,1149
settle,0.000355,1,505
need,0.000354,2,990
would,0.000353,4,1944
deeper,0.000352,1,576
much,0.000351,10,1615
rest,0.000349,1,374
years,0.000343,1,568
saying,0.000335,1,653
done,0.000335,1,416
pali,0.000333,2,843
different,0.000330,5,1871
every,0.000330,1,478
goes,0.000327,1,460
someone,0.000321,1,580
people,0.000319,8,3171
clear,0.000308,1,544
words,0.000308,1,476
close,0.000298,1,378
taking,0.000295,1,465
think,0.000291,4,2110
take,0.000288,5,1258
whatever,0.000275,3,1178
sitting,0.000271,2,755
mind,0.000270,20,4527
bring,0.000266,1,643
say,0.000264,4,2185
mindfulness,0.000256,1,1006
thinking,0.000233,2,1628
state,0.000228,1,760
part,0.000223,3,1403
sit,0.000213,1,598
world,0.000211,4,2312
life,0.000207,5,2399
quite,0.000206,1,682
coming,0.000202,1,698
care,0.000200,1,1250
time,0.000198,12,2413
trying,0.000196,1,724
around,0.000190,2,1126
love,0.000183,1,1507
buddha,0.000177,1,2034
